SA3_NAME16	medianTotalPersonalIncome
Queanbeyan	48360
Snowy Mountains	34788
South Coast	27248
Goulburn - Mulwaree	32136
Young - Yass	34424
Gosford	32864
Wyong	29536
Bathurst	33384
Lachlan Valley	28236
Lithgow - Mudgee	27508
Orange	34476
Clarence Valley	24856
Coffs Harbour	28964
Bourke - Cobar - Coonamble	28964
Broken Hill and Far West	27248
Dubbo	32084
Lower Hunter	30056
Maitland	33904
Port Stephens	29276
Upper Hunter	33020
Dapto - Port Kembla	27352
Illawarra Catchment Reserve	19448
Kiama - Shellharbour	31408
Wollongong	32240
Great Lakes	24752
Kempsey - Nambucca	24492
Lord Howe Island	39624
Port Macquarie	28080
Taree - Gloucester	24752
Albury	32968
Lower Murray	29952
Upper Murray exc. Albury	29172
Armidale	29588
Inverell - Tenterfield	25064
Moree - Narrabri	34112
Tamworth - Gunnedah	32240
Lake Macquarie - East	32448
Lake Macquarie - West	30264
Newcastle	34060
Richmond Valley - Coastal	30784
Richmond Valley - Hinterland	26832
Tweed Valley	28028
Griffith - Murrumbidgee (West)	33696
Tumut - Tumbarumba	30004
Wagga Wagga	33904
Shoalhaven	26572
Southern Highlands	33540
Baulkham Hills	42068
Dural - Wisemans Ferry	38896
Hawkesbury	39624
Rouse Hill - McGraths Hill	44408
Blacktown	33904
Blacktown - North	43940
Mount Druitt	30004
Botany	37440
Marrickville - Sydenham - Petersham	46800
Sydney Inner City	49712
Eastern Suburbs - North	64376
Eastern Suburbs - South	43368
Bankstown	26468
Canterbury	25584
Hurstville	31824
Kogarah - Rockdale	34684
Canada Bay	46540
Leichhardt	64220
Strathfield - Burwood - Ashfield	36400
Chatswood - Lane Cove	53404
Hornsby	41236
Ku-ring-gai	48984
North Sydney - Mosman	70772
Manly	62036
Pittwater	45448
Warringah	45292
Camden	42640
Campbelltown (NSW)	32760
Wollondilly	37648
Blue Mountains	35828
Blue Mountains - South	
Penrith	39052
Richmond - Windsor	35776
St Marys	35516
Auburn	26988
Carlingford	33540
Merrylands - Guildford	25480
Parramatta	37544
Pennant Hills - Epping	41444
Ryde - Hunters Hill	38948
Bringelly - Green Valley	31928
Fairfield	22984
Liverpool	31356
Cronulla - Miranda - Caringbah	43628
Sutherland - Menai - Heathcote	43316
Migratory - Offshore - Shipping (NSW)	28080
No usual address (NSW)	21060
Ballarat	30784
Creswick - Daylesford - Ballan	29172
Maryborough - Pyrenees	24128
Bendigo	31668
Heathcote - Castlemaine - Kyneton	30680
Loddon - Elmore	25324
Barwon - West	33592
Geelong	30940
Surf Coast - Bellarine Peninsula	34424
Upper Goulburn Valley	29640
Wangaratta - Benalla	30056
Wodonga - Alpine	33072
Baw Baw	30420
Gippsland - East	26260
Gippsland - South West	26988
Latrobe Valley	28288
Wellington	29276
Brunswick - Coburg	39676
Darebin - South	43368
Essendon	42536
Melbourne City	33384
Port Phillip	56524
Stonnington - West	57772
Yarra	53924
Boroondara	45188
Manningham - West	31408
Whitehorse - West	30940
Bayside	46644
Glen Eira	40352
Kingston	38948
Stonnington - East	47268
Banyule	37856
Darebin - North	28912
Nillumbik - Kinglake	40352
Whittlesea - Wallan	31252
Keilor	34060
Macedon Ranges	37856
Moreland - North	30368
Sunbury	36140
Tullamarine - Broadmeadows	25532
Knox	34528
Manningham - East	38220
Maroondah	36192
Whitehorse - East	34216
Yarra Ranges	34684
Cardinia	35308
Casey - North	31772
Casey - South	34372
Dandenong	25272
Monash	29328
Brimbank	25064
Hobsons Bay	37492
Maribyrnong	36556
Melton - Bacchus Marsh	34112
Wyndham	35360
Frankston	34320
Mornington Peninsula	32760
Grampians	28912
Mildura	28860
Murray River - Swan Hill	27612
Campaspe	29224
Moira	27248
Shepparton	30576
Glenelg - Southern Grampians	28912
Colac - Corangamite	29224
Warrnambool	32136
Migratory - Offshore - Shipping (Vic.)	156000
No usual address (Vic.)	20696
Capalaba	37700
Cleveland - Stradbroke	34216
Wynnum - Manly	40716
Bald Hills - Everton Park	41860
Chermside	41184
Nundah	42328
Sandgate	36452
Carindale	44304
Holland Park - Yeronga	43108
Mt Gravatt	33644
Nathan	35828
Rocklea - Acacia Ridge	34528
Sunnybank	27820
Centenary	42276
Kenmore - Brookfield - Moggill	44720
Sherwood - Indooroopilly	33384
The Gap - Enoggera	43316
Brisbane Inner	44460
Brisbane Inner - East	53664
Brisbane Inner - North	49452
Brisbane Inner - West	49556
Cairns - North	39936
Cairns - South	34424
Innisfail - Cassowary Coast	28080
Port Douglas - Daintree	35204
Tablelands (East) - Kuranda	27456
Darling Downs (West) - Maranoa	34372
Darling Downs - East	30628
Granite Belt	26520
Central Highlands (Qld)	42328
Rockhampton	32396
Biloela	37128
Gladstone	35256
Broadbeach - Burleigh	37492
Coolangatta	33696
Gold Coast - North	31408
Gold Coast Hinterland	33228
Mudgeeraba - Tallebudgera	35932
Nerang	34372
Ormeau - Oxenford	38012
Robina	33852
Southport	29900
Surfers Paradise	34944
Forest Lake - Oxley	30160
Ipswich Hinterland	27976
Ipswich Inner	33280
Springfield - Redbank	37180
Beaudesert	27248
Beenleigh	30732
Browns Plains	33072
Jimboomba	37284
Loganlea - Carbrook	34944
Springwood - Kingston	30368
Bowen Basin - North	40144
Mackay	36296
Whitsunday	38220
Bribie - Beachmere	25428
Caboolture	29016
Caboolture Hinterland	29536
Narangba - Burpengary	32708
Redcliffe	30940
The Hills District	42692
North Lakes	39052
Strathpine	34788
Far North	25688
Outback - North	43784
Outback - South	34840
Buderim	33488
Caloundra	31564
Maroochy	33800
Noosa	32760
Sunshine Coast Hinterland	29744
Nambour	30628
Noosa Hinterland	29120
Toowoomba	33748
Charters Towers - Ayr - Ingham	28704
Townsville	36556
Bundaberg	25740
Burnett	24492
Gympie - Cooloola	24908
Hervey Bay	24804
Maryborough	23764
Migratory - Offshore - Shipping (Qld)	31512
No usual address (Qld)	21164
Adelaide City	28756
Adelaide Hills	36868
Burnside	41964
Campbelltown (SA)	30628
Norwood - Payneham - St Peters	35412
Prospect - Walkerville	39832
Unley	41132
Gawler - Two Wells	31564
Playford	25844
Port Adelaide - East	29016
Salisbury	27716
Tea Tree Gully	34216
Holdfast Bay	39052
Marion	32708
Mitcham	37076
Onkaparinga	30888
Charles Sturt	31772
Port Adelaide - West	28184
West Torrens	32292
Barossa	33020
Lower North	28600
Mid North	25168
Yorke Peninsula	24960
Eyre Peninsula and South West	29952
Outback - North and East	33280
Fleurieu - Kangaroo Island	26208
Limestone Coast	31564
Murray and Mallee	27196
Migratory - Offshore - Shipping (SA)	90948
No usual address (SA)	19240
Augusta - Margaret River - Busselton	34216
Bunbury	33436
Manjimup	29432
Mandurah	28756
Cottesloe - Claremont	48152
Perth City	50596
Bayswater - Bassendean	37856
Mundaring	35464
Swan	37492
Joondalup	40352
Stirling	39572
Wanneroo	36816
Armadale	36296
Belmont - Victoria Park	39572
Canning	31460
Gosnells	33072
Kalamunda	38064
Serpentine - Jarrahdale	40196
South Perth	43576
Cockburn	39572
Fremantle	42120
Kwinana	35568
Melville	39364
Rockingham	35464
Albany	31876
Wheat Belt - North	32084
Wheat Belt - South	34944
Kimberley	38896
East Pilbara	80808
West Pilbara	91676
Esperance	35464
Gascoyne	37284
Goldfields	48776
Mid West	34060
Migratory - Offshore - Shipping (WA)	138008
No usual address (WA)	22568
Brighton	29796
Hobart - North East	34944
Hobart - North West	28704
Hobart - South and West	35672
Hobart Inner	37336
Sorell - Dodges Ferry	30940
Launceston	29796
Meander Valley - West Tamar	25740
North East	25532
Central Highlands (Tas.)	26468
Huon - Bruny Island	26104
South East Coast	25272
Burnie - Ulverstone	26780
Devonport	27144
West Coast	28600
Migratory - Offshore - Shipping (Tas.)	56628
No usual address (Tas.)	20020
Darwin City	62140
Darwin Suburbs	49712
Litchfield	56680
Palmerston	54912
Alice Springs	40976
Barkly	22932
Daly - Tiwi - West Arnhem	15548
East Arnhem	16484
Katherine	27612
Migratory - Offshore - Shipping (NT)	36400
No usual address (NT)	23348
Belconnen	47788
Canberra East	37076
Gungahlin	54704
North Canberra	48100
South Canberra	71552
Tuggeranong	49660
Weston Creek	53040
Woden Valley	54288
Molonglo	69680
Urriarra - Namadgi	56680
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	23244
Christmas Island	60528
Cocos (Keeling) Islands	29276
Jervis Bay	32708
Norfolk Island	30784
Migratory - Offshore - Shipping (OT)	95316
No usual address (OT)	21424
