SA3_NAME16	medianTotalHouseholdIncome
Queanbeyan	97656
Snowy Mountains	61152
South Coast	49972
Goulburn - Mulwaree	61256
Young - Yass	66976
Gosford	69160
Wyong	61880
Bathurst	67652
Lachlan Valley	53300
Lithgow - Mudgee	54808
Orange	68328
Clarence Valley	47424
Coffs Harbour	56472
Bourke - Cobar - Coonamble	54080
Broken Hill and Far West	50180
Dubbo	61152
Lower Hunter	66768
Maitland	74672
Port Stephens	60216
Upper Hunter	67288
Dapto - Port Kembla	63440
Illawarra Catchment Reserve	
Kiama - Shellharbour	71864
Wollongong	73476
Great Lakes	44460
Kempsey - Nambucca	45188
Lord Howe Island	72644
Port Macquarie	54184
Taree - Gloucester	47060
Albury	61412
Lower Murray	56316
Upper Murray exc. Albury	53924
Armidale	60268
Inverell - Tenterfield	45396
Moree - Narrabri	64792
Tamworth - Gunnedah	61048
Lake Macquarie - East	69264
Lake Macquarie - West	66352
Newcastle	70460
Richmond Valley - Coastal	59124
Richmond Valley - Hinterland	52208
Tweed Valley	55328
Griffith - Murrumbidgee (West)	64584
Tumut - Tumbarumba	58240
Wagga Wagga	64688
Shoalhaven	51584
Southern Highlands	69368
Baulkham Hills	121056
Dural - Wisemans Ferry	111748
Hawkesbury	98280
Rouse Hill - McGraths Hill	125164
Blacktown	82368
Blacktown - North	117780
Mount Druitt	74568
Botany	84552
Marrickville - Sydenham - Petersham	101088
Sydney Inner City	100620
Eastern Suburbs - North	125944
Eastern Suburbs - South	99632
Bankstown	69264
Canterbury	65936
Hurstville	81692
Kogarah - Rockdale	83200
Canada Bay	107796
Leichhardt	127036
Strathfield - Burwood - Ashfield	90116
Chatswood - Lane Cove	120172
Hornsby	104416
Ku-ring-gai	137384
North Sydney - Mosman	124436
Manly	136240
Pittwater	110292
Warringah	108940
Camden	106496
Campbelltown (NSW)	75816
Wollondilly	94276
Blue Mountains	76336
Blue Mountains - South	
Penrith	88972
Richmond - Windsor	77116
St Marys	79664
Auburn	76388
Carlingford	88140
Merrylands - Guildford	66664
Parramatta	89336
Pennant Hills - Epping	114660
Ryde - Hunters Hill	95212
Bringelly - Green Valley	89440
Fairfield	64740
Liverpool	78208
Cronulla - Miranda - Caringbah	97032
Sutherland - Menai - Heathcote	108992
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	60892
Creswick - Daylesford - Ballan	58240
Maryborough - Pyrenees	43576
Bendigo	61152
Heathcote - Castlemaine - Kyneton	61620
Loddon - Elmore	48724
Barwon - West	76960
Geelong	64168
Surf Coast - Bellarine Peninsula	71604
Upper Goulburn Valley	56940
Wangaratta - Benalla	54340
Wodonga - Alpine	62660
Baw Baw	62296
Gippsland - East	48568
Gippsland - South West	50440
Latrobe Valley	56004
Wellington	57356
Brunswick - Coburg	86060
Darebin - South	89752
Essendon	88452
Melbourne City	70408
Port Phillip	95784
Stonnington - West	99476
Yarra	101816
Boroondara	108316
Manningham - West	80184
Whitehorse - West	76492
Bayside	111540
Glen Eira	90376
Kingston	82212
Stonnington - East	104572
Banyule	86060
Darebin - North	66924
Nillumbik - Kinglake	106652
Whittlesea - Wallan	75764
Keilor	80132
Macedon Ranges	92352
Moreland - North	69940
Sunbury	81484
Tullamarine - Broadmeadows	69212
Knox	81172
Manningham - East	108316
Maroondah	80236
Whitehorse - East	81692
Yarra Ranges	78052
Cardinia	77844
Casey - North	78832
Casey - South	82212
Dandenong	62712
Monash	78156
Brimbank	65104
Hobsons Bay	83044
Maribyrnong	80652
Melton - Bacchus Marsh	79404
Wyndham	83616
Frankston	69212
Mornington Peninsula	66352
Grampians	51636
Mildura	55328
Murray River - Swan Hill	51116
Campaspe	56316
Moira	52728
Shepparton	60424
Glenelg - Southern Grampians	54236
Colac - Corangamite	54652
Warrnambool	62088
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Capalaba	86476
Cleveland - Stradbroke	75452
Wynnum - Manly	90012
Bald Hills - Everton Park	96200
Chermside	83824
Nundah	86476
Sandgate	76336
Carindale	101036
Holland Park - Yeronga	89804
Mt Gravatt	84760
Nathan	85956
Rocklea - Acacia Ridge	85696
Sunnybank	76128
Centenary	105820
Kenmore - Brookfield - Moggill	120536
Sherwood - Indooroopilly	90116
The Gap - Enoggera	98020
Brisbane Inner	90168
Brisbane Inner - East	112840
Brisbane Inner - North	97708
Brisbane Inner - West	108784
Cairns - North	80808
Cairns - South	64376
Innisfail - Cassowary Coast	55692
Port Douglas - Daintree	60892
Tablelands (East) - Kuranda	52468
Darling Downs (West) - Maranoa	64116
Darling Downs - East	61308
Granite Belt	51376
Central Highlands (Qld)	92976
Rockhampton	65936
Biloela	81900
Gladstone	82472
Broadbeach - Burleigh	72176
Coolangatta	65624
Gold Coast - North	60216
Gold Coast Hinterland	73684
Mudgeeraba - Tallebudgera	90376
Nerang	77272
Ormeau - Oxenford	89804
Robina	73944
Southport	62192
Surfers Paradise	66300
Forest Lake - Oxley	70408
Ipswich Hinterland	60944
Ipswich Inner	68900
Springfield - Redbank	81900
Beaudesert	56576
Beenleigh	61048
Browns Plains	74724
Jimboomba	95992
Loganlea - Carbrook	77532
Springwood - Kingston	66820
Bowen Basin - North	87672
Mackay	75712
Whitsunday	68692
Bribie - Beachmere	48464
Caboolture	63024
Caboolture Hinterland	62556
Narangba - Burpengary	74932
Redcliffe	58864
The Hills District	108212
North Lakes	83512
Strathpine	72800
Far North	61568
Outback - North	95316
Outback - South	58188
Buderim	74412
Caloundra	64584
Maroochy	63076
Noosa	64324
Sunshine Coast Hinterland	64896
Nambour	64012
Noosa Hinterland	63128
Toowoomba	67496
Charters Towers - Ayr - Ingham	57512
Townsville	74048
Bundaberg	51324
Burnett	46904
Gympie - Cooloola	48776
Hervey Bay	48152
Maryborough	45760
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide City	65832
Adelaide Hills	81016
Burnside	89232
Campbelltown (SA)	65260
Norwood - Payneham - St Peters	67964
Prospect - Walkerville	83564
Unley	85072
Gawler - Two Wells	65104
Playford	52416
Port Adelaide - East	61620
Salisbury	59800
Tea Tree Gully	72020
Holdfast Bay	70824
Marion	65676
Mitcham	82992
Onkaparinga	62244
Charles Sturt	63804
Port Adelaide - West	56992
West Torrens	63856
Barossa	65884
Lower North	53352
Mid North	47268
Yorke Peninsula	44928
Eyre Peninsula and South West	55796
Outback - North and East	63024
Fleurieu - Kangaroo Island	48412
Limestone Coast	57668
Murray and Mallee	50180
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	67392
Bunbury	72592
Manjimup	56888
Mandurah	60788
Cottesloe - Claremont	122616
Perth City	99112
Bayswater - Bassendean	78364
Mundaring	82680
Swan	85436
Joondalup	101764
Stirling	81016
Wanneroo	88140
Armadale	77844
Belmont - Victoria Park	79144
Canning	79248
Gosnells	77064
Kalamunda	86372
Serpentine - Jarrahdale	96616
South Perth	92560
Cockburn	90740
Fremantle	87204
Kwinana	76492
Melville	95992
Rockingham	80860
Albany	61256
Wheat Belt - North	62348
Wheat Belt - South	63440
Kimberley	82784
East Pilbara	128752
West Pilbara	133588
Esperance	69940
Gascoyne	69524
Goldfields	102960
Mid West	66404
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Brighton	58500
Hobart - North East	67600
Hobart - North West	52624
Hobart - South and West	73008
