SA3_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Queanbeyan	15-19		F	173
Queanbeyan	15-19		M	184
Queanbeyan	15-19	0	F	1485
Queanbeyan	15-19	0	M	1617
Queanbeyan	15-19	1	F	67
Queanbeyan	15-19	1	M	66
Queanbeyan	20-24		F	140
Queanbeyan	20-24		M	152
Queanbeyan	20-24	0	F	1430
Queanbeyan	20-24	0	M	1402
Queanbeyan	20-24	1	F	106
Queanbeyan	20-24	1	M	61
Queanbeyan	25-34		F	371
Queanbeyan	25-34		M	324
Queanbeyan	25-34	0	F	3211
Queanbeyan	25-34	0	M	3279
Queanbeyan	25-34	1	F	382
Queanbeyan	25-34	1	M	232
Queanbeyan	35-44		F	295
Queanbeyan	35-44		M	336
Queanbeyan	35-44	0	F	3232
Queanbeyan	35-44	0	M	3297
Queanbeyan	35-44	1	F	538
Queanbeyan	35-44	1	M	346
Queanbeyan	45-54		F	336
Queanbeyan	45-54		M	394
Queanbeyan	45-54	0	F	3477
Queanbeyan	45-54	0	M	3684
Queanbeyan	45-54	1	F	775
Queanbeyan	45-54	1	M	514
Queanbeyan	55-64		F	292
Queanbeyan	55-64		M	313
Queanbeyan	55-64	0	F	2497
Queanbeyan	55-64	0	M	2852
Queanbeyan	55-64	1	F	730
Queanbeyan	55-64	1	M	493
Queanbeyan	65-74		F	250
Queanbeyan	65-74		M	257
Queanbeyan	65-74	0	F	1576
Queanbeyan	65-74	0	M	1733
Queanbeyan	65-74	1	F	330
Queanbeyan	65-74	1	M	284
Queanbeyan	75-84		F	160
Queanbeyan	75-84		M	128
Queanbeyan	75-84	0	F	718
Queanbeyan	75-84	0	M	700
Queanbeyan	75-84	1	F	111
Queanbeyan	75-84	1	M	98
Queanbeyan	85+		F	71
Queanbeyan	85+		M	34
Queanbeyan	85+	0	F	352
Queanbeyan	85+	0	M	196
Queanbeyan	85+	1	F	13
Queanbeyan	85+	1	M	16
Snowy Mountains	15-19		F	70
Snowy Mountains	15-19		M	100
Snowy Mountains	15-19	0	F	429
Snowy Mountains	15-19	0	M	469
Snowy Mountains	15-19	1	F	23
Snowy Mountains	15-19	1	M	32
Snowy Mountains	20-24		F	48
Snowy Mountains	20-24		M	80
Snowy Mountains	20-24	0	F	389
Snowy Mountains	20-24	0	M	469
Snowy Mountains	20-24	1	F	26
Snowy Mountains	20-24	1	M	21
Snowy Mountains	25-34		F	98
Snowy Mountains	25-34		M	188
Snowy Mountains	25-34	0	F	820
Snowy Mountains	25-34	0	M	881
Snowy Mountains	25-34	1	F	104
Snowy Mountains	25-34	1	M	67
Snowy Mountains	35-44		F	95
Snowy Mountains	35-44		M	169
Snowy Mountains	35-44	0	F	862
Snowy Mountains	35-44	0	M	924
Snowy Mountains	35-44	1	F	169
Snowy Mountains	35-44	1	M	106
Snowy Mountains	45-54		F	148
Snowy Mountains	45-54		M	180
Snowy Mountains	45-54	0	F	1047
Snowy Mountains	45-54	0	M	1099
Snowy Mountains	45-54	1	F	255
Snowy Mountains	45-54	1	M	173
Snowy Mountains	55-64		F	113
Snowy Mountains	55-64		M	151
Snowy Mountains	55-64	0	F	940
Snowy Mountains	55-64	0	M	1106
Snowy Mountains	55-64	1	F	267
Snowy Mountains	55-64	1	M	195
Snowy Mountains	65-74		F	114
Snowy Mountains	65-74		M	142
Snowy Mountains	65-74	0	F	799
Snowy Mountains	65-74	0	M	904
Snowy Mountains	65-74	1	F	140
