SA3_NAME16	CountryOfBirth	Sex	persons
Queanbeyan		F	2800
Queanbeyan		M	2900
Queanbeyan	AFG	F	4
Queanbeyan	AFG	M	6
Queanbeyan	AUS	F	21388
Queanbeyan	AUS	M	21631
Queanbeyan	BGD	F	71
Queanbeyan	BGD	M	95
Queanbeyan	BIH	F	13
Queanbeyan	BIH	M	20
Queanbeyan	CAN	F	72
Queanbeyan	CAN	M	50
Queanbeyan	CHL	F	27
Queanbeyan	CHL	M	17
Queanbeyan	CHN	F	124
Queanbeyan	CHN	M	84
Queanbeyan	DEU	F	150
Queanbeyan	DEU	M	145
Queanbeyan	EGY	F	22
Queanbeyan	EGY	M	27
Queanbeyan	FJI	F	66
Queanbeyan	FJI	M	60
Queanbeyan	FRA	F	25
Queanbeyan	FRA	M	37
Queanbeyan	GBR	F	999
Queanbeyan	GBR	M	1058
Queanbeyan	GRC	F	73
Queanbeyan	GRC	M	65
Queanbeyan	HKG	F	23
Queanbeyan	HKG	M	14
Queanbeyan	HRV	F	82
Queanbeyan	HRV	M	86
Queanbeyan	IDN	F	57
Queanbeyan	IDN	M	25
Queanbeyan	IND	F	391
Queanbeyan	IND	M	460
Queanbeyan	IRL	F	44
Queanbeyan	IRL	M	64
Queanbeyan	IRN	F	13
Queanbeyan	IRN	M	21
Queanbeyan	IRQ	F	9
Queanbeyan	IRQ	M	11
Queanbeyan	ITA	F	190
Queanbeyan	ITA	M	210
Queanbeyan	JPN	F	26
Queanbeyan	JPN	M	12
Queanbeyan	KHM	F	10
Queanbeyan	KHM	M	8
Queanbeyan	KOR	F	28
Queanbeyan	KOR	M	18
Queanbeyan	LBN	F	14
Queanbeyan	LBN	M	11
Queanbeyan	LKA	F	52
Queanbeyan	LKA	M	55
Queanbeyan	MKD	F	245
Queanbeyan	MKD	M	278
Queanbeyan	MLT	F	36
Queanbeyan	MLT	M	44
Queanbeyan	MMR	F	15
Queanbeyan	MMR	M	7
Queanbeyan	MUS	F	10
Queanbeyan	MUS	M	5
Queanbeyan	MYS	F	65
Queanbeyan	MYS	M	53
Queanbeyan	NLD	F	63
Queanbeyan	NLD	M	63
Queanbeyan	NPL	F	69
Queanbeyan	NPL	M	61
Queanbeyan	NZL	F	368
Queanbeyan	NZL	M	432
Queanbeyan	PAK	F	36
Queanbeyan	PAK	M	63
Queanbeyan	PHL	F	289
Queanbeyan	PHL	M	165
Queanbeyan	PNG	F	39
Queanbeyan	PNG	M	38
Queanbeyan	POL	F	56
Queanbeyan	POL	M	37
Queanbeyan	SGP	F	27
