SA3_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Queanbeyan					370
Queanbeyan	0	0	0	1	1562
Queanbeyan	0	0	1	0	419
Queanbeyan	0	0	1	1	253
Queanbeyan	0	1	0	0	2269
Queanbeyan	0	1	0	1	221
Queanbeyan	0	1	1	0	367
Queanbeyan	0	1	1	1	129
Queanbeyan	1	0	0	1	3916
Queanbeyan	1	0	1	0	2179
Queanbeyan	1	0	1	1	1504
Queanbeyan	1	1	0	0	15175
Queanbeyan	1	1	0	1	844
Queanbeyan	1	1	1	0	3495
Queanbeyan	1	1	1	1	573
Snowy Mountains					103
Snowy Mountains	0	0	0	1	547
Snowy Mountains	0	0	1	0	156
Snowy Mountains	0	0	1	1	53
Snowy Mountains	0	1	0	0	730
Snowy Mountains	0	1	0	1	63
Snowy Mountains	0	1	1	0	135
Snowy Mountains	0	1	1	1	27
Snowy Mountains	1	0	0	1	958
Snowy Mountains	1	0	1	0	462
Snowy Mountains	1	0	1	1	326
Snowy Mountains	1	1	0	0	4183
Snowy Mountains	1	1	0	1	157
Snowy Mountains	1	1	1	0	803
Snowy Mountains	1	1	1	1	151
South Coast					399
South Coast	0	0	0	1	2105
South Coast	0	0	1	0	560
South Coast	0	0	1	1	278
South Coast	0	1	0	0	3307
South Coast	0	1	0	1	390
South Coast	0	1	1	0	749
South Coast	0	1	1	1	138
South Coast	1	0	0	1	3661
South Coast	1	0	1	0	1359
South Coast	1	0	1	1	818
South Coast	1	1	0	0	11760
South Coast	1	1	0	1	922
South Coast	1	1	1	0	2675
South Coast	1	1	1	1	535
Goulburn - Mulwaree					263
Goulburn - Mulwaree	0	0	0	1	1167
Goulburn - Mulwaree	0	0	1	0	280
Goulburn - Mulwaree	0	0	1	1	113
Goulburn - Mulwaree	0	1	0	0	1774
Goulburn - Mulwaree	0	1	0	1	248
Goulburn - Mulwaree	0	1	1	0	356
Goulburn - Mulwaree	0	1	1	1	92
Goulburn - Mulwaree	1	0	0	1	2462
Goulburn - Mulwaree	1	0	1	0	695
Goulburn - Mulwaree	1	0	1	1	645
Goulburn - Mulwaree	1	1	0	0	7393
