SA3_NAME16	HomeCensusNight	Sex	persons
Queanbeyan	0	F	1354
Queanbeyan	0	M	1607
Queanbeyan	1	F	27148
Queanbeyan	1	M	27223
Snowy Mountains	0	F	614
Snowy Mountains	0	M	726
Snowy Mountains	1	F	8740
Snowy Mountains	1	M	9283
South Coast	0	F	2610
South Coast	0	M	2860
South Coast	1	F	33421
South Coast	1	M	31754
Goulburn - Mulwaree	0	F	927
Goulburn - Mulwaree	0	M	1023
Goulburn - Mulwaree	1	F	16642
Goulburn - Mulwaree	1	M	16966
Young - Yass	0	F	1003
Young - Yass	0	M	1083
Young - Yass	1	F	17253
Young - Yass	1	M	16593
Gosford	0	F	3924
Gosford	0	M	4197
Gosford	1	F	83247
Gosford	1	M	77685
Wyong	0	F	3544
Wyong	0	M	3858
Wyong	1	F	78256
Wyong	1	M	73022
Bathurst	0	F	1204
Bathurst	0	M	1379
Bathurst	1	F	21944
Bathurst	1	M	22070
Lachlan Valley	0	F	1669
Lachlan Valley	0	M	1776
Lachlan Valley	1	F	26208
Lachlan Valley	1	M	25682
Lithgow - Mudgee	0	F	1235
Lithgow - Mudgee	0	M	1440
Lithgow - Mudgee	1	F	21855
Lithgow - Mudgee	1	M	22086
Orange	0	F	1478
Orange	0	M	1751
Orange	1	F	27868
Orange	1	M	26514
Clarence Valley	0	F	1411
Clarence Valley	0	M	1537
Clarence Valley	1	F	23945
Clarence Valley	1	M	23371
Coffs Harbour	0	F	2328
Coffs Harbour	0	M	2619
Coffs Harbour	1	F	42016
Coffs Harbour	1	M	39060
Bourke - Cobar - Coonamble	0	F	883
Bourke - Cobar - Coonamble	0	M	1004
Bourke - Cobar - Coonamble	1	F	10957
Bourke - Cobar - Coonamble	1	M	11310
Broken Hill and Far West	0	F	774
Broken Hill and Far West	0	M	852
Broken Hill and Far West	1	F	9475
Broken Hill and Far West	1	M	9113
Dubbo	0	F	2089
Dubbo	0	M	2374
Dubbo	1	F	33131
Dubbo	1	M	31819
Lower Hunter	0	F	2101
Lower Hunter	0	M	2358
Lower Hunter	1	F	41659
Lower Hunter	1	M	41555
Maitland	0	F	1582
Maitland	0	M	1879
Maitland	1	F	36362
Maitland	1	M	34341
Port Stephens	0	F	2039
Port Stephens	0	M	2411
Port Stephens	1	F	34053
Port Stephens	1	M	32874
Upper Hunter	0	F	703
Upper Hunter	0	M	791
Upper Hunter	1	F	14275
Upper Hunter	1	M	14423
Dapto - Port Kembla	0	F	1427
Dapto - Port Kembla	0	M	1623
Dapto - Port Kembla	1	F	36923
Dapto - Port Kembla	1	M	35374
Illawarra Catchment Reserve	1	F	3
Illawarra Catchment Reserve	1	M	4
Kiama - Shellharbour	0	F	1978
Kiama - Shellharbour	0	M	2341
Kiama - Shellharbour	1	F	43930
Kiama - Shellharbour	1	M	41588
Wollongong	0	F	2934
Wollongong	0	M	3261
Wollongong	1	F	61814
Wollongong	1	M	60290
Great Lakes	0	F	987
Great Lakes	0	M	1110
Great Lakes	1	F	15027
Great Lakes	1	M	14142
Kempsey - Nambucca	0	F	1285
Kempsey - Nambucca	0	M	1408
Kempsey - Nambucca	1	F	22954
Kempsey - Nambucca	1	M	22477
Lord Howe Island	0	F	45
Lord Howe Island	0	M	26
Lord Howe Island	1	F	144
Lord Howe Island	1	M	168
Port Macquarie	0	F	2236
Port Macquarie	0	M	2345
Port Macquarie	1	F	38628
Port Macquarie	1	M	35357
Taree - Gloucester	0	F	1514
Taree - Gloucester	0	M	1690
Taree - Gloucester	1	F	26083
Taree - Gloucester	1	M	24575
Albury	0	F	1886
Albury	0	M	1975
Albury	1	F	29627
Albury	1	M	27781
Lower Murray	0	F	407
Lower Murray	0	M	502
Lower Murray	1	F	5701
Lower Murray	1	M	5936
Upper Murray exc. Albury	0	F	1514
Upper Murray exc. Albury	0	M	1586
Upper Murray exc. Albury	1	F	19604
Upper Murray exc. Albury	1	M	19278
Armidale	0	F	1337
Armidale	0	M	1288
Armidale	1	F	17799
Armidale	1	M	16665
Inverell - Tenterfield	0	F	1227
Inverell - Tenterfield	0	M	1297
Inverell - Tenterfield	1	F	18210
Inverell - Tenterfield	1	M	17615
Moree - Narrabri	0	F	835
Moree - Narrabri	0	M	907
Moree - Narrabri	1	F	11920
Moree - Narrabri	1	M	11956
Tamworth - Gunnedah	0	F	2221
Tamworth - Gunnedah	0	M	2504
Tamworth - Gunnedah	1	F	38751
Tamworth - Gunnedah	1	M	37022
Lake Macquarie - East	0	F	2772
Lake Macquarie - East	0	M	3322
Lake Macquarie - East	1	F	58740
Lake Macquarie - East	1	M	55178
Lake Macquarie - West	0	F	1879
Lake Macquarie - West	0	M	2155
Lake Macquarie - West	1	F	36592
Lake Macquarie - West	1	M	34582
Newcastle	0	F	3886
Newcastle	0	M	4797
Newcastle	1	F	79198
Newcastle	1	M	76007
Richmond Valley - Coastal	0	F	2225
Richmond Valley - Coastal	0	M	2319
Richmond Valley - Coastal	1	F	38239
Richmond Valley - Coastal	1	M	35501
Richmond Valley - Hinterland	0	F	1692
Richmond Valley - Hinterland	0	M	1827
Richmond Valley - Hinterland	1	F	33925
Richmond Valley - Hinterland	1	M	32504
Tweed Valley	0	F	2198
Tweed Valley	0	M	2484
Tweed Valley	1	F	45063
Tweed Valley	1	M	41627
Griffith - Murrumbidgee (West)	0	F	1279
Griffith - Murrumbidgee (West)	0	M	1458
Griffith - Murrumbidgee (West)	1	F	22765
Griffith - Murrumbidgee (West)	1	M	22641
Tumut - Tumbarumba	0	F	462
Tumut - Tumbarumba	0	M	518
Tumut - Tumbarumba	1	F	6673
Tumut - Tumbarumba	1	M	6781
Wagga Wagga	0	F	2599
Wagga Wagga	0	M	2998
Wagga Wagga	1	F	44431
Wagga Wagga	1	M	43327
Shoalhaven	0	F	3152
Shoalhaven	0	M	3642
Shoalhaven	1	F	47132
Shoalhaven	1	M	45559
Southern Highlands	0	F	1261
Southern Highlands	0	M	1370
Southern Highlands	1	F	23732
Southern Highlands	1	M	21512
Baulkham Hills	0	F	1829
Baulkham Hills	0	M	2051
Baulkham Hills	1	F	71593
Baulkham Hills	1	M	68272
Dural - Wisemans Ferry	0	F	443
Dural - Wisemans Ferry	0	M	541
Dural - Wisemans Ferry	1	F	12724
Dural - Wisemans Ferry	1	M	12523
Hawkesbury	0	F	465
Hawkesbury	0	M	541
Hawkesbury	1	F	11709
Hawkesbury	1	M	11876
Rouse Hill - McGraths Hill	0	F	457
Rouse Hill - McGraths Hill	0	M	479
Rouse Hill - McGraths Hill	1	F	16132
Rouse Hill - McGraths Hill	1	M	16114
Blacktown	0	F	1691
Blacktown	0	M	1942
Blacktown	1	F	65629
Blacktown	1	M	65489
Blacktown - North	0	F	912
Blacktown - North	0	M	1097
Blacktown - North	1	F	45331
Blacktown - North	1	M	45483
Mount Druitt	0	F	1470
Mount Druitt	0	M	1620
Mount Druitt	1	F	55675
Mount Druitt	1	M	53304
Botany	0	F	684
Botany	0	M	803
Botany	1	F	22758
Botany	1	M	22450
Marrickville - Sydenham - Petersham	0	F	1118
Marrickville - Sydenham - Petersham	0	M	1095
Marrickville - Sydenham - Petersham	1	F	26524
Marrickville - Sydenham - Petersham	1	M	25880
Sydney Inner City	0	F	4494
Sydney Inner City	0	M	5108
Sydney Inner City	1	F	98912
Sydney Inner City	1	M	105729
Eastern Suburbs - North	0	F	2850
Eastern Suburbs - North	0	M	2876
Eastern Suburbs - North	1	F	63203
Eastern Suburbs - North	1	M	57456
Eastern Suburbs - South	0	F	2536
Eastern Suburbs - South	0	M	2646
Eastern Suburbs - South	1	F	68943
Eastern Suburbs - South	1	M	66531
Bankstown	0	F	2324
Bankstown	0	M	2497
Bankstown	1	F	84681
Bankstown	1	M	81925
Canterbury	0	F	1676
Canterbury	0	M	1826
Canterbury	1	F	65105
Canterbury	1	M	66460
Hurstville	0	F	1721
Hurstville	0	M	1824
Hurstville	1	F	63583
Hurstville	1	M	60060
Kogarah - Rockdale	0	F	1944
Kogarah - Rockdale	0	M	1970
Kogarah - Rockdale	1	F	67623
Kogarah - Rockdale	1	M	66191
Canada Bay	0	F	1510
Canada Bay	0	M	1621
Canada Bay	1	F	42918
Canada Bay	1	M	39317
Leichhardt	0	F	1320
Leichhardt	0	M	1266
Leichhardt	1	F	27903
Leichhardt	1	M	25583
Strathfield - Burwood - Ashfield	0	F	2413
Strathfield - Burwood - Ashfield	0	M	2428
Strathfield - Burwood - Ashfield	1	F	74798
Strathfield - Burwood - Ashfield	1	M	72230
Chatswood - Lane Cove	0	F	1884
Chatswood - Lane Cove	0	M	2044
Chatswood - Lane Cove	1	F	56031
Chatswood - Lane Cove	1	M	52284
Hornsby	0	F	1242
Hornsby	0	M	1410
Hornsby	1	F	39857
Hornsby	1	M	38088
Ku-ring-gai	0	F	2012
Ku-ring-gai	0	M	2085
Ku-ring-gai	1	F	59543
Ku-ring-gai	1	M	54733
North Sydney - Mosman	0	F	2262
North Sydney - Mosman	0	M	2253
North Sydney - Mosman	1	F	47738
North Sydney - Mosman	1	M	41884
Manly	0	F	893
Manly	0	M	979
Manly	1	F	20618
Manly	1	M	19406
Pittwater	0	F	1510
Pittwater	0	M	1647
Pittwater	1	F	29461
Pittwater	1	M	27823
Warringah	0	F	2669
Warringah	0	M	2923
Warringah	1	F	74220
Warringah	1	M	70731
Camden	0	F	889
Camden	0	M	1059
Camden	1	F	31255
Camden	1	M	29309
Campbelltown (NSW)	0	F	2418
Campbelltown (NSW)	0	M	2606
Campbelltown (NSW)	1	F	78143
Campbelltown (NSW)	1	M	75230
Wollondilly	0	F	754
Wollondilly	0	M	859
Wollondilly	1	F	19885
Wollondilly	1	M	19658
Blue Mountains	0	F	1842
Blue Mountains	0	M	1887
Blue Mountains	1	F	37848
Blue Mountains	1	M	35121
Blue Mountains - South	1	M	4
Penrith	0	F	2148
Penrith	0	M	2446
Penrith	1	F	68984
Penrith	1	M	66112
Richmond - Windsor	0	F	636
Richmond - Windsor	0	M	668
Richmond - Windsor	1	F	17786
Richmond - Windsor	1	M	17458
St Marys	0	F	838
St Marys	0	M	948
St Marys	1	F	26380
St Marys	1	M	25836
Auburn	0	F	1081
Auburn	0	M	1316
Auburn	1	F	40832
Auburn	1	M	46436
Carlingford	0	F	897
Carlingford	0	M	1066
Carlingford	1	F	32950
Carlingford	1	M	31663
Merrylands - Guildford	0	F	1996
Merrylands - Guildford	0	M	2260
Merrylands - Guildford	1	F	73034
Merrylands - Guildford	1	M	73977
Parramatta	0	F	1784
Parramatta	0	M	1853
Parramatta	1	F	68244
Parramatta	1	M	69012
Pennant Hills - Epping	0	F	663
Pennant Hills - Epping	0	M	742
Pennant Hills - Epping	1	F	23653
Pennant Hills - Epping	1	M	22530
Ryde - Hunters Hill	0	F	2032
