SA3_NAME16	PrivateDwelling	Sex	persons
Queanbeyan	0	F	2334
Queanbeyan	0	M	2926
Queanbeyan	1	F	26090
Queanbeyan	1	M	26097
Snowy Mountains	0	F	6455
Snowy Mountains	0	M	8315
Snowy Mountains	1	F	8368
Snowy Mountains	1	M	8634
South Coast	0	F	3802
South Coast	0	M	3751
South Coast	1	F	31927
South Coast	1	M	30551
Goulburn - Mulwaree	0	F	1553
Goulburn - Mulwaree	0	M	2427
Goulburn - Mulwaree	1	F	15860
Goulburn - Mulwaree	1	M	15687
Young - Yass	0	F	1355
Young - Yass	0	M	1338
Young - Yass	1	F	16619
Young - Yass	1	M	16127
Gosford	0	F	5292
Gosford	0	M	4788
Gosford	1	F	80886
Gosford	1	M	75910
Wyong	0	F	4986
Wyong	0	M	4493
Wyong	1	F	75869
Wyong	1	M	71343
Bathurst	0	F	2514
Bathurst	0	M	3336
Bathurst	1	F	20577
Bathurst	1	M	20005
Lachlan Valley	0	F	3037
Lachlan Valley	0	M	3176
Lachlan Valley	1	F	24455
Lachlan Valley	1	M	24256
Lithgow - Mudgee	0	F	2565
Lithgow - Mudgee	0	M	3207
Lithgow - Mudgee	1	F	20189
Lithgow - Mudgee	1	M	20186
Orange	0	F	2525
Orange	0	M	2782
Orange	1	F	26715
Orange	1	M	25417
Clarence Valley	0	F	2967
Clarence Valley	0	M	3252
Clarence Valley	1	F	23009
Clarence Valley	1	M	22357
Coffs Harbour	0	F	4798
Coffs Harbour	0	M	4574
Coffs Harbour	1	F	40487
Coffs Harbour	1	M	37841
Bourke - Cobar - Coonamble	0	F	2169
Bourke - Cobar - Coonamble	0	M	2653
Bourke - Cobar - Coonamble	1	F	10027
Bourke - Cobar - Coonamble	1	M	10365
Broken Hill and Far West	0	F	1354
Broken Hill and Far West	0	M	1530
Broken Hill and Far West	1	F	9096
Broken Hill and Far West	1	M	8753
Dubbo	0	F	4103
Dubbo	0	M	4726
Dubbo	1	F	31317
Dubbo	1	M	29798
Lower Hunter	0	F	3568
Lower Hunter	0	M	4856
Lower Hunter	1	F	39931
Lower Hunter	1	M	39033
Maitland	0	F	1895
Maitland	0	M	1803
Maitland	1	F	35608
Maitland	1	M	33873
Port Stephens	0	F	3132
Port Stephens	0	M	3252
Port Stephens	1	F	32784
Port Stephens	1	M	31659
Upper Hunter	0	F	1366
Upper Hunter	0	M	1776
Upper Hunter	1	F	13514
Upper Hunter	1	M	13490
Dapto - Port Kembla	0	F	1848
Dapto - Port Kembla	0	M	1660
Dapto - Port Kembla	1	F	36059
Dapto - Port Kembla	1	M	34846
Illawarra Catchment Reserve	1	F	3
Illawarra Catchment Reserve	1	M	4
Kiama - Shellharbour	0	F	2600
Kiama - Shellharbour	0	M	2322
Kiama - Shellharbour	1	F	42691
Kiama - Shellharbour	1	M	40801
Wollongong	0	F	4727
Wollongong	0	M	4816
Wollongong	1	F	59577
Wollongong	1	M	58160
Great Lakes	0	F	1664
Great Lakes	0	M	1574
Great Lakes	1	F	14373
Great Lakes	1	M	13687
Kempsey - Nambucca	0	F	2625
Kempsey - Nambucca	0	M	2997
Kempsey - Nambucca	1	F	21801
Kempsey - Nambucca	1	M	21105
Lord Howe Island	0	F	91
Lord Howe Island	0	M	87
Lord Howe Island	1	F	131
Lord Howe Island	1	M	151
Port Macquarie	0	F	3652
Port Macquarie	0	M	3426
Port Macquarie	1	F	37346
Port Macquarie	1	M	34428
Taree - Gloucester	0	F	2183
Taree - Gloucester	0	M	2091
Taree - Gloucester	1	F	25219
Taree - Gloucester	1	M	23916
Albury	0	F	2961
Albury	0	M	2903
Albury	1	F	28240
Albury	1	M	26707
Lower Murray	0	F	1008
Lower Murray	0	M	1408
Lower Murray	1	F	5316
Lower Murray	1	M	5505
Upper Murray exc. Albury	0	F	2360
Upper Murray exc. Albury	0	M	2523
Upper Murray exc. Albury	1	F	18466
Upper Murray exc. Albury	1	M	18272
Armidale	0	F	2944
Armidale	0	M	2754
Armidale	1	F	16239
Armidale	1	M	15256
Inverell - Tenterfield	0	F	2095
Inverell - Tenterfield	0	M	2223
Inverell - Tenterfield	1	F	17238
Inverell - Tenterfield	1	M	16635
Moree - Narrabri	0	F	1820
Moree - Narrabri	0	M	2211
Moree - Narrabri	1	F	11046
Moree - Narrabri	1	M	11151
Tamworth - Gunnedah	0	F	3741
Tamworth - Gunnedah	0	M	4277
Tamworth - Gunnedah	1	F	36881
Tamworth - Gunnedah	1	M	35392
Lake Macquarie - East	0	F	2559
Lake Macquarie - East	0	M	2157
Lake Macquarie - East	1	F	58025
Lake Macquarie - East	1	M	55046
Lake Macquarie - West	0	F	2082
Lake Macquarie - West	0	M	1763
Lake Macquarie - West	1	F	35675
Lake Macquarie - West	1	M	34081
Newcastle	0	F	6050
Newcastle	0	M	6038
Newcastle	1	F	76621
Newcastle	1	M	74113
Richmond Valley - Coastal	0	F	5356
Richmond Valley - Coastal	0	M	5088
Richmond Valley - Coastal	1	F	36069
Richmond Valley - Coastal	1	M	33507
Richmond Valley - Hinterland	0	F	3333
Richmond Valley - Hinterland	0	M	3329
Richmond Valley - Hinterland	1	F	32245
Richmond Valley - Hinterland	1	M	31007
Tweed Valley	0	F	5169
Tweed Valley	0	M	4798
Tweed Valley	1	F	43291
Tweed Valley	1	M	40176
Griffith - Murrumbidgee (West)	0	F	2776
Griffith - Murrumbidgee (West)	0	M	3028
Griffith - Murrumbidgee (West)	1	F	21032
Griffith - Murrumbidgee (West)	1	M	21054
Tumut - Tumbarumba	0	F	694
Tumut - Tumbarumba	0	M	975
Tumut - Tumbarumba	1	F	6282
Tumut - Tumbarumba	1	M	6316
Wagga Wagga	0	F	4520
Wagga Wagga	0	M	6108
Wagga Wagga	1	F	42428
Wagga Wagga	1	M	40484
Shoalhaven	0	F	4026
Shoalhaven	0	M	4853
Shoalhaven	1	F	45410
Shoalhaven	1	M	43515
Southern Highlands	0	F	2336
Southern Highlands	0	M	1806
