SA3_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Queanbeyan	15-19				F	162
Queanbeyan	15-19				M	183
Queanbeyan	15-19	0			F	1424
Queanbeyan	15-19	0			M	1590
Queanbeyan	15-19	1	0	1	F	122
Queanbeyan	15-19	1	0	1	M	80
Queanbeyan	15-19	1	1	0	F	12
Queanbeyan	15-19	1	1	0	M	8
Queanbeyan	15-19	1	1	1	F	3
Queanbeyan	20-24				F	137
Queanbeyan	20-24				M	144
Queanbeyan	20-24	0			F	1244
Queanbeyan	20-24	0			M	1344
Queanbeyan	20-24	1	0	1	F	123
Queanbeyan	20-24	1	0	1	M	63
Queanbeyan	20-24	1	1	0	F	153
Queanbeyan	20-24	1	1	0	M	56
Queanbeyan	20-24	1	1	1	F	10
Queanbeyan	20-24	1	1	1	M	3
Queanbeyan	25-34				F	340
Queanbeyan	25-34				M	316
Queanbeyan	25-34	0			F	1799
Queanbeyan	25-34	0			M	2340
Queanbeyan	25-34	1	0	1	F	158
Queanbeyan	25-34	1	0	1	M	102
Queanbeyan	25-34	1	1	0	F	1585
Queanbeyan	25-34	1	1	0	M	1047
Queanbeyan	25-34	1	1	1	F	77
Queanbeyan	25-34	1	1	1	M	30
Queanbeyan	35-44				F	267
Queanbeyan	35-44				M	321
Queanbeyan	35-44	0			F	1331
Queanbeyan	35-44	0			M	1658
Queanbeyan	35-44	1	0	1	F	115
Queanbeyan	35-44	1	0	1	M	59
Queanbeyan	35-44	1	1	0	F	2253
Queanbeyan	35-44	1	1	0	M	1880
Queanbeyan	35-44	1	1	1	F	92
Queanbeyan	35-44	1	1	1	M	61
Queanbeyan	45-54				F	315
Queanbeyan	45-54				M	380
Queanbeyan	45-54	0			F	2831
Queanbeyan	45-54	0			M	2816
Queanbeyan	45-54	1	0	1	F	351
Queanbeyan	45-54	1	0	1	M	131
Queanbeyan	45-54	1	1	0	F	1050
Queanbeyan	45-54	1	1	0	M	1240
Queanbeyan	45-54	1	1	1	F	43
