SA3_NAME16	medianMortgageRepayment
Queanbeyan	24960
Snowy Mountains	15600
South Coast	16644
Goulburn - Mulwaree	18204
Young - Yass	18720
Gosford	22800
Wyong	20796
Bathurst	19656
Lachlan Valley	13296
Lithgow - Mudgee	18204
Orange	19236
Clarence Valley	15600
Coffs Harbour	18720
Bourke - Cobar - Coonamble	12000
Broken Hill and Far West	11184
Dubbo	16380
Lower Hunter	19500
Maitland	20796
Port Stephens	20280
Upper Hunter	20400
Dapto - Port Kembla	20796
Illawarra Catchment Reserve	
Kiama - Shellharbour	22884
Wollongong	25116
Great Lakes	16644
Kempsey - Nambucca	15600
Lord Howe Island	22404
Port Macquarie	20040
Taree - Gloucester	15600
Albury	16644
Lower Murray	12996
Upper Murray exc. Albury	14400
Armidale	16644
Inverell - Tenterfield	12996
Moree - Narrabri	15600
Tamworth - Gunnedah	17556
Lake Macquarie - East	21600
Lake Macquarie - West	20796
Newcastle	21000
Richmond Valley - Coastal	20796
Richmond Valley - Hinterland	15960
Tweed Valley	20796
Griffith - Murrumbidgee (West)	15600
Tumut - Tumbarumba	15600
Wagga Wagga	16896
Shoalhaven	18204
Southern Highlands	22104
Baulkham Hills	30000
Dural - Wisemans Ferry	31200
Hawkesbury	26004
Rouse Hill - McGraths Hill	31200
Blacktown	24000
Blacktown - North	29640
Mount Druitt	22932
Botany	28800
Marrickville - Sydenham - Petersham	30000
Sydney Inner City	30000
Eastern Suburbs - North	36000
Eastern Suburbs - South	31200
Bankstown	25200
Canterbury	24000
Hurstville	26004
Kogarah - Rockdale	26004
Canada Bay	30000
Leichhardt	36000
Strathfield - Burwood - Ashfield	26004
Chatswood - Lane Cove	33000
Hornsby	27600
Ku-ring-gai	36000
North Sydney - Mosman	32400
Manly	36396
Pittwater	33804
Warringah	31200
Camden	26004
Campbelltown (NSW)	22104
Wollondilly	26004
Blue Mountains	22104
Blue Mountains - South	
Penrith	24000
Richmond - Windsor	23400
St Marys	22356
Auburn	24000
Carlingford	26004
Merrylands - Guildford	24000
Parramatta	24960
Pennant Hills - Epping	30000
Ryde - Hunters Hill	27600
Bringelly - Green Valley	26004
Fairfield	21840
Liverpool	25200
Cronulla - Miranda - Caringbah	30000
Sutherland - Menai - Heathcote	28596
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	16488
Creswick - Daylesford - Ballan	16644
Maryborough - Pyrenees	12996
Bendigo	16644
Heathcote - Castlemaine - Kyneton	17268
Loddon - Elmore	12000
Barwon - West	19800
Geelong	18204
Surf Coast - Bellarine Peninsula	20796
Upper Goulburn Valley	15600
Wangaratta - Benalla	15600
Wodonga - Alpine	16644
Baw Baw	17580
Gippsland - East	15492
Gippsland - South West	15600
Latrobe Valley	14400
Wellington	15600
Brunswick - Coburg	24000
Darebin - South	24696
Essendon	26004
Melbourne City	24000
Port Phillip	26004
Stonnington - West	26004
Yarra	26004
Boroondara	30000
Manningham - West	24000
Whitehorse - West	24000
Bayside	30000
Glen Eira	25404
Kingston	24000
Stonnington - East	30000
Banyule	23400
Darebin - North	21600
Nillumbik - Kinglake	24000
Whittlesea - Wallan	21336
Keilor	24000
Macedon Ranges	22104
Moreland - North	21600
Sunbury	19200
Tullamarine - Broadmeadows	20172
Knox	20796
Manningham - East	26004
Maroondah	21600
Whitehorse - East	24000
Yarra Ranges	20796
Cardinia	20796
Casey - North	20544
Casey - South	20988
Dandenong	19500
Monash	24000
Brimbank	18720
Hobsons Bay	23400
Maribyrnong	24000
Melton - Bacchus Marsh	20400
Wyndham	20796
Frankston	19452
Mornington Peninsula	20796
Grampians	12000
Mildura	14400
Murray River - Swan Hill	12348
Campaspe	15600
Moira	14820
Shepparton	15600
Glenelg - Southern Grampians	12996
Colac - Corangamite	14400
Warrnambool	16800
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Capalaba	23400
Cleveland - Stradbroke	24000
Wynnum - Manly	24600
Bald Hills - Everton Park	24000
Chermside	24000
Nundah	23400
Sandgate	21600
Carindale	26004
Holland Park - Yeronga	24672
Mt Gravatt	24000
Nathan	24000
Rocklea - Acacia Ridge	22356
Sunnybank	20796
Centenary	24000
Kenmore - Brookfield - Moggill	26256
Sherwood - Indooroopilly	26004
The Gap - Enoggera	24816
Brisbane Inner	24732
Brisbane Inner - East	28800
Brisbane Inner - North	26004
Brisbane Inner - West	28596
Cairns - North	20796
Cairns - South	19188
Innisfail - Cassowary Coast	15600
Port Douglas - Daintree	18720
Tablelands (East) - Kuranda	17160
Darling Downs (West) - Maranoa	15600
Darling Downs - East	15864
Granite Belt	15600
Central Highlands (Qld)	22104
Rockhampton	19500
Biloela	18204
Gladstone	23400
Broadbeach - Burleigh	22884
Coolangatta	22320
Gold Coast - North	20796
Gold Coast Hinterland	21840
Mudgeeraba - Tallebudgera	24000
Nerang	22884
Ormeau - Oxenford	24000
Robina	22356
Southport	20796
Surfers Paradise	23400
Forest Lake - Oxley	20796
Ipswich Hinterland	18204
Ipswich Inner	18204
Springfield - Redbank	20796
Beaudesert	18600
Beenleigh	18720
Browns Plains	19764
Jimboomba	24000
Loganlea - Carbrook	20796
Springwood - Kingston	19236
Bowen Basin - North	18948
Mackay	23400
Whitsunday	20796
Bribie - Beachmere	19236
Caboolture	19500
Caboolture Hinterland	19500
Narangba - Burpengary	21060
Redcliffe	20280
The Hills District	24420
North Lakes	22800
Strathpine	20280
Far North	19200
Outback - North	21216
Outback - South	11964
Buderim	23400
Caloundra	23136
Maroochy	20796
Noosa	21648
Sunshine Coast Hinterland	20796
Nambour	20544
Noosa Hinterland	19944
Toowoomba	18720
Charters Towers - Ayr - Ingham	15600
Townsville	20796
Bundaberg	16380
Burnett	13260
Gympie - Cooloola	15600
Hervey Bay	18000
Maryborough	14556
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide City	20796
Adelaide Hills	20280
Burnside	24000
Campbelltown (SA)	20400
Norwood - Payneham - St Peters	21600
Prospect - Walkerville	23400
Unley	24000
Gawler - Two Wells	18000
Playford	15600
Port Adelaide - East	19200
Salisbury	16380
Tea Tree Gully	18204
Holdfast Bay	21600
Marion	19500
Mitcham	22104
Onkaparinga	17400
Charles Sturt	20400
Port Adelaide - West	18204
West Torrens	20544
Barossa	16644
Lower North	12480
Mid North	11544
Yorke Peninsula	12996
Eyre Peninsula and South West	15084
Outback - North and East	14448
Fleurieu - Kangaroo Island	15600
Limestone Coast	12996
Murray and Mallee	12996
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	21792
Bunbury	20796
Manjimup	17160
Mandurah	21912
Cottesloe - Claremont	36000
Perth City	26004
Bayswater - Bassendean	23988
Mundaring	23400
Swan	24000
Joondalup	25200
Stirling	24000
Wanneroo	24696
Armadale	23400
Belmont - Victoria Park	24000
Canning	23400
Gosnells	21600
Kalamunda	24000
Serpentine - Jarrahdale	25632
South Perth	26076
Cockburn	24696
Fremantle	26004
Kwinana	21756
Melville	26004
Rockingham	23400
Albany	18000
Wheat Belt - North	16896
Wheat Belt - South	13308
Kimberley	28596
East Pilbara	30000
West Pilbara	31200
Esperance	19500
Gascoyne	21396
Goldfields	20796
Mid West	20280
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Brighton	15600
Hobart - North East	17340
Hobart - North West	15600
Hobart - South and West	18204
Hobart Inner	19764
Sorell - Dodges Ferry	15600
Launceston	15600
Meander Valley - West Tamar	14400
North East	13524
Central Highlands (Tas.)	13200
Huon - Bruny Island	15600
South East Coast	12480
Burnie - Ulverstone	13776
Devonport	14556
West Coast	12432
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	27036
Darwin Suburbs	26004
Litchfield	28800
Palmerston	27036
Alice Springs	23400
Barkly	14400
Daly - Tiwi - West Arnhem	18000
East Arnhem	20796
Katherine	20796
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	24000
Canberra East	19908
Gungahlin	26004
North Canberra	26004
South Canberra	28548
Tuggeranong	24000
Weston Creek	26004
Woden Valley	26004
Molonglo	24180
Urriarra - Namadgi	31200
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	20604
Cocos (Keeling) Islands	12348
Jervis Bay	
Norfolk Island	15600
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
