SA3_NAME16	Age	UsualResidence	persons
Queanbeyan	0-14	Home	10959
Queanbeyan	0-14	Visitor from ACT	46
Queanbeyan	0-14	Visitor from NSW	188
Queanbeyan	0-14	Visitor from QLD	25
Queanbeyan	0-14	Visitor from VIC	15
Queanbeyan	0-14	Visitor same SA2	4
Queanbeyan	15-24	Home	6497
Queanbeyan	15-24	Visitor from ACT	113
Queanbeyan	15-24	Visitor from NSW	221
Queanbeyan	15-24	Visitor from QLD	30
Queanbeyan	15-24	Visitor from SA	3
Queanbeyan	15-24	Visitor from TAS	4
Queanbeyan	15-24	Visitor from VIC	16
Queanbeyan	15-24	Visitor from WA	3
Queanbeyan	15-24	Visitor same SA2	3
Queanbeyan	25-34	Home	7336
Queanbeyan	25-34	Visitor from ACT	119
Queanbeyan	25-34	Visitor from NSW	314
Queanbeyan	25-34	Visitor from QLD	38
Queanbeyan	25-34	Visitor from SA	10
Queanbeyan	25-34	Visitor from TAS	7
Queanbeyan	25-34	Visitor from VIC	32
Queanbeyan	25-34	Visitor from WA	5
Queanbeyan	25-34	Visitor same SA2	10
Queanbeyan	35-44	Home	7665
Queanbeyan	35-44	Visitor from ACT	64
Queanbeyan	35-44	Visitor from NSW	261
Queanbeyan	35-44	Visitor from QLD	38
Queanbeyan	35-44	Visitor from SA	6
Queanbeyan	35-44	Visitor from TAS	3
Queanbeyan	35-44	Visitor from VIC	26
Queanbeyan	35-44	Visitor from WA	4
Queanbeyan	35-44	Visitor same SA2	4
Queanbeyan	45-54	Home	8719
Queanbeyan	45-54	Visitor from ACT	33
Queanbeyan	45-54	Visitor from NSW	329
Queanbeyan	45-54	Visitor from NT	4
Queanbeyan	45-54	Visitor from QLD	61
Queanbeyan	45-54	Visitor from SA	8
Queanbeyan	45-54	Visitor from TAS	10
Queanbeyan	45-54	Visitor from VIC	41
Queanbeyan	45-54	Visitor same SA2	4
Queanbeyan	55-64	Home	6714
Queanbeyan	55-64	Visitor from ACT	44
