SA3_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Queanbeyan					180
Queanbeyan	0	0	0	1	722
Queanbeyan	0	0	1	0	194
Queanbeyan	0	0	1	1	76
Queanbeyan	0	1	0	0	872
Queanbeyan	0	1	0	1	66
Queanbeyan	0	1	1	0	112
Queanbeyan	0	1	1	1	26
Queanbeyan	1	0	0	1	1227
Queanbeyan	1	0	1	0	650
Queanbeyan	1	0	1	1	375
Queanbeyan	1	1	0	0	3963
Queanbeyan	1	1	0	1	185
Queanbeyan	1	1	1	0	762
Queanbeyan	1	1	1	1	105
Snowy Mountains					52
Snowy Mountains	0	0	0	1	259
Snowy Mountains	0	0	1	0	74
Snowy Mountains	0	0	1	1	20
Snowy Mountains	0	1	0	0	268
Snowy Mountains	0	1	0	1	17
Snowy Mountains	0	1	1	0	40
Snowy Mountains	0	1	1	1	7
Snowy Mountains	1	0	0	1	315
Snowy Mountains	1	0	1	0	148
Snowy Mountains	1	0	1	1	81
Snowy Mountains	1	1	0	0	1057
Snowy Mountains	1	1	0	1	34
Snowy Mountains	1	1	1	0	180
Snowy Mountains	1	1	1	1	29
South Coast					195
South Coast	0	0	0	1	1026
South Coast	0	0	1	0	270
South Coast	0	0	1	1	91
South Coast	0	1	0	0	1192
South Coast	0	1	0	1	106
South Coast	0	1	1	0	212
South Coast	0	1	1	1	27
South Coast	1	0	0	1	1216
South Coast	1	0	1	0	437
South Coast	1	0	1	1	214
South Coast	1	1	0	0	2988
South Coast	1	1	0	1	204
South Coast	1	1	1	0	566
South Coast	1	1	1	1	95
Goulburn - Mulwaree					129
Goulburn - Mulwaree	0	0	0	1	554
Goulburn - Mulwaree	0	0	1	0	134
Goulburn - Mulwaree	0	0	1	1	36
Goulburn - Mulwaree	0	1	0	0	635
Goulburn - Mulwaree	0	1	0	1	69
Goulburn - Mulwaree	0	1	1	0	97
Goulburn - Mulwaree	0	1	1	1	22
Goulburn - Mulwaree	1	0	0	1	782
Goulburn - Mulwaree	1	0	1	0	217
Goulburn - Mulwaree	1	0	1	1	159
Goulburn - Mulwaree	1	1	0	0	1861
Goulburn - Mulwaree	1	1	0	1	137
Goulburn - Mulwaree	1	1	1	0	345
Goulburn - Mulwaree	1	1	1	1	70
Young - Yass					118
Young - Yass	0	0	0	1	448
Young - Yass	0	0	1	0	119
Young - Yass	0	0	1	1	42
Young - Yass	0	1	0	0	564
Young - Yass	0	1	0	1	54
Young - Yass	0	1	1	0	104
Young - Yass	0	1	1	1	18
Young - Yass	1	0	0	1	726
Young - Yass	1	0	1	0	321
Young - Yass	1	0	1	1	153
Young - Yass	1	1	0	0	2160
Young - Yass	1	1	0	1	126
Young - Yass	1	1	1	0	450
Young - Yass	1	1	1	1	83
Gosford					594
Gosford	0	0	0	1	3141
Gosford	0	0	1	0	789
Gosford	0	0	1	1	371
Gosford	0	1	0	0	2722
Gosford	0	1	0	1	287
Gosford	0	1	1	0	527
Gosford	0	1	1	1	91
Gosford	1	0	0	1	3927
Gosford	1	0	1	0	1636
Gosford	1	0	1	1	1140
Gosford	1	1	0	0	9973
Gosford	1	1	0	1	557
Gosford	1	1	1	0	1841
Gosford	1	1	1	1	299
Wyong					607
Wyong	0	0	0	1	3236
Wyong	0	0	1	0	674
Wyong	0	0	1	1	330
Wyong	0	1	0	0	3542
Wyong	0	1	0	1	408
Wyong	0	1	1	0	612
Wyong	0	1	1	1	139
Wyong	1	0	0	1	3639
Wyong	1	0	1	0	1105
Wyong	1	0	1	1	902
Wyong	1	1	0	0	8658
Wyong	1	1	0	1	698
Wyong	1	1	1	0	1582
Wyong	1	1	1	1	360
Bathurst					138
Bathurst	0	0	0	1	601
Bathurst	0	0	1	0	192
Bathurst	0	0	1	1	61
Bathurst	0	1	0	0	909
Bathurst	0	1	0	1	69
Bathurst	0	1	1	0	149
Bathurst	0	1	1	1	24
Bathurst	1	0	0	1	828
Bathurst	1	0	1	0	357
Bathurst	1	0	1	1	194
Bathurst	1	1	0	0	2616
Bathurst	1	1	0	1	145
Bathurst	1	1	1	0	573
Bathurst	1	1	1	1	91
Lachlan Valley					224
Lachlan Valley	0	0	0	1	823
Lachlan Valley	0	0	1	0	182
Lachlan Valley	0	0	1	1	67
Lachlan Valley	0	1	0	0	1032
Lachlan Valley	0	1	0	1	84
Lachlan Valley	0	1	1	0	177
Lachlan Valley	0	1	1	1	32
Lachlan Valley	1	0	0	1	1021
Lachlan Valley	1	0	1	0	324
Lachlan Valley	1	0	1	1	209
Lachlan Valley	1	1	0	0	2869
Lachlan Valley	1	1	0	1	191
Lachlan Valley	1	1	1	0	518
Lachlan Valley	1	1	1	1	100
Lithgow - Mudgee					154
Lithgow - Mudgee	0	0	0	1	704
Lithgow - Mudgee	0	0	1	0	165
Lithgow - Mudgee	0	0	1	1	49
Lithgow - Mudgee	0	1	0	0	839
Lithgow - Mudgee	0	1	0	1	71
Lithgow - Mudgee	0	1	1	0	143
Lithgow - Mudgee	0	1	1	1	32
Lithgow - Mudgee	1	0	0	1	897
Lithgow - Mudgee	1	0	1	0	294
Lithgow - Mudgee	1	0	1	1	158
Lithgow - Mudgee	1	1	0	0	2533
Lithgow - Mudgee	1	1	0	1	149
Lithgow - Mudgee	1	1	1	0	433
Lithgow - Mudgee	1	1	1	1	63
Orange					165
Orange	0	0	0	1	780
Orange	0	0	1	0	211
Orange	0	0	1	1	63
Orange	0	1	0	0	1109
Orange	0	1	0	1	97
Orange	0	1	1	0	188
Orange	0	1	1	1	32
Orange	1	0	0	1	1006
Orange	1	0	1	0	465
Orange	1	0	1	1	266
Orange	1	1	0	0	3686
Orange	1	1	0	1	184
Orange	1	1	1	0	661
Orange	1	1	1	1	117
Clarence Valley					190
Clarence Valley	0	0	0	1	827
Clarence Valley	0	0	1	0	187
Clarence Valley	0	0	1	1	91
Clarence Valley	0	1	0	0	1040
Clarence Valley	0	1	0	1	101
Clarence Valley	0	1	1	0	162
Clarence Valley	0	1	1	1	30
Clarence Valley	1	0	0	1	962
Clarence Valley	1	0	1	0	326
Clarence Valley	1	0	1	1	162
Clarence Valley	1	1	0	0	2092
Clarence Valley	1	1	0	1	184
Clarence Valley	1	1	1	0	476
Clarence Valley	1	1	1	1	103
Coffs Harbour					238
Coffs Harbour	0	0	0	1	1463
Coffs Harbour	0	0	1	0	385
Coffs Harbour	0	0	1	1	146
Coffs Harbour	0	1	0	0	1800
Coffs Harbour	0	1	0	1	171
Coffs Harbour	0	1	1	0	352
Coffs Harbour	0	1	1	1	54
Coffs Harbour	1	0	0	1	1620
Coffs Harbour	1	0	1	0	636
