SA3_NAME16	persons
Queanbeyan	57331
Snowy Mountains	19366
South Coast	70638
Goulburn - Mulwaree	35559
Young - Yass	35942
Gosford	169053
Wyong	158683
Bathurst	46594
Lachlan Valley	55336
Lithgow - Mudgee	46612
Orange	57614
Clarence Valley	50261
Coffs Harbour	86021
Bourke - Cobar - Coonamble	24152
Broken Hill and Far West	20217
Dubbo	69414
Lower Hunter	87675
Maitland	74162
Port Stephens	71381
Upper Hunter	30196
Dapto - Port Kembla	75354
Illawarra Catchment Reserve	8
Kiama - Shellharbour	89837
Wollongong	128301
Great Lakes	31272
Kempsey - Nambucca	48127
Lord Howe Island	382
Port Macquarie	78567
Taree - Gloucester	53856
Albury	61271
Lower Murray	12547
Upper Murray exc. Albury	41980
Armidale	37090
Inverell - Tenterfield	38345
Moree - Narrabri	25622
Tamworth - Gunnedah	80496
Lake Macquarie - East	120014
Lake Macquarie - West	75205
Newcastle	163884
Richmond Valley - Coastal	78280
Richmond Valley - Hinterland	69950
Tweed Valley	91371
Griffith - Murrumbidgee (West)	48144
Tumut - Tumbarumba	14437
Wagga Wagga	93357
Shoalhaven	99490
Southern Highlands	47869
Baulkham Hills	143738
Dural - Wisemans Ferry	26229
Hawkesbury	24588
Rouse Hill - McGraths Hill	33182
Blacktown	134753
Blacktown - North	92823
Mount Druitt	112066
Botany	46693
Marrickville - Sydenham - Petersham	54609
Sydney Inner City	214249
Eastern Suburbs - North	126382
Eastern Suburbs - South	140654
Bankstown	171429
Canterbury	135070
Hurstville	127193
Kogarah - Rockdale	137723
Canada Bay	85356
Leichhardt	56066
Strathfield - Burwood - Ashfield	151873
Chatswood - Lane Cove	112245
Hornsby	80603
Ku-ring-gai	118371
North Sydney - Mosman	94139
Manly	41888
Pittwater	60438
Warringah	150543
Camden	62510
Campbelltown (NSW)	158401
Wollondilly	41152
Blue Mountains	76694
Blue Mountains - South	3
Penrith	139692
Richmond - Windsor	36547
St Marys	53993
Auburn	89670
Carlingford	66570
Merrylands - Guildford	151262
Parramatta	140891
Pennant Hills - Epping	47590
Ryde - Hunters Hill	134528
Bringelly - Green Valley	102811
Fairfield	185802
Liverpool	117356
Cronulla - Miranda - Caringbah	109841
Sutherland - Menai - Heathcote	108036
Migratory - Offshore - Shipping (NSW)	412
No usual address (NSW)	12288
Ballarat	103815
Creswick - Daylesford - Ballan	28307
Maryborough - Pyrenees	25365
Bendigo	94378
Heathcote - Castlemaine - Kyneton	47291
Loddon - Elmore	11421
Barwon - West	19018
Geelong	188180
Surf Coast - Bellarine Peninsula	71729
Upper Goulburn Valley	53840
Wangaratta - Benalla	46100
Wodonga - Alpine	70249
Baw Baw	48626
Gippsland - East	45146
Gippsland - South West	61668
Latrobe Valley	73099
Wellington	42871
Brunswick - Coburg	86257
Darebin - South	52065
Essendon	66595
Melbourne City	135969
Port Phillip	100872
Stonnington - West	62467
Yarra	87453
Boroondara	167231
Manningham - West	90369
Whitehorse - West	102040
Bayside	97087
Glen Eira	148437
Kingston	116817
Stonnington - East	41367
Banyule	121865
Darebin - North	94653
Nillumbik - Kinglake	65123
Whittlesea - Wallan	213708
Keilor	58565
Macedon Ranges	29574
Moreland - North	75506
Sunbury	39369
Tullamarine - Broadmeadows	160353
Knox	154154
Manningham - East	25986
Maroondah	109933
Whitehorse - East	60769
Yarra Ranges	148760
Cardinia	94288
Casey - North	131119
Casey - South	168177
Dandenong	186623
Monash	175056
Brimbank	185816
Hobsons Bay	84006
Maribyrnong	82288
Melton - Bacchus Marsh	153438
Wyndham	221895
