SA3_NAME16	Age	Sex	persons
Queanbeyan	0-4	F	1731
Queanbeyan	0-4	M	1998
Queanbeyan	5-14	F	3664
Queanbeyan	5-14	M	3848
Queanbeyan	15-19	F	1727
Queanbeyan	15-19	M	1866
Queanbeyan	20-24	F	1675
Queanbeyan	20-24	M	1615
Queanbeyan	25-34	F	3957
Queanbeyan	25-34	M	3835
Queanbeyan	35-44	F	4059
Queanbeyan	35-44	M	3984
Queanbeyan	45-54	F	4585
Queanbeyan	45-54	M	4596
Queanbeyan	55-64	F	3517
Queanbeyan	55-64	M	3655
Queanbeyan	65-74	F	2155
Queanbeyan	65-74	M	2271
Queanbeyan	75-84	F	986
Queanbeyan	75-84	M	921
Queanbeyan	85+	F	441
Queanbeyan	85+	M	248
Snowy Mountains	0-4	F	418
Snowy Mountains	0-4	M	485
Snowy Mountains	5-14	F	1132
Snowy Mountains	5-14	M	1232
Snowy Mountains	15-19	F	525
Snowy Mountains	15-19	M	605
Snowy Mountains	20-24	F	464
Snowy Mountains	20-24	M	576
Snowy Mountains	25-34	F	1022
Snowy Mountains	25-34	M	1144
Snowy Mountains	35-44	F	1132
Snowy Mountains	35-44	M	1195
Snowy Mountains	45-54	F	1456
Snowy Mountains	45-54	M	1453
Snowy Mountains	55-64	F	1319
Snowy Mountains	55-64	M	1456
Snowy Mountains	65-74	F	1054
Snowy Mountains	65-74	M	1139
Snowy Mountains	75-84	F	555
Snowy Mountains	75-84	M	564
Snowy Mountains	85+	F	281
Snowy Mountains	85+	M	171
South Coast	0-4	F	1445
South Coast	0-4	M	1505
South Coast	5-14	F	3692
South Coast	5-14	M	3962
South Coast	15-19	F	1778
South Coast	15-19	M	1825
South Coast	20-24	F	1191
South Coast	20-24	M	1278
South Coast	25-34	F	2601
South Coast	25-34	M	2501
South Coast	35-44	F	3461
South Coast	35-44	M	3076
South Coast	45-54	F	4865
South Coast	45-54	M	4472
South Coast	55-64	F	6742
South Coast	55-64	M	6225
South Coast	65-74	F	5775
South Coast	65-74	M	5918
South Coast	75-84	F	3008
South Coast	75-84	M	2920
South Coast	85+	F	1462
South Coast	85+	M	927
Goulburn - Mulwaree	0-4	F	983
Goulburn - Mulwaree	0-4	M	1087
Goulburn - Mulwaree	5-14	F	2055
Goulburn - Mulwaree	5-14	M	2264
Goulburn - Mulwaree	15-19	F	1006
Goulburn - Mulwaree	15-19	M	1094
Goulburn - Mulwaree	20-24	F	826
Goulburn - Mulwaree	20-24	M	1064
Goulburn - Mulwaree	25-34	F	1992
Goulburn - Mulwaree	25-34	M	2012
Goulburn - Mulwaree	35-44	F	2004
Goulburn - Mulwaree	35-44	M	2113
Goulburn - Mulwaree	45-54	F	2449
Goulburn - Mulwaree	45-54	M	2476
Goulburn - Mulwaree	55-64	F	2471
Goulburn - Mulwaree	55-64	M	2437
Goulburn - Mulwaree	65-74	F	2016
Goulburn - Mulwaree	65-74	M	2073
Goulburn - Mulwaree	75-84	F	1180
Goulburn - Mulwaree	75-84	M	1051
Goulburn - Mulwaree	85+	F	571
Goulburn - Mulwaree	85+	M	317
Young - Yass	0-4	F	1065
Young - Yass	0-4	M	1152
Young - Yass	5-14	F	2465
Young - Yass	5-14	M	2578
Young - Yass	15-19	F	1136
Young - Yass	15-19	M	1102
Young - Yass	20-24	F	871
Young - Yass	20-24	M	818
Young - Yass	25-34	F	1719
Young - Yass	25-34	M	1551
Young - Yass	35-44	F	2256
Young - Yass	35-44	M	2130
Young - Yass	45-54	F	2652
Young - Yass	45-54	M	2502
Young - Yass	55-64	F	2432
Young - Yass	55-64	M	2478
Young - Yass	65-74	F	2046
Young - Yass	65-74	M	2102
Young - Yass	75-84	F	1087
Young - Yass	75-84	M	969
Young - Yass	85+	F	536
Young - Yass	85+	M	304
Gosford	0-4	F	4604
Gosford	0-4	M	4970
Gosford	5-14	F	10089
Gosford	5-14	M	10571
Gosford	15-19	F	4964
Gosford	15-19	M	5113
Gosford	20-24	F	4274
Gosford	20-24	M	4645
Gosford	25-34	F	8966
Gosford	25-34	M	8746
Gosford	35-44	F	10590
Gosford	35-44	M	10008
Gosford	45-54	F	11986
Gosford	45-54	M	11061
Gosford	55-64	F	11773
Gosford	55-64	M	10660
Gosford	65-74	F	10084
Gosford	65-74	M	9115
Gosford	75-84	F	6251
Gosford	75-84	M	4886
Gosford	85+	F	3575
