SA3_NAME16	Sex	persons
Queanbeyan	F	28501
Queanbeyan	M	28828
Snowy Mountains	F	9354
Snowy Mountains	M	10013
South Coast	F	36029
South Coast	M	34606
Goulburn - Mulwaree	F	17572
Goulburn - Mulwaree	M	17989
Young - Yass	F	18257
Young - Yass	M	17678
Gosford	F	87173
Gosford	M	81880
Wyong	F	81803
Wyong	M	76884
Bathurst	F	23152
Bathurst	M	23445
Lachlan Valley	F	27879
Lachlan Valley	M	27462
Lithgow - Mudgee	F	23085
Lithgow - Mudgee	M	23530
Orange	F	29346
Orange	M	28264
Clarence Valley	F	25357
Clarence Valley	M	24907
Coffs Harbour	F	44344
Coffs Harbour	M	41677
Bourke - Cobar - Coonamble	F	11834
Bourke - Cobar - Coonamble	M	12314
Broken Hill and Far West	F	10251
Broken Hill and Far West	M	9965
Dubbo	F	35213
Dubbo	M	34198
Lower Hunter	F	43765
Lower Hunter	M	43911
Maitland	F	37948
Maitland	M	36217
Port Stephens	F	36092
Port Stephens	M	35289
Upper Hunter	F	14984
Upper Hunter	M	15216
Dapto - Port Kembla	F	38356
Dapto - Port Kembla	M	37002
Illawarra Catchment Reserve	F	3
Illawarra Catchment Reserve	M	4
Kiama - Shellharbour	F	45907
Kiama - Shellharbour	M	43931
Wollongong	F	64742
Wollongong	M	63552
Great Lakes	F	16017
Great Lakes	M	15252
Kempsey - Nambucca	F	24242
Kempsey - Nambucca	M	23882
Lord Howe Island	F	191
Lord Howe Island	M	192
Port Macquarie	F	40861
Port Macquarie	M	37704
Taree - Gloucester	F	27598
Taree - Gloucester	M	26263
Albury	F	31508
Albury	M	29757
Lower Murray	F	6110
Lower Murray	M	6438
Upper Murray exc. Albury	F	21120
Upper Murray exc. Albury	M	20862
Armidale	F	19135
Armidale	M	17957
Inverell - Tenterfield	F	19439
Inverell - Tenterfield	M	18905
Moree - Narrabri	F	12756
Moree - Narrabri	M	12868
Tamworth - Gunnedah	F	40969
Tamworth - Gunnedah	M	39531
Lake Macquarie - East	F	61519
Lake Macquarie - East	M	58500
Lake Macquarie - West	F	38477
Lake Macquarie - West	M	36735
Newcastle	F	83082
Newcastle	M	80798
Richmond Valley - Coastal	F	40460
Richmond Valley - Coastal	M	37820
Richmond Valley - Hinterland	F	35614
Richmond Valley - Hinterland	M	34334
Tweed Valley	F	47261
Tweed Valley	M	44109
Griffith - Murrumbidgee (West)	F	24040
Griffith - Murrumbidgee (West)	M	24100
Tumut - Tumbarumba	F	7135
Tumut - Tumbarumba	M	7301
Wagga Wagga	F	47032
Wagga Wagga	M	46322
Shoalhaven	F	50286
Shoalhaven	M	49202
Southern Highlands	F	24988
Southern Highlands	M	22878
Baulkham Hills	F	73420
Baulkham Hills	M	70323
Dural - Wisemans Ferry	F	13164
Dural - Wisemans Ferry	M	13063
Hawkesbury	F	12171
Hawkesbury	M	12418
Rouse Hill - McGraths Hill	F	16587
Rouse Hill - McGraths Hill	M	16594
Blacktown	F	67314
Blacktown	M	67432
Blacktown - North	F	46244
Blacktown - North	M	46581
Mount Druitt	F	57145
Mount Druitt	M	54923
Botany	F	23441
Botany	M	23254
Marrickville - Sydenham - Petersham	F	27635
Marrickville - Sydenham - Petersham	M	26974
Sydney Inner City	F	103409
Sydney Inner City	M	110837
Eastern Suburbs - North	F	66053
Eastern Suburbs - North	M	60329
Eastern Suburbs - South	F	71477
Eastern Suburbs - South	M	69175
Bankstown	F	87005
Bankstown	M	84425
Canterbury	F	66782
Canterbury	M	68285
Hurstville	F	65311
