SA3_NAME16	FamilyComposition	families_with_children
Wangaratta - Benalla	Intact family with other children present	48
Wangaratta - Benalla	Other couple family with other children only	43
Wangaratta - Benalla	Step family with no other children present	317
Wangaratta - Benalla	Step family with other children present	7
Wodonga - Alpine	Blended family with no other children present	375
Wodonga - Alpine	Blended family with other children present	3
Wodonga - Alpine	Intact family with no other children present	6221
Wodonga - Alpine	Intact family with other children present	50
Wodonga - Alpine	Other couple family with other children only	37
Wodonga - Alpine	Step family with no other children present	546
Wodonga - Alpine	Step family with other children present	3
Baw Baw	Blended family with no other children present	257
Baw Baw	Blended family with other children present	3
Baw Baw	Intact family with no other children present	4580
Baw Baw	Intact family with other children present	36
Baw Baw	Other couple family with other children only	34
Baw Baw	Step family with no other children present	384
Baw Baw	Step family with other children present	4
Gippsland - East	Blended family with no other children present	181
Gippsland - East	Blended family with other children present	3
Gippsland - East	Intact family with no other children present	3307
Gippsland - East	Intact family with other children present	37
Gippsland - East	Other couple family with other children only	33
Gippsland - East	Step family with no other children present	293
Gippsland - East	Step family with other children present	7
Gippsland - South West	Blended family with no other children present	289
Gippsland - South West	Blended family with other children present	6
Gippsland - South West	Intact family with no other children present	4932
Gippsland - South West	Intact family with other children present	45
Gippsland - South West	Other couple family with other children only	40
Gippsland - South West	Step family with no other children present	396
Latrobe Valley	Blended family with no other children present	379
Latrobe Valley	Blended family with other children present	5
Latrobe Valley	Intact family with no other children present	6082
Latrobe Valley	Intact family with other children present	66
Latrobe Valley	Other couple family with other children only	55
Latrobe Valley	Step family with no other children present	601
Latrobe Valley	Step family with other children present	11
Wellington	Blended family with no other children present	219
Wellington	Blended family with other children present	5
Wellington	Intact family with no other children present	3675
Wellington	Intact family with other children present	28
Wellington	Other couple family with other children only	37
Wellington	Step family with no other children present	326
Wellington	Step family with other children present	3
Brunswick - Coburg	Blended family with no other children present	126
Brunswick - Coburg	Intact family with no other children present	7968
Brunswick - Coburg	Intact family with other children present	61
Brunswick - Coburg	Other couple family with other children only	17
Brunswick - Coburg	Step family with no other children present	348
Brunswick - Coburg	Step family with other children present	3
Darebin - South	Blended family with no other children present	82
Darebin - South	Blended family with other children present	3
Darebin - South	Intact family with no other children present	5315
Darebin - South	Intact family with other children present	35
Darebin - South	Other couple family with other children only	11
Darebin - South	Step family with no other children present	251
Essendon	Blended family with no other children present	112
Essendon	Blended family with other children present	3
Essendon	Intact family with no other children present	7200
Essendon	Intact family with other children present	30
Essendon	Other couple family with other children only	11
Essendon	Step family with no other children present	313
Essendon	Step family with other children present	3
Melbourne City	Blended family with no other children present	79
Melbourne City	Intact family with no other children present	5205
Melbourne City	Intact family with other children present	27
Melbourne City	Other couple family with other children only	14
Melbourne City	Step family with no other children present	275
Port Phillip	Blended family with no other children present	119
Port Phillip	Intact family with no other children present	6791
Port Phillip	Intact family with other children present	18
Port Phillip	Other couple family with other children only	11
Port Phillip	Step family with no other children present	434
Port Phillip	Step family with other children present	7
Stonnington - West	Blended family with no other children present	67
Stonnington - West	Intact family with no other children present	3777
Stonnington - West	Intact family with other children present	19
Stonnington - West	Other couple family with other children only	12
Stonnington - West	Step family with no other children present	255
Yarra	Blended family with no other children present	88
Yarra	Intact family with no other children present	5497
Yarra	Intact family with other children present	35
Yarra	Other couple family with other children only	11
Yarra	Step family with no other children present	374
Yarra	Step family with other children present	3
Boroondara	Blended family with no other children present	303
Boroondara	Blended family with other children present	6
Boroondara	Intact family with no other children present	20764
Boroondara	Intact family with other children present	156
Boroondara	Other couple family with other children only	17
Boroondara	Step family with no other children present	855
Boroondara	Step family with other children present	11
Manningham - West	Blended family with no other children present	171
Manningham - West	Blended family with other children present	10
Manningham - West	Intact family with no other children present	11759
Manningham - West	Intact family with other children present	139
Manningham - West	Other couple family with other children only	27
Manningham - West	Step family with no other children present	508
Manningham - West	Step family with other children present	10
Whitehorse - West	Blended family with no other children present	195
Whitehorse - West	Intact family with no other children present	11917
Whitehorse - West	Intact family with other children present	80
Whitehorse - West	Other couple family with other children only	26
Whitehorse - West	Step family with no other children present	492
Whitehorse - West	Step family with other children present	6
Bayside	Blended family with no other children present	226
Bayside	Blended family with other children present	3
Bayside	Intact family with no other children present	12533
Bayside	Intact family with other children present	54
Bayside	Other couple family with other children only	21
Bayside	Step family with no other children present	625
Bayside	Step family with other children present	6
Glen Eira	Blended family with no other children present	251
Glen Eira	Intact family with no other children present	17918
Glen Eira	Intact family with other children present	112
Glen Eira	Other couple family with other children only	28
Glen Eira	Step family with no other children present	798
Glen Eira	Step family with other children present	11
Kingston	Blended family with no other children present	398
Kingston	Intact family with no other children present	13628
Kingston	Intact family with other children present	90
Kingston	Other couple family with other children only	24
Kingston	Step family with no other children present	876
Kingston	Step family with other children present	13
Stonnington - East	Blended family with no other children present	59
Stonnington - East	Intact family with no other children present	4853
Stonnington - East	Intact family with other children present	27
Stonnington - East	Other couple family with other children only	3
Stonnington - East	Step family with no other children present	197
Banyule	Blended family with no other children present	314
Banyule	Intact family with no other children present	14743
Banyule	Intact family with other children present	106
Banyule	Other couple family with other children only	34
Banyule	Step family with no other children present	723
Banyule	Step family with other children present	9
Darebin - North	Blended family with no other children present	199
Darebin - North	Blended family with other children present	4
Darebin - North	Intact family with no other children present	9475
Darebin - North	Intact family with other children present	130
Darebin - North	Other couple family with other children only	26
Darebin - North	Step family with no other children present	427
Darebin - North	Step family with other children present	9
Nillumbik - Kinglake	Blended family with no other children present	256
Nillumbik - Kinglake	Intact family with no other children present	9260
Nillumbik - Kinglake	Intact family with other children present	70
Nillumbik - Kinglake	Other couple family with other children only	17
Nillumbik - Kinglake	Step family with no other children present	553
Whittlesea - Wallan	Blended family with no other children present	919
Whittlesea - Wallan	Blended family with other children present	19
Whittlesea - Wallan	Intact family with no other children present	27932
Whittlesea - Wallan	Intact family with other children present	368
Whittlesea - Wallan	Other couple family with other children only	71
Whittlesea - Wallan	Step family with no other children present	1446
Whittlesea - Wallan	Step family with other children present	38
Keilor	Blended family with no other children present	164
Keilor	Blended family with other children present	3
Keilor	Intact family with no other children present	7301
Keilor	Intact family with other children present	59
Keilor	Other couple family with other children only	19
Keilor	Step family with no other children present	365
Keilor	Step family with other children present	6
Macedon Ranges	Blended family with no other children present	139
Macedon Ranges	Intact family with no other children present	3752
Macedon Ranges	Intact family with other children present	29
Macedon Ranges	Other couple family with other children only	12
Macedon Ranges	Step family with no other children present	207
Macedon Ranges	Step family with other children present	4
Moreland - North	Blended family with no other children present	188
Moreland - North	Intact family with no other children present	8447
Moreland - North	Intact family with other children present	74
Moreland - North	Other couple family with other children only	15
Moreland - North	Step family with no other children present	338
Moreland - North	Step family with other children present	7
Sunbury	Blended family with no other children present	216
Sunbury	Blended family with other children present	3
Sunbury	Intact family with no other children present	4600
Sunbury	Intact family with other children present	37
Sunbury	Other couple family with other children only	20
Sunbury	Step family with no other children present	365
Sunbury	Step family with other children present	8
Tullamarine - Broadmeadows	Blended family with no other children present	566
Tullamarine - Broadmeadows	Blended family with other children present	13
Tullamarine - Broadmeadows	Intact family with no other children present	21038
Tullamarine - Broadmeadows	Intact family with other children present	337
Tullamarine - Broadmeadows	Other couple family with other children only	62
Tullamarine - Broadmeadows	Step family with no other children present	980
Tullamarine - Broadmeadows	Step family with other children present	12
Knox	Blended family with no other children present	612
Knox	Blended family with other children present	7
Knox	Intact family with no other children present	19444
Knox	Intact family with other children present	200
Knox	Other couple family with other children only	64
Knox	Step family with no other children present	1268
Knox	Step family with other children present	21
Manningham - East	Blended family with no other children present	84
Manningham - East	Blended family with other children present	3
Manningham - East	Intact family with no other children present	3689
Manningham - East	Intact family with other children present	25
Manningham - East	Other couple family with other children only	6
Manningham - East	Step family with no other children present	183
Maroondah	Blended family with no other children present	396
Maroondah	Blended family with other children present	3
Maroondah	Intact family with no other children present	12970
Maroondah	Intact family with other children present	113
Maroondah	Other couple family with other children only	27
Maroondah	Step family with no other children present	844
Maroondah	Step family with other children present	8
Whitehorse - East	Blended family with no other children present	153
Whitehorse - East	Intact family with no other children present	7728
Whitehorse - East	Intact family with other children present	76
Whitehorse - East	Other couple family with other children only	14
Whitehorse - East	Step family with no other children present	356
Whitehorse - East	Step family with other children present	8
Yarra Ranges	Blended family with no other children present	791
Yarra Ranges	Blended family with other children present	11
Yarra Ranges	Intact family with no other children present	16881
Yarra Ranges	Intact family with other children present	175
Yarra Ranges	Other couple family with other children only	61
Yarra Ranges	Step family with no other children present	1451
Yarra Ranges	Step family with other children present	31
Cardinia	Blended family with no other children present	652
Cardinia	Blended family with other children present	10
Cardinia	Intact family with no other children present	10893
Cardinia	Intact family with other children present	118
Cardinia	Other couple family with other children only	65
Cardinia	Step family with no other children present	952
Cardinia	Step family with other children present	15
Casey - North	Blended family with no other children present	552
Casey - North	Blended family with other children present	13
Casey - North	Intact family with no other children present	17069
Casey - North	Intact family with other children present	241
Casey - North	Other couple family with other children only	50
Casey - North	Step family with no other children present	1063
Casey - North	Step family with other children present	24
Casey - South	Blended family with no other children present	1016
Casey - South	Blended family with other children present	26
Casey - South	Intact family with no other children present	22236
Casey - South	Intact family with other children present	384
Casey - South	Other couple family with other children only	75
Casey - South	Step family with no other children present	1485
Casey - South	Step family with other children present	37
Dandenong	Blended family with no other children present	547
Dandenong	Blended family with other children present	12
Dandenong	Intact family with no other children present	21239
Dandenong	Intact family with other children present	497
Dandenong	Other couple family with other children only	96
Dandenong	Step family with no other children present	1118
Dandenong	Step family with other children present	45
Monash	Blended family with no other children present	313
Monash	Blended family with other children present	8
Monash	Intact family with no other children present	21084
Monash	Intact family with other children present	270
Monash	Other couple family with other children only	50
Monash	Step family with no other children present	839
Monash	Step family with other children present	14
Brimbank	Blended family with no other children present	656
Brimbank	Blended family with other children present	28
Brimbank	Intact family with no other children present	21343
Brimbank	Intact family with other children present	475
Brimbank	Other couple family with other children only	113
Brimbank	Step family with no other children present	1141
Brimbank	Step family with other children present	43
Hobsons Bay	Blended family with no other children present	244
Hobsons Bay	Blended family with other children present	5
Hobsons Bay	Intact family with no other children present	9886
Hobsons Bay	Intact family with other children present	82
Hobsons Bay	Other couple family with other children only	29
Hobsons Bay	Step family with no other children present	524
Hobsons Bay	Step family with other children present	5
Maribyrnong	Blended family with no other children present	137
Maribyrnong	Blended family with other children present	7
Maribyrnong	Intact family with no other children present	7986
Maribyrnong	Intact family with other children present	100
Maribyrnong	Other couple family with other children only	34
Maribyrnong	Step family with no other children present	399
Maribyrnong	Step family with other children present	4
Melton - Bacchus Marsh	Blended family with no other children present	848
Melton - Bacchus Marsh	Blended family with other children present	21
Melton - Bacchus Marsh	Intact family with no other children present	19192
Melton - Bacchus Marsh	Intact family with other children present	259
Melton - Bacchus Marsh	Other couple family with other children only	86
Melton - Bacchus Marsh	Step family with no other children present	1251
Melton - Bacchus Marsh	Step family with other children present	27
Wyndham	Blended family with no other children present	1035
Wyndham	Blended family with other children present	32
Wyndham	Intact family with no other children present	29702
Wyndham	Intact family with other children present	447
Wyndham	Other couple family with other children only	88
Wyndham	Step family with no other children present	1638
Wyndham	Step family with other children present	47
Frankston	Blended family with no other children present	738
Frankston	Blended family with other children present	9
Frankston	Intact family with no other children present	13297
Frankston	Intact family with other children present	153
Frankston	Other couple family with other children only	61
Frankston	Step family with no other children present	1318
Frankston	Step family with other children present	31
Mornington Peninsula	Blended family with no other children present	685
Mornington Peninsula	Blended family with other children present	9
Mornington Peninsula	Intact family with no other children present	14845
Mornington Peninsula	Intact family with other children present	113
Mornington Peninsula	Other couple family with other children only	69
Mornington Peninsula	Step family with no other children present	1327
Mornington Peninsula	Step family with other children present	17
Grampians	Blended family with no other children present	294
Grampians	Blended family with other children present	3
Grampians	Intact family with no other children present	4796
Grampians	Intact family with other children present	40
Grampians	Other couple family with other children only	58
Grampians	Step family with no other children present	358
Grampians	Step family with other children present	12
Mildura	Blended family with no other children present	262
Mildura	Blended family with other children present	6
Mildura	Intact family with no other children present	4627
Mildura	Intact family with other children present	55
Mildura	Other couple family with other children only	33
Mildura	Step family with no other children present	423
Mildura	Step family with other children present	9
Murray River - Swan Hill	Blended family with no other children present	154
Murray River - Swan Hill	Intact family with no other children present	3164
Murray River - Swan Hill	Intact family with other children present	37
Murray River - Swan Hill	Other couple family with other children only	30
Murray River - Swan Hill	Step family with no other children present	204
Campaspe	Blended family with no other children present	179
Campaspe	Intact family with no other children present	3268
Campaspe	Intact family with other children present	26
Campaspe	Other couple family with other children only	24
Campaspe	Step family with no other children present	267
Campaspe	Step family with other children present	3
Moira	Blended family with no other children present	130
Moira	Blended family with other children present	4
Moira	Intact family with no other children present	2379
Moira	Intact family with other children present	22
Moira	Other couple family with other children only	20
Moira	Step family with no other children present	189
Moira	Step family with other children present	3
Shepparton	Blended family with no other children present	290
Shepparton	Blended family with other children present	3
Shepparton	Intact family with no other children present	5978
Shepparton	Intact family with other children present	71
Shepparton	Other couple family with other children only	43
Shepparton	Step family with no other children present	426
Shepparton	Step family with other children present	10
Glenelg - Southern Grampians	Blended family with no other children present	169
Glenelg - Southern Grampians	Blended family with other children present	4
Glenelg - Southern Grampians	Intact family with no other children present	3046
Glenelg - Southern Grampians	Intact family with other children present	22
Glenelg - Southern Grampians	Other couple family with other children only	29
Glenelg - Southern Grampians	Step family with no other children present	241
Colac - Corangamite	Blended family with no other children present	173
Colac - Corangamite	Intact family with no other children present	3224
Colac - Corangamite	Intact family with other children present	25
Colac - Corangamite	Other couple family with other children only	19
Colac - Corangamite	Step family with no other children present	230
Warrnambool	Blended family with no other children present	219
Warrnambool	Blended family with other children present	3
Warrnambool	Intact family with no other children present	4674
Warrnambool	Intact family with other children present	28
Warrnambool	Other couple family with other children only	36
Warrnambool	Step family with no other children present	313
Warrnambool	Step family with other children present	6
Capalaba	Blended family with no other children present	437
Capalaba	Intact family with no other children present	8047
Capalaba	Intact family with other children present	92
Capalaba	Other couple family with other children only	35
Capalaba	Step family with no other children present	756
Capalaba	Step family with other children present	23
Cleveland - Stradbroke	Blended family with no other children present	488
Cleveland - Stradbroke	Blended family with other children present	6
Cleveland - Stradbroke	Intact family with no other children present	8489
Cleveland - Stradbroke	Intact family with other children present	76
Cleveland - Stradbroke	Other couple family with other children only	41
Cleveland - Stradbroke	Step family with no other children present	843
Cleveland - Stradbroke	Step family with other children present	18
Wynnum - Manly	Blended family with no other children present	372
Wynnum - Manly	Blended family with other children present	6
Wynnum - Manly	Intact family with no other children present	7757
Wynnum - Manly	Intact family with other children present	70
Wynnum - Manly	Other couple family with other children only	24
Wynnum - Manly	Step family with no other children present	694
Wynnum - Manly	Step family with other children present	16
Bald Hills - Everton Park	Blended family with no other children present	176
Bald Hills - Everton Park	Blended family with other children present	4
Bald Hills - Everton Park	Intact family with no other children present	4880
Bald Hills - Everton Park	Intact family with other children present	55
Bald Hills - Everton Park	Other couple family with other children only	11
Bald Hills - Everton Park	Step family with no other children present	345
Bald Hills - Everton Park	Step family with other children present	3
Chermside	Blended family with no other children present	251
Chermside	Blended family with other children present	9
Chermside	Intact family with no other children present	6955
Chermside	Intact family with other children present	81
Chermside	Other couple family with other children only	21
Chermside	Step family with no other children present	505
Chermside	Step family with other children present	5
Nundah	Blended family with no other children present	115
Nundah	Blended family with other children present	4
Nundah	Intact family with no other children present	3599
Nundah	Intact family with other children present	51
Nundah	Other couple family with other children only	6
Nundah	Step family with no other children present	319
Nundah	Step family with other children present	4
Sandgate	Blended family with no other children present	243
Sandgate	Blended family with other children present	3
Sandgate	Intact family with no other children present	6092
Sandgate	Intact family with other children present	73
Sandgate	Other couple family with other children only	21
Sandgate	Step family with no other children present	512
Sandgate	Step family with other children present	5
Carindale	Blended family with no other children present	144
Carindale	Intact family with no other children present	5881
Carindale	Intact family with other children present	66
Carindale	Other couple family with other children only	8
Carindale	Step family with no other children present	370
Carindale	Step family with other children present	8
Holland Park - Yeronga	Blended family with no other children present	151
Holland Park - Yeronga	Blended family with other children present	5
Holland Park - Yeronga	Intact family with no other children present	6282
Holland Park - Yeronga	Intact family with other children present	47
Holland Park - Yeronga	Other couple family with other children only	22
Holland Park - Yeronga	Step family with no other children present	406
Holland Park - Yeronga	Step family with other children present	8
Mt Gravatt	Blended family with no other children present	211
Mt Gravatt	Blended family with other children present	6
Mt Gravatt	Intact family with no other children present	7967
Mt Gravatt	Intact family with other children present	117
Mt Gravatt	Other couple family with other children only	30
Mt Gravatt	Step family with no other children present	443
Mt Gravatt	Step family with other children present	8
Nathan	Blended family with no other children present	94
Nathan	Intact family with no other children present	4096
Nathan	Intact family with other children present	52
Nathan	Other couple family with other children only	12
Nathan	Step family with no other children present	230
Nathan	Step family with other children present	3
Rocklea - Acacia Ridge	Blended family with no other children present	271
Rocklea - Acacia Ridge	Blended family with other children present	10
Rocklea - Acacia Ridge	Intact family with no other children present	7415
Rocklea - Acacia Ridge	Intact family with other children present	165
Rocklea - Acacia Ridge	Other couple family with other children only	30
Rocklea - Acacia Ridge	Step family with no other children present	459
Rocklea - Acacia Ridge	Step family with other children present	17
Sunnybank	Blended family with no other children present	144
Sunnybank	Blended family with other children present	4
Sunnybank	Intact family with no other children present	5606
Sunnybank	Intact family with other children present	100
Sunnybank	Other couple family with other children only	24
Sunnybank	Step family with no other children present	290
Sunnybank	Step family with other children present	14
Centenary	Blended family with no other children present	123
Centenary	Intact family with no other children present	4379
Centenary	Intact family with other children present	33
Centenary	Other couple family with other children only	5
Centenary	Step family with no other children present	310
Centenary	Step family with other children present	3
Kenmore - Brookfield - Moggill	Blended family with no other children present	179
Kenmore - Brookfield - Moggill	Intact family with no other children present	6330
Kenmore - Brookfield - Moggill	Intact family with other children present	41
Kenmore - Brookfield - Moggill	Other couple family with other children only	12
Kenmore - Brookfield - Moggill	Step family with no other children present	335
Kenmore - Brookfield - Moggill	Step family with other children present	3
Sherwood - Indooroopilly	Blended family with no other children present	83
Sherwood - Indooroopilly	Intact family with no other children present	4732
Sherwood - Indooroopilly	Intact family with other children present	43
Sherwood - Indooroopilly	Other couple family with other children only	14
Sherwood - Indooroopilly	Step family with no other children present	224
The Gap - Enoggera	Blended family with no other children present	208
The Gap - Enoggera	Intact family with no other children present	5926
The Gap - Enoggera	Intact family with other children present	41
The Gap - Enoggera	Other couple family with other children only	15
The Gap - Enoggera	Step family with no other children present	420
The Gap - Enoggera	Step family with other children present	5
Brisbane Inner	Blended family with no other children present	65
Brisbane Inner	Intact family with no other children present	3267
Brisbane Inner	Intact family with other children present	20
Brisbane Inner	Other couple family with other children only	9
Brisbane Inner	Step family with no other children present	256
Brisbane Inner	Step family with other children present	3
Brisbane Inner - East	Blended family with no other children present	103
Brisbane Inner - East	Blended family with other children present	3
Brisbane Inner - East	Intact family with no other children present	4102
Brisbane Inner - East	Intact family with other children present	19
Brisbane Inner - East	Other couple family with other children only	8
Brisbane Inner - East	Step family with no other children present	277
Brisbane Inner - East	Step family with other children present	3
Brisbane Inner - North	Blended family with no other children present	165
Brisbane Inner - North	Intact family with no other children present	7361
Brisbane Inner - North	Intact family with other children present	40
Brisbane Inner - North	Other couple family with other children only	18
Brisbane Inner - North	Step family with no other children present	489
Brisbane Inner - North	Step family with other children present	3
Brisbane Inner - West	Blended family with no other children present	123
Brisbane Inner - West	Intact family with no other children present	5524
Brisbane Inner - West	Intact family with other children present	21
Brisbane Inner - West	Other couple family with other children only	13
Brisbane Inner - West	Step family with no other children present	325
Cairns - North	Blended family with no other children present	232
Cairns - North	Blended family with other children present	3
Cairns - North	Intact family with no other children present	5272
Cairns - North	Intact family with other children present	55
Cairns - North	Other couple family with other children only	37
Cairns - North	Step family with no other children present	443
Cairns - North	Step family with other children present	9
Cairns - South	Blended family with no other children present	449
Cairns - South	Blended family with other children present	14
Cairns - South	Intact family with no other children present	8007
Cairns - South	Intact family with other children present	149
Cairns - South	Other couple family with other children only	72
Cairns - South	Step family with no other children present	787
Cairns - South	Step family with other children present	26
Innisfail - Cassowary Coast	Blended family with no other children present	129
Innisfail - Cassowary Coast	Blended family with other children present	4
Innisfail - Cassowary Coast	Intact family with no other children present	2758
Innisfail - Cassowary Coast	Intact family with other children present	73
Innisfail - Cassowary Coast	Other couple family with other children only	35
Innisfail - Cassowary Coast	Step family with no other children present	196
Innisfail - Cassowary Coast	Step family with other children present	4
Port Douglas - Daintree	Blended family with no other children present	47
Port Douglas - Daintree	Blended family with other children present	3
Port Douglas - Daintree	Intact family with no other children present	777
Port Douglas - Daintree	Intact family with other children present	10
Port Douglas - Daintree	Other couple family with other children only	7
Port Douglas - Daintree	Step family with no other children present	68
Port Douglas - Daintree	Step family with other children present	3
Tablelands (East) - Kuranda	Blended family with no other children present	178
Tablelands (East) - Kuranda	Blended family with other children present	3
Tablelands (East) - Kuranda	Intact family with no other children present	3110
Tablelands (East) - Kuranda	Intact family with other children present	51
Tablelands (East) - Kuranda	Other couple family with other children only	35
Tablelands (East) - Kuranda	Step family with no other children present	280
Tablelands (East) - Kuranda	Step family with other children present	17
Darling Downs (West) - Maranoa	Blended family with no other children present	212
Darling Downs (West) - Maranoa	Blended family with other children present	5
Darling Downs (West) - Maranoa	Intact family with no other children present	3948
Darling Downs (West) - Maranoa	Intact family with other children present	41
Darling Downs (West) - Maranoa	Other couple family with other children only	33
Darling Downs (West) - Maranoa	Step family with no other children present	231
Darling Downs (West) - Maranoa	Step family with other children present	4
Darling Downs - East	Blended family with no other children present	274
Darling Downs - East	Blended family with other children present	5
Darling Downs - East	Intact family with no other children present	3804
Darling Downs - East	Intact family with other children present	61
Darling Downs - East	Other couple family with other children only	33
Darling Downs - East	Step family with no other children present	268
Granite Belt	Blended family with no other children present	217
Granite Belt	Intact family with no other children present	3376
Granite Belt	Intact family with other children present	40
Granite Belt	Other couple family with other children only	36
Granite Belt	Step family with no other children present	291
Granite Belt	Step family with other children present	5
Central Highlands (Qld)	Blended family with no other children present	171
Central Highlands (Qld)	Intact family with no other children present	3019
Central Highlands (Qld)	Intact family with other children present	27
Central Highlands (Qld)	Other couple family with other children only	27
Central Highlands (Qld)	Step family with no other children present	177
Central Highlands (Qld)	Step family with other children present	4
Rockhampton	Blended family with no other children present	660
Rockhampton	Blended family with other children present	15
Rockhampton	Intact family with no other children present	10307
Rockhampton	Intact family with other children present	148
Rockhampton	Other couple family with other children only	85
Rockhampton	Step family with no other children present	909
Rockhampton	Step family with other children present	28
Biloela	Blended family with no other children present	77
Biloela	Intact family with no other children present	1480
Biloela	Intact family with other children present	10
Biloela	Other couple family with other children only	13
Biloela	Step family with no other children present	91
Gladstone	Blended family with no other children present	427
Gladstone	Blended family with other children present	3
Gladstone	Intact family with no other children present	6239
Gladstone	Intact family with other children present	75
Gladstone	Other couple family with other children only	44
Gladstone	Step family with no other children present	544
Gladstone	Step family with other children present	3
Broadbeach - Burleigh	Blended family with no other children present	185
Broadbeach - Burleigh	Intact family with no other children present	5011
Broadbeach - Burleigh	Intact family with other children present	32
Broadbeach - Burleigh	Other couple family with other children only	21
Broadbeach - Burleigh	Step family with no other children present	495
Broadbeach - Burleigh	Step family with other children present	15
Coolangatta	Blended family with no other children present	226
Coolangatta	Intact family with no other children present	4595
Coolangatta	Intact family with other children present	43
Coolangatta	Other couple family with other children only	26
Coolangatta	Step family with no other children present	429
Coolangatta	Step family with other children present	12
Gold Coast - North	Blended family with no other children present	251
Gold Coast - North	Intact family with no other children present	4908
Gold Coast - North	Intact family with other children present	57
Gold Coast - North	Other couple family with other children only	28
Gold Coast - North	Step family with no other children present	547
Gold Coast - North	Step family with other children present	9
Gold Coast Hinterland	Blended family with no other children present	86
Gold Coast Hinterland	Blended family with other children present	3
Gold Coast Hinterland	Intact family with no other children present	1761
Gold Coast Hinterland	Intact family with other children present	16
Gold Coast Hinterland	Other couple family with other children only	11
Gold Coast Hinterland	Step family with no other children present	198
Gold Coast Hinterland	Step family with other children present	8
Mudgeeraba - Tallebudgera	Blended family with no other children present	189
Mudgeeraba - Tallebudgera	Blended family with other children present	3
Mudgeeraba - Tallebudgera	Intact family with no other children present	4226
Mudgeeraba - Tallebudgera	Intact family with other children present	50
Mudgeeraba - Tallebudgera	Other couple family with other children only	17
Mudgeeraba - Tallebudgera	Step family with no other children present	320
Mudgeeraba - Tallebudgera	Step family with other children present	13
Nerang	Blended family with no other children present	453
Nerang	Blended family with other children present	10
Nerang	Intact family with no other children present	7124
Nerang	Intact family with other children present	106
Nerang	Other couple family with other children only	42
Nerang	Step family with no other children present	717
Nerang	Step family with other children present	16
Ormeau - Oxenford	Blended family with no other children present	946
Ormeau - Oxenford	Blended family with other children present	16
Ormeau - Oxenford	Intact family with no other children present	13750
Ormeau - Oxenford	Intact family with other children present	192
Ormeau - Oxenford	Other couple family with other children only	52
Ormeau - Oxenford	Step family with no other children present	1327
Ormeau - Oxenford	Step family with other children present	35
Robina	Blended family with no other children present	201
Robina	Intact family with no other children present	4789
Robina	Intact family with other children present	60
Robina	Other couple family with other children only	28
Robina	Step family with no other children present	472
Robina	Step family with other children present	7
Southport	Blended family with no other children present	206
Southport	Intact family with no other children present	4650
Southport	Intact family with other children present	55
Southport	Other couple family with other children only	11
Southport	Step family with no other children present	437
Southport	Step family with other children present	12
Surfers Paradise	Blended family with no other children present	87
Surfers Paradise	Intact family with no other children present	2603
Surfers Paradise	Intact family with other children present	26
Surfers Paradise	Other couple family with other children only	13
Surfers Paradise	Step family with no other children present	258
Forest Lake - Oxley	Blended family with no other children present	343
Forest Lake - Oxley	Blended family with other children present	7
Forest Lake - Oxley	Intact family with no other children present	7175
Forest Lake - Oxley	Intact family with other children present	160
Forest Lake - Oxley	Other couple family with other children only	64
Forest Lake - Oxley	Step family with no other children present	560
Forest Lake - Oxley	Step family with other children present	18
Ipswich Hinterland	Blended family with no other children present	445
Ipswich Hinterland	Blended family with other children present	9
Ipswich Hinterland	Intact family with no other children present	5376
Ipswich Hinterland	Intact family with other children present	86
Ipswich Hinterland	Other couple family with other children only	76
Ipswich Hinterland	Step family with no other children present	538
Ipswich Hinterland	Step family with other children present	18
Ipswich Inner	Blended family with no other children present	750
Ipswich Inner	Blended family with other children present	15
Ipswich Inner	Intact family with no other children present	9586
Ipswich Inner	Intact family with other children present	151
Ipswich Inner	Other couple family with other children only	80
Ipswich Inner	Step family with no other children present	1060
Ipswich Inner	Step family with other children present	15
Springfield - Redbank	Blended family with no other children present	694
Springfield - Redbank	Blended family with other children present	25
Springfield - Redbank	Intact family with no other children present	9015
Springfield - Redbank	Intact family with other children present	227
Springfield - Redbank	Other couple family with other children only	67
Springfield - Redbank	Step family with no other children present	846
Springfield - Redbank	Step family with other children present	30
Beaudesert	Blended family with no other children present	89
Beaudesert	Blended family with other children present	3
Beaudesert	Intact family with no other children present	1119
Beaudesert	Intact family with other children present	17
Beaudesert	Other couple family with other children only	15
Beaudesert	Step family with no other children present	121
Beaudesert	Step family with other children present	3
Beenleigh	Blended family with no other children present	299
Beenleigh	Blended family with other children present	11
Beenleigh	Intact family with no other children present	3340
Beenleigh	Intact family with other children present	73
Beenleigh	Other couple family with other children only	38
Beenleigh	Step family with no other children present	427
Beenleigh	Step family with other children present	17
Browns Plains	Blended family with no other children present	649
Browns Plains	Blended family with other children present	19
Browns Plains	Intact family with no other children present	8075
Browns Plains	Intact family with other children present	188
Browns Plains	Other couple family with other children only	59
Browns Plains	Step family with no other children present	784
Browns Plains	Step family with other children present	35
Jimboomba	Blended family with no other children present	430
Jimboomba	Blended family with other children present	5
Jimboomba	Intact family with no other children present	5459
Jimboomba	Intact family with other children present	89
Jimboomba	Other couple family with other children only	55
Jimboomba	Step family with no other children present	517
Jimboomba	Step family with other children present	22
Loganlea - Carbrook	Blended family with no other children present	426
Loganlea - Carbrook	Blended family with other children present	6
Loganlea - Carbrook	Intact family with no other children present	6036
Loganlea - Carbrook	Intact family with other children present	117
