SA3_NAME16	Age	persons
Queanbeyan	0-4	3724
Queanbeyan	5-14	7512
Queanbeyan	15-19	3590
Queanbeyan	20-24	3288
Queanbeyan	25-34	7796
Queanbeyan	35-44	8048
Queanbeyan	45-54	9179
Queanbeyan	55-64	7171
Queanbeyan	65-74	4426
Queanbeyan	75-84	1912
Queanbeyan	85+	693
Snowy Mountains	0-4	903
Snowy Mountains	5-14	2368
Snowy Mountains	15-19	1128
Snowy Mountains	20-24	1042
Snowy Mountains	25-34	2163
Snowy Mountains	35-44	2328
Snowy Mountains	45-54	2909
Snowy Mountains	55-64	2771
Snowy Mountains	65-74	2193
Snowy Mountains	75-84	1117
Snowy Mountains	85+	449
South Coast	0-4	2955
South Coast	5-14	7657
South Coast	15-19	3603
South Coast	20-24	2466
South Coast	25-34	5101
South Coast	35-44	6542
South Coast	45-54	9338
South Coast	55-64	12972
South Coast	65-74	11696
South Coast	75-84	5929
South Coast	85+	2389
Goulburn - Mulwaree	0-4	2075
Goulburn - Mulwaree	5-14	4320
Goulburn - Mulwaree	15-19	2102
Goulburn - Mulwaree	20-24	1884
Goulburn - Mulwaree	25-34	4008
Goulburn - Mulwaree	35-44	4125
Goulburn - Mulwaree	45-54	4924
Goulburn - Mulwaree	55-64	4913
Goulburn - Mulwaree	65-74	4085
Goulburn - Mulwaree	75-84	2236
Goulburn - Mulwaree	85+	892
Young - Yass	0-4	2210
Young - Yass	5-14	5041
Young - Yass	15-19	2237
Young - Yass	20-24	1685
Young - Yass	25-34	3269
Young - Yass	35-44	4388
Young - Yass	45-54	5156
Young - Yass	55-64	4910
Young - Yass	65-74	4152
Young - Yass	75-84	2058
Young - Yass	85+	839
Gosford	0-4	9576
Gosford	5-14	20665
Gosford	15-19	10075
Gosford	20-24	8922
Gosford	25-34	17712
Gosford	35-44	20598
Gosford	45-54	23046
Gosford	55-64	22432
Gosford	65-74	19200
Gosford	75-84	11143
Gosford	85+	5691
Wyong	0-4	9610
Wyong	5-14	20582
Wyong	15-19	9858
Wyong	20-24	9255
Wyong	25-34	17565
Wyong	35-44	18777
Wyong	45-54	20583
Wyong	55-64	19932
Wyong	65-74	17392
Wyong	75-84	10552
Wyong	85+	4585
Bathurst	0-4	2846
Bathurst	5-14	6196
Bathurst	15-19	3329
Bathurst	20-24	3463
Bathurst	25-34	5657
Bathurst	35-44	5440
Bathurst	45-54	5993
Bathurst	55-64	5720
Bathurst	65-74	4632
Bathurst	75-84	2311
Bathurst	85+	1008
Lachlan Valley	0-4	3400
Lachlan Valley	5-14	7418
Lachlan Valley	15-19	3353
Lachlan Valley	20-24	2793
Lachlan Valley	25-34	5430
Lachlan Valley	35-44	5797
Lachlan Valley	45-54	7111
Lachlan Valley	55-64	7638
Lachlan Valley	65-74	6548
Lachlan Valley	75-84	4102
Lachlan Valley	85+	1749
Lithgow - Mudgee	0-4	2942
Lithgow - Mudgee	5-14	5825
Lithgow - Mudgee	15-19	2585
Lithgow - Mudgee	20-24	2288
Lithgow - Mudgee	25-34	5027
Lithgow - Mudgee	35-44	5232
Lithgow - Mudgee	45-54	6477
Lithgow - Mudgee	55-64	6448
Lithgow - Mudgee	65-74	5779
Lithgow - Mudgee	75-84	2968
Lithgow - Mudgee	85+	1051
Orange	0-4	4106
Orange	5-14	8183
Orange	15-19	3821
Orange	20-24	3016
Orange	25-34	6988
Orange	35-44	7183
Orange	45-54	7433
Orange	55-64	6968
Orange	65-74	5526
Orange	75-84	3131
Orange	85+	1262
Clarence Valley	0-4	2447
Clarence Valley	5-14	5782
Clarence Valley	15-19	2940
Clarence Valley	20-24	2035
Clarence Valley	25-34	4120
Clarence Valley	35-44	5110
Clarence Valley	45-54	6640
Clarence Valley	55-64	8259
Clarence Valley	65-74	7351
Clarence Valley	75-84	3967
Clarence Valley	85+	1614
Coffs Harbour	0-4	4682
Coffs Harbour	5-14	10949
Coffs Harbour	15-19	5080
Coffs Harbour	20-24	4096
Coffs Harbour	25-34	8633
Coffs Harbour	35-44	9576
Coffs Harbour	45-54	11522
Coffs Harbour	55-64	13028
Coffs Harbour	65-74	10281
Coffs Harbour	75-84	5730
Coffs Harbour	85+	2437
Bourke - Cobar - Coonamble	0-4	1772
Bourke - Cobar - Coonamble	5-14	3335
Bourke - Cobar - Coonamble	15-19	1229
Bourke - Cobar - Coonamble	20-24	1337
Bourke - Cobar - Coonamble	25-34	3058
Bourke - Cobar - Coonamble	35-44	2646
Bourke - Cobar - Coonamble	45-54	3367
Bourke - Cobar - Coonamble	55-64	3219
Bourke - Cobar - Coonamble	65-74	2432
Bourke - Cobar - Coonamble	75-84	1308
Bourke - Cobar - Coonamble	85+	444
Broken Hill and Far West	0-4	1159
Broken Hill and Far West	5-14	2265
Broken Hill and Far West	15-19	1092
Broken Hill and Far West	20-24	1110
Broken Hill and Far West	25-34	2452
Broken Hill and Far West	35-44	2160
Broken Hill and Far West	45-54	2689
Broken Hill and Far West	55-64	3029
Broken Hill and Far West	65-74	2321
Broken Hill and Far West	75-84	1307
Broken Hill and Far West	85+	625
Dubbo	0-4	4701
Dubbo	5-14	9397
Dubbo	15-19	4188
Dubbo	20-24	4001
Dubbo	25-34	8492
Dubbo	35-44	7851
Dubbo	45-54	8854
Dubbo	55-64	9050
Dubbo	65-74	7072
Dubbo	75-84	4131
Dubbo	85+	1677
Lower Hunter	0-4	5810
Lower Hunter	5-14	12121
Lower Hunter	15-19	5684
Lower Hunter	20-24	5302
Lower Hunter	25-34	10876
Lower Hunter	35-44	10940
Lower Hunter	45-54	11672
Lower Hunter	55-64	11386
Lower Hunter	65-74	8346
Lower Hunter	75-84	3961
Lower Hunter	85+	1581
Maitland	0-4	5548
Maitland	5-14	10696
Maitland	15-19	4736
Maitland	20-24	4603
Maitland	25-34	10188
Maitland	35-44	9816
Maitland	45-54	9525
Maitland	55-64	8447
Maitland	65-74	6217
Maitland	75-84	3132
Maitland	85+	1248
Port Stephens	0-4	3806
Port Stephens	5-14	8755
Port Stephens	15-19	4200
Port Stephens	20-24	3561
Port Stephens	25-34	6604
Port Stephens	35-44	7884
Port Stephens	45-54	9459
Port Stephens	55-64	10079
Port Stephens	65-74	10062
Port Stephens	75-84	5134
Port Stephens	85+	1840
Upper Hunter	0-4	2101
Upper Hunter	5-14	4433
Upper Hunter	15-19	1791
Upper Hunter	20-24	1622
Upper Hunter	25-34	3938
Upper Hunter	35-44	3838
Upper Hunter	45-54	4122
Upper Hunter	55-64	3654
Upper Hunter	65-74	2695
Upper Hunter	75-84	1450
Upper Hunter	85+	553
Dapto - Port Kembla	0-4	4767
Dapto - Port Kembla	5-14	9647
Dapto - Port Kembla	15-19	4796
Dapto - Port Kembla	20-24	4562
Dapto - Port Kembla	25-34	8906
Dapto - Port Kembla	35-44	9345
Dapto - Port Kembla	45-54	9956
Dapto - Port Kembla	55-64	9269
Dapto - Port Kembla	65-74	7289
Dapto - Port Kembla	75-84	4876
Dapto - Port Kembla	85+	1940
Illawarra Catchment Reserve	65-74	7
Kiama - Shellharbour	0-4	5439
Kiama - Shellharbour	5-14	11770
Kiama - Shellharbour	15-19	5967
Kiama - Shellharbour	20-24	5330
Kiama - Shellharbour	25-34	9860
Kiama - Shellharbour	35-44	10955
Kiama - Shellharbour	45-54	12063
Kiama - Shellharbour	55-64	11957
Kiama - Shellharbour	65-74	9358
Kiama - Shellharbour	75-84	5071
Kiama - Shellharbour	85+	2076
Wollongong	0-4	7266
Wollongong	5-14	14887
Wollongong	15-19	8214
Wollongong	20-24	10963
Wollongong	25-34	17133
Wollongong	35-44	16496
Wollongong	45-54	16507
Wollongong	55-64	15003
Wollongong	65-74	11395
Wollongong	75-84	7123
Wollongong	85+	3312
Great Lakes	0-4	1302
Great Lakes	5-14	3127
Great Lakes	15-19	1541
Great Lakes	20-24	1043
Great Lakes	25-34	2168
Great Lakes	35-44	2796
Great Lakes	45-54	3849
Great Lakes	55-64	5026
Great Lakes	65-74	5619
