SA3_NAME16	Age5yr	Indigenous	Sex	persons
Snowy Mountains	5-9		M	41
Snowy Mountains	5-9	0	F	517
Snowy Mountains	5-9	0	M	573
Snowy Mountains	5-9	1	F	21
Snowy Mountains	5-9	1	M	17
Snowy Mountains	10-14		F	44
Snowy Mountains	10-14		M	41
Snowy Mountains	10-14	0	F	491
Snowy Mountains	10-14	0	M	539
Snowy Mountains	10-14	1	F	16
Snowy Mountains	10-14	1	M	22
Snowy Mountains	15-19		F	32
Snowy Mountains	15-19		M	48
Snowy Mountains	15-19	0	F	466
Snowy Mountains	15-19	0	M	530
Snowy Mountains	15-19	1	F	18
Snowy Mountains	15-19	1	M	30
Snowy Mountains	20-24		F	48
Snowy Mountains	20-24		M	58
Snowy Mountains	20-24	0	F	403
Snowy Mountains	20-24	0	M	502
Snowy Mountains	20-24	1	F	12
Snowy Mountains	20-24	1	M	16
Snowy Mountains	25-29		F	43
Snowy Mountains	25-29		M	56
Snowy Mountains	25-29	0	F	449
Snowy Mountains	25-29	0	M	508
Snowy Mountains	25-29	1	F	13
Snowy Mountains	25-29	1	M	17
Snowy Mountains	30-34		F	40
Snowy Mountains	30-34		M	50
Snowy Mountains	30-34	0	F	470
Snowy Mountains	30-34	0	M	491
Snowy Mountains	30-34	1	F	10
Snowy Mountains	30-34	1	M	18
Snowy Mountains	35-39		F	38
Snowy Mountains	35-39		M	33
Snowy Mountains	35-39	0	F	468
Snowy Mountains	35-39	0	M	465
Snowy Mountains	35-39	1	F	4
Snowy Mountains	35-39	1	M	20
Snowy Mountains	40-44		F	42
Snowy Mountains	40-44		M	56
Snowy Mountains	40-44	0	F	554
Snowy Mountains	40-44	0	M	596
Snowy Mountains	40-44	1	F	17
Snowy Mountains	40-44	1	M	24
Snowy Mountains	45-49		F	59
Snowy Mountains	45-49		M	65
Snowy Mountains	45-49	0	F	632
Snowy Mountains	45-49	0	M	641
Snowy Mountains	45-49	1	F	15
Snowy Mountains	45-49	1	M	12
Snowy Mountains	50-54		F	63
Snowy Mountains	50-54		M	51
Snowy Mountains	50-54	0	F	674
Snowy Mountains	50-54	0	M	673
Snowy Mountains	50-54	1	F	4
Snowy Mountains	50-54	1	M	15
Snowy Mountains	55-59		F	41
Snowy Mountains	55-59		M	54
Snowy Mountains	55-59	0	F	659
Snowy Mountains	55-59	0	M	700
Snowy Mountains	55-59	1	F	6
Snowy Mountains	55-59	1	M	16
Snowy Mountains	60-64		F	44
Snowy Mountains	60-64		M	58
Snowy Mountains	60-64	0	F	545
Snowy Mountains	60-64	0	M	620
Snowy Mountains	60-64	1	F	12
Snowy Mountains	60-64	1	M	3
Snowy Mountains	65+		F	205
Snowy Mountains	65+		M	179
Snowy Mountains	65+	0	F	1677
Snowy Mountains	65+	0	M	1667
Snowy Mountains	65+	1	F	16
Snowy Mountains	65+	1	M	26
South Coast	0-4		F	91
South Coast	0-4		M	97
South Coast	0-4	0	F	1184
South Coast	0-4	0	M	1228
South Coast	0-4	1	F	169
South Coast	0-4	1	M	179
South Coast	5-9		F	125
South Coast	5-9		M	138
South Coast	5-9	0	F	1484
South Coast	5-9	0	M	1616
South Coast	5-9	1	F	200
South Coast	5-9	1	M	195
South Coast	10-14		F	134
South Coast	10-14		M	141
South Coast	10-14	0	F	1548
South Coast	10-14	0	M	1675
South Coast	10-14	1	F	197
South Coast	10-14	1	M	189
South Coast	15-19		F	120
South Coast	15-19		M	129
South Coast	15-19	0	F	1509
South Coast	15-19	0	M	1527
South Coast	15-19	1	F	147
South Coast	15-19	1	M	169
South Coast	20-24		F	89
South Coast	20-24		M	98
South Coast	20-24	0	F	995
South Coast	20-24	0	M	1069
South Coast	20-24	1	F	108
South Coast	20-24	1	M	111
South Coast	25-29		F	79
South Coast	25-29		M	84
South Coast	25-29	0	F	1047
South Coast	25-29	0	M	1012
South Coast	25-29	1	F	69
South Coast	25-29	1	M	80
South Coast	30-34		F	101
South Coast	30-34		M	106
South Coast	30-34	0	F	1205
South Coast	30-34	0	M	1154
South Coast	30-34	1	F	93
South Coast	30-34	1	M	74
South Coast	35-39		F	101
South Coast	35-39		M	96
South Coast	35-39	0	F	1367
South Coast	35-39	0	M	1175
South Coast	35-39	1	F	80
South Coast	35-39	1	M	85
South Coast	40-44		F	124
South Coast	40-44		M	142
South Coast	40-44	0	F	1679
South Coast	40-44	0	M	1510
South Coast	40-44	1	F	107
South Coast	40-44	1	M	73
South Coast	45-49		F	150
South Coast	45-49		M	173
South Coast	45-49	0	F	1983
South Coast	45-49	0	M	1821
South Coast	45-49	1	F	83
South Coast	45-49	1	M	83
South Coast	50-54		F	193
South Coast	50-54		M	201
South Coast	50-54	0	F	2363
South Coast	50-54	0	M	2122
South Coast	50-54	1	F	91
South Coast	50-54	1	M	76
South Coast	55-59		F	218
South Coast	55-59		M	231
South Coast	55-59	0	F	2967
South Coast	55-59	0	M	2682
South Coast	55-59	1	F	92
South Coast	55-59	1	M	60
South Coast	60-64		F	236
South Coast	60-64		M	240
South Coast	60-64	0	F	3159
South Coast	60-64	0	M	2960
South Coast	60-64	1	F	73
South Coast	60-64	1	M	54
South Coast	65+		F	808
South Coast	65+		M	763
South Coast	65+	0	F	9338
South Coast	65+	0	M	8918
South Coast	65+	1	F	105
South Coast	65+	1	M	88
Goulburn - Mulwaree	0-4		F	66
Goulburn - Mulwaree	0-4		M	71
Goulburn - Mulwaree	0-4	0	F	860
Goulburn - Mulwaree	0-4	0	M	936
Goulburn - Mulwaree	0-4	1	F	60
Goulburn - Mulwaree	0-4	1	M	85
Goulburn - Mulwaree	5-9		F	63
Goulburn - Mulwaree	5-9		M	68
Goulburn - Mulwaree	5-9	0	F	900
Goulburn - Mulwaree	5-9	0	M	1005
Goulburn - Mulwaree	5-9	1	F	73
Goulburn - Mulwaree	5-9	1	M	72
Goulburn - Mulwaree	10-14		F	69
Goulburn - Mulwaree	10-14		M	76
Goulburn - Mulwaree	10-14	0	F	870
Goulburn - Mulwaree	10-14	0	M	976
Goulburn - Mulwaree	10-14	1	F	92
Goulburn - Mulwaree	10-14	1	M	70
Goulburn - Mulwaree	15-19		F	76
Goulburn - Mulwaree	15-19		M	81
Goulburn - Mulwaree	15-19	0	F	866
Goulburn - Mulwaree	15-19	0	M	944
Goulburn - Mulwaree	15-19	1	F	63
Goulburn - Mulwaree	15-19	1	M	64
Goulburn - Mulwaree	20-24		F	54
Goulburn - Mulwaree	20-24		M	65
Goulburn - Mulwaree	20-24	0	F	730
Goulburn - Mulwaree	20-24	0	M	943
Goulburn - Mulwaree	20-24	1	F	39
Goulburn - Mulwaree	20-24	1	M	57
Goulburn - Mulwaree	25-29		F	79
Goulburn - Mulwaree	25-29		M	65
Goulburn - Mulwaree	25-29	0	F	864
Goulburn - Mulwaree	25-29	0	M	874
Goulburn - Mulwaree	25-29	1	F	36
Goulburn - Mulwaree	25-29	1	M	71
Goulburn - Mulwaree	30-34		F	68
Goulburn - Mulwaree	30-34		M	63
Goulburn - Mulwaree	30-34	0	F	912
Goulburn - Mulwaree	30-34	0	M	893
Goulburn - Mulwaree	30-34	1	F	36
Goulburn - Mulwaree	30-34	1	M	51
Goulburn - Mulwaree	35-39		F	58
Goulburn - Mulwaree	35-39		M	61
Goulburn - Mulwaree	35-39	0	F	840
Goulburn - Mulwaree	35-39	0	M	904
Goulburn - Mulwaree	35-39	1	F	34
Goulburn - Mulwaree	35-39	1	M	39
Goulburn - Mulwaree	40-44		F	69
Goulburn - Mulwaree	40-44		M	74
Goulburn - Mulwaree	40-44	0	F	961
Goulburn - Mulwaree	40-44	0	M	1007
Goulburn - Mulwaree	40-44	1	F	45
Goulburn - Mulwaree	40-44	1	M	34
Goulburn - Mulwaree	45-49		F	79
Goulburn - Mulwaree	45-49		M	85
Goulburn - Mulwaree	45-49	0	F	1067
Goulburn - Mulwaree	45-49	0	M	1068
Goulburn - Mulwaree	45-49	1	F	31
Goulburn - Mulwaree	45-49	1	M	42
Goulburn - Mulwaree	50-54		F	86
Goulburn - Mulwaree	50-54		M	90
Goulburn - Mulwaree	50-54	0	F	1154
Goulburn - Mulwaree	50-54	0	M	1164
Goulburn - Mulwaree	50-54	1	F	36
Goulburn - Mulwaree	50-54	1	M	31
Goulburn - Mulwaree	55-59		F	84
Goulburn - Mulwaree	55-59		M	76
Goulburn - Mulwaree	55-59	0	F	1147
Goulburn - Mulwaree	55-59	0	M	1163
Goulburn - Mulwaree	55-59	1	F	23
Goulburn - Mulwaree	55-59	1	M	34
Goulburn - Mulwaree	60-64		F	69
Goulburn - Mulwaree	60-64		M	78
Goulburn - Mulwaree	60-64	0	F	1135
Goulburn - Mulwaree	60-64	0	M	1063
Goulburn - Mulwaree	60-64	1	F	19
Goulburn - Mulwaree	60-64	1	M	20
Goulburn - Mulwaree	65+		F	254
Goulburn - Mulwaree	65+		M	272
Goulburn - Mulwaree	65+	0	F	3478
Goulburn - Mulwaree	65+	0	M	3141
Goulburn - Mulwaree	65+	1	F	45
Goulburn - Mulwaree	65+	1	M	34
Young - Yass	0-4		F	59
Young - Yass	0-4		M	63
Young - Yass	0-4	0	F	941
Young - Yass	0-4	0	M	994
Young - Yass	0-4	1	F	57
Young - Yass	0-4	1	M	94
Young - Yass	5-9		F	65
Young - Yass	5-9		M	74
Young - Yass	5-9	0	F	1099
Young - Yass	5-9	0	M	1155
Young - Yass	5-9	1	F	87
Young - Yass	5-9	1	M	88
Young - Yass	10-14		F	72
Young - Yass	10-14		M	80
Young - Yass	10-14	0	F	1063
Young - Yass	10-14	0	M	1109
Young - Yass	10-14	1	F	80
Young - Yass	10-14	1	M	72
Young - Yass	15-19		F	92
Young - Yass	15-19		M	64
Young - Yass	15-19	0	F	984
Young - Yass	15-19	0	M	966
Young - Yass	15-19	1	F	60
Young - Yass	15-19	1	M	76
Young - Yass	20-24		F	63
Young - Yass	20-24		M	53
Young - Yass	20-24	0	F	768
Young - Yass	20-24	0	M	719
Young - Yass	20-24	1	F	38
Young - Yass	20-24	1	M	43
Young - Yass	25-29		F	51
Young - Yass	25-29		M	49
Young - Yass	25-29	0	F	699
Young - Yass	25-29	0	M	685
Young - Yass	25-29	1	F	30
Young - Yass	25-29	1	M	33
Young - Yass	30-34		F	49
Young - Yass	30-34		M	47
Young - Yass	30-34	0	F	861
Young - Yass	30-34	0	M	699
Young - Yass	30-34	1	F	29
Young - Yass	30-34	1	M	34
Young - Yass	35-39		F	60
Young - Yass	35-39		M	58
Young - Yass	35-39	0	F	950
Young - Yass	35-39	0	M	808
Young - Yass	35-39	1	F	23
Young - Yass	35-39	1	M	28
Young - Yass	40-44		F	75
Young - Yass	40-44		M	90
Young - Yass	40-44	0	F	1125
Young - Yass	40-44	0	M	1117
Young - Yass	40-44	1	F	28
Young - Yass	40-44	1	M	29
Young - Yass	45-49		F	97
Young - Yass	45-49		M	70
Young - Yass	45-49	0	F	1257
Young - Yass	45-49	0	M	1078
Young - Yass	45-49	1	F	41
Young - Yass	45-49	1	M	35
Young - Yass	50-54		F	73
Young - Yass	50-54		M	89
Young - Yass	50-54	0	F	1152
Young - Yass	50-54	0	M	1191
Young - Yass	50-54	1	F	38
Young - Yass	50-54	1	M	39
Young - Yass	55-59		F	81
Young - Yass	55-59		M	92
Young - Yass	55-59	0	F	1134
Young - Yass	55-59	0	M	1171
Young - Yass	55-59	1	F	19
Young - Yass	55-59	1	M	21
Young - Yass	60-64		F	73
Young - Yass	60-64		M	91
Young - Yass	60-64	0	F	1087
Young - Yass	60-64	0	M	1082
Young - Yass	60-64	1	F	20
Young - Yass	60-64	1	M	21
Young - Yass	65+		F	261
Young - Yass	65+		M	235
Young - Yass	65+	0	F	3359
Young - Yass	65+	0	M	3101
Young - Yass	65+	1	F	49
Young - Yass	65+	1	M	45
Gosford	0-4		F	225
Gosford	0-4		M	224
Gosford	0-4	0	F	4131
Gosford	0-4	0	M	4459
Gosford	0-4	1	F	253
Gosford	0-4	1	M	287
Gosford	5-9		F	246
Gosford	5-9		M	236
Gosford	5-9	0	F	4605
Gosford	5-9	0	M	4885
Gosford	5-9	1	F	276
Gosford	5-9	1	M	235
Gosford	10-14		F	203
Gosford	10-14		M	249
Gosford	10-14	0	F	4534
Gosford	10-14	0	M	4699
Gosford	10-14	1	F	235
Gosford	10-14	1	M	271
Gosford	15-19		F	205
Gosford	15-19		M	272
Gosford	15-19	0	F	4486
Gosford	15-19	0	M	4544
Gosford	15-19	1	F	265
Gosford	15-19	1	M	298
Gosford	20-24		F	240
Gosford	20-24		M	231
Gosford	20-24	0	F	3830
Gosford	20-24	0	M	4172
Gosford	20-24	1	F	206
Gosford	20-24	1	M	236
Gosford	25-29		F	220
Gosford	25-29		M	221
Gosford	25-29	0	F	3903
Gosford	25-29	0	M	3942
Gosford	25-29	1	F	174
Gosford	25-29	1	M	173
Gosford	30-34		F	227
Gosford	30-34		M	227
Gosford	30-34	0	F	4316
Gosford	30-34	0	M	4031
Gosford	30-34	1	F	132
Gosford	30-34	1	M	152
Gosford	35-39		F	227
Gosford	35-39		M	241
Gosford	35-39	0	F	4593
Gosford	35-39	0	M	4280
Gosford	35-39	1	F	112
Gosford	35-39	1	M	123
Gosford	40-44		F	272
Gosford	40-44		M	288
Gosford	40-44	0	F	5261
Gosford	40-44	0	M	4969
Gosford	40-44	1	F	123
Gosford	40-44	1	M	111
Gosford	45-49		F	279
Gosford	45-49		M	288
Gosford	45-49	0	F	5564
Gosford	45-49	0	M	5065
Gosford	45-49	1	F	145
Gosford	45-49	1	M	100
Gosford	50-54		F	285
Gosford	50-54		M	265
Gosford	50-54	0	F	5561
Gosford	50-54	0	M	5228
Gosford	50-54	1	F	154
Gosford	50-54	1	M	118
Gosford	55-59		F	286
Gosford	55-59		M	307
Gosford	55-59	0	F	5775
Gosford	55-59	0	M	5166
Gosford	55-59	1	F	95
Gosford	55-59	1	M	102
Gosford	60-64		F	245
Gosford	60-64		M	276
Gosford	60-64	0	F	5285
Gosford	60-64	0	M	4739
Gosford	60-64	1	F	88
