SA3_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Queanbeyan	15-19		F	106
Queanbeyan	15-19		M	109
Queanbeyan	15-19	Did not go to school	M	5
Queanbeyan	15-19	Year 8 or below	F	10
Queanbeyan	15-19	Year 8 or below	M	13
Queanbeyan	15-19	Year 9	F	22
Queanbeyan	15-19	Year 9	M	32
Queanbeyan	15-19	Year 10	F	68
Queanbeyan	15-19	Year 10	M	150
Queanbeyan	15-19	Year 11	F	65
Queanbeyan	15-19	Year 11	M	81
Queanbeyan	15-19	Year 12	F	457
Queanbeyan	15-19	Year 12	M	391
Queanbeyan	20-24		F	130
Queanbeyan	20-24		M	131
Queanbeyan	20-24	Year 8 or below	F	10
Queanbeyan	20-24	Year 8 or below	M	7
Queanbeyan	20-24	Year 9	F	31
Queanbeyan	20-24	Year 9	M	34
Queanbeyan	20-24	Year 10	F	199
Queanbeyan	20-24	Year 10	M	265
Queanbeyan	20-24	Year 11	F	79
Queanbeyan	20-24	Year 11	M	94
Queanbeyan	20-24	Year 12	F	1224
Queanbeyan	20-24	Year 12	M	1079
Queanbeyan	25-34		F	331
Queanbeyan	25-34		M	313
Queanbeyan	25-34	Did not go to school	F	4
Queanbeyan	25-34	Did not go to school	M	4
Queanbeyan	25-34	Year 8 or below	F	19
Queanbeyan	25-34	Year 8 or below	M	39
Queanbeyan	25-34	Year 9	F	70
Queanbeyan	25-34	Year 9	M	106
Queanbeyan	25-34	Year 10	F	404
Queanbeyan	25-34	Year 10	M	586
Queanbeyan	25-34	Year 11	F	190
Queanbeyan	25-34	Year 11	M	226
Queanbeyan	25-34	Year 12	F	2938
Queanbeyan	25-34	Year 12	M	2562
Queanbeyan	35-44		F	285
Queanbeyan	35-44		M	329
Queanbeyan	35-44	Did not go to school	F	8
Queanbeyan	35-44	Did not go to school	M	6
Queanbeyan	35-44	Year 8 or below	F	27
Queanbeyan	35-44	Year 8 or below	M	40
Queanbeyan	35-44	Year 9	F	72
Queanbeyan	35-44	Year 9	M	93
Queanbeyan	35-44	Year 10	F	457
Queanbeyan	35-44	Year 10	M	618
Queanbeyan	35-44	Year 11	F	185
