SA3_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
Queanbeyan				3775
Queanbeyan		0	0	140
Queanbeyan		0	1	39
Queanbeyan		1	0	15
Queanbeyan		1	1	339
Queanbeyan	Australian			297
Queanbeyan	Australian		1	17371
Queanbeyan	Australian	0	0	394
Queanbeyan	Australian	0	1	2044
Queanbeyan	Australian	1	0	1563
Queanbeyan	Australian Aboriginal			5
Queanbeyan	Australian Aboriginal	0	0	3
Queanbeyan	Australian Aboriginal	0	1	20
Queanbeyan	Australian Aboriginal	1	0	5
Queanbeyan	Australian Aboriginal	1	1	215
Queanbeyan	Chinese			8
Queanbeyan	Chinese	0	0	503
Queanbeyan	Chinese	0	1	23
Queanbeyan	Chinese	1	0	39
Queanbeyan	Chinese	1	1	136
Queanbeyan	Croatian			5
Queanbeyan	Croatian	0	0	358
Queanbeyan	Croatian	0	1	69
Queanbeyan	Croatian	1	0	22
Queanbeyan	Croatian	1	1	157
Queanbeyan	Dutch			11
Queanbeyan	Dutch	0	0	368
Queanbeyan	Dutch	0	1	137
Queanbeyan	Dutch	1	0	113
Queanbeyan	Dutch	1	1	287
Queanbeyan	English			286
Queanbeyan	English	0	0	3213
Queanbeyan	English	0	1	1829
Queanbeyan	English	1	0	1447
Queanbeyan	English	1	1	14064
Queanbeyan	Filipino			4
Queanbeyan	Filipino	0	0	482
Queanbeyan	Filipino	0	1	7
Queanbeyan	Filipino	1	0	62
Queanbeyan	Filipino	1	1	8
Queanbeyan	French			3
Queanbeyan	French	0	0	116
Queanbeyan	French	0	1	26
Queanbeyan	French	1	0	13
Queanbeyan	French	1	1	157
Queanbeyan	German			20
Queanbeyan	German	0	0	655
Queanbeyan	German	0	1	234
Queanbeyan	German	1	0	164
Queanbeyan	German	1	1	1512
Queanbeyan	Greek			4
Queanbeyan	Greek	0	0	315
Queanbeyan	Greek	0	1	67
Queanbeyan	Greek	1	0	21
Queanbeyan	Greek	1	1	187
Queanbeyan	Hungarian	0	0	138
Queanbeyan	Hungarian	0	1	37
Queanbeyan	Hungarian	1	0	17
Queanbeyan	Hungarian	1	1	60
Queanbeyan	Indian			13
Queanbeyan	Indian	0	0	1006
Queanbeyan	Indian	0	1	29
Queanbeyan	Indian	1	0	17
Queanbeyan	Indian	1	1	24
Queanbeyan	Irish			88
Queanbeyan	Irish	0	0	693
Queanbeyan	Irish	0	1	476
Queanbeyan	Irish	1	0	335
Queanbeyan	Irish	1	1	5787
Queanbeyan	Italian			22
Queanbeyan	Italian	0	0	1003
Queanbeyan	Italian	0	1	273
Queanbeyan	Italian	1	0	100
Queanbeyan	Italian	1	1	925
Queanbeyan	Korean	0	0	56
Queanbeyan	Korean	0	1	7
Queanbeyan	Korean	1	0	8
Queanbeyan	Korean	1	1	3
Queanbeyan	Lebanese			3
Queanbeyan	Lebanese	0	0	61
Queanbeyan	Lebanese	0	1	13
Queanbeyan	Lebanese	1	0	5
Queanbeyan	Lebanese	1	1	45
Queanbeyan	Macedonian			14
Queanbeyan	Macedonian	0	0	877
Queanbeyan	Macedonian	0	1	119
Queanbeyan	Macedonian	1	0	58
Queanbeyan	Macedonian	1	1	152
Queanbeyan	Maltese			10
Queanbeyan	Maltese	0	0	147
Queanbeyan	Maltese	0	1	53
Queanbeyan	Maltese	1	0	28
Queanbeyan	Maltese	1	1	141
Queanbeyan	Maori			5
Queanbeyan	Maori	0	0	198
Queanbeyan	Maori	0	1	41
Queanbeyan	Maori	1	0	27
Queanbeyan	Maori	1	1	25
Queanbeyan	NZ			4
Queanbeyan	NZ	0	0	205
Queanbeyan	NZ	0	1	111
Queanbeyan	NZ	1	0	79
Queanbeyan	NZ	1	1	47
Queanbeyan	(Other)			43
Queanbeyan	(Other)	0	0	3002
Queanbeyan	(Other)	0	1	432
Queanbeyan	(Other)	1	0	376
Queanbeyan	(Other)	1	1	651
Queanbeyan	Polish			3
Queanbeyan	Polish	0	0	284
Queanbeyan	Polish	0	1	52
Queanbeyan	Polish	1	0	34
Queanbeyan	Polish	1	1	125
Queanbeyan	Russian			3
Queanbeyan	Russian	0	0	108
Queanbeyan	Russian	0	1	14
Queanbeyan	Russian	1	0	15
Queanbeyan	Russian	1	1	41
Queanbeyan	Scottish			58
Queanbeyan	Scottish	0	0	851
Queanbeyan	Scottish	0	1	471
Queanbeyan	Scottish	1	0	389
Queanbeyan	Scottish	1	1	3873
Queanbeyan	Serbian			5
Queanbeyan	Serbian	0	0	291
Queanbeyan	Serbian	0	1	44
Queanbeyan	Serbian	1	0	35
Queanbeyan	Serbian	1	1	54
Queanbeyan	South African	0	0	82
Queanbeyan	South African	0	1	24
Queanbeyan	South African	1	0	7
Queanbeyan	South African	1	1	5
Queanbeyan	Spanish	0	0	175
Queanbeyan	Spanish	0	1	18
Queanbeyan	Spanish	1	0	21
Queanbeyan	Spanish	1	1	58
Queanbeyan	Sri Lankan	0	0	76
Queanbeyan	Sri Lankan	0	1	12
Queanbeyan	Sri Lankan	1	0	14
Queanbeyan	Sri Lankan	1	1	5
Queanbeyan	Turkish	0	0	32
Queanbeyan	Turkish	0	1	8
Queanbeyan	Vietnamese	0	0	103
Queanbeyan	Vietnamese	0	1	3
Queanbeyan	Vietnamese	1	0	3
Queanbeyan	Welsh			3
Queanbeyan	Welsh	0	0	137
Queanbeyan	Welsh	0	1	50
Queanbeyan	Welsh	1	0	20
Queanbeyan	Welsh	1	1	173
Snowy Mountains				1660
Snowy Mountains		0	0	42
Snowy Mountains		0	1	8
Snowy Mountains		1	0	7
Snowy Mountains		1	1	175
