SA4_NAME16	BornAust	Sex	persons
Capital Region	0	F	13905
Capital Region	0	M	13491
Capital Region	1	F	86653
Capital Region	1	M	86461
Central Coast	0	F	25110
Central Coast	0	M	22946
Central Coast	1	F	132713
Central Coast	1	M	125665
Central West	0	F	7908
Central West	0	M	7635
Central West	1	F	85782
Central West	1	M	85471
Coffs Harbour - Grafton	0	F	8212
Coffs Harbour - Grafton	0	M	7249
Coffs Harbour - Grafton	1	F	55865
Coffs Harbour - Grafton	1	M	53896
Far West and Orana	0	F	3494
Far West and Orana	0	M	3305
Far West and Orana	1	F	47902
Far West and Orana	1	M	47214
Hunter Valley exc Newcastle	0	F	11265
Hunter Valley exc Newcastle	0	M	10775
Hunter Valley exc Newcastle	1	F	111641
Hunter Valley exc Newcastle	1	M	110223
Illawarra	0	F	30034
Illawarra	0	M	28238
Illawarra	1	F	110218
Illawarra	1	M	107680
Mid North Coast	0	F	10710
Mid North Coast	0	M	9824
Mid North Coast	1	F	89180
Mid North Coast	1	M	84831
Murray	0	F	5061
Murray	0	M	4742
Murray	1	F	48296
Murray	1	M	47011
New England and North West	0	F	6532
New England and North West	0	M	6205
New England and North West	1	F	76603
New England and North West	1	M	74300
Newcastle and Lake Macquarie	0	F	21741
Newcastle and Lake Macquarie	0	M	20190
Newcastle and Lake Macquarie	1	F	152579
Newcastle and Lake Macquarie	1	M	147312
Richmond - Tweed	0	F	15712
Richmond - Tweed	0	M	14072
Richmond - Tweed	1	F	96467
Richmond - Tweed	1	M	91491
Riverina	0	F	7410
Riverina	0	M	7729
Riverina	1	F	64006
Riverina	1	M	63182
Southern Highlands and Shoalhaven	0	F	10552
Southern Highlands and Shoalhaven	0	M	9807
Southern Highlands and Shoalhaven	1	F	58923
Southern Highlands and Shoalhaven	1	M	56575
Sydney - Baulkham Hills and Hawkesbury	0	F	37642
Sydney - Baulkham Hills and Hawkesbury	0	M	35311
Sydney - Baulkham Hills and Hawkesbury	1	F	73379
Sydney - Baulkham Hills and Hawkesbury	1	M	72821
Sydney - Blacktown	0	F	69958
Sydney - Blacktown	0	M	67814
Sydney - Blacktown	1	F	91289
Sydney - Blacktown	1	M	91939
Sydney - City and Inner South	0	F	70854
Sydney - City and Inner South	0	M	69322
Sydney - City and Inner South	1	F	67813
Sydney - City and Inner South	1	M	72935
Sydney - Eastern Suburbs	0	F	53543
Sydney - Eastern Suburbs	0	M	49421
Sydney - Eastern Suburbs	1	F	71851
Sydney - Eastern Suburbs	1	M	68614
Sydney - Inner South West	0	F	131619
Sydney - Inner South West	0	M	125736
Sydney - Inner South West	1	F	139687
Sydney - Inner South West	1	M	139867
Sydney - Inner West	0	F	64898
Sydney - Inner West	0	M	60320
Sydney - Inner West	1	F	76230
Sydney - Inner West	1	M	72492
Sydney - North Sydney and Hornsby	0	F	84157
Sydney - North Sydney and Hornsby	0	M	74066
Sydney - North Sydney and Hornsby	1	F	115963
Sydney - North Sydney and Hornsby	1	M	110990
Sydney - Northern Beaches	0	F	37987
Sydney - Northern Beaches	0	M	35090
Sydney - Northern Beaches	1	F	84532
Sydney - Northern Beaches	1	M	81966
Sydney - Outer South West	0	F	33194
Sydney - Outer South West	0	M	31228
Sydney - Outer South West	1	F	92030
Sydney - Outer South West	1	M	89941
Sydney - Outer West and Blue Mountains	0	F	30680
Sydney - Outer West and Blue Mountains	0	M	28793
Sydney - Outer West and Blue Mountains	1	F	116864
Sydney - Outer West and Blue Mountains	1	M	113035
Sydney - Parramatta	0	F	109941
Sydney - Parramatta	0	M	115260
Sydney - Parramatta	1	F	97307
Sydney - Parramatta	1	M	98311
Sydney - Ryde	0	F	43045
Sydney - Ryde	0	M	39053
Sydney - Ryde	1	F	46422
Sydney - Ryde	1	M	46107
Sydney - South West	0	F	97400
Sydney - South West	0	M	89712
Sydney - South West	1	F	94609
Sydney - South West	1	M	97590
Sydney - Sutherland	0	F	20711
Sydney - Sutherland	0	M	18677
Sydney - Sutherland	1	F	86004
Sydney - Sutherland	1	M	83204
Migratory - Offshore - Shipping (NSW)	0	F	86
Migratory - Offshore - Shipping (NSW)	0	M	60
Migratory - Offshore - Shipping (NSW)	1	F	135
Migratory - Offshore - Shipping (NSW)	1	M	102
No usual address (NSW)	0	F	1346
No usual address (NSW)	0	M	1663
No usual address (NSW)	1	F	2726
No usual address (NSW)	1	M	4304
Ballarat	0	F	8020
Ballarat	0	M	7599
Ballarat	1	F	66391
Ballarat	1	M	63356
Bendigo	0	F	6892
Bendigo	0	M	6812
Bendigo	1	F	65031
Bendigo	1	M	61794
Geelong	0	F	21839
Geelong	0	M	21095
Geelong	1	F	111761
Geelong	1	M	105732
Hume	0	F	8553
Hume	0	M	8027
Hume	1	F	70258
Hume	1	M	68657
Latrobe - Gippsland	0	F	16479
Latrobe - Gippsland	0	M	15233
Latrobe - Gippsland	1	F	109246
Latrobe - Gippsland	1	M	106032
Melbourne - Inner	0	F	111762
