SA4_NAME16	Age5yr	ChildrenEverBorn	females
Central Coast	65-69	3	2611
Central Coast	65-69	4	937
Central Coast	65-69	5	275
Central Coast	65-69	6	129
Central Coast	70-74		632
Central Coast	70-74	0	788
Central Coast	70-74	1	757
Central Coast	70-74	2	2958
Central Coast	70-74	3	2251
Central Coast	70-74	4	919
Central Coast	70-74	5	280
Central Coast	70-74	6	127
Central Coast	75-79		651
Central Coast	75-79	0	531
Central Coast	75-79	1	497
Central Coast	75-79	2	1916
Central Coast	75-79	3	1703
Central Coast	75-79	4	881
Central Coast	75-79	5	310
Central Coast	75-79	6	224
Central Coast	80-84		650
Central Coast	80-84	0	469
Central Coast	80-84	1	331
Central Coast	80-84	2	1232
Central Coast	80-84	3	1263
Central Coast	80-84	4	770
Central Coast	80-84	5	292
Central Coast	80-84	6	246
Central Coast	85+		1272
Central Coast	85+	0	501
Central Coast	85+	1	535
Central Coast	85+	2	1463
Central Coast	85+	3	1245
Central Coast	85+	4	745
Central Coast	85+	5	320
Central Coast	85+	6	326
Central West	15-19		971
Central West	15-19	0	5281
Central West	15-19	1	119
Central West	15-19	2	16
Central West	15-19	3	8
Central West	15-19	5	3
Central West	15-19	6	4
Central West	20-24		602
Central West	20-24	0	3797
Central West	20-24	1	709
Central West	20-24	2	360
Central West	20-24	3	95
Central West	20-24	4	18
Central West	20-24	5	6
Central West	20-24	6	4
Central West	25-29		442
Central West	25-29	0	2479
Central West	25-29	1	1142
Central West	25-29	2	1008
Central West	25-29	3	425
Central West	25-29	4	131
Central West	25-29	5	27
Central West	25-29	6	22
Central West	30-34		442
Central West	30-34	0	1339
Central West	30-34	1	1046
Central West	30-34	2	1647
Central West	30-34	3	904
Central West	30-34	4	301
Central West	30-34	5	105
Central West	30-34	6	63
Central West	35-39		452
Central West	35-39	0	765
Central West	35-39	1	660
Central West	35-39	2	1762
Central West	35-39	3	1281
Central West	35-39	4	515
Central West	35-39	5	155
Central West	35-39	6	117
Central West	40-44		484
Central West	40-44	0	709
Central West	40-44	1	628
Central West	40-44	2	2056
Central West	40-44	3	1483
Central West	40-44	4	618
Central West	40-44	5	194
Central West	40-44	6	150
Central West	45-49		531
Central West	45-49	0	712
Central West	45-49	1	649
Central West	45-49	2	2199
Central West	45-49	3	1602
Central West	45-49	4	625
Central West	45-49	5	227
Central West	45-49	6	154
Central West	50-54		620
Central West	50-54	0	780
Central West	50-54	1	669
Central West	50-54	2	2159
Central West	50-54	3	1643
Central West	50-54	4	716
Central West	50-54	5	243
Central West	50-54	6	136
Central West	55-59		554
Central West	55-59	0	798
Central West	55-59	1	640
Central West	55-59	2	2086
Central West	55-59	3	1683
Central West	55-59	4	847
Central West	55-59	5	230
Central West	55-59	6	123
Central West	60-64		542
Central West	60-64	0	641
Central West	60-64	1	487
Central West	60-64	2	1974
Central West	60-64	3	1612
Central West	60-64	4	775
Central West	60-64	5	213
Central West	60-64	6	122
Central West	65-69		614
Central West	65-69	0	526
Central West	65-69	1	489
Central West	65-69	2	1991
Central West	65-69	3	1516
Central West	65-69	4	767
Central West	65-69	5	251
Central West	65-69	6	143
Central West	70-74		488
Central West	70-74	0	414
Central West	70-74	1	303
Central West	70-74	2	1356
Central West	70-74	3	1280
Central West	70-74	4	657
Central West	70-74	5	233
Central West	70-74	6	149
Central West	75-79		473
Central West	75-79	0	308
Central West	75-79	1	174
Central West	75-79	2	781
Central West	75-79	3	927
Central West	75-79	4	627
Central West	75-79	5	265
Central West	75-79	6	247
Central West	80-84		358
Central West	80-84	0	229
Central West	80-84	1	161
Central West	80-84	2	526
Central West	80-84	3	627
Central West	80-84	4	469
Central West	80-84	5	275
Central West	80-84	6	247
Central West	85+		483
Central West	85+	0	248
Central West	85+	1	215
Central West	85+	2	624
Central West	85+	3	629
Central West	85+	4	494
