SA4_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Capital Region	15-19		F	776
Capital Region	15-19		M	878
Capital Region	15-19	0	F	5086
Capital Region	15-19	0	M	5328
Capital Region	15-19	1	F	303
Capital Region	15-19	1	M	282
Capital Region	20-24		F	453
Capital Region	20-24		M	588
Capital Region	20-24	0	F	4215
Capital Region	20-24	0	M	4473
Capital Region	20-24	1	F	358
Capital Region	20-24	1	M	278
Capital Region	25-34		F	963
Capital Region	25-34		M	1250
Capital Region	25-34	0	F	9063
Capital Region	25-34	0	M	9011
Capital Region	25-34	1	F	1268
Capital Region	25-34	1	M	773
Capital Region	35-44		F	968
Capital Region	35-44		M	1312
Capital Region	35-44	0	F	10032
Capital Region	35-44	0	M	9954
Capital Region	35-44	1	F	1921
Capital Region	35-44	1	M	1239
Capital Region	45-54		F	1269
Capital Region	45-54		M	1527
Capital Region	45-54	0	F	11767
Capital Region	45-54	0	M	12041
Capital Region	45-54	1	F	2981
Capital Region	45-54	1	M	1923
Capital Region	55-64		F	1344
Capital Region	55-64		M	1478
Capital Region	55-64	0	F	11679
Capital Region	55-64	0	M	12513
Capital Region	55-64	1	F	3457
Capital Region	55-64	1	M	2259
Capital Region	65-74		F	1520
Capital Region	65-74		M	1575
Capital Region	65-74	0	F	9584
Capital Region	65-74	0	M	10463
Capital Region	65-74	1	F	1947
Capital Region	65-74	1	M	1463
Capital Region	75-84		F	1309
Capital Region	75-84		M	1074
Capital Region	75-84	0	F	4805
Capital Region	75-84	0	M	4721
Capital Region	75-84	1	F	708
Capital Region	75-84	1	M	630
Capital Region	85+		F	853
Capital Region	85+		M	447
Capital Region	85+	0	F	2309
Capital Region	85+	0	M	1354
Capital Region	85+	1	F	131
Capital Region	85+	1	M	163
Central Coast	15-19		F	819
Central Coast	15-19		M	905
Central Coast	15-19	0	F	8529
Central Coast	15-19	0	M	8749
Central Coast	15-19	1	F	456
Central Coast	15-19	1	M	459
Central Coast	20-24		F	626
Central Coast	20-24		M	666
Central Coast	20-24	0	F	7689
Central Coast	20-24	0	M	8112
Central Coast	20-24	1	F	600
Central Coast	20-24	1	M	485
Central Coast	25-34		F	1041
Central Coast	25-34		M	1197
Central Coast	25-34	0	F	14884
Central Coast	25-34	0	M	14803
Central Coast	25-34	1	F	2107
Central Coast	25-34	1	M	1239
Central Coast	35-44		F	1199
Central Coast	35-44		M	1256
Central Coast	35-44	0	F	15794
Central Coast	35-44	0	M	15904
Central Coast	35-44	1	F	3352
Central Coast	35-44	1	M	1874
Central Coast	45-54		F	1394
Central Coast	45-54		M	1419
Central Coast	45-54	0	F	16661
Central Coast	45-54	0	M	16969
Central Coast	45-54	1	F	4525
Central Coast	45-54	1	M	2662
Central Coast	55-64		F	1474
Central Coast	55-64		M	1480
Central Coast	55-64	0	F	15776
Central Coast	55-64	0	M	15614
Central Coast	55-64	1	F	5059
Central Coast	55-64	1	M	2961
Central Coast	65-74		F	1903
Central Coast	65-74		M	1636
Central Coast	65-74	0	F	14429
Central Coast	65-74	0	M	13581
Central Coast	65-74	1	F	3013
Central Coast	65-74	1	M	2032
Central Coast	75-84		F	2075
Central Coast	75-84		M	1422
Central Coast	75-84	0	F	8744
Central Coast	75-84	0	M	7299
Central Coast	75-84	1	F	1167
Central Coast	75-84	1	M	996
Central Coast	85+		F	1633
Central Coast	85+		M	839
Central Coast	85+	0	F	4509
Central Coast	85+	0	M	2671
Central Coast	85+	1	F	268
Central Coast	85+	1	M	357
Central West	15-19		F	922
Central West	15-19		M	966
Central West	15-19	0	F	5127
Central West	15-19	0	M	5423
Central West	15-19	1	F	351
Central West	15-19	1	M	304
Central West	20-24		F	562
Central West	20-24		M	895
Central West	20-24	0	F	4606
Central West	20-24	0	M	4795
Central West	20-24	1	F	424
Central West	20-24	1	M	288
Central West	25-34		F	953
Central West	25-34		M	1575
Central West	25-34	0	F	9237
Central West	25-34	0	M	9203
Central West	25-34	1	F	1326
Central West	25-34	1	M	798
Central West	35-44		F	1041
Central West	35-44		M	1406
Central West	35-44	0	F	9167
Central West	35-44	0	M	9111
Central West	35-44	1	F	1836
Central West	35-44	1	M	1096
Central West	45-54		F	1255
Central West	45-54		M	1548
Central West	45-54	0	F	9723
Central West	45-54	0	M	10134
Central West	45-54	1	F	2678
Central West	45-54	1	M	1674
Central West	55-64		F	1292
Central West	55-64		M	1483
Central West	55-64	0	F	9187
Central West	55-64	0	M	10140
Central West	55-64	1	F	2856
Central West	55-64	1	M	1812
Central West	65-74		F	1451
Central West	65-74		M	1510
Central West	65-74	0	F	8067
Central West	65-74	0	M	8672
Central West	65-74	1	F	1651
Central West	65-74	1	M	1129
Central West	75-84		F	1307
Central West	75-84		M	1064
Central West	75-84	0	F	4769
Central West	75-84	0	M	4206
Central West	75-84	1	F	625
Central West	75-84	1	M	542
Central West	85+		F	685
Central West	85+		M	412
Central West	85+	0	F	2448
Central West	85+	0	M	1275
Central West	85+	1	F	115
Central West	85+	1	M	139
Coffs Harbour - Grafton	15-19		F	482
Coffs Harbour - Grafton	15-19		M	529
Coffs Harbour - Grafton	15-19	0	F	3147
Coffs Harbour - Grafton	15-19	0	M	3398
Coffs Harbour - Grafton	15-19	1	F	240
Coffs Harbour - Grafton	15-19	1	M	228
Coffs Harbour - Grafton	20-24		F	242
Coffs Harbour - Grafton	20-24		M	348
Coffs Harbour - Grafton	20-24	0	F	2479
Coffs Harbour - Grafton	20-24	0	M	2629
Coffs Harbour - Grafton	20-24	1	F	238
Coffs Harbour - Grafton	20-24	1	M	200
Coffs Harbour - Grafton	25-34		F	520
Coffs Harbour - Grafton	25-34		M	668
Coffs Harbour - Grafton	25-34	0	F	5211
Coffs Harbour - Grafton	25-34	0	M	5057
Coffs Harbour - Grafton	25-34	1	F	805
Coffs Harbour - Grafton	25-34	1	M	491
Coffs Harbour - Grafton	35-44		F	569
Coffs Harbour - Grafton	35-44		M	652
Coffs Harbour - Grafton	35-44	0	F	5874
Coffs Harbour - Grafton	35-44	0	M	5639
Coffs Harbour - Grafton	35-44	1	F	1252
Coffs Harbour - Grafton	35-44	1	M	707
Coffs Harbour - Grafton	45-54		F	751
Coffs Harbour - Grafton	45-54		M	804
Coffs Harbour - Grafton	45-54	0	F	6975
Coffs Harbour - Grafton	45-54	0	M	6612
Coffs Harbour - Grafton	45-54	1	F	1914
Coffs Harbour - Grafton	45-54	1	M	1113
Coffs Harbour - Grafton	55-64		F	869
Coffs Harbour - Grafton	55-64		M	1002
Coffs Harbour - Grafton	55-64	0	F	7519
Coffs Harbour - Grafton	55-64	0	M	7929
Coffs Harbour - Grafton	55-64	1	F	2495
Coffs Harbour - Grafton	55-64	1	M	1476
Coffs Harbour - Grafton	65-74		F	953
Coffs Harbour - Grafton	65-74		M	927
Coffs Harbour - Grafton	65-74	0	F	6494
Coffs Harbour - Grafton	65-74	0	M	6895
Coffs Harbour - Grafton	65-74	1	F	1385
Coffs Harbour - Grafton	65-74	1	M	980
Coffs Harbour - Grafton	75-84		F	987
Coffs Harbour - Grafton	75-84		M	782
Coffs Harbour - Grafton	75-84	0	F	3600
Coffs Harbour - Grafton	75-84	0	M	3303
Coffs Harbour - Grafton	75-84	1	F	550
Coffs Harbour - Grafton	75-84	1	M	472
Coffs Harbour - Grafton	85+		F	624
Coffs Harbour - Grafton	85+		M	360
Coffs Harbour - Grafton	85+	0	F	1805
Coffs Harbour - Grafton	85+	0	M	1028
Coffs Harbour - Grafton	85+	1	F	100
Coffs Harbour - Grafton	85+	1	M	145
Far West and Orana	15-19		F	452
Far West and Orana	15-19		M	543
Far West and Orana	15-19	0	F	2540
Far West and Orana	15-19	0	M	2619
Far West and Orana	15-19	1	F	177
Far West and Orana	15-19	1	M	173
Far West and Orana	20-24		F	357
Far West and Orana	20-24		M	509
Far West and Orana	20-24	0	F	2613
Far West and Orana	20-24	0	M	2577
Far West and Orana	20-24	1	F	216
Far West and Orana	20-24	1	M	188
Far West and Orana	25-34		F	777
Far West and Orana	25-34		M	1064
Far West and Orana	25-34	0	F	5597
Far West and Orana	25-34	0	M	5305
Far West and Orana	25-34	1	F	805
Far West and Orana	25-34	1	M	461
Far West and Orana	35-44		F	671
Far West and Orana	35-44		M	841
Far West and Orana	35-44	0	F	4755
Far West and Orana	35-44	0	M	4730
Far West and Orana	35-44	1	F	1017
Far West and Orana	35-44	1	M	642
Far West and Orana	45-54		F	808
Far West and Orana	45-54		M	941
Far West and Orana	45-54	0	F	5270
Far West and Orana	45-54	0	M	5508
Far West and Orana	45-54	1	F	1456
Far West and Orana	45-54	1	M	917
Far West and Orana	55-64		F	867
Far West and Orana	55-64		M	946
Far West and Orana	55-64	0	F	5134
Far West and Orana	55-64	0	M	5785
Far West and Orana	55-64	1	F	1586
Far West and Orana	55-64	1	M	985
Far West and Orana	65-74		F	822
Far West and Orana	65-74		M	901
Far West and Orana	65-74	0	F	4120
Far West and Orana	65-74	0	M	4564
Far West and Orana	65-74	1	F	822
Far West and Orana	65-74	1	M	598
Far West and Orana	75-84		F	710
Far West and Orana	75-84		M	565
Far West and Orana	75-84	0	F	2595
Far West and Orana	75-84	0	M	2258
Far West and Orana	75-84	1	F	344
Far West and Orana	75-84	1	M	272
Far West and Orana	85+		F	334
Far West and Orana	85+		M	230
Far West and Orana	85+	0	F	1312
Far West and Orana	85+	0	M	713
Far West and Orana	85+	1	F	62
Far West and Orana	85+	1	M	90
Hunter Valley exc Newcastle	15-19		F	810
Hunter Valley exc Newcastle	15-19		M	873
Hunter Valley exc Newcastle	15-19	0	F	6780
Hunter Valley exc Newcastle	15-19	0	M	7193
Hunter Valley exc Newcastle	15-19	1	F	406
Hunter Valley exc Newcastle	15-19	1	M	352
Hunter Valley exc Newcastle	20-24		F	541
Hunter Valley exc Newcastle	20-24		M	770
Hunter Valley exc Newcastle	20-24	0	F	6317
Hunter Valley exc Newcastle	20-24	0	M	6471
Hunter Valley exc Newcastle	20-24	1	F	584
Hunter Valley exc Newcastle	20-24	1	M	409
Hunter Valley exc Newcastle	25-34		F	1193
Hunter Valley exc Newcastle	25-34		M	1632
Hunter Valley exc Newcastle	25-34	0	F	12925
Hunter Valley exc Newcastle	25-34	0	M	12854
Hunter Valley exc Newcastle	25-34	1	F	1962
Hunter Valley exc Newcastle	25-34	1	M	1039
Hunter Valley exc Newcastle	35-44		F	1106
Hunter Valley exc Newcastle	35-44		M	1568
Hunter Valley exc Newcastle	35-44	0	F	12562
Hunter Valley exc Newcastle	35-44	0	M	12923
Hunter Valley exc Newcastle	35-44	1	F	2674
Hunter Valley exc Newcastle	35-44	1	M	1646
Hunter Valley exc Newcastle	45-54		F	1251
Hunter Valley exc Newcastle	45-54		M	1520
Hunter Valley exc Newcastle	45-54	0	F	12952
Hunter Valley exc Newcastle	45-54	0	M	13483
Hunter Valley exc Newcastle	45-54	1	F	3495
Hunter Valley exc Newcastle	45-54	1	M	2073
Hunter Valley exc Newcastle	55-64		F	1342
Hunter Valley exc Newcastle	55-64		M	1447
Hunter Valley exc Newcastle	55-64	0	F	11783
Hunter Valley exc Newcastle	55-64	0	M	12805
Hunter Valley exc Newcastle	55-64	1	F	3889
Hunter Valley exc Newcastle	55-64	1	M	2301
Hunter Valley exc Newcastle	65-74		F	1576
Hunter Valley exc Newcastle	65-74		M	1493
Hunter Valley exc Newcastle	65-74	0	F	10073
Hunter Valley exc Newcastle	65-74	0	M	10560
Hunter Valley exc Newcastle	65-74	1	F	2058
Hunter Valley exc Newcastle	65-74	1	M	1565
Hunter Valley exc Newcastle	75-84		F	1270
Hunter Valley exc Newcastle	75-84		M	1057
Hunter Valley exc Newcastle	75-84	0	F	5297
