SA4_NAME16	Age	Sex	Volunteer	adults
Capital Region	15-19	F		702
Capital Region	15-19	F	0	4051
Capital Region	15-19	F	1	1409
Capital Region	15-19	M		829
Capital Region	15-19	M	0	4496
Capital Region	15-19	M	1	1166
Capital Region	20-24	F		431
Capital Region	20-24	F	0	3770
Capital Region	20-24	F	1	816
Capital Region	20-24	M		561
Capital Region	20-24	M	0	3971
Capital Region	20-24	M	1	810
Capital Region	25-34	F		906
Capital Region	25-34	F	0	8220
Capital Region	25-34	F	1	2170
Capital Region	25-34	M		1215
Capital Region	25-34	M	0	8251
Capital Region	25-34	M	1	1576
Capital Region	35-44	F		909
Capital Region	35-44	F	0	8223
Capital Region	35-44	F	1	3789
Capital Region	35-44	M		1235
Capital Region	35-44	M	0	8577
Capital Region	35-44	M	1	2687
Capital Region	45-54	F		1180
Capital Region	45-54	F	0	10302
Capital Region	45-54	F	1	4532
Capital Region	45-54	M		1413
Capital Region	45-54	M	0	10313
Capital Region	45-54	M	1	3763
Capital Region	55-64	F		1237
Capital Region	55-64	F	0	10839
Capital Region	55-64	F	1	4414
Capital Region	55-64	M		1403
Capital Region	55-64	M	0	11095
Capital Region	55-64	M	1	3751
Capital Region	65-74	F		1310
Capital Region	65-74	F	0	7750
Capital Region	65-74	F	1	3989
Capital Region	65-74	M		1407
Capital Region	65-74	M	0	8643
Capital Region	65-74	M	1	3458
Capital Region	75-84	F		1147
Capital Region	75-84	F	0	4169
Capital Region	75-84	F	1	1502
Capital Region	75-84	M		960
Capital Region	75-84	M	0	4200
Capital Region	75-84	M	1	1266
Capital Region	85+	F		782
Capital Region	85+	F	0	2243
Capital Region	85+	F	1	272
Capital Region	85+	M		389
Capital Region	85+	M	0	1382
Capital Region	85+	M	1	193
Central Coast	15-19	F		753
Central Coast	15-19	F	0	7258
Central Coast	15-19	F	1	1802
Central Coast	15-19	M		817
Central Coast	15-19	M	0	7666
Central Coast	15-19	M	1	1642
Central Coast	20-24	F		557
Central Coast	20-24	F	0	6913
Central Coast	20-24	F	1	1436
Central Coast	20-24	M		596
Central Coast	20-24	M	0	7548
Central Coast	20-24	M	1	1119
Central Coast	25-34	F		965
Central Coast	25-34	F	0	14309
Central Coast	25-34	F	1	2763
Central Coast	25-34	M		1105
Central Coast	25-34	M	0	14115
Central Coast	25-34	M	1	2018
Central Coast	35-44	F		1098
Central Coast	35-44	F	0	14256
Central Coast	35-44	F	1	4991
Central Coast	35-44	M		1158
Central Coast	35-44	M	0	14582
Central Coast	35-44	M	1	3298
Central Coast	45-54	F		1259
Central Coast	45-54	F	0	16430
Central Coast	45-54	F	1	4884
Central Coast	45-54	M		1315
Central Coast	45-54	M	0	15930
Central Coast	45-54	M	1	3804
Central Coast	55-64	F		1330
Central Coast	55-64	F	0	16823
Central Coast	55-64	F	1	4156
Central Coast	55-64	M		1342
Central Coast	55-64	M	0	15476
Central Coast	55-64	M	1	3232
Central Coast	65-74	F		1672
Central Coast	65-74	F	0	13618
Central Coast	65-74	F	1	4054
Central Coast	65-74	M		1418
Central Coast	65-74	M	0	12759
Central Coast	65-74	M	1	3073
Central Coast	75-84	F		1756
Central Coast	75-84	F	0	8464
Central Coast	75-84	F	1	1756
Central Coast	75-84	M		1232
Central Coast	75-84	M	0	7037
Central Coast	75-84	M	1	1443
Central Coast	85+	F		1479
Central Coast	85+	F	0	4579
Central Coast	85+	F	1	355
Central Coast	85+	M		741
Central Coast	85+	M	0	2843
Central Coast	85+	M	1	283
Central West	15-19	F		874
Central West	15-19	F	0	4131
Central West	15-19	F	1	1396
Central West	15-19	M		908
Central West	15-19	M	0	4567
Central West	15-19	M	1	1219
Central West	20-24	F		531
Central West	20-24	F	0	4005
Central West	20-24	F	1	1058
Central West	20-24	M		854
Central West	20-24	M	0	4255
Central West	20-24	M	1	867
Central West	25-34	F		906
Central West	25-34	F	0	8298
Central West	25-34	F	1	2313
Central West	25-34	M		1533
Central West	25-34	M	0	8280
Central West	25-34	M	1	1764
Central West	35-44	F		962
Central West	35-44	F	0	7364
Central West	35-44	F	1	3721
Central West	35-44	M		1343
Central West	35-44	M	0	7734
Central West	35-44	M	1	2532
Central West	45-54	F		1189
Central West	45-54	F	0	8871
Central West	45-54	F	1	3591
Central West	45-54	M		1482
Central West	45-54	M	0	8947
Central West	45-54	M	1	2930
Central West	55-64	F		1160
Central West	55-64	F	0	8671
Central West	55-64	F	1	3498
Central West	55-64	M		1371
Central West	55-64	M	0	9119
Central West	55-64	M	1	2950
Central West	65-74	F		1284
Central West	65-74	F	0	6612
Central West	65-74	F	1	3277
Central West	65-74	M		1373
Central West	65-74	M	0	7274
Central West	65-74	M	1	2669
Central West	75-84	F		1111
Central West	75-84	F	0	4066
Central West	75-84	F	1	1514
Central West	75-84	M		898
Central West	75-84	M	0	3772
Central West	75-84	M	1	1134
Central West	85+	F		581
Central West	85+	F	0	2332
Central West	85+	F	1	331
Central West	85+	M		357
Central West	85+	M	0	1270
Central West	85+	M	1	195
Coffs Harbour - Grafton	15-19	F		429
Coffs Harbour - Grafton	15-19	F	0	2696
Coffs Harbour - Grafton	15-19	F	1	737
