SA4_NAME16	medianTotalPersonalIncome
Capital Region	34060
Central Coast	31200
Central West	30888
Coffs Harbour - Grafton	27040
Far West and Orana	30680
Hunter Valley exc Newcastle	31148
Illawarra	30732
Mid North Coast	25532
Murray	31200
New England and North West	30108
Newcastle and Lake Macquarie	32656
Richmond - Tweed	28600
Riverina	33436
Southern Highlands and Shoalhaven	28704
Sydney - Baulkham Hills and Hawkesbury	41652
Sydney - Blacktown	34944
Sydney - City and Inner South	47008
Sydney - Eastern Suburbs	53040
Sydney - Inner South West	29380
Sydney - Inner West	43056
Sydney - North Sydney and Hornsby	53508
Sydney - Northern Beaches	47632
Sydney - Outer South West	35672
Sydney - Outer West and Blue Mountains	37180
Sydney - Parramatta	30472
Sydney - Ryde	39520
Sydney - South West	26000
Sydney - Sutherland	43472
Migratory - Offshore - Shipping (NSW)	28080
No usual address (NSW)	21060
Ballarat	29068
Bendigo	30836
Geelong	32032
Hume	31148
Latrobe - Gippsland	28080
Melbourne - Inner	45916
Melbourne - Inner East	36764
Melbourne - Inner South	41704
Melbourne - North East	33540
Melbourne - North West	30108
Melbourne - Outer East	35048
Melbourne - South East	30472
Melbourne - West	32500
Mornington Peninsula	33436
North West	28548
Shepparton	29380
Warrnambool and South West	30264
Migratory - Offshore - Shipping (Vic.)	156000
No usual address (Vic.)	20696
Brisbane - East	37284
Brisbane - North	40144
Brisbane - South	36400
Brisbane - West	40508
Brisbane Inner City	48776
Cairns	33384
Darling Downs - Maranoa	30264
Central Queensland	34528
Gold Coast	34580
Ipswich	32552
Logan - Beaudesert	32708
Mackay - Isaac - Whitsunday	37284
Moreton Bay - North	29744
Moreton Bay - South	39416
Queensland - Outback	33696
Sunshine Coast	31824
Toowoomba	33748
Townsville	34944
Wide Bay	24856
Migratory - Offshore - Shipping (Qld)	31512
No usual address (Qld)	21164
Adelaide - Central and Hills	36400
Adelaide - North	29276
Adelaide - South	33020
Adelaide - West	31044
Barossa - Yorke - Mid North	27820
South Australia - Outback	30888
South Australia - South East	28288
Migratory - Offshore - Shipping (SA)	90948
No usual address (SA)	19240
Bunbury	33124
Mandurah	28756
Perth - Inner	49764
Perth - North East	37284
Perth - North West	38792
Perth - South East	35932
Perth - South West	38064
Western Australia - Wheat Belt	32396
Western Australia - Outback (North)	64428
Western Australia - Outback (South)	38064
Migratory - Offshore - Shipping (WA)	138008
No usual address (WA)	22568
Hobart	33124
Launceston and North East	27924
South East	25896
West and North West	27196
Migratory - Offshore - Shipping (Tas.)	56628
No usual address (Tas.)	20020
Darwin	54704
Northern Territory - Outback	27300
Migratory - Offshore - Shipping (NT)	36400
No usual address (NT)	23348
Australian Capital Territory	52000
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	23244
Other Territories	37180
Migratory - Offshore - Shipping (OT)	95316
No usual address (OT)	21424
