SA4_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Capital Region			211
Capital Region		1946	12
Capital Region		1955	280
Capital Region		1965	520
Capital Region		1975	928
Capital Region		1985	403
Capital Region		1995	379
Capital Region		2005	430
Capital Region		2010	469
Capital Region		2011	76
Capital Region		2012	108
Capital Region		2013	98
Capital Region		2014	122
Capital Region		2015	134
Capital Region		2016	67
Capital Region	CAN		20
Capital Region	CAN	1965	20
Capital Region	CAN	1975	67
Capital Region	CAN	1985	49
Capital Region	CAN	1995	50
Capital Region	CAN	2005	64
Capital Region	CAN	2010	51
Capital Region	CAN	2011	4
Capital Region	CAN	2012	3
Capital Region	CAN	2013	14
Capital Region	CAN	2014	3
Capital Region	CAN	2015	12
Capital Region	CAN	2016	4
Capital Region	CHN		35
Capital Region	CHN	1946	11
Capital Region	CHN	1955	13
Capital Region	CHN	1965	25
Capital Region	CHN	1975	8
Capital Region	CHN	1985	8
Capital Region	CHN	1995	47
Capital Region	CHN	2005	109
Capital Region	CHN	2010	113
Capital Region	CHN	2011	26
Capital Region	CHN	2012	8
Capital Region	CHN	2013	18
Capital Region	CHN	2014	18
Capital Region	CHN	2015	22
Capital Region	CHN	2016	20
Capital Region	DEU		50
Capital Region	DEU	1955	396
Capital Region	DEU	1965	336
Capital Region	DEU	1975	196
Capital Region	DEU	1985	85
Capital Region	DEU	1995	76
Capital Region	DEU	2005	66
Capital Region	DEU	2010	31
Capital Region	DEU	2012	3
Capital Region	DEU	2013	6
Capital Region	DEU	2014	3
Capital Region	DEU	2015	8
Capital Region	EGY		7
Capital Region	EGY	1955	14
Capital Region	EGY	1965	17
Capital Region	EGY	1975	20
Capital Region	EGY	1985	6
Capital Region	EGY	1995	3
Capital Region	EGY	2005	7
Capital Region	EGY	2010	11
Capital Region	EGY	2011	7
Capital Region	EGY	2014	12
Capital Region	EGY	2015	3
Capital Region	EGY	2016	6
Capital Region	FJI		6
Capital Region	FJI	1955	8
Capital Region	FJI	1965	7
Capital Region	FJI	1975	17
Capital Region	FJI	1985	20
Capital Region	FJI	1995	44
Capital Region	FJI	2005	45
Capital Region	FJI	2010	38
Capital Region	FJI	2011	12
Capital Region	FJI	2012	5
Capital Region	FJI	2013	12
Capital Region	FJI	2014	7
Capital Region	FJI	2016	3
Capital Region	GBR		384
Capital Region	GBR	1946	50
Capital Region	GBR	1955	901
Capital Region	GBR	1965	1939
Capital Region	GBR	1975	2565
Capital Region	GBR	1985	955
Capital Region	GBR	1995	654
Capital Region	GBR	2005	581
Capital Region	GBR	2010	374
