SA4_NAME16	Age	IncomeTotPersonal.max	Sex	adults
Capital Region	15-19		F	783
Capital Region	15-19		M	868
Capital Region	15-19	0	F	2086
Capital Region	15-19	0	M	2450
Capital Region	15-19	7875	F	1605
Capital Region	15-19	7875	M	1299
Capital Region	15-19	15750	F	622
Capital Region	15-19	15750	M	501
Capital Region	15-19	21000	F	262
Capital Region	15-19	21000	M	281
Capital Region	15-19	26250	F	287
Capital Region	15-19	26250	M	376
Capital Region	15-19	34125	F	249
Capital Region	15-19	34125	M	320
Capital Region	15-19	42000	F	142
Capital Region	15-19	42000	M	206
Capital Region	15-19	52500	F	75
Capital Region	15-19	52500	M	120
Capital Region	15-19	65625	F	29
Capital Region	15-19	65625	M	40
Capital Region	15-19	78750	F	8
Capital Region	15-19	78750	M	13
Capital Region	15-19	91875	F	5
Capital Region	15-19	105000	M	3
Capital Region	15-19	157500	M	6
Capital Region	15-19	Inf	F	10
Capital Region	15-19	Inf	M	3
Capital Region	20-24		F	440
Capital Region	20-24		M	583
Capital Region	20-24	0	F	289
Capital Region	20-24	0	M	302
Capital Region	20-24	7875	F	221
Capital Region	20-24	7875	M	200
Capital Region	20-24	15750	F	492
Capital Region	20-24	15750	M	489
Capital Region	20-24	21000	F	425
Capital Region	20-24	21000	M	298
Capital Region	20-24	26250	F	509
Capital Region	20-24	26250	M	384
Capital Region	20-24	34125	F	751
Capital Region	20-24	34125	M	630
Capital Region	20-24	42000	F	708
Capital Region	20-24	42000	M	781
Capital Region	20-24	52500	F	556
Capital Region	20-24	52500	M	755
Capital Region	20-24	65625	F	383
Capital Region	20-24	65625	M	499
Capital Region	20-24	78750	F	162
Capital Region	20-24	78750	M	230
Capital Region	20-24	91875	F	47
Capital Region	20-24	91875	M	108
Capital Region	20-24	105000	F	12
Capital Region	20-24	105000	M	42
Capital Region	20-24	157500	F	8
Capital Region	20-24	157500	M	27
Capital Region	20-24	Inf	F	13
Capital Region	20-24	Inf	M	18
Capital Region	25-34		F	965
Capital Region	25-34		M	1240
Capital Region	25-34	0	F	655
Capital Region	25-34	0	M	293
Capital Region	25-34	7875	F	345
Capital Region	25-34	7875	M	119
Capital Region	25-34	15750	F	703
Capital Region	25-34	15750	M	466
Capital Region	25-34	21000	F	672
Capital Region	25-34	21000	M	359
Capital Region	25-34	26250	F	759
Capital Region	25-34	26250	M	370
Capital Region	25-34	34125	F	1236
Capital Region	25-34	34125	M	599
Capital Region	25-34	42000	F	1334
Capital Region	25-34	42000	M	1056
Capital Region	25-34	52500	F	1215
Capital Region	25-34	52500	M	1544
Capital Region	25-34	65625	F	1153
Capital Region	25-34	65625	M	1650
Capital Region	25-34	78750	F	903
Capital Region	25-34	78750	M	1118
Capital Region	25-34	91875	F	661
Capital Region	25-34	91875	M	845
Capital Region	25-34	105000	F	324
Capital Region	25-34	105000	M	526
Capital Region	25-34	157500	F	309
Capital Region	25-34	157500	M	683
Capital Region	25-34	Inf	F	72
Capital Region	25-34	Inf	M	175
Capital Region	35-44		F	983
Capital Region	35-44		M	1300
Capital Region	35-44	0	F	671
Capital Region	35-44	0	M	267
Capital Region	35-44	7875	F	371
Capital Region	35-44	7875	M	116
Capital Region	35-44	15750	F	682
Capital Region	35-44	15750	M	420
Capital Region	35-44	21000	F	813
Capital Region	35-44	21000	M	418
Capital Region	35-44	26250	F	969
Capital Region	35-44	26250	M	487
Capital Region	35-44	34125	F	1186
Capital Region	35-44	34125	M	574
Capital Region	35-44	42000	F	1305
Capital Region	35-44	42000	M	890
Capital Region	35-44	52500	F	1187
Capital Region	35-44	52500	M	1305
Capital Region	35-44	65625	F	1173
Capital Region	35-44	65625	M	1504
Capital Region	35-44	78750	F	948
Capital Region	35-44	78750	M	1125
Capital Region	35-44	91875	F	905
Capital Region	35-44	91875	M	1102
Capital Region	35-44	105000	F	591
Capital Region	35-44	105000	M	884
Capital Region	35-44	157500	F	883
Capital Region	35-44	157500	M	1497
Capital Region	35-44	Inf	F	260
Capital Region	35-44	Inf	M	622
Capital Region	45-54		F	1239
Capital Region	45-54		M	1537
Capital Region	45-54	0	F	780
Capital Region	45-54	0	M	368
Capital Region	45-54	7875	F	409
Capital Region	45-54	7875	M	197
Capital Region	45-54	15750	F	888
Capital Region	45-54	15750	M	570
Capital Region	45-54	21000	F	1044
Capital Region	45-54	21000	M	690
Capital Region	45-54	26250	F	1138
Capital Region	45-54	26250	M	756
Capital Region	45-54	34125	F	1478
Capital Region	45-54	34125	M	803
Capital Region	45-54	42000	F	1643
Capital Region	45-54	42000	M	1080
Capital Region	45-54	52500	F	1550
Capital Region	45-54	52500	M	1578
Capital Region	45-54	65625	F	1491
Capital Region	45-54	65625	M	1765
Capital Region	45-54	78750	F	1124
Capital Region	45-54	78750	M	1240
Capital Region	45-54	91875	F	1009
Capital Region	45-54	91875	M	1220
Capital Region	45-54	105000	F	728
Capital Region	45-54	105000	M	924
Capital Region	45-54	157500	F	1080
Capital Region	45-54	157500	M	1753
Capital Region	45-54	Inf	F	395
Capital Region	45-54	Inf	M	1008
Capital Region	55-64		F	1391
Capital Region	55-64		M	1490
Capital Region	55-64	0	F	1361
Capital Region	55-64	0	M	648
Capital Region	55-64	7875	F	715
Capital Region	55-64	7875	M	361
Capital Region	55-64	15750	F	1480
Capital Region	55-64	15750	M	1008
Capital Region	55-64	21000	F	1668
Capital Region	55-64	21000	M	1153
Capital Region	55-64	26250	F	1510
Capital Region	55-64	26250	M	1244
Capital Region	55-64	34125	F	1511
Capital Region	55-64	34125	M	1121
Capital Region	55-64	42000	F	1351
Capital Region	55-64	42000	M	1295
Capital Region	55-64	52500	F	1354
Capital Region	55-64	52500	M	1684
Capital Region	55-64	65625	F	1253
Capital Region	55-64	65625	M	1700
Capital Region	55-64	78750	F	867
Capital Region	55-64	78750	M	1124
Capital Region	55-64	91875	F	728
Capital Region	55-64	91875	M	973
Capital Region	55-64	105000	F	491
Capital Region	55-64	105000	M	711
Capital Region	55-64	157500	F	558
Capital Region	55-64	157500	M	1053
Capital Region	55-64	Inf	F	246
Capital Region	55-64	Inf	M	680
Capital Region	65-74		F	1448
Capital Region	65-74		M	1437
Capital Region	65-74	0	F	511
Capital Region	65-74	0	M	413
Capital Region	65-74	7875	F	434
Capital Region	65-74	7875	M	316
Capital Region	65-74	15750	F	1347
Capital Region	65-74	15750	M	1158
Capital Region	65-74	21000	F	2775
Capital Region	65-74	21000	M	2423
Capital Region	65-74	26250	F	2304
Capital Region	65-74	26250	M	1872
Capital Region	65-74	34125	F	1474
Capital Region	65-74	34125	M	1294
Capital Region	65-74	42000	F	912
Capital Region	65-74	42000	M	1083
Capital Region	65-74	52500	F	653
Capital Region	65-74	52500	M	1022
Capital Region	65-74	65625	F	467
Capital Region	65-74	65625	M	981
Capital Region	65-74	78750	F	226
Capital Region	65-74	78750	M	482
Capital Region	65-74	91875	F	168
Capital Region	65-74	91875	M	321
Capital Region	65-74	105000	F	99
Capital Region	65-74	105000	M	208
Capital Region	65-74	157500	F	129
Capital Region	65-74	157500	M	288
Capital Region	65-74	Inf	F	104
Capital Region	65-74	Inf	M	225
Capital Region	75-84		F	1167
Capital Region	75-84		M	975
Capital Region	75-84	0	F	150
Capital Region	75-84	0	M	130
Capital Region	75-84	7875	F	150
Capital Region	75-84	7875	M	126
Capital Region	75-84	15750	F	542
Capital Region	75-84	15750	M	573
Capital Region	75-84	21000	F	1527
Capital Region	75-84	21000	M	1587
Capital Region	75-84	26250	F	1656
Capital Region	75-84	26250	M	997
Capital Region	75-84	34125	F	654
Capital Region	75-84	34125	M	667
Capital Region	75-84	42000	F	369
Capital Region	75-84	42000	M	471
Capital Region	75-84	52500	F	234
Capital Region	75-84	52500	M	297
Capital Region	75-84	65625	F	157
Capital Region	75-84	65625	M	236
Capital Region	75-84	78750	F	54
Capital Region	75-84	78750	M	110
Capital Region	75-84	91875	F	42
Capital Region	75-84	91875	M	69
Capital Region	75-84	105000	F	28
Capital Region	75-84	105000	M	32
Capital Region	75-84	157500	F	44
Capital Region	75-84	157500	M	79
Capital Region	75-84	Inf	F	41
Capital Region	75-84	Inf	M	78
Capital Region	85+		F	966
Capital Region	85+		M	452
Capital Region	85+	0	F	75
Capital Region	85+	0	M	46
Capital Region	85+	7875	F	65
Capital Region	85+	7875	M	30
Capital Region	85+	15750	F	153
Capital Region	85+	15750	M	113
Capital Region	85+	21000	F	444
Capital Region	85+	21000	M	419
Capital Region	85+	26250	F	807
Capital Region	85+	26250	M	318
Capital Region	85+	34125	F	353
Capital Region	85+	34125	M	167
Capital Region	85+	42000	F	156
Capital Region	85+	42000	M	132
Capital Region	85+	52500	F	105
Capital Region	85+	52500	M	88
Capital Region	85+	65625	F	69
Capital Region	85+	65625	M	80
Capital Region	85+	78750	F	33
Capital Region	85+	78750	M	46
Capital Region	85+	91875	F	23
Capital Region	85+	91875	M	17
Capital Region	85+	105000	F	10
Capital Region	85+	105000	M	18
Capital Region	85+	157500	F	16
Capital Region	85+	157500	M	22
Capital Region	85+	Inf	F	21
Capital Region	85+	Inf	M	21
Central Coast	15-19		F	802
Central Coast	15-19		M	918
Central Coast	15-19	0	F	3669
Central Coast	15-19	0	M	4554
Central Coast	15-19	7875	F	2665
Central Coast	15-19	7875	M	1893
Central Coast	15-19	15750	F	1165
Central Coast	15-19	15750	M	872
Central Coast	15-19	21000	F	534
Central Coast	15-19	21000	M	425
Central Coast	15-19	26250	F	420
Central Coast	15-19	26250	M	564
Central Coast	15-19	34125	F	307
Central Coast	15-19	34125	M	490
Central Coast	15-19	42000	F	155
Central Coast	15-19	42000	M	209
Central Coast	15-19	52500	F	55
Central Coast	15-19	52500	M	109
Central Coast	15-19	65625	F	12
Central Coast	15-19	65625	M	45
Central Coast	15-19	78750	F	6
Central Coast	15-19	78750	M	12
Central Coast	15-19	91875	F	3
Central Coast	15-19	91875	M	4
Central Coast	15-19	157500	M	3
Central Coast	15-19	Inf	F	14
Central Coast	15-19	Inf	M	6
Central Coast	20-24		F	618
Central Coast	20-24		M	667
Central Coast	20-24	0	F	593
Central Coast	20-24	0	M	797
Central Coast	20-24	7875	F	581
Central Coast	20-24	7875	M	558
Central Coast	20-24	15750	F	1112
Central Coast	20-24	15750	M	998
Central Coast	20-24	21000	F	893
Central Coast	20-24	21000	M	586
Central Coast	20-24	26250	F	962
Central Coast	20-24	26250	M	782
Central Coast	20-24	34125	F	1249
Central Coast	20-24	34125	M	1143
Central Coast	20-24	42000	F	1267
Central Coast	20-24	42000	M	1277
Central Coast	20-24	52500	F	923
Central Coast	20-24	52500	M	1145
Central Coast	20-24	65625	F	479
Central Coast	20-24	65625	M	747
Central Coast	20-24	78750	F	149
Central Coast	20-24	78750	M	299
Central Coast	20-24	91875	F	44
Central Coast	20-24	91875	M	155
Central Coast	20-24	105000	F	6
Central Coast	20-24	105000	M	52
Central Coast	20-24	157500	F	7
Central Coast	20-24	157500	M	30
Central Coast	20-24	Inf	F	21
Central Coast	20-24	Inf	M	35
Central Coast	25-34		F	1116
Central Coast	25-34		M	1194
Central Coast	25-34	0	F	1193
Central Coast	25-34	0	M	549
Central Coast	25-34	7875	F	619
Central Coast	25-34	7875	M	215
Central Coast	25-34	15750	F	1224
Central Coast	25-34	15750	M	745
