SA4_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Capital Region	15-19		F	426
Capital Region	15-19		M	440
Capital Region	15-19	Did not go to school	M	9
Capital Region	15-19	Year 8 or below	F	29
Capital Region	15-19	Year 8 or below	M	40
Capital Region	15-19	Year 9	F	110
Capital Region	15-19	Year 9	M	169
Capital Region	15-19	Year 10	F	414
Capital Region	15-19	Year 10	M	655
Capital Region	15-19	Year 11	F	325
Capital Region	15-19	Year 11	M	396
Capital Region	15-19	Year 12	F	1331
Capital Region	15-19	Year 12	M	1166
Capital Region	20-24		F	409
Capital Region	20-24		M	534
Capital Region	20-24	Did not go to school	F	5
Capital Region	20-24	Did not go to school	M	11
Capital Region	20-24	Year 8 or below	F	28
Capital Region	20-24	Year 8 or below	M	38
Capital Region	20-24	Year 9	F	138
Capital Region	20-24	Year 9	M	150
Capital Region	20-24	Year 10	F	723
Capital Region	20-24	Year 10	M	1126
Capital Region	20-24	Year 11	F	364
Capital Region	20-24	Year 11	M	452
Capital Region	20-24	Year 12	F	3355
Capital Region	20-24	Year 12	M	3015
Capital Region	25-34		F	899
Capital Region	25-34		M	1174
Capital Region	25-34	Did not go to school	F	16
Capital Region	25-34	Did not go to school	M	23
Capital Region	25-34	Year 8 or below	F	86
Capital Region	25-34	Year 8 or below	M	158
Capital Region	25-34	Year 9	F	348
Capital Region	25-34	Year 9	M	428
Capital Region	25-34	Year 10	F	1711
Capital Region	25-34	Year 10	M	2505
Capital Region	25-34	Year 11	F	702
Capital Region	25-34	Year 11	M	817
Capital Region	25-34	Year 12	F	7529
Capital Region	25-34	Year 12	M	5921
Capital Region	35-44		F	938
Capital Region	35-44		M	1235
Capital Region	35-44	Did not go to school	F	16
Capital Region	35-44	Did not go to school	M	27
Capital Region	35-44	Year 8 or below	F	137
Capital Region	35-44	Year 8 or below	M	237
Capital Region	35-44	Year 9	F	351
Capital Region	35-44	Year 9	M	484
Capital Region	35-44	Year 10	F	2295
Capital Region	35-44	Year 10	M	3052
Capital Region	35-44	Year 11	F	833
Capital Region	35-44	Year 11	M	862
