SA4_NAME16	BornAust	persons
Capital Region	0	27399
Capital Region	1	173116
Central Coast	0	48054
Central Coast	1	258376
Central West	0	15540
Central West	1	171249
Coffs Harbour - Grafton	0	15466
Coffs Harbour - Grafton	1	109764
Far West and Orana	0	6794
Far West and Orana	1	95120
Hunter Valley exc Newcastle	0	22041
Hunter Valley exc Newcastle	1	221858
Illawarra	0	58274
Illawarra	1	217899
Mid North Coast	0	20535
Mid North Coast	1	174009
Murray	0	9808
Murray	1	95312
New England and North West	0	12739
New England and North West	1	150908
Newcastle and Lake Macquarie	0	41933
Newcastle and Lake Macquarie	1	299889
Richmond - Tweed	0	29781
Richmond - Tweed	1	187965
Riverina	0	15146
Riverina	1	127192
Southern Highlands and Shoalhaven	0	20364
Southern Highlands and Shoalhaven	1	115498
Sydney - Baulkham Hills and Hawkesbury	0	72960
Sydney - Baulkham Hills and Hawkesbury	1	146200
Sydney - Blacktown	0	137773
Sydney - Blacktown	1	183227
Sydney - City and Inner South	0	140171
Sydney - City and Inner South	1	140749
Sydney - Eastern Suburbs	0	102966
Sydney - Eastern Suburbs	1	140462
Sydney - Inner South West	0	257357
Sydney - Inner South West	1	279558
Sydney - Inner West	0	125222
Sydney - Inner West	1	148720
Sydney - North Sydney and Hornsby	0	158225
Sydney - North Sydney and Hornsby	1	226949
Sydney - Northern Beaches	0	73076
Sydney - Northern Beaches	1	166494
Sydney - Outer South West	0	64423
Sydney - Outer South West	1	181969
Sydney - Outer West and Blue Mountains	0	59480
Sydney - Outer West and Blue Mountains	1	229895
Sydney - Parramatta	0	225200
Sydney - Parramatta	1	195616
Sydney - Ryde	0	82098
Sydney - Ryde	1	92525
Sydney - South West	0	187114
Sydney - South West	1	192201
Sydney - Sutherland	0	39379
Sydney - Sutherland	1	169214
Migratory - Offshore - Shipping (NSW)	0	142
Migratory - Offshore - Shipping (NSW)	1	232
No usual address (NSW)	0	3012
No usual address (NSW)	1	7028
Ballarat	0	15619
Ballarat	1	129747
Bendigo	0	13708
Bendigo	1	126822
Geelong	0	42931
Geelong	1	217488
Hume	0	16582
Hume	1	138911
Latrobe - Gippsland	0	31713
Latrobe - Gippsland	1	215278
Melbourne - Inner	0	212282
Melbourne - Inner	1	325095
Melbourne - Inner East	0	132677
Melbourne - Inner East	1	210397
Melbourne - Inner South	0	122457
Melbourne - Inner South	1	259756
Melbourne - North East	0	146326
Melbourne - North East	1	318712
Melbourne - North West	0	118853
