SA4_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Capital Region		0	491
Capital Region		3937	6
Capital Region		5250	23
Capital Region		7875	33
Capital Region		10500	22
Capital Region		11812	19
Capital Region		14437	18
Capital Region		18375	9
Capital Region		23625	3
Capital Region		28875	4
Capital Region		34125	3
Capital Region		49875	3
Capital Region	(Other)	0	250
Capital Region	(Other)	3937	39
Capital Region	(Other)	5250	100
Capital Region	(Other)	7875	128
Capital Region	(Other)	10500	85
Capital Region	(Other)	11812	188
Capital Region	(Other)	14437	234
Capital Region	(Other)	18375	101
Capital Region	(Other)	23625	22
Capital Region	(Other)	28875	9
Capital Region	(Other)	34125	4
Capital Region	(Other)	39375	4
Capital Region	(Other)	44625	6
Capital Region	(Other)	49875	9
Capital Region	Co-op/church group etc	0	21
Capital Region	Co-op/church group etc	3937	50
Capital Region	Co-op/church group etc	5250	132
Capital Region	Co-op/church group etc	7875	168
Capital Region	Co-op/church group etc	10500	47
Capital Region	Co-op/church group etc	11812	34
Capital Region	Co-op/church group etc	14437	23
Capital Region	Co-op/church group etc	18375	10
Capital Region	Co-op/church group etc	23625	3
Capital Region	Person not in same household	0	556
Capital Region	Person not in same household	3937	52
Capital Region	Person not in same household	5250	404
Capital Region	Person not in same household	7875	665
Capital Region	Person not in same household	10500	656
Capital Region	Person not in same household	11812	827
Capital Region	Person not in same household	14437	966
Capital Region	Person not in same household	18375	668
Capital Region	Person not in same household	23625	220
Capital Region	Person not in same household	28875	66
Capital Region	Person not in same household	34125	31
Capital Region	Person not in same household	39375	17
Capital Region	Person not in same household	44625	3
Capital Region	Person not in same household	49875	27
Capital Region	Real estate agent	0	35
Capital Region	Real estate agent	3937	17
Capital Region	Real estate agent	5250	225
Capital Region	Real estate agent	7875	1026
Capital Region	Real estate agent	10500	1041
Capital Region	Real estate agent	11812	2151
Capital Region	Real estate agent	14437	2815
Capital Region	Real estate agent	18375	2353
Capital Region	Real estate agent	23625	556
Capital Region	Real estate agent	28875	216
Capital Region	Real estate agent	34125	79
Capital Region	Real estate agent	39375	29
Capital Region	Real estate agent	44625	12
Capital Region	Real estate agent	49875	32
Capital Region	State or territory housing authority	0	99
Capital Region	State or territory housing authority	3937	96
Capital Region	State or territory housing authority	5250	669
Capital Region	State or territory housing authority	7875	490
Capital Region	State or territory housing authority	10500	202
Capital Region	State or territory housing authority	11812	228
Capital Region	State or territory housing authority	14437	190
Capital Region	State or territory housing authority	18375	87
Capital Region	State or territory housing authority	23625	8
Central Coast		0	322
Central Coast		3937	7
Central Coast		5250	23
Central Coast		7875	24
Central Coast		10500	15
Central Coast		11812	20
Central Coast		14437	40
Central Coast		18375	35
Central Coast		23625	10
Central Coast		28875	3
Central Coast		49875	4
Central Coast	(Other)	0	66
Central Coast	(Other)	3937	11
Central Coast	(Other)	5250	89
Central Coast	(Other)	7875	264
Central Coast	(Other)	10500	97
Central Coast	(Other)	11812	120
Central Coast	(Other)	14437	108
Central Coast	(Other)	18375	95
Central Coast	(Other)	23625	33
Central Coast	(Other)	28875	7
Central Coast	(Other)	34125	4
Central Coast	(Other)	49875	4
Central Coast	Co-op/church group etc	0	35
Central Coast	Co-op/church group etc	3937	38
Central Coast	Co-op/church group etc	5250	96
Central Coast	Co-op/church group etc	7875	211
Central Coast	Co-op/church group etc	10500	56
Central Coast	Co-op/church group etc	11812	89
Central Coast	Co-op/church group etc	14437	43
Central Coast	Co-op/church group etc	18375	21
Central Coast	Co-op/church group etc	23625	9
Central Coast	Person not in same household	0	391
Central Coast	Person not in same household	3937	25
Central Coast	Person not in same household	5250	156
Central Coast	Person not in same household	7875	346
Central Coast	Person not in same household	10500	452
Central Coast	Person not in same household	11812	672
Central Coast	Person not in same household	14437	1385
Central Coast	Person not in same household	18375	1520
Central Coast	Person not in same household	23625	505
Central Coast	Person not in same household	28875	145
Central Coast	Person not in same household	34125	41
Central Coast	Person not in same household	39375	25
Central Coast	Person not in same household	44625	13
Central Coast	Person not in same household	49875	19
Central Coast	Real estate agent	0	25
Central Coast	Real estate agent	3937	8
Central Coast	Real estate agent	5250	54
Central Coast	Real estate agent	7875	348
