SA4_NAME16	FamilyComposition	families_with_children
Capital Region	Blended family with no other children present	1121
Capital Region	Blended family with other children present	13
Capital Region	Intact family with no other children present	19179
Capital Region	Intact family with other children present	217
Capital Region	Other couple family with other children only	167
Capital Region	Step family with no other children present	1689
Capital Region	Step family with other children present	31
Central Coast	Blended family with no other children present	1875
Central Coast	Blended family with other children present	36
Central Coast	Intact family with no other children present	30757
Central Coast	Intact family with other children present	389
Central Coast	Other couple family with other children only	263
Central Coast	Step family with no other children present	2925
Central Coast	Step family with other children present	66
Central West	Blended family with no other children present	1115
Central West	Blended family with other children present	22
Central West	Intact family with no other children present	17980
Central West	Intact family with other children present	211
Central West	Other couple family with other children only	210
Central West	Step family with no other children present	1412
Central West	Step family with other children present	29
Coffs Harbour - Grafton	Blended family with no other children present	679
Coffs Harbour - Grafton	Blended family with other children present	12
Coffs Harbour - Grafton	Intact family with no other children present	10633
Coffs Harbour - Grafton	Intact family with other children present	203
Coffs Harbour - Grafton	Other couple family with other children only	108
Coffs Harbour - Grafton	Step family with no other children present	1002
Coffs Harbour - Grafton	Step family with other children present	24
Far West and Orana	Blended family with no other children present	562
Far West and Orana	Blended family with other children present	19
Far West and Orana	Intact family with no other children present	8864
Far West and Orana	Intact family with other children present	167
Far West and Orana	Other couple family with other children only	153
Far West and Orana	Step family with no other children present	676
Far West and Orana	Step family with other children present	25
Hunter Valley exc Newcastle	Blended family with no other children present	1630
Hunter Valley exc Newcastle	Blended family with other children present	25
Hunter Valley exc Newcastle	Intact family with no other children present	24835
Hunter Valley exc Newcastle	Intact family with other children present	361
Hunter Valley exc Newcastle	Other couple family with other children only	264
Hunter Valley exc Newcastle	Step family with no other children present	2278
Hunter Valley exc Newcastle	Step family with other children present	65
Illawarra	Blended family with no other children present	1437
Illawarra	Blended family with other children present	20
Illawarra	Intact family with no other children present	30393
Illawarra	Intact family with other children present	340
Illawarra	Other couple family with other children only	210
Illawarra	Step family with no other children present	2304
Illawarra	Step family with other children present	53
Mid North Coast	Blended family with no other children present	969
Mid North Coast	Blended family with other children present	24
Mid North Coast	Intact family with no other children present	15103
Mid North Coast	Intact family with other children present	263
Mid North Coast	Other couple family with other children only	213
Mid North Coast	Step family with no other children present	1481
Mid North Coast	Step family with other children present	39
Murray	Blended family with no other children present	522
Murray	Blended family with other children present	6
Murray	Intact family with no other children present	9862
Murray	Intact family with other children present	105
Murray	Other couple family with other children only	104
Murray	Step family with no other children present	733
Murray	Step family with other children present	13
New England and North West	Blended family with no other children present	838
New England and North West	Blended family with other children present	31
New England and North West	Intact family with no other children present	14895
New England and North West	Intact family with other children present	200
New England and North West	Other couple family with other children only	185
New England and North West	Step family with no other children present	1185
New England and North West	Step family with other children present	30
Newcastle and Lake Macquarie	Blended family with no other children present	1679
Newcastle and Lake Macquarie	Blended family with other children present	26
Newcastle and Lake Macquarie	Intact family with no other children present	34294
Newcastle and Lake Macquarie	Intact family with other children present	412
Newcastle and Lake Macquarie	Other couple family with other children only	260
Newcastle and Lake Macquarie	Step family with no other children present	2974
Newcastle and Lake Macquarie	Step family with other children present	69
Richmond - Tweed	Blended family with no other children present	1011
Richmond - Tweed	Blended family with other children present	17
Richmond - Tweed	Intact family with no other children present	19406
Richmond - Tweed	Intact family with other children present	246
Richmond - Tweed	Other couple family with other children only	197
Richmond - Tweed	Step family with no other children present	1683
Richmond - Tweed	Step family with other children present	32
Riverina	Blended family with no other children present	758
Riverina	Blended family with other children present	12
Riverina	Intact family with no other children present	14144
Riverina	Intact family with other children present	164
Riverina	Other couple family with other children only	144
Riverina	Step family with no other children present	945
Riverina	Step family with other children present	21
Southern Highlands and Shoalhaven	Blended family with no other children present	693
Southern Highlands and Shoalhaven	Blended family with other children present	21
Southern Highlands and Shoalhaven	Intact family with no other children present	11691
Southern Highlands and Shoalhaven	Intact family with other children present	166
Southern Highlands and Shoalhaven	Other couple family with other children only	153
Southern Highlands and Shoalhaven	Step family with no other children present	1146
Southern Highlands and Shoalhaven	Step family with other children present	20
Sydney - Baulkham Hills and Hawkesbury	Blended family with no other children present	950
Sydney - Baulkham Hills and Hawkesbury	Blended family with other children present	16
Sydney - Baulkham Hills and Hawkesbury	Intact family with no other children present	33933
Sydney - Baulkham Hills and Hawkesbury	Intact family with other children present	415
Sydney - Baulkham Hills and Hawkesbury	Other couple family with other children only	77
Sydney - Baulkham Hills and Hawkesbury	Step family with no other children present	1636
Sydney - Baulkham Hills and Hawkesbury	Step family with other children present	37
Sydney - Blacktown	Blended family with no other children present	1623
Sydney - Blacktown	Blended family with other children present	48
Sydney - Blacktown	Intact family with no other children present	44193
Sydney - Blacktown	Intact family with other children present	977
Sydney - Blacktown	Other couple family with other children only	204
Sydney - Blacktown	Step family with no other children present	2426
Sydney - Blacktown	Step family with other children present	84
Sydney - City and Inner South	Blended family with no other children present	378
Sydney - City and Inner South	Blended family with other children present	9
Sydney - City and Inner South	Intact family with no other children present	18737
Sydney - City and Inner South	Intact family with other children present	209
Sydney - City and Inner South	Other couple family with other children only	82
Sydney - City and Inner South	Step family with no other children present	1158
Sydney - City and Inner South	Step family with other children present	17
Sydney - Eastern Suburbs	Blended family with no other children present	479
Sydney - Eastern Suburbs	Blended family with other children present	7
Sydney - Eastern Suburbs	Intact family with no other children present	25349
Sydney - Eastern Suburbs	Intact family with other children present	160
Sydney - Eastern Suburbs	Other couple family with other children only	57
Sydney - Eastern Suburbs	Step family with no other children present	1243
Sydney - Eastern Suburbs	Step family with other children present	8
Sydney - Inner South West	Blended family with no other children present	1615
Sydney - Inner South West	Blended family with other children present	33
Sydney - Inner South West	Intact family with no other children present	68664
Sydney - Inner South West	Intact family with other children present	1169
Sydney - Inner South West	Other couple family with other children only	216
Sydney - Inner South West	Step family with no other children present	3037
Sydney - Inner South West	Step family with other children present	81
Sydney - Inner West	Blended family with no other children present	504
Sydney - Inner West	Blended family with other children present	10
Sydney - Inner West	Intact family with no other children present	32126
Sydney - Inner West	Intact family with other children present	306
Sydney - Inner West	Other couple family with other children only	71
Sydney - Inner West	Step family with no other children present	1449
Sydney - Inner West	Step family with other children present	16
Sydney - North Sydney and Hornsby	Blended family with no other children present	835
Sydney - North Sydney and Hornsby	Blended family with other children present	20
Sydney - North Sydney and Hornsby	Intact family with no other children present	51976
Sydney - North Sydney and Hornsby	Intact family with other children present	372
Sydney - North Sydney and Hornsby	Other couple family with other children only	95
Sydney - North Sydney and Hornsby	Step family with no other children present	2171
Sydney - North Sydney and Hornsby	Step family with other children present	22
Sydney - Northern Beaches	Blended family with no other children present	765
Sydney - Northern Beaches	Blended family with other children present	9
Sydney - Northern Beaches	Intact family with no other children present	31939
Sydney - Northern Beaches	Intact family with other children present	234
Sydney - Northern Beaches	Other couple family with other children only	77
Sydney - Northern Beaches	Step family with no other children present	1744
Sydney - Northern Beaches	Step family with other children present	26
Sydney - Outer South West	Blended family with no other children present	1684
Sydney - Outer South West	Blended family with other children present	41
Sydney - Outer South West	Intact family with no other children present	30891
Sydney - Outer South West	Intact family with other children present	612
Sydney - Outer South West	Other couple family with other children only	227
Sydney - Outer South West	Step family with no other children present	2255
Sydney - Outer South West	Step family with other children present	67
Sydney - Outer West and Blue Mountains	Blended family with no other children present	1848
