SA4_NAME16	FamilyComposition	families_with_children
Sydney - Outer West and Blue Mountains	Blended family with other children present	37
Sydney - Outer West and Blue Mountains	Intact family with no other children present	33098
Sydney - Outer West and Blue Mountains	Intact family with other children present	486
Sydney - Outer West and Blue Mountains	Other couple family with other children only	225
Sydney - Outer West and Blue Mountains	Step family with no other children present	2861
Sydney - Outer West and Blue Mountains	Step family with other children present	81
Sydney - Parramatta	Blended family with no other children present	1096
Sydney - Parramatta	Blended family with other children present	38
Sydney - Parramatta	Intact family with no other children present	55694
Sydney - Parramatta	Intact family with other children present	895
Sydney - Parramatta	Other couple family with other children only	161
Sydney - Parramatta	Step family with no other children present	2189
Sydney - Parramatta	Step family with other children present	61
Sydney - Ryde	Blended family with no other children present	349
Sydney - Ryde	Blended family with other children present	4
Sydney - Ryde	Intact family with no other children present	23285
Sydney - Ryde	Intact family with other children present	254
Sydney - Ryde	Other couple family with other children only	52
Sydney - Ryde	Step family with no other children present	878
Sydney - Ryde	Step family with other children present	15
Sydney - South West	Blended family with no other children present	1593
Sydney - South West	Blended family with other children present	61
Sydney - South West	Intact family with no other children present	51327
Sydney - South West	Intact family with other children present	1069
Sydney - South West	Other couple family with other children only	215
Sydney - South West	Step family with no other children present	2419
Sydney - South West	Step family with other children present	87
Sydney - Sutherland	Blended family with no other children present	826
Sydney - Sutherland	Blended family with other children present	10
Sydney - Sutherland	Intact family with no other children present	28117
Sydney - Sutherland	Intact family with other children present	210
Sydney - Sutherland	Other couple family with other children only	65
Sydney - Sutherland	Step family with no other children present	1625
Sydney - Sutherland	Step family with other children present	9
Ballarat	Blended family with no other children present	731
Ballarat	Blended family with other children present	11
Ballarat	Intact family with no other children present	13951
Ballarat	Intact family with other children present	123
Ballarat	Other couple family with other children only	84
Ballarat	Step family with no other children present	1156
Ballarat	Step family with other children present	25
Bendigo	Blended family with no other children present	700
Bendigo	Blended family with other children present	7
Bendigo	Intact family with no other children present	13717
Bendigo	Intact family with other children present	99
Bendigo	Other couple family with other children only	79
Bendigo	Step family with no other children present	1119
Bendigo	Step family with other children present	21
Geelong	Blended family with no other children present	1110
Geelong	Blended family with other children present	8
Geelong	Intact family with no other children present	27822
Geelong	Intact family with other children present	179
Geelong	Other couple family with other children only	129
Geelong	Step family with no other children present	2074
Geelong	Step family with other children present	30
Hume	Blended family with no other children present	806
Hume	Blended family with other children present	7
Hume	Intact family with no other children present	14500
Hume	Intact family with other children present	141
Hume	Other couple family with other children only	116
Hume	Step family with no other children present	1274
Hume	Step family with other children present	18
Latrobe - Gippsland	Blended family with no other children present	1320
Latrobe - Gippsland	Blended family with other children present	18
Latrobe - Gippsland	Intact family with no other children present	22574
Latrobe - Gippsland	Intact family with other children present	214
Latrobe - Gippsland	Other couple family with other children only	203
Latrobe - Gippsland	Step family with no other children present	2000
Latrobe - Gippsland	Step family with other children present	34
Melbourne - Inner	Blended family with no other children present	682
Melbourne - Inner	Blended family with other children present	12
Melbourne - Inner	Intact family with no other children present	41759
Melbourne - Inner	Intact family with other children present	226
Melbourne - Inner	Other couple family with other children only	88
Melbourne - Inner	Step family with no other children present	2243
Melbourne - Inner	Step family with other children present	18
Melbourne - Inner East	Blended family with no other children present	673
Melbourne - Inner East	Blended family with other children present	15
Melbourne - Inner East	Intact family with no other children present	44444
Melbourne - Inner East	Intact family with other children present	373
Melbourne - Inner East	Other couple family with other children only	74
Melbourne - Inner East	Step family with no other children present	1858
Melbourne - Inner East	Step family with other children present	23
Melbourne - Inner South	Blended family with no other children present	933
Melbourne - Inner South	Blended family with other children present	5
Melbourne - Inner South	Intact family with no other children present	48931
Melbourne - Inner South	Intact family with other children present	278
Melbourne - Inner South	Other couple family with other children only	78
Melbourne - Inner South	Step family with no other children present	2498
Melbourne - Inner South	Step family with other children present	33
Melbourne - North East	Blended family with no other children present	1682
Melbourne - North East	Blended family with other children present	17
Melbourne - North East	Intact family with no other children present	61409
Melbourne - North East	Intact family with other children present	669
Melbourne - North East	Other couple family with other children only	154
Melbourne - North East	Step family with no other children present	3144
Melbourne - North East	Step family with other children present	57
Melbourne - North West	Blended family with no other children present	1273
Melbourne - North West	Blended family with other children present	25
Melbourne - North West	Intact family with no other children present	45130
Melbourne - North West	Intact family with other children present	531
Melbourne - North West	Other couple family with other children only	128
Melbourne - North West	Step family with no other children present	2255
Melbourne - North West	Step family with other children present	38
Melbourne - Outer East	Blended family with no other children present	2035
Melbourne - Outer East	Blended family with other children present	23
Melbourne - Outer East	Intact family with no other children present	60716
Melbourne - Outer East	Intact family with other children present	595
Melbourne - Outer East	Other couple family with other children only	176
Melbourne - Outer East	Step family with no other children present	4107
Melbourne - Outer East	Step family with other children present	72
Melbourne - South East	Blended family with no other children present	3068
Melbourne - South East	Blended family with other children present	65
Melbourne - South East	Intact family with no other children present	92523
Melbourne - South East	Intact family with other children present	1504
Melbourne - South East	Other couple family with other children only	332
Melbourne - South East	Step family with no other children present	5453
Melbourne - South East	Step family with other children present	135
Melbourne - West	Blended family with no other children present	2917
Melbourne - West	Blended family with other children present	88
Melbourne - West	Intact family with no other children present	88120
Melbourne - West	Intact family with other children present	1354
Melbourne - West	Other couple family with other children only	344
Melbourne - West	Step family with no other children present	4954
Melbourne - West	Step family with other children present	128
Mornington Peninsula	Blended family with no other children present	1426
Mornington Peninsula	Blended family with other children present	16
Mornington Peninsula	Intact family with no other children present	28145
Mornington Peninsula	Intact family with other children present	264
Mornington Peninsula	Other couple family with other children only	128
Mornington Peninsula	Step family with no other children present	2649
Mornington Peninsula	Step family with other children present	51
North West	Blended family with no other children present	705
North West	Blended family with other children present	12
North West	Intact family with no other children present	12589
North West	Intact family with other children present	128
North West	Other couple family with other children only	125
North West	Step family with no other children present	994
North West	Step family with other children present	25
Shepparton	Blended family with no other children present	600
Shepparton	Blended family with other children present	11
Shepparton	Intact family with no other children present	11625
Shepparton	Intact family with other children present	119
Shepparton	Other couple family with other children only	78
Shepparton	Step family with no other children present	889
Shepparton	Step family with other children present	19
Warrnambool and South West	Blended family with no other children present	561
Warrnambool and South West	Blended family with other children present	11
Warrnambool and South West	Intact family with no other children present	10944
Warrnambool and South West	Intact family with other children present	74
Warrnambool and South West	Other couple family with other children only	79
Warrnambool and South West	Step family with no other children present	787
Warrnambool and South West	Step family with other children present	9
Brisbane - East	Blended family with no other children present	1300
Brisbane - East	Blended family with other children present	19
Brisbane - East	Intact family with no other children present	24287
Brisbane - East	Intact family with other children present	236
Brisbane - East	Other couple family with other children only	105
Brisbane - East	Step family with no other children present	2295
Brisbane - East	Step family with other children present	51
Brisbane - North	Blended family with no other children present	789
Brisbane - North	Blended family with other children present	13
Brisbane - North	Intact family with no other children present	21527
Brisbane - North	Intact family with other children present	263
Brisbane - North	Other couple family with other children only	68
Brisbane - North	Step family with no other children present	1683
Brisbane - North	Step family with other children present	24
Brisbane - South	Blended family with no other children present	1007
Brisbane - South	Blended family with other children present	26
Brisbane - South	Intact family with no other children present	37241
Brisbane - South	Intact family with other children present	551
Brisbane - South	Other couple family with other children only	126
Brisbane - South	Step family with no other children present	2197
Brisbane - South	Step family with other children present	50
Brisbane - West	Blended family with no other children present	589
Brisbane - West	Blended family with other children present	4
Brisbane - West	Intact family with no other children present	21373
Brisbane - West	Intact family with other children present	155
Brisbane - West	Other couple family with other children only	44
Brisbane - West	Step family with no other children present	1288
Brisbane - West	Step family with other children present	13
Brisbane Inner City	Blended family with no other children present	465
Brisbane Inner City	Blended family with other children present	3
Brisbane Inner City	Intact family with no other children present	20259
Brisbane Inner City	Intact family with other children present	106
Brisbane Inner City	Other couple family with other children only	38
Brisbane Inner City	Step family with no other children present	1343
Brisbane Inner City	Step family with other children present	14
Cairns	Blended family with no other children present	1041
Cairns	Blended family with other children present	30
Cairns	Intact family with no other children present	19926
Cairns	Intact family with other children present	341
Cairns	Other couple family with other children only	188
Cairns	Step family with no other children present	1782
Cairns	Step family with other children present	54
Darling Downs - Maranoa	Blended family with no other children present	698
Darling Downs - Maranoa	Blended family with other children present	14
Darling Downs - Maranoa	Intact family with no other children present	11128
Darling Downs - Maranoa	Intact family with other children present	143
Darling Downs - Maranoa	Other couple family with other children only	107
Darling Downs - Maranoa	Step family with no other children present	795
Darling Downs - Maranoa	Step family with other children present	15
Central Queensland	Blended family with no other children present	1339
Central Queensland	Blended family with other children present	23
Central Queensland	Intact family with no other children present	21048
Central Queensland	Intact family with other children present	265
Central Queensland	Other couple family with other children only	167
Central Queensland	Step family with no other children present	1717
Central Queensland	Step family with other children present	40
Gold Coast	Blended family with no other children present	2823
Gold Coast	Blended family with other children present	44
Gold Coast	Intact family with no other children present	53426
Gold Coast	Intact family with other children present	647
Gold Coast	Other couple family with other children only	254
Gold Coast	Step family with no other children present	5200
Gold Coast	Step family with other children present	116
Ipswich	Blended family with no other children present	2233
Ipswich	Blended family with other children present	49
Ipswich	Intact family with no other children present	31145
Ipswich	Intact family with other children present	623
Ipswich	Other couple family with other children only	281
Ipswich	Step family with no other children present	3008
Ipswich	Step family with other children present	83
Logan - Beaudesert	Blended family with no other children present	2349
Logan - Beaudesert	Blended family with other children present	55
Logan - Beaudesert	Intact family with no other children present	31425
Logan - Beaudesert	Intact family with other children present	667
Logan - Beaudesert	Other couple family with other children only	282
Logan - Beaudesert	Step family with no other children present	3110
Logan - Beaudesert	Step family with other children present	108
Mackay - Isaac - Whitsunday	Blended family with no other children present	912
Mackay - Isaac - Whitsunday	Blended family with other children present	10
Mackay - Isaac - Whitsunday	Intact family with no other children present	16107
Mackay - Isaac - Whitsunday	Intact family with other children present	157
Mackay - Isaac - Whitsunday	Other couple family with other children only	106
Mackay - Isaac - Whitsunday	Step family with no other children present	1312
Mackay - Isaac - Whitsunday	Step family with other children present	34
Moreton Bay - North	Blended family with no other children present	1760
Moreton Bay - North	Blended family with other children present	35
Moreton Bay - North	Intact family with no other children present	19823
Moreton Bay - North	Intact family with other children present	323
Moreton Bay - North	Other couple family with other children only	170
Moreton Bay - North	Step family with no other children present	2515
Moreton Bay - North	Step family with other children present	83
Moreton Bay - South	Blended family with no other children present	1300
Moreton Bay - South	Blended family with other children present	23
Moreton Bay - South	Intact family with no other children present	23307
Moreton Bay - South	Intact family with other children present	248
Moreton Bay - South	Other couple family with other children only	115
Moreton Bay - South	Step family with no other children present	1998
Moreton Bay - South	Step family with other children present	37
Queensland - Outback	Blended family with no other children present	382
Queensland - Outback	Blended family with other children present	28
Queensland - Outback	Intact family with no other children present	6301
Queensland - Outback	Intact family with other children present	281
Queensland - Outback	Other couple family with other children only	163
Queensland - Outback	Step family with no other children present	497
Queensland - Outback	Step family with other children present	40
Sunshine Coast	Blended family with no other children present	1571
Sunshine Coast	Blended family with other children present	20
Sunshine Coast	Intact family with no other children present	31662
Sunshine Coast	Intact family with other children present	308
Sunshine Coast	Other couple family with other children only	143
Sunshine Coast	Step family with no other children present	2981
Sunshine Coast	Step family with other children present	50
Toowoomba	Blended family with no other children present	808
Toowoomba	Blended family with other children present	17
Toowoomba	Intact family with no other children present	13615
Toowoomba	Intact family with other children present	170
Toowoomba	Other couple family with other children only	104
Toowoomba	Step family with no other children present	1095
Toowoomba	Step family with other children present	21
Townsville	Blended family with no other children present	1325
Townsville	Blended family with other children present	27
Townsville	Intact family with no other children present	20304
Townsville	Intact family with other children present	284
Townsville	Other couple family with other children only	164
Townsville	Step family with no other children present	1951
Townsville	Step family with other children present	48
Wide Bay	Blended family with no other children present	1605
Wide Bay	Blended family with other children present	36
Wide Bay	Intact family with no other children present	20956
Wide Bay	Intact family with other children present	284
Wide Bay	Other couple family with other children only	233
Wide Bay	Step family with no other children present	2250
Wide Bay	Step family with other children present	72
Adelaide - Central and Hills	Blended family with no other children present	810
Adelaide - Central and Hills	Blended family with other children present	4
Adelaide - Central and Hills	Intact family with no other children present	30627
Adelaide - Central and Hills	Intact family with other children present	197
Adelaide - Central and Hills	Other couple family with other children only	83
Adelaide - Central and Hills	Step family with no other children present	1927
Adelaide - Central and Hills	Step family with other children present	24
Adelaide - North	Blended family with no other children present	2224
Adelaide - North	Blended family with other children present	44
Adelaide - North	Intact family with no other children present	41828
Adelaide - North	Intact family with other children present	595
Adelaide - North	Other couple family with other children only	254
Adelaide - North	Step family with no other children present	3802
Adelaide - North	Step family with other children present	95
Adelaide - South	Blended family with no other children present	1612
Adelaide - South	Blended family with other children present	15
Adelaide - South	Intact family with no other children present	36098
Adelaide - South	Intact family with other children present	314
Adelaide - South	Other couple family with other children only	151
Adelaide - South	Step family with no other children present	3089
Adelaide - South	Step family with other children present	52
Adelaide - West	Blended family with no other children present	663
Adelaide - West	Blended family with other children present	18
Adelaide - West	Intact family with no other children present	21901
Adelaide - West	Intact family with other children present	246
Adelaide - West	Other couple family with other children only	81
Adelaide - West	Step family with no other children present	1660
Adelaide - West	Step family with other children present	23
Barossa - Yorke - Mid North	Blended family with no other children present	551
Barossa - Yorke - Mid North	Blended family with other children present	11
Barossa - Yorke - Mid North	Intact family with no other children present	9350
Barossa - Yorke - Mid North	Intact family with other children present	84
Barossa - Yorke - Mid North	Other couple family with other children only	81
Barossa - Yorke - Mid North	Step family with no other children present	793
Barossa - Yorke - Mid North	Step family with other children present	18
South Australia - Outback	Blended family with no other children present	438
South Australia - Outback	Blended family with other children present	9
South Australia - Outback	Intact family with no other children present	6625
South Australia - Outback	Intact family with other children present	113
South Australia - Outback	Other couple family with other children only	88
South Australia - Outback	Step family with no other children present	574
South Australia - Outback	Step family with other children present	19
South Australia - South East	Blended family with no other children present	947
South Australia - South East	Blended family with other children present	9
South Australia - South East	Intact family with no other children present	14859
South Australia - South East	Intact family with other children present	151
South Australia - South East	Other couple family with other children only	171
South Australia - South East	Step family with no other children present	1371
South Australia - South East	Step family with other children present	25
Bunbury	Blended family with no other children present	997
Bunbury	Blended family with other children present	10
Bunbury	Intact family with no other children present	16716
Bunbury	Intact family with other children present	191
Bunbury	Other couple family with other children only	148
Bunbury	Step family with no other children present	1396
Bunbury	Step family with other children present	26
Mandurah	Blended family with no other children present	567
Mandurah	Blended family with other children present	12
Mandurah	Intact family with no other children present	8251
Mandurah	Intact family with other children present	105
Mandurah	Other couple family with other children only	86
Mandurah	Step family with no other children present	891
Mandurah	Step family with other children present	18
Perth - Inner	Blended family with no other children present	257
Perth - Inner	Blended family with other children present	4
Perth - Inner	Intact family with no other children present	16429
Perth - Inner	Intact family with other children present	75
Perth - Inner	Other couple family with other children only	22
Perth - Inner	Step family with no other children present	813
Perth - Inner	Step family with other children present	4
Perth - North East	Blended family with no other children present	1172
Perth - North East	Blended family with other children present	27
Perth - North East	Intact family with no other children present	26843
Perth - North East	Intact family with other children present	393
Perth - North East	Other couple family with other children only	148
Perth - North East	Step family with no other children present	2126
Perth - North East	Step family with other children present	42
Perth - North West	Blended family with no other children present	2405
Perth - North West	Blended family with other children present	44
Perth - North West	Intact family with no other children present	62411
Perth - North West	Intact family with other children present	654
Perth - North West	Other couple family with other children only	265
Perth - North West	Step family with no other children present	4273
Perth - North West	Step family with other children present	80
Perth - South East	Blended family with no other children present	2087
Perth - South East	Blended family with other children present	44
Perth - South East	Intact family with no other children present	52258
Perth - South East	Intact family with other children present	797
Perth - South East	Other couple family with other children only	278
Perth - South East	Step family with no other children present	3701
Perth - South East	Step family with other children present	98
Perth - South West	Blended family with no other children present	2047
Perth - South West	Blended family with other children present	26
Perth - South West	Intact family with no other children present	44495
Perth - South West	Intact family with other children present	488
Perth - South West	Other couple family with other children only	234
Perth - South West	Step family with no other children present	3470
Perth - South West	Step family with other children present	62
Western Australia - Wheat Belt	Blended family with no other children present	692
Western Australia - Wheat Belt	Blended family with other children present	12
Western Australia - Wheat Belt	Intact family with no other children present	11359
Western Australia - Wheat Belt	Intact family with other children present	156
Western Australia - Wheat Belt	Other couple family with other children only	162
Western Australia - Wheat Belt	Step family with no other children present	843
Western Australia - Wheat Belt	Step family with other children present	13
Western Australia - Outback (North)	Blended family with no other children present	443
Western Australia - Outback (North)	Blended family with other children present	25
Western Australia - Outback (North)	Intact family with no other children present	7249
Western Australia - Outback (North)	Intact family with other children present	231
Western Australia - Outback (North)	Other couple family with other children only	143
Western Australia - Outback (North)	Step family with no other children present	598
Western Australia - Outback (North)	Step family with other children present	47
Western Australia - Outback (South)	Blended family with no other children present	646
Western Australia - Outback (South)	Blended family with other children present	13
Western Australia - Outback (South)	Intact family with no other children present	10297
Western Australia - Outback (South)	Intact family with other children present	183
Western Australia - Outback (South)	Other couple family with other children only	138
Western Australia - Outback (South)	Step family with no other children present	862
Western Australia - Outback (South)	Step family with other children present	38
Hobart	Blended family with no other children present	1227
Hobart	Blended family with other children present	28
Hobart	Intact family with no other children present	19483
Hobart	Intact family with other children present	189
Hobart	Other couple family with other children only	151
Hobart	Step family with no other children present	2046
Hobart	Step family with other children present	33
Launceston and North East	Blended family with no other children present	771
Launceston and North East	Blended family with other children present	8
Launceston and North East	Intact family with no other children present	11738
Launceston and North East	Intact family with other children present	109
Launceston and North East	Other couple family with other children only	92
Launceston and North East	Step family with no other children present	1142
Launceston and North East	Step family with other children present	19
South East	Blended family with no other children present	176
South East	Blended family with other children present	5
South East	Intact family with no other children present	2994
South East	Intact family with other children present	36
South East	Other couple family with other children only	35
South East	Step family with no other children present	306
South East	Step family with other children present	6
West and North West	Blended family with no other children present	662
West and North West	Blended family with other children present	8
West and North West	Intact family with no other children present	8804
West and North West	Intact family with other children present	74
West and North West	Other couple family with other children only	87
West and North West	Step family with no other children present	1046
West and North West	Step family with other children present	20
Darwin	Blended family with no other children present	719
Darwin	Blended family with other children present	9
Darwin	Intact family with no other children present	12902
Darwin	Intact family with other children present	243
Darwin	Other couple family with other children only	86
Darwin	Step family with no other children present	1155
Darwin	Step family with other children present	23
Northern Territory - Outback	Blended family with no other children present	313
Northern Territory - Outback	Blended family with other children present	56
Northern Territory - Outback	Intact family with no other children present	6837
Northern Territory - Outback	Intact family with other children present	605
Northern Territory - Outback	Other couple family with other children only	256
Northern Territory - Outback	Step family with no other children present	520
Northern Territory - Outback	Step family with other children present	80
Australian Capital Territory	Blended family with no other children present	1600
Australian Capital Territory	Blended family with other children present	23
Australian Capital Territory	Intact family with no other children present	42718
Australian Capital Territory	Intact family with other children present	439
Australian Capital Territory	Other couple family with other children only	165
Australian Capital Territory	Step family with no other children present	3015
Australian Capital Territory	Step family with other children present	43
Other Territories	Blended family with no other children present	17
Other Territories	Intact family with no other children present	378
Other Territories	Intact family with other children present	8
Other Territories	Step family with no other children present	23
