SA4_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
Capital Region				15101
Capital Region		0	0	377
Capital Region		0	1	124
Capital Region		1	0	89
Capital Region		1	1	1887
Capital Region	Australian			1647
Capital Region	Australian		1	76178
Capital Region	Australian	0	0	966
Capital Region	Australian	0	1	6816
Capital Region	Australian	1	0	5207
Capital Region	Australian Aboriginal			29
Capital Region	Australian Aboriginal	0	0	9
Capital Region	Australian Aboriginal	0	1	51
Capital Region	Australian Aboriginal	1	0	12
Capital Region	Australian Aboriginal	1	1	911
Capital Region	Chinese			26
Capital Region	Chinese	0	0	1073
Capital Region	Chinese	0	1	74
Capital Region	Chinese	1	0	119
Capital Region	Chinese	1	1	466
Capital Region	Croatian			14
Capital Region	Croatian	0	0	733
Capital Region	Croatian	0	1	123
Capital Region	Croatian	1	0	48
Capital Region	Croatian	1	1	275
Capital Region	Dutch			32
Capital Region	Dutch	0	0	1630
Capital Region	Dutch	0	1	483
Capital Region	Dutch	1	0	353
Capital Region	Dutch	1	1	912
Capital Region	English			1528
Capital Region	English	0	0	11854
Capital Region	English	0	1	6377
Capital Region	English	1	0	4882
Capital Region	English	1	1	63496
Capital Region	Filipino			9
Capital Region	Filipino	0	0	964
Capital Region	Filipino	0	1	29
Capital Region	Filipino	1	0	173
Capital Region	Filipino	1	1	38
Capital Region	French			16
Capital Region	French	0	0	424
Capital Region	French	0	1	82
Capital Region	French	1	0	66
Capital Region	French	1	1	566
Capital Region	German			124
Capital Region	German	0	0	2378
Capital Region	German	0	1	728
Capital Region	German	1	0	548
Capital Region	German	1	1	5745
Capital Region	Greek			12
Capital Region	Greek	0	0	635
Capital Region	Greek	0	1	156
Capital Region	Greek	1	0	60
Capital Region	Greek	1	1	467
Capital Region	Hungarian			3
Capital Region	Hungarian	0	0	394
Capital Region	Hungarian	0	1	100
Capital Region	Hungarian	1	0	50
Capital Region	Hungarian	1	1	159
Capital Region	Indian			14
Capital Region	Indian	0	0	1399
Capital Region	Indian	0	1	52
Capital Region	Indian	1	0	32
Capital Region	Indian	1	1	68
Capital Region	Irish			415
Capital Region	Irish	0	0	2326
Capital Region	Irish	0	1	1587
Capital Region	Irish	1	0	1045
Capital Region	Irish	1	1	23590
Capital Region	Italian			71
