SA4_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Capital Region	15-19				F	724
Capital Region	15-19				M	849
Capital Region	15-19	0			F	4839
Capital Region	15-19	0			M	5315
Capital Region	15-19	1	0	1	F	503
Capital Region	15-19	1	0	1	M	288
Capital Region	15-19	1	1	0	F	96
Capital Region	15-19	1	1	0	M	41
Capital Region	15-19	1	1	1	F	7
Capital Region	15-19	1	1	1	M	4
Capital Region	20-24				F	422
Capital Region	20-24				M	553
Capital Region	20-24	0			F	3519
Capital Region	20-24	0			M	4286
Capital Region	20-24	1	0	1	F	370
Capital Region	20-24	1	0	1	M	212
Capital Region	20-24	1	1	0	F	671
Capital Region	20-24	1	1	0	M	279
Capital Region	20-24	1	1	1	F	34
Capital Region	20-24	1	1	1	M	5
Capital Region	25-34				F	891
Capital Region	25-34				M	1183
Capital Region	25-34	0			F	4489
Capital Region	25-34	0			M	6175
Capital Region	25-34	1	0	1	F	550
Capital Region	25-34	1	0	1	M	338
Capital Region	25-34	1	1	0	F	5068
Capital Region	25-34	1	1	0	M	3259
Capital Region	25-34	1	1	1	F	295
Capital Region	25-34	1	1	1	M	80
Capital Region	35-44				F	880
Capital Region	35-44				M	1240
Capital Region	35-44	0			F	3775
Capital Region	35-44	0			M	4731
Capital Region	35-44	1	0	1	F	450
Capital Region	35-44	1	0	1	M	294
Capital Region	35-44	1	1	0	F	7413
Capital Region	35-44	1	1	0	M	6030
Capital Region	35-44	1	1	1	F	397
Capital Region	35-44	1	1	1	M	204
Capital Region	45-54				F	1184
Capital Region	45-54				M	1442
Capital Region	45-54	0			F	9758
Capital Region	45-54	0			M	9460
Capital Region	45-54	1	0	1	F	1332
Capital Region	45-54	1	0	1	M	549
Capital Region	45-54	1	1	0	F	3591
Capital Region	45-54	1	1	0	M	3960
Capital Region	45-54	1	1	1	F	146
Capital Region	45-54	1	1	1	M	89
Capital Region	55-64				F	1272
Capital Region	55-64				M	1399
Capital Region	55-64	0			F	11985
Capital Region	55-64	0			M	12801
Capital Region	55-64	1	0	1	F	2917
Capital Region	55-64	1	0	1	M	1234
Capital Region	55-64	1	1	0	F	283
Capital Region	55-64	1	1	0	M	786
Capital Region	55-64	1	1	1	F	24
Capital Region	55-64	1	1	1	M	22
Capital Region	65-74				F	1369
Capital Region	65-74				M	1453
Capital Region	65-74	0			F	9587
Capital Region	65-74	0			M	10663
Capital Region	65-74	1	0	1	F	1991
Capital Region	65-74	1	0	1	M	1244
Capital Region	65-74	1	1	0	F	87
Capital Region	65-74	1	1	0	M	140
Capital Region	65-74	1	1	1	F	11
Capital Region	75-84				F	1201
Capital Region	75-84				M	991
Capital Region	75-84	0			F	5292
Capital Region	75-84	0			M	5150
Capital Region	75-84	1	0	1	F	298
Capital Region	75-84	1	0	1	M	261
Capital Region	75-84	1	1	0	F	27
Capital Region	75-84	1	1	0	M	20
Capital Region	75-84	1	1	1	F	3
Capital Region	85+				F	807
Capital Region	85+				M	401
Capital Region	85+	0			F	2453
Capital Region	85+	0			M	1542
Capital Region	85+	1	0	1	F	22
Capital Region	85+	1	0	1	M	17
Capital Region	85+	1	1	0	F	8
Capital Region	85+	1	1	0	M	13
Central Coast	15-19				F	793
Central Coast	15-19				M	847
Central Coast	15-19	0			F	8056
Central Coast	15-19	0			M	8713
Central Coast	15-19	1	0	1	F	847
Central Coast	15-19	1	0	1	M	509
Central Coast	15-19	1	1	0	F	104
Central Coast	15-19	1	1	0	M	42
Central Coast	15-19	1	1	1	F	8
Central Coast	15-19	1	1	1	M	8
Central Coast	20-24				F	567
Central Coast	20-24				M	621
Central Coast	20-24	0			F	6580
Central Coast	20-24	0			M	7885
Central Coast	20-24	1	0	1	F	694
Central Coast	20-24	1	0	1	M	319
Central Coast	20-24	1	1	0	F	1012
Central Coast	20-24	1	1	0	M	434
Central Coast	20-24	1	1	1	F	60
Central Coast	20-24	1	1	1	M	15
Central Coast	25-34				F	959
Central Coast	25-34				M	1116
Central Coast	25-34	0			F	7274
Central Coast	25-34	0			M	9970
Central Coast	25-34	1	0	1	F	930
Central Coast	25-34	1	0	1	M	596
Central Coast	25-34	1	1	0	F	8374
Central Coast	25-34	1	1	0	M	5402
Central Coast	25-34	1	1	1	F	497
Central Coast	25-34	1	1	1	M	166
Central Coast	35-44				F	1069
Central Coast	35-44				M	1165
Central Coast	35-44	0			F	4968
Central Coast	35-44	0			M	6742
Central Coast	35-44	1	0	1	F	740
Central Coast	35-44	1	0	1	M	447
Central Coast	35-44	1	1	0	F	12771
Central Coast	35-44	1	1	0	M	10314
Central Coast	35-44	1	1	1	F	789
Central Coast	35-44	1	1	1	M	378
Central Coast	45-54				F	1288
Central Coast	45-54				M	1348
Central Coast	45-54	0			F	13108
Central Coast	45-54	0			M	12718
Central Coast	45-54	1	0	1	F	2053
Central Coast	45-54	1	0	1	M	839
Central Coast	45-54	1	1	0	F	5811
Central Coast	45-54	1	1	0	M	5963
Central Coast	45-54	1	1	1	F	314
Central Coast	45-54	1	1	1	M	180
Central Coast	55-64				F	1368
Central Coast	55-64				M	1379
Central Coast	55-64	0			F	15109
Central Coast	55-64	0			M	15401
Central Coast	55-64	1	0	1	F	5298
Central Coast	55-64	1	0	1	M	2212
Central Coast	55-64	1	1	0	F	483
Central Coast	55-64	1	1	0	M	1036
Central Coast	55-64	1	1	1	F	53
Central Coast	55-64	1	1	1	M	32
Central Coast	65-74				F	1746
Central Coast	65-74				M	1519
Central Coast	65-74	0			F	13796
Central Coast	65-74	0			M	13242
Central Coast	65-74	1	0	1	F	3674
Central Coast	65-74	1	0	1	M	2291
Central Coast	65-74	1	1	0	F	118
Central Coast	65-74	1	1	0	M	191
Central Coast	65-74	1	1	1	F	15
Central Coast	65-74	1	1	1	M	17
Central Coast	75-84				F	1864
Central Coast	75-84				M	1282
Central Coast	75-84	0			F	9477
Central Coast	75-84	0			M	7933
Central Coast	75-84	1	0	1	F	606
Central Coast	75-84	1	0	1	M	460
Central Coast	75-84	1	1	0	F	26
Central Coast	75-84	1	1	0	M	37
Central Coast	75-84	1	1	1	F	3
Central Coast	75-84	1	1	1	M	3
Central Coast	85+				F	1510
Central Coast	85+				M	778
Central Coast	85+	0			F	4847
Central Coast	85+	0			M	3056
Central Coast	85+	1	0	1	F	41
Central Coast	85+	1	0	1	M	25
Central Coast	85+	1	1	0	F	15
Central Coast	85+	1	1	0	M	9
Central West	15-19				F	884
Central West	15-19				M	914
Central West	15-19	0			F	4836
Central West	15-19	0			M	5409
Central West	15-19	1	0	1	F	558
Central West	15-19	1	0	1	M	317
Central West	15-19	1	1	0	F	111
Central West	15-19	1	1	0	M	50
Central West	15-19	1	1	1	F	5
Central West	15-19	1	1	1	M	3
Central West	20-24				F	529
Central West	20-24				M	853
Central West	20-24	0			F	3631
Central West	20-24	0			M	4441
Central West	20-24	1	0	1	F	474
Central West	20-24	1	0	1	M	251
Central West	20-24	1	1	0	F	898
Central West	20-24	1	1	0	M	405
Central West	20-24	1	1	1	F	58
Central West	20-24	1	1	1	M	15
Central West	25-34				F	889
Central West	25-34				M	1526
Central West	25-34	0			F	3899
Central West	25-34	0			M	5625
Central West	25-34	1	0	1	F	623
Central West	25-34	1	0	1	M	408
Central West	25-34	1	1	0	F	5737
Central West	25-34	1	1	0	M	3911
Central West	25-34	1	1	1	F	366
Central West	25-34	1	1	1	M	109
Central West	35-44				F	947
Central West	35-44				M	1307
Central West	35-44	0			F	3164
Central West	35-44	0			M	3976
