SA4_NAME16	Age	HoursHousekeeping	Sex	adults
Capital Region	15-19		F	749
Capital Region	15-19		M	850
Capital Region	15-19	0	F	1711
Capital Region	15-19	0	M	2276
Capital Region	15-19	<5	F	2832
Capital Region	15-19	<5	M	2780
Capital Region	15-19	5-14	F	710
Capital Region	15-19	5-14	M	491
Capital Region	15-19	15-29	F	107
Capital Region	15-19	15-29	M	65
Capital Region	15-19	30+	F	54
Capital Region	15-19	30+	M	40
Capital Region	20-24		F	431
Capital Region	20-24		M	590
Capital Region	20-24	0	F	945
Capital Region	20-24	0	M	1675
Capital Region	20-24	<5	F	1643
Capital Region	20-24	<5	M	2014
Capital Region	20-24	5-14	F	1281
Capital Region	20-24	5-14	M	859
Capital Region	20-24	15-29	F	364
Capital Region	20-24	15-29	M	135
Capital Region	20-24	30+	F	355
Capital Region	20-24	30+	M	75
Capital Region	25-34		F	934
Capital Region	25-34		M	1248
Capital Region	25-34	0	F	1044
Capital Region	25-34	0	M	2187
Capital Region	25-34	<5	F	1856
Capital Region	25-34	<5	M	3498
Capital Region	25-34	5-14	F	3511
Capital Region	25-34	5-14	M	3101
Capital Region	25-34	15-29	F	1798
Capital Region	25-34	15-29	M	659
Capital Region	25-34	30+	F	2146
Capital Region	25-34	30+	M	345
Capital Region	35-44		F	923
Capital Region	35-44		M	1318
Capital Region	35-44	0	F	866
Capital Region	35-44	0	M	1911
Capital Region	35-44	<5	F	1242
Capital Region	35-44	<5	M	3393
Capital Region	35-44	5-14	F	4440
Capital Region	35-44	5-14	M	4156
Capital Region	35-44	15-29	F	2850
Capital Region	35-44	15-29	M	1141
Capital Region	35-44	30+	F	2602
Capital Region	35-44	30+	M	578
Capital Region	45-54		F	1256
Capital Region	45-54		M	1571
Capital Region	45-54	0	F	1306
Capital Region	45-54	0	M	2521
Capital Region	45-54	<5	F	1886
Capital Region	45-54	<5	M	4035
Capital Region	45-54	5-14	F	5910
Capital Region	45-54	5-14	M	5221
Capital Region	45-54	15-29	F	3500
Capital Region	45-54	15-29	M	1505
Capital Region	45-54	30+	F	2157
Capital Region	45-54	30+	M	637
Capital Region	55-64		F	1340
Capital Region	55-64		M	1529
Capital Region	55-64	0	F	1946
Capital Region	55-64	0	M	3165
Capital Region	55-64	<5	F	1647
Capital Region	55-64	<5	M	3601
Capital Region	55-64	5-14	F	5281
Capital Region	55-64	5-14	M	5125
Capital Region	55-64	15-29	F	3699
Capital Region	55-64	15-29	M	1813
Capital Region	55-64	30+	F	2575
Capital Region	55-64	30+	M	1010
Capital Region	65-74		F	1536
Capital Region	65-74		M	1630
Capital Region	65-74	0	F	2216
Capital Region	65-74	0	M	3022
Capital Region	65-74	<5	F	804
Capital Region	65-74	<5	M	2048
Capital Region	65-74	5-14	F	2819
Capital Region	65-74	5-14	M	3532
Capital Region	65-74	15-29	F	2865
Capital Region	65-74	15-29	M	1911
Capital Region	65-74	30+	F	2806
Capital Region	65-74	30+	M	1362
Capital Region	75-84		F	1323
Capital Region	75-84		M	1121
Capital Region	75-84	0	F	1768
Capital Region	75-84	0	M	1805
Capital Region	75-84	<5	F	526
Capital Region	75-84	<5	M	798
Capital Region	75-84	5-14	F	1102
Capital Region	75-84	5-14	M	1279
Capital Region	75-84	15-29	F	947
Capital Region	75-84	15-29	M	790
Capital Region	75-84	30+	F	1143
Capital Region	75-84	30+	M	634
Capital Region	85+		F	841
Capital Region	85+		M	460
Capital Region	85+	0	F	1356
Capital Region	85+	0	M	734
Capital Region	85+	<5	F	300
Capital Region	85+	<5	M	243
Capital Region	85+	5-14	F	382
Capital Region	85+	5-14	M	277
Capital Region	85+	15-29	F	224
Capital Region	85+	15-29	M	142
Capital Region	85+	30+	F	192
Capital Region	85+	30+	M	115
Central Coast	15-19		F	770
Central Coast	15-19		M	864
Central Coast	15-19	0	F	3290
Central Coast	15-19	0	M	4122
Central Coast	15-19	<5	F	4501
Central Coast	15-19	<5	M	4332
Central Coast	15-19	5-14	F	1053
Central Coast	15-19	5-14	M	712
Central Coast	15-19	15-29	F	130
Central Coast	15-19	15-29	M	61
Central Coast	15-19	30+	F	73
Central Coast	15-19	30+	M	38
Central Coast	20-24		F	570
Central Coast	20-24		M	651
Central Coast	20-24	0	F	1971
Central Coast	20-24	0	M	3471
Central Coast	20-24	<5	F	3254
Central Coast	20-24	<5	M	3600
Central Coast	20-24	5-14	F	2122
Central Coast	20-24	5-14	M	1257
Central Coast	20-24	15-29	F	546
Central Coast	20-24	15-29	M	194
Central Coast	20-24	30+	F	447
Central Coast	20-24	30+	M	87
Central Coast	25-34		F	995
Central Coast	25-34		M	1151
Central Coast	25-34	0	F	1849
Central Coast	25-34	0	M	3872
Central Coast	25-34	<5	F	3324
Central Coast	25-34	<5	M	6231
Central Coast	25-34	5-14	F	5483
Central Coast	25-34	5-14	M	4606
Central Coast	25-34	15-29	F	2811
Central Coast	25-34	15-29	M	955
Central Coast	25-34	30+	F	3568
Central Coast	25-34	30+	M	424
Central Coast	35-44		F	1133
Central Coast	35-44		M	1222
Central Coast	35-44	0	F	1547
Central Coast	35-44	0	M	3139
Central Coast	35-44	<5	F	1925
Central Coast	35-44	<5	M	5876
Central Coast	35-44	5-14	F	6318
Central Coast	35-44	5-14	M	6500
Central Coast	35-44	15-29	F	4513
Central Coast	35-44	15-29	M	1546
Central Coast	35-44	30+	F	4906
Central Coast	35-44	30+	M	745
Central Coast	45-54		F	1321
Central Coast	45-54		M	1432
Central Coast	45-54	0	F	2174
Central Coast	45-54	0	M	4017
Central Coast	45-54	<5	F	2649
Central Coast	45-54	<5	M	5949
Central Coast	45-54	5-14	F	7926
Central Coast	45-54	5-14	M	6990
Central Coast	45-54	15-29	F	5072
Central Coast	45-54	15-29	M	1821
Central Coast	45-54	30+	F	3443
Central Coast	45-54	30+	M	844
Central Coast	55-64		F	1457
Central Coast	55-64		M	1471
Central Coast	55-64	0	F	3002
Central Coast	55-64	0	M	4388
Central Coast	55-64	<5	F	2584
Central Coast	55-64	<5	M	4918
Central Coast	55-64	5-14	F	7114
Central Coast	55-64	5-14	M	6358
Central Coast	55-64	15-29	F	4711
Central Coast	55-64	15-29	M	1932
Central Coast	55-64	30+	F	3451
Central Coast	55-64	30+	M	983
Central Coast	65-74		F	1888
Central Coast	65-74		M	1615
Central Coast	65-74	0	F	4202
Central Coast	65-74	0	M	4657
Central Coast	65-74	<5	F	1437
Central Coast	65-74	<5	M	2731
Central Coast	65-74	5-14	F	4206
Central Coast	65-74	5-14	M	4577
Central Coast	65-74	15-29	F	4015
Central Coast	65-74	15-29	M	2248
Central Coast	65-74	30+	F	3602
Central Coast	65-74	30+	M	1418
Central Coast	75-84		F	2051
Central Coast	75-84		M	1448
Central Coast	75-84	0	F	3823
Central Coast	75-84	0	M	3130
Central Coast	75-84	<5	F	911
Central Coast	75-84	<5	M	1165
Central Coast	75-84	5-14	F	1979
Central Coast	75-84	5-14	M	1958
Central Coast	75-84	15-29	F	1585
Central Coast	75-84	15-29	M	1134
Central Coast	75-84	30+	F	1623
Central Coast	75-84	30+	M	874
Central Coast	85+		F	1613
Central Coast	85+		M	851
Central Coast	85+	0	F	2759
Central Coast	85+	0	M	1596
Central Coast	85+	<5	F	598
Central Coast	85+	<5	M	433
Central Coast	85+	5-14	F	735
Central Coast	85+	5-14	M	519
Central Coast	85+	15-29	F	394
Central Coast	85+	15-29	M	250
Central Coast	85+	30+	F	310
Central Coast	85+	30+	M	218
Central West	15-19		F	890
Central West	15-19		M	930
Central West	15-19	0	F	1915
Central West	15-19	0	M	2535
Central West	15-19	<5	F	2631
Central West	15-19	<5	M	2623
Central West	15-19	5-14	F	786
Central West	15-19	5-14	M	519
Central West	15-19	15-29	F	92
Central West	15-19	15-29	M	51
Central West	15-19	30+	F	77
Central West	15-19	30+	M	36
Central West	20-24		F	559
Central West	20-24		M	882
Central West	20-24	0	F	1015
Central West	20-24	0	M	1799
Central West	20-24	<5	F	1563
Central West	20-24	<5	M	2051
Central West	20-24	5-14	F	1501
Central West	20-24	5-14	M	1007
Central West	20-24	15-29	F	466
Central West	20-24	15-29	M	147
Central West	20-24	30+	F	478
Central West	20-24	30+	M	88
Central West	25-34		F	920
Central West	25-34		M	1591
Central West	25-34	0	F	1009
Central West	25-34	0	M	2136
Central West	25-34	<5	F	1596
Central West	25-34	<5	M	3659
Central West	25-34	5-14	F	3326
Central West	25-34	5-14	M	3111
Central West	25-34	15-29	F	1879
Central West	25-34	15-29	M	720
Central West	25-34	30+	F	2788
Central West	25-34	30+	M	362
Central West	35-44		F	1004
Central West	35-44		M	1393
Central West	35-44	0	F	944
Central West	35-44	0	M	1877
Central West	35-44	<5	F	904
Central West	35-44	<5	M	3000
Central West	35-44	5-14	F	3665
Central West	35-44	5-14	M	3718
Central West	35-44	15-29	F	2693
Central West	35-44	15-29	M	1086
Central West	35-44	30+	F	2827
Central West	35-44	30+	M	536
Central West	45-54		F	1259
Central West	45-54		M	1578
Central West	45-54	0	F	1310
Central West	45-54	0	M	2522
Central West	45-54	<5	F	1345
