SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Central West	Semi-detached, row/terrace house, townhouse etc.	28800	11
Central West	Semi-detached, row/terrace house, townhouse etc.	48000	3
Central West	Separate house	0	1088
Central West	Separate house	3600	641
Central West	Separate house	5400	621
Central West	Separate house	7200	1241
Central West	Separate house	9600	1790
Central West	Separate house	12000	4351
Central West	Separate house	16800	4094
Central West	Separate house	21600	4076
Central West	Separate house	28800	1688
Central West	Separate house	36000	1109
Central West	Separate house	48000	651
Coffs Harbour - Grafton		0	10
Coffs Harbour - Grafton		5400	3
Coffs Harbour - Grafton		7200	4
Coffs Harbour - Grafton		9600	4
Coffs Harbour - Grafton		12000	13
Coffs Harbour - Grafton		16800	16
Coffs Harbour - Grafton		21600	17
Coffs Harbour - Grafton		28800	6
Coffs Harbour - Grafton		36000	3
Coffs Harbour - Grafton		48000	8
Coffs Harbour - Grafton	(Other)	0	3
Coffs Harbour - Grafton	(Other)	3600	3
Coffs Harbour - Grafton	(Other)	5400	5
Coffs Harbour - Grafton	(Other)	7200	16
Coffs Harbour - Grafton	(Other)	9600	6
Coffs Harbour - Grafton	(Other)	12000	16
Coffs Harbour - Grafton	(Other)	16800	14
Coffs Harbour - Grafton	(Other)	21600	10
Coffs Harbour - Grafton	(Other)	28800	3
Coffs Harbour - Grafton	(Other)	36000	3
Coffs Harbour - Grafton	(Other)	48000	3
Coffs Harbour - Grafton	Flat/apartment	0	25
Coffs Harbour - Grafton	Flat/apartment	3600	11
Coffs Harbour - Grafton	Flat/apartment	5400	5
Coffs Harbour - Grafton	Flat/apartment	7200	32
Coffs Harbour - Grafton	Flat/apartment	9600	39
Coffs Harbour - Grafton	Flat/apartment	12000	98
Coffs Harbour - Grafton	Flat/apartment	16800	56
Coffs Harbour - Grafton	Flat/apartment	21600	38
Coffs Harbour - Grafton	Flat/apartment	28800	6
Coffs Harbour - Grafton	Flat/apartment	36000	7
Coffs Harbour - Grafton	Flat/apartment	48000	3
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	0	36
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	3600	20
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	5400	22
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	7200	38
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	9600	40
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	12000	147
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	16800	93
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	21600	92
