SA4_NAME16	AgeStudent	students
Capital Region	0-4	2755
Capital Region	5-14	24262
Capital Region	15-19	8710
Capital Region	20-24	2519
Capital Region	25+	6195
Central Coast	0-4	5184
Central Coast	5-14	38111
Central Coast	15-19	14300
Central Coast	20-24	5477
Central Coast	25+	9766
Central West	0-4	3056
Central West	5-14	24730
Central West	15-19	8833
Central West	20-24	2895
Central West	25+	5748
Coffs Harbour - Grafton	0-4	1842
Coffs Harbour - Grafton	5-14	15138
Coffs Harbour - Grafton	15-19	5459
Coffs Harbour - Grafton	20-24	1445
Coffs Harbour - Grafton	25+	3929
Far West and Orana	0-4	1821
Far West and Orana	5-14	13118
Far West and Orana	15-19	4046
Far West and Orana	20-24	1049
Far West and Orana	25+	2853
Hunter Valley exc Newcastle	0-4	4191
Hunter Valley exc Newcastle	5-14	32760
Hunter Valley exc Newcastle	15-19	11140
Hunter Valley exc Newcastle	20-24	3348
Hunter Valley exc Newcastle	25+	6673
Illawarra	0-4	4902
Illawarra	5-14	33872
Illawarra	15-19	14497
Illawarra	20-24	9050
Illawarra	25+	10628
Mid North Coast	0-4	2856
Mid North Coast	5-14	22142
Mid North Coast	15-19	8091
Mid North Coast	20-24	1731
Mid North Coast	25+	5113
Murray	0-4	1531
Murray	5-14	13098
Murray	15-19	4730
Murray	20-24	1541
Murray	25+	2939
New England and North West	0-4	2853
New England and North West	5-14	21373
New England and North West	15-19	7637
New England and North West	20-24	2872
New England and North West	25+	4968
Newcastle and Lake Macquarie	0-4	5491
Newcastle and Lake Macquarie	5-14	39557
Newcastle and Lake Macquarie	15-19	15999
Newcastle and Lake Macquarie	20-24	10420
Newcastle and Lake Macquarie	25+	13759
Richmond - Tweed	0-4	2996
Richmond - Tweed	5-14	25705
Richmond - Tweed	15-19	9698
Richmond - Tweed	20-24	2813
Richmond - Tweed	25+	7615
Riverina	0-4	2267
Riverina	5-14	18988
Riverina	15-19	6733
Riverina	20-24	2583
Riverina	25+	4373
Southern Highlands and Shoalhaven	0-4	2113
Southern Highlands and Shoalhaven	5-14	15670
Southern Highlands and Shoalhaven	15-19	5747
Southern Highlands and Shoalhaven	20-24	1435
Southern Highlands and Shoalhaven	25+	3588
Sydney - Baulkham Hills and Hawkesbury	0-4	3796
Sydney - Baulkham Hills and Hawkesbury	5-14	31951
Sydney - Baulkham Hills and Hawkesbury	15-19	14263
Sydney - Baulkham Hills and Hawkesbury	20-24	6848
Sydney - Baulkham Hills and Hawkesbury	25+	6775
Sydney - Blacktown	0-4	5567
Sydney - Blacktown	5-14	45942
Sydney - Blacktown	15-19	17922
Sydney - Blacktown	20-24	8623
Sydney - Blacktown	25+	12121
Sydney - City and Inner South	0-4	2487
Sydney - City and Inner South	5-14	15382
Sydney - City and Inner South	15-19	10438
Sydney - City and Inner South	20-24	21072
Sydney - City and Inner South	25+	26861
Sydney - Eastern Suburbs	0-4	3805
Sydney - Eastern Suburbs	5-14	23744
Sydney - Eastern Suburbs	15-19	11444
Sydney - Eastern Suburbs	20-24	13247
Sydney - Eastern Suburbs	25+	14317
Sydney - Inner South West	0-4	8003
Sydney - Inner South West	5-14	62751
Sydney - Inner South West	15-19	28203
Sydney - Inner South West	20-24	20249
Sydney - Inner South West	25+	26729
Sydney - Inner West	0-4	3824
Sydney - Inner West	5-14	26747
Sydney - Inner West	15-19	11743
Sydney - Inner West	20-24	12746
Sydney - Inner West	25+	16497
Sydney - North Sydney and Hornsby	0-4	6541
Sydney - North Sydney and Hornsby	5-14	48307
Sydney - North Sydney and Hornsby	15-19	21015
Sydney - North Sydney and Hornsby	20-24	12353
Sydney - North Sydney and Hornsby	25+	17439
