SA4_NAME16	medianRent
Capital Region	13000
Central Coast	18200
Central West	12220
Coffs Harbour - Grafton	14976
Far West and Orana	9880
Hunter Valley exc Newcastle	15080
Illawarra	17160
Mid North Coast	14040
Murray	10400
New England and North West	11440
Newcastle and Lake Macquarie	17160
Richmond - Tweed	15600
Riverina	11440
Southern Highlands and Shoalhaven	15340
Sydney - Baulkham Hills and Hawkesbury	28600
Sydney - Blacktown	19760
Sydney - City and Inner South	28600
Sydney - Eastern Suburbs	30160
Sydney - Inner South West	21580
Sydney - Inner West	26000
Sydney - North Sydney and Hornsby	28860
Sydney - Northern Beaches	29380
Sydney - Outer South West	18720
Sydney - Outer West and Blue Mountains	18980
Sydney - Parramatta	21320
Sydney - Ryde	24440
Sydney - South West	18980
Sydney - Sutherland	23400
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	12480
Bendigo	13000
Geelong	14976
Hume	11700
Latrobe - Gippsland	11440
Melbourne - Inner	20852
Melbourne - Inner East	20800
Melbourne - Inner South	20072
Melbourne - North East	17212
Melbourne - North West	17160
Melbourne - Outer East	18200
Melbourne - South East	17472
Melbourne - West	16380
Mornington Peninsula	16120
North West	9620
Shepparton	10920
Warrnambool and South West	10452
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	20540
Brisbane - North	19240
Brisbane - South	20280
Brisbane - West	20800
Brisbane Inner City	21580
Cairns	14560
Darling Downs - Maranoa	11180
Central Queensland	13000
Gold Coast	20280
Ipswich	16120
Logan - Beaudesert	17160
Mackay - Isaac - Whitsunday	13000
Moreton Bay - North	16380
Moreton Bay - South	18720
Queensland - Outback	7280
Sunshine Coast	19240
Toowoomba	14820
Townsville	14560
Wide Bay	13000
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	16224
Adelaide - North	13936
Adelaide - South	15340
Adelaide - West	14560
Barossa - Yorke - Mid North	10400
South Australia - Outback	9100
South Australia - South East	10140
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	15600
Mandurah	16640
Perth - Inner	20800
Perth - North East	18200
Perth - North West	19760
Perth - South East	18200
Perth - South West	18720
Western Australia - Wheat Belt	10400
Western Australia - Outback (North)	8372
Western Australia - Outback (South)	12948
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Hobart	13520
Launceston and North East	11180
South East	10400
West and North West	10400
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	21840
Northern Territory - Outback	4732
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	19760
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	7280
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
