SA4_NAME16	Age	Sex	persons
Capital Region	0-4	F	5643
Capital Region	0-4	M	6218
Capital Region	5-14	F	13013
Capital Region	5-14	M	13888
Capital Region	15-19	F	6167
Capital Region	15-19	M	6492
Capital Region	20-24	F	5022
Capital Region	20-24	M	5345
Capital Region	25-34	F	11293
Capital Region	25-34	M	11043
Capital Region	35-44	F	12921
Capital Region	35-44	M	12503
Capital Region	45-54	F	16013
Capital Region	45-54	M	15491
Capital Region	55-64	F	16485
Capital Region	55-64	M	16249
Capital Region	65-74	F	13050
Capital Region	65-74	M	13507
Capital Region	75-84	F	6822
Capital Region	75-84	M	6426
Capital Region	85+	F	3295
Capital Region	85+	M	1966
Central Coast	0-4	F	9299
Central Coast	0-4	M	9887
Central Coast	5-14	F	19967
Central Coast	5-14	M	21280
Central Coast	15-19	F	9808
Central Coast	15-19	M	10117
Central Coast	20-24	F	8908
Central Coast	20-24	M	9267
Central Coast	25-34	F	18037
Central Coast	25-34	M	17244
Central Coast	35-44	F	20343
Central Coast	35-44	M	19032
Central Coast	45-54	F	22575
Central Coast	45-54	M	21054
Central Coast	55-64	F	22308
Central Coast	55-64	M	20057
Central Coast	65-74	F	19339
Central Coast	65-74	M	17251
Central Coast	75-84	F	11976
Central Coast	75-84	M	9718
Central Coast	85+	F	6407
Central Coast	85+	M	3866
Central West	0-4	F	6466
Central West	0-4	M	6828
Central West	5-14	F	13353
Central West	5-14	M	14268
Central West	15-19	F	6398
Central West	15-19	M	6692
Central West	20-24	F	5590
Central West	20-24	M	5972
Central West	25-34	F	11515
Central West	25-34	M	11580
Central West	35-44	F	12040
Central West	35-44	M	11614
Central West	45-54	F	13652
Central West	45-54	M	13358
Central West	55-64	F	13329
Central West	55-64	M	13438
Central West	65-74	F	11170
Central West	65-74	M	11313
Central West	75-84	F	6696
Central West	75-84	M	5812
Central West	85+	F	3247
Central West	85+	M	1824
Coffs Harbour - Grafton	0-4	F	3466
Coffs Harbour - Grafton	0-4	M	3662
Coffs Harbour - Grafton	5-14	F	8159
Coffs Harbour - Grafton	5-14	M	8570
Coffs Harbour - Grafton	15-19	F	3863
Coffs Harbour - Grafton	15-19	M	4155
Coffs Harbour - Grafton	20-24	F	2963
Coffs Harbour - Grafton	20-24	M	3173
Coffs Harbour - Grafton	25-34	F	6535
Coffs Harbour - Grafton	25-34	M	6218
Coffs Harbour - Grafton	35-44	F	7695
Coffs Harbour - Grafton	35-44	M	6994
Coffs Harbour - Grafton	45-54	F	9637
Coffs Harbour - Grafton	45-54	M	8529
Coffs Harbour - Grafton	55-64	F	10882
Coffs Harbour - Grafton	55-64	M	10403
Coffs Harbour - Grafton	65-74	F	8834
Coffs Harbour - Grafton	65-74	M	8799
Coffs Harbour - Grafton	75-84	F	5139
Coffs Harbour - Grafton	75-84	M	4559
Coffs Harbour - Grafton	85+	F	2526
Coffs Harbour - Grafton	85+	M	1528
Far West and Orana	0-4	F	3765
Far West and Orana	0-4	M	3862
Far West and Orana	5-14	F	7310
Far West and Orana	5-14	M	7686
Far West and Orana	15-19	F	3171
Far West and Orana	15-19	M	3333
Far West and Orana	20-24	F	3184
Far West and Orana	20-24	M	3277
Far West and Orana	25-34	F	7181
Far West and Orana	25-34	M	6823
Far West and Orana	35-44	F	6444
Far West and Orana	35-44	M	6213
Far West and Orana	45-54	F	7539
Far West and Orana	45-54	M	7369
Far West and Orana	55-64	F	7581
Far West and Orana	55-64	M	7720
Far West and Orana	65-74	F	5769
Far West and Orana	65-74	M	6055
Far West and Orana	75-84	F	3652
Far West and Orana	75-84	M	3100
Far West and Orana	85+	F	1708
Far West and Orana	85+	M	1033
Hunter Valley exc Newcastle	0-4	F	8448
Hunter Valley exc Newcastle	0-4	M	8819
Hunter Valley exc Newcastle	5-14	F	17460
Hunter Valley exc Newcastle	5-14	M	18541
Hunter Valley exc Newcastle	15-19	F	7993
Hunter Valley exc Newcastle	15-19	M	8419
Hunter Valley exc Newcastle	20-24	F	7437
Hunter Valley exc Newcastle	20-24	M	7650
Hunter Valley exc Newcastle	25-34	F	16078
Hunter Valley exc Newcastle	25-34	M	15527
Hunter Valley exc Newcastle	35-44	F	16340
Hunter Valley exc Newcastle	35-44	M	16132
Hunter Valley exc Newcastle	45-54	F	17691
Hunter Valley exc Newcastle	45-54	M	17085
Hunter Valley exc Newcastle	55-64	F	17015
Hunter Valley exc Newcastle	55-64	M	16557
Hunter Valley exc Newcastle	65-74	F	13703
Hunter Valley exc Newcastle	65-74	M	13615
Hunter Valley exc Newcastle	75-84	F	7261
Hunter Valley exc Newcastle	75-84	M	6416
Hunter Valley exc Newcastle	85+	F	3341
Hunter Valley exc Newcastle	85+	M	1877
Illawarra	0-4	F	8486
Illawarra	0-4	M	8989
Illawarra	5-14	F	17689
Illawarra	5-14	M	18604
Illawarra	15-19	F	9264
Illawarra	15-19	M	9720
Illawarra	20-24	F	9989
Illawarra	20-24	M	10863
Illawarra	25-34	F	18027
Illawarra	25-34	M	17870
Illawarra	35-44	F	18770
