SA4_NAME16	FamilyHousehold	IncomeHousehold.max	households
Capital Region	0		1725
Capital Region	0	0	500
Capital Region	0	7875	390
Capital Region	0	15750	1352
Capital Region	0	21000	2403
Capital Region	0	26250	5128
Capital Region	0	34125	2526
Capital Region	0	42000	2153
Capital Region	0	52500	2328
Capital Region	0	65625	2045
Capital Region	0	78750	1373
Capital Region	0	91875	1080
Capital Region	0	105000	765
Capital Region	0	131250	1044
Capital Region	0	157500	116
Capital Region	0	183750	62
Capital Region	0	210000	434
Capital Region	0	Inf	55
Capital Region	1		6729
Capital Region	1	0	380
Capital Region	1	7875	292
Capital Region	1	15750	432
Capital Region	1	21000	430
Capital Region	1	26250	1787
Capital Region	1	34125	1645
Capital Region	1	42000	4890
Capital Region	1	52500	3808
Capital Region	1	65625	5046
Capital Region	1	78750	4797
Capital Region	1	91875	3361
Capital Region	1	105000	3491
Capital Region	1	131250	6343
Capital Region	1	157500	4263
Capital Region	1	183750	2905
Capital Region	1	210000	1999
Capital Region	1	Inf	4226
Central Coast	0		3036
Central Coast	0	0	847
Central Coast	0	7875	437
Central Coast	0	15750	1755
Central Coast	0	21000	3271
Central Coast	0	26250	7716
Central Coast	0	34125	3963
Central Coast	0	42000	2859
Central Coast	0	52500	3008
Central Coast	0	65625	2676
Central Coast	0	78750	1752
Central Coast	0	91875	1284
Central Coast	0	105000	971
Central Coast	0	131250	1211
Central Coast	0	157500	203
Central Coast	0	183750	97
Central Coast	0	210000	509
Central Coast	0	Inf	76
Central Coast	1		9760
Central Coast	1	0	603
Central Coast	1	7875	364
Central Coast	1	15750	537
Central Coast	1	21000	586
Central Coast	1	26250	2310
Central Coast	1	34125	2454
Central Coast	1	42000	7412
Central Coast	1	52500	5768
Central Coast	1	65625	7263
Central Coast	1	78750	7215
Central Coast	1	91875	5624
Central Coast	1	105000	5678
Central Coast	1	131250	10536
Central Coast	1	157500	7043
Central Coast	1	183750	4289
Central Coast	1	210000	2861
Central Coast	1	Inf	5082
Central West	0		1839
Central West	0	0	554
Central West	0	7875	358
Central West	0	15750	1512
Central West	0	21000	2476
Central West	0	26250	4985
Central West	0	34125	2148
Central West	0	42000	1922
Central West	0	52500	1919
Central West	0	65625	1801
Central West	0	78750	1142
Central West	0	91875	843
Central West	0	105000	691
Central West	0	131250	835
Central West	0	157500	94
Central West	0	183750	60
Central West	0	210000	350
Central West	0	Inf	54
Central West	1		6166
Central West	1	0	382
Central West	1	7875	308
Central West	1	15750	467
Central West	1	21000	463
Central West	1	26250	1733
Central West	1	34125	1752
Central West	1	42000	4657
Central West	1	52500	3488
Central West	1	65625	4597
Central West	1	78750	4337
Central West	1	91875	3151
Central West	1	105000	3282
Central West	1	131250	5932
Central West	1	157500	3815
Central West	1	183750	2435
Central West	1	210000	1447
Central West	1	Inf	2749
Coffs Harbour - Grafton	0		1278
Coffs Harbour - Grafton	0	0	335
Coffs Harbour - Grafton	0	7875	194
Coffs Harbour - Grafton	0	15750	1028
Coffs Harbour - Grafton	0	21000	1705
Coffs Harbour - Grafton	0	26250	3815
Coffs Harbour - Grafton	0	34125	1784
Coffs Harbour - Grafton	0	42000	1440
Coffs Harbour - Grafton	0	52500	1415
Coffs Harbour - Grafton	0	65625	1155
Coffs Harbour - Grafton	0	78750	630
Coffs Harbour - Grafton	0	91875	452
Coffs Harbour - Grafton	0	105000	339
Coffs Harbour - Grafton	0	131250	358
Coffs Harbour - Grafton	0	157500	77
Coffs Harbour - Grafton	0	183750	28
Coffs Harbour - Grafton	0	210000	190
Coffs Harbour - Grafton	0	Inf	35
Coffs Harbour - Grafton	1		4046
Coffs Harbour - Grafton	1	0	259
Coffs Harbour - Grafton	1	7875	190
Coffs Harbour - Grafton	1	15750	276
Coffs Harbour - Grafton	1	21000	295
Coffs Harbour - Grafton	1	26250	1414
Coffs Harbour - Grafton	1	34125	1422
Coffs Harbour - Grafton	1	42000	4182
Coffs Harbour - Grafton	1	52500	3137
Coffs Harbour - Grafton	1	65625	3716
Coffs Harbour - Grafton	1	78750	3403
Coffs Harbour - Grafton	1	91875	2324
Coffs Harbour - Grafton	1	105000	2223
Coffs Harbour - Grafton	1	131250	3512
Coffs Harbour - Grafton	1	157500	2050
Coffs Harbour - Grafton	1	183750	1119
Coffs Harbour - Grafton	1	210000	684
Coffs Harbour - Grafton	1	Inf	1109
Far West and Orana	0		1217
Far West and Orana	0	0	273
Far West and Orana	0	7875	186
Far West and Orana	0	15750	887
Far West and Orana	0	21000	1456
Far West and Orana	0	26250	2748
Far West and Orana	0	34125	1127
Far West and Orana	0	42000	1026
Far West and Orana	0	52500	1130
Far West and Orana	0	65625	1028
Far West and Orana	0	78750	643
Far West and Orana	0	91875	532
Far West and Orana	0	105000	411
Far West and Orana	0	131250	535
Far West and Orana	0	157500	50
Far West and Orana	0	183750	31
Far West and Orana	0	210000	214
Far West and Orana	0	Inf	21
Far West and Orana	1		3999
Far West and Orana	1	0	237
Far West and Orana	1	7875	149
Far West and Orana	1	15750	249
Far West and Orana	1	21000	287
Far West and Orana	1	26250	1058
Far West and Orana	1	34125	1020
Far West and Orana	1	42000	2655
Far West and Orana	1	52500	1988
Far West and Orana	1	65625	2450
Far West and Orana	1	78750	2275
Far West and Orana	1	91875	1636
Far West and Orana	1	105000	1716
Far West and Orana	1	131250	2981
