SA4_NAME16	Age5yr	Indigenous	persons
Capital Region	0-4		740
Capital Region	0-4	0	10252
Capital Region	0-4	1	867
Capital Region	5-9		847
Capital Region	5-9	0	11784
Capital Region	5-9	1	948
Capital Region	10-14		887
Capital Region	10-14	0	11478
Capital Region	10-14	1	956
Capital Region	15-19		867
Capital Region	15-19	0	10984
Capital Region	15-19	1	805
Capital Region	20-24		763
Capital Region	20-24	0	9021
Capital Region	20-24	1	579
Capital Region	25-29		813
Capital Region	25-29	0	9512
Capital Region	25-29	1	480
Capital Region	30-34		818
Capital Region	30-34	0	10271
Capital Region	30-34	1	453
Capital Region	35-39		770
Capital Region	35-39	0	10404
Capital Region	35-39	1	403
Capital Region	40-44		967
Capital Region	40-44	0	12419
Capital Region	40-44	1	457
Capital Region	45-49		1097
Capital Region	45-49	0	13859
Capital Region	45-49	1	440
Capital Region	50-54		1176
Capital Region	50-54	0	14528
Capital Region	50-54	1	407
Capital Region	55-59		1151
Capital Region	55-59	0	15243
Capital Region	55-59	1	357
Capital Region	60-64		1127
Capital Region	60-64	0	14592
Capital Region	60-64	1	276
Capital Region	65+		3598
Capital Region	65+	0	41014
Capital Region	65+	1	454
Central Coast	0-4		895
Central Coast	0-4	0	16780
Central Coast	0-4	1	1504
Central Coast	5-9		971
Central Coast	5-9	0	18505
Central Coast	5-9	1	1441
Central Coast	10-14		933
Central Coast	10-14	0	17933
Central Coast	10-14	1	1461
Central Coast	15-19		968
Central Coast	15-19	0	17543
Central Coast	15-19	1	1418
Central Coast	20-24		996
Central Coast	20-24	0	16076
Central Coast	20-24	1	1102
Central Coast	25-29		898
Central Coast	25-29	0	15445
Central Coast	25-29	1	856
Central Coast	30-34		901
Central Coast	30-34	0	16487
Central Coast	30-34	1	696
Central Coast	35-39		907
Central Coast	35-39	0	16973
Central Coast	35-39	1	630
Central Coast	40-44		1044
Central Coast	40-44	0	19209
Central Coast	40-44	1	621
Central Coast	45-49		1137
Central Coast	45-49	0	19956
Central Coast	45-49	1	642
Central Coast	50-54		1071
Central Coast	50-54	0	20185
Central Coast	50-54	1	635
Central Coast	55-59		1165
Central Coast	55-59	0	20392
Central Coast	55-59	1	486
Central Coast	60-64		1085
Central Coast	60-64	0	18883
Central Coast	60-64	1	356
Central Coast	65+		4656
Central Coast	65+	0	63259
Central Coast	65+	1	644
Central West	0-4		973
Central West	0-4	0	10657
Central West	0-4	1	1659
Central West	5-9		1030
Central West	5-9	0	11629
Central West	5-9	1	1598
Central West	10-14		999
Central West	10-14	0	10861
Central West	10-14	1	1492
Central West	15-19		1084
Central West	15-19	0	10597
Central West	15-19	1	1409
Central West	20-24		1002
Central West	20-24	0	9388
Central West	20-24	1	1168
Central West	25-29		862
Central West	25-29	0	9679
Central West	25-29	1	945
Central West	30-34		853
Central West	30-34	0	10064
Central West	30-34	1	699
Central West	35-39		862
