SA4_NAME16	MaxSchoolingCompleted	Sex	persons
Capital Region	Did not go to school	F	283
Capital Region	Did not go to school	M	352
Capital Region	Year 8	F	4201
Capital Region	Year 8	M	4919
Capital Region	Year 9	F	6688
Capital Region	Year 9	M	7145
Capital Region	Year 10	F	23456
Capital Region	Year 10	M	24601
Capital Region	Year 11	F	6554
Capital Region	Year 11	M	6405
Capital Region	Year 12	F	40490
Capital Region	Year 12	M	35823
Central Coast	Did not go to school	F	373
Central Coast	Did not go to school	M	440
Central Coast	Year 8	F	6243
Central Coast	Year 8	M	5782
Central Coast	Year 9	F	12641
Central Coast	Year 9	M	11066
Central Coast	Year 10	F	42386
Central Coast	Year 10	M	39168
Central Coast	Year 11	F	9137
Central Coast	Year 11	M	9614
Central Coast	Year 12	F	56725
Central Coast	Year 12	M	50879
Central West	Did not go to school	F	236
Central West	Did not go to school	M	309
Central West	Year 8	F	4415
Central West	Year 8	M	5494
Central West	Year 9	F	7169
Central West	Year 9	M	7524
Central West	Year 10	F	24356
Central West	Year 10	M	26257
Central West	Year 11	F	5716
Central West	Year 11	M	5559
Central West	Year 12	F	32579
Central West	Year 12	M	26122
Coffs Harbour - Grafton	Did not go to school	F	257
Coffs Harbour - Grafton	Did not go to school	M	240
Coffs Harbour - Grafton	Year 8	F	3022
Coffs Harbour - Grafton	Year 8	M	3439
Coffs Harbour - Grafton	Year 9	F	5246
Coffs Harbour - Grafton	Year 9	M	5377
Coffs Harbour - Grafton	Year 10	F	18035
Coffs Harbour - Grafton	Year 10	M	17051
Coffs Harbour - Grafton	Year 11	F	4169
Coffs Harbour - Grafton	Year 11	M	4013
Coffs Harbour - Grafton	Year 12	F	21549
Coffs Harbour - Grafton	Year 12	M	18525
Far West and Orana	Did not go to school	F	146
Far West and Orana	Did not go to school	M	221
Far West and Orana	Year 8	F	2768
Far West and Orana	Year 8	M	3653
Far West and Orana	Year 9	F	4338
Far West and Orana	Year 9	M	4595
Far West and Orana	Year 10	F	13453
Far West and Orana	Year 10	M	14162
Far West and Orana	Year 11	F	3379
Far West and Orana	Year 11	M	3167
Far West and Orana	Year 12	F	16279
Far West and Orana	Year 12	M	12823
Hunter Valley exc Newcastle	Did not go to school	F	246
Hunter Valley exc Newcastle	Did not go to school	M	334
Hunter Valley exc Newcastle	Year 8	F	5194
Hunter Valley exc Newcastle	Year 8	M	5542
Hunter Valley exc Newcastle	Year 9	F	11104
Hunter Valley exc Newcastle	Year 9	M	10305
Hunter Valley exc Newcastle	Year 10	F	34778
Hunter Valley exc Newcastle	Year 10	M	36374
Hunter Valley exc Newcastle	Year 11	F	7775
Hunter Valley exc Newcastle	Year 11	M	8462
Hunter Valley exc Newcastle	Year 12	F	38078
Hunter Valley exc Newcastle	Year 12	M	31924
Illawarra	Did not go to school	F	1033
Illawarra	Did not go to school	M	723
Illawarra	Year 8	F	7186
Illawarra	Year 8	M	6120
Illawarra	Year 9	F	9860
Illawarra	Year 9	M	8918
Illawarra	Year 10	F	33891
Illawarra	Year 10	M	33458
Illawarra	Year 11	F	7414
Illawarra	Year 11	M	8221
Illawarra	Year 12	F	54233
Illawarra	Year 12	M	50789
Mid North Coast	Did not go to school	F	220
Mid North Coast	Did not go to school	M	254
Mid North Coast	Year 8	F	5328
Mid North Coast	Year 8	M	5946
Mid North Coast	Year 9	F	9800
