SA4_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Capital Region					1376
Capital Region	0	0	0	1	6308
Capital Region	0	0	1	0	1673
Capital Region	0	0	1	1	820
Capital Region	0	1	0	0	9694
Capital Region	0	1	0	1	1113
Capital Region	0	1	1	0	1997
Capital Region	0	1	1	1	471
Capital Region	1	0	0	1	13283
Capital Region	1	0	1	0	5724
Capital Region	1	0	1	1	3912
Capital Region	1	1	0	0	47205
Capital Region	1	1	0	1	3147
Capital Region	1	1	1	0	10680
Capital Region	1	1	1	1	2098
Central Coast					2480
Central Coast	0	0	0	1	13715
Central Coast	0	0	1	0	3205
Central Coast	0	0	1	1	2212
Central Coast	0	1	0	0	17179
Central Coast	0	1	0	1	2482
Central Coast	0	1	1	0	4010
Central Coast	0	1	1	1	1055
Central Coast	1	0	0	1	23892
Central Coast	1	0	1	0	9242
Central Coast	1	0	1	1	8482
Central Coast	1	1	0	0	73365
Central Coast	1	1	0	1	5724
Central Coast	1	1	1	0	15903
Central Coast	1	1	1	1	3639
Central West					1421
Central West	0	0	0	1	6119
Central West	0	0	1	0	1605
Central West	0	0	1	1	762
Central West	0	1	0	0	10898
Central West	0	1	0	1	1166
Central West	0	1	1	0	2365
Central West	0	1	1	1	561
Central West	1	0	0	1	11661
Central West	1	0	1	0	4569
Central West	1	0	1	1	3385
Central West	1	1	0	0	47187
Central West	1	1	0	1	3058
Central West	1	1	1	0	10141
Central West	1	1	1	1	2101
Coffs Harbour - Grafton					891
Coffs Harbour - Grafton	0	0	0	1	4855
Coffs Harbour - Grafton	0	0	1	0	1219
Coffs Harbour - Grafton	0	0	1	1	743
Coffs Harbour - Grafton	0	1	0	0	7783
Coffs Harbour - Grafton	0	1	0	1	1016
Coffs Harbour - Grafton	0	1	1	0	1866
Coffs Harbour - Grafton	0	1	1	1	393
Coffs Harbour - Grafton	1	0	0	1	7902
Coffs Harbour - Grafton	1	0	1	0	3068
Coffs Harbour - Grafton	1	0	1	1	2047
Coffs Harbour - Grafton	1	1	0	0	26301
Coffs Harbour - Grafton	1	1	0	1	1989
Coffs Harbour - Grafton	1	1	1	0	6175
Coffs Harbour - Grafton	1	1	1	1	1270
Far West and Orana					1085
Far West and Orana	0	0	0	1	3934
Far West and Orana	0	0	1	0	764
Far West and Orana	0	0	1	1	448
Far West and Orana	0	1	0	0	7988
Far West and Orana	0	1	0	1	995
Far West and Orana	0	1	1	0	1466
Far West and Orana	0	1	1	1	402
Far West and Orana	1	0	0	1	6081
Far West and Orana	1	0	1	0	1988
