SA4_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Capital Region	0-4	0		84
Capital Region	0-4	0	Both	1524
Capital Region	0-4	0	Father only	70
Capital Region	0-4	0	Mother only	109
Capital Region	0-4	0	Neither	53
Capital Region	0-4	1		53
Capital Region	0-4	1	Both	7181
Capital Region	0-4	1	Father only	630
Capital Region	0-4	1	Mother only	475
Capital Region	0-4	1	Neither	671
Capital Region	5-9	0		78
Capital Region	5-9	0	Both	2151
Capital Region	5-9	0	Father only	111
Capital Region	5-9	0	Mother only	189
Capital Region	5-9	0	Neither	73
Capital Region	5-9	1		63
Capital Region	5-9	1	Both	8027
Capital Region	5-9	1	Father only	677
Capital Region	5-9	1	Mother only	605
Capital Region	5-9	1	Neither	629
Capital Region	10-12	0		49
Capital Region	10-12	0	Both	1295
Capital Region	10-12	0	Father only	81
Capital Region	10-12	0	Mother only	128
Capital Region	10-12	0	Neither	61
Capital Region	10-12	1		38
Capital Region	10-12	1	Both	4732
Capital Region	10-12	1	Father only	363
Capital Region	10-12	1	Mother only	386
Capital Region	10-12	1	Neither	354
Capital Region	13-14	0		29
Capital Region	13-14	0	Both	918
Capital Region	13-14	0	Father only	63
Capital Region	13-14	0	Mother only	107
Capital Region	13-14	0	Neither	45
Capital Region	13-14	1		24
Capital Region	13-14	1	Both	2864
Capital Region	13-14	1	Father only	242
Capital Region	13-14	1	Mother only	270
Capital Region	13-14	1	Neither	225
Capital Region	15-17	0		34
Capital Region	15-17	0	Both	1159
Capital Region	15-17	0	Father only	73
Capital Region	15-17	0	Mother only	121
Capital Region	15-17	0	Neither	65
Capital Region	15-17	1		28
Capital Region	15-17	1	Both	3823
Capital Region	15-17	1	Father only	288
Capital Region	15-17	1	Mother only	341
Capital Region	15-17	1	Neither	334
Capital Region	18-20	0	Both	206
Capital Region	18-20	0	Father only	28
Capital Region	18-20	0	Mother only	11
Capital Region	18-20	0	Neither	28
Capital Region	18-20	1		6
Capital Region	18-20	1	Both	793
Capital Region	18-20	1	Father only	75
Capital Region	18-20	1	Mother only	88
Capital Region	18-20	1	Neither	125
Capital Region	21-24	0		6
Capital Region	21-24	0	Both	57
Capital Region	21-24	0	Father only	3
Capital Region	21-24	0	Mother only	10
Capital Region	21-24	0	Neither	10
Capital Region	21-24	1	Both	246
Capital Region	21-24	1	Father only	31
Capital Region	21-24	1	Mother only	29
Capital Region	21-24	1	Neither	45
Central Coast	0-4	0		136
Central Coast	0-4	0	Both	2664
Central Coast	0-4	0	Father only	167
Central Coast	0-4	0	Mother only	322
Central Coast	0-4	0	Neither	67
Central Coast	0-4	1		75
Central Coast	0-4	1	Both	10685
Central Coast	0-4	1	Father only	1210
Central Coast	0-4	1	Mother only	1340
Central Coast	0-4	1	Neither	1290
Central Coast	5-9	0		128
Central Coast	5-9	0	Both	3519
Central Coast	5-9	0	Father only	285
Central Coast	5-9	0	Mother only	459
Central Coast	5-9	0	Neither	192
Central Coast	5-9	1		93
Central Coast	5-9	1	Both	10845
Central Coast	5-9	1	Father only	1279
Central Coast	5-9	1	Mother only	1501
Central Coast	5-9	1	Neither	1436
Central Coast	10-12	0		91
Central Coast	10-12	0	Both	2263
Central Coast	10-12	0	Father only	202
Central Coast	10-12	0	Mother only	316
Central Coast	10-12	0	Neither	152
Central Coast	10-12	1		59
Central Coast	10-12	1	Both	6271
Central Coast	10-12	1	Father only	698
Central Coast	10-12	1	Mother only	850
Central Coast	10-12	1	Neither	812
Central Coast	13-14	0		41
Central Coast	13-14	0	Both	1533
Central Coast	13-14	0	Father only	139
Central Coast	13-14	0	Mother only	220
Central Coast	13-14	0	Neither	122
Central Coast	13-14	1		43
Central Coast	13-14	1	Both	3902
Central Coast	13-14	1	Father only	426
Central Coast	13-14	1	Mother only	536
Central Coast	13-14	1	Neither	535
Central Coast	15-17	0		53
Central Coast	15-17	0	Both	2023
Central Coast	15-17	0	Father only	205
Central Coast	15-17	0	Mother only	295
Central Coast	15-17	0	Neither	174
Central Coast	15-17	1		38
Central Coast	15-17	1	Both	5073
