SA4_NAME16	CountryOfBirth	persons
Capital Region		21429
Capital Region	AFG	26
Capital Region	AUS	173116
Capital Region	BGD	206
Capital Region	BIH	63
Capital Region	CAN	373
Capital Region	CHL	117
Capital Region	CHN	474
Capital Region	DEU	1267
Capital Region	EGY	107
Capital Region	FJI	220
Capital Region	FRA	203
Capital Region	GBR	8692
Capital Region	GRC	263
Capital Region	HKG	128
Capital Region	HRV	378
Capital Region	IDN	197
Capital Region	IND	1207
Capital Region	IRL	392
Capital Region	IRN	76
Capital Region	IRQ	37
Capital Region	ITA	751
Capital Region	JPN	95
Capital Region	KHM	48
Capital Region	KOR	169
Capital Region	LBN	177
Capital Region	LKA	178
Capital Region	MKD	562
Capital Region	MLT	222
Capital Region	MMR	41
Capital Region	MUS	35
Capital Region	MYS	239
Capital Region	NLD	801
Capital Region	NPL	181
Capital Region	NZL	2608
Capital Region	PAK	148
Capital Region	PHL	952
Capital Region	PNG	189
Capital Region	POL	212
Capital Region	SGP	110
Capital Region	THA	280
Capital Region	TUR	59
Capital Region	TWN	100
Capital Region	USA	815
Capital Region	VNM	196
Capital Region	ZAF	576
Capital Region	ZWE	130
Central Coast		26048
Central Coast	AFG	24
Central Coast	AUS	258376
Central Coast	BGD	70
Central Coast	BIH	68
Central Coast	CAN	562
Central Coast	CHL	307
Central Coast	CHN	1498
Central Coast	DEU	1171
Central Coast	EGY	348
Central Coast	FJI	379
Central Coast	FRA	280
Central Coast	GBR	17842
Central Coast	GRC	332
Central Coast	HKG	266
Central Coast	HRV	266
Central Coast	IDN	384
Central Coast	IND	1393
Central Coast	IRL	1052
Central Coast	IRN	123
Central Coast	IRQ	58
Central Coast	ITA	888
Central Coast	JPN	273
Central Coast	KHM	74
Central Coast	KOR	577
Central Coast	LBN	192
Central Coast	LKA	239
Central Coast	MKD	39
Central Coast	MLT	640
Central Coast	MMR	62
Central Coast	MUS	147
Central Coast	MYS	414
Central Coast	NLD	1000
Central Coast	NPL	89
Central Coast	NZL	5506
Central Coast	PAK	137
Central Coast	PHL	1752
Central Coast	PNG	303
Central Coast	POL	339
Central Coast	SGP	197
Central Coast	THA	560
Central Coast	TUR	90
Central Coast	TWN	116
Central Coast	USA	1056
Central Coast	VNM	302
Central Coast	ZAF	1612
Central Coast	ZWE	278
Central West		20874
Central West	AFG	25
Central West	AUS	171249
Central West	BGD	82
Central West	BIH	31
Central West	CAN	192
Central West	CHL	37
Central West	CHN	477
Central West	DEU	544
Central West	EGY	65
Central West	FJI	164
Central West	FRA	85
Central West	GBR	4527
Central West	GRC	112
Central West	HKG	101
Central West	HRV	117
Central West	IDN	102
Central West	IND	797
Central West	IRL	249
Central West	IRN	76
Central West	IRQ	72
Central West	ITA	305
Central West	JPN	66
Central West	KHM	34
Central West	KOR	133
Central West	LBN	87
Central West	LKA	156
Central West	MKD	25
Central West	MLT	96
Central West	MMR	26
Central West	MUS	23
Central West	MYS	156
Central West	NLD	458
Central West	NPL	169
Central West	NZL	1826
Central West	PAK	87
Central West	PHL	769
Central West	PNG	101
Central West	POL	117
Central West	SGP	64
Central West	THA	179
Central West	TUR	28
Central West	TWN	51
Central West	USA	329
Central West	VNM	202
Central West	ZAF	535
Central West	ZWE	174
Coffs Harbour - Grafton		12780
Coffs Harbour - Grafton	AFG	136
Coffs Harbour - Grafton	AUS	109764
Coffs Harbour - Grafton	BGD	29
Coffs Harbour - Grafton	BIH	10
Coffs Harbour - Grafton	CAN	214
Coffs Harbour - Grafton	CHL	36
Coffs Harbour - Grafton	CHN	193
Coffs Harbour - Grafton	DEU	619
Coffs Harbour - Grafton	EGY	69
Coffs Harbour - Grafton	FJI	114
Coffs Harbour - Grafton	FRA	114
Coffs Harbour - Grafton	GBR	5139
Coffs Harbour - Grafton	GRC	34
Coffs Harbour - Grafton	HKG	102
Coffs Harbour - Grafton	HRV	28
Coffs Harbour - Grafton	IDN	74
Coffs Harbour - Grafton	IND	1157
Coffs Harbour - Grafton	IRL	224
Coffs Harbour - Grafton	IRN	46
Coffs Harbour - Grafton	IRQ	11
Coffs Harbour - Grafton	ITA	183
Coffs Harbour - Grafton	JPN	99
Coffs Harbour - Grafton	KHM	15
Coffs Harbour - Grafton	KOR	71
Coffs Harbour - Grafton	LBN	19
Coffs Harbour - Grafton	LKA	51
Coffs Harbour - Grafton	MKD	9
Coffs Harbour - Grafton	MLT	74
Coffs Harbour - Grafton	MMR	307
Coffs Harbour - Grafton	MUS	18
Coffs Harbour - Grafton	MYS	169
Coffs Harbour - Grafton	NLD	468
Coffs Harbour - Grafton	NPL	21
Coffs Harbour - Grafton	NZL	1766
