SA4_NAME16	Age	UsualResidence	persons
Central West	15-24	Visitor from NT	13
Central West	15-24	Visitor from QLD	49
Central West	15-24	Visitor from SA	6
Central West	15-24	Visitor from VIC	40
Central West	15-24	Visitor from WA	5
Central West	15-24	Visitor same SA2	86
Central West	25-34	Home	21661
Central West	25-34	Visitor from ACT	31
Central West	25-34	Visitor from NSW	1293
Central West	25-34	Visitor from NT	10
Central West	25-34	Visitor from QLD	66
Central West	25-34	Visitor from SA	14
Central West	25-34	Visitor from TAS	6
Central West	25-34	Visitor from VIC	60
Central West	25-34	Visitor from WA	23
Central West	25-34	Visitor same SA2	51
Central West	35-44	Home	22441
Central West	35-44	Visitor from ACT	15
Central West	35-44	Visitor from NSW	986
Central West	35-44	Visitor from NT	3
Central West	35-44	Visitor from QLD	74
Central West	35-44	Visitor from SA	17
Central West	35-44	Visitor from TAS	3
Central West	35-44	Visitor from VIC	42
Central West	35-44	Visitor from WA	24
Central West	35-44	Visitor same SA2	40
Central West	45-54	Home	25620
Central West	45-54	Visitor from ACT	15
Central West	45-54	Visitor from NSW	1095
Central West	45-54	Visitor from NT	3
Central West	45-54	Visitor from QLD	82
Central West	45-54	Visitor from SA	14
Central West	45-54	Visitor from TAS	8
Central West	45-54	Visitor from VIC	53
Central West	45-54	Visitor from WA	12
Central West	45-54	Visitor same SA2	48
Central West	55-64	Home	24967
Central West	55-64	Visitor from ACT	25
Central West	55-64	Visitor from NSW	1104
Central West	55-64	Visitor from NT	3
Central West	55-64	Visitor from QLD	100
Central West	55-64	Visitor from SA	32
Central West	55-64	Visitor from TAS	15
Central West	55-64	Visitor from VIC	106
Central West	55-64	Visitor from WA	17
Central West	55-64	Visitor same SA2	50
Central West	65-74	Home	20664
Central West	65-74	Visitor from ACT	23
Central West	65-74	Visitor from NSW	785
Central West	65-74	Visitor from QLD	96
Central West	65-74	Visitor from SA	49
Central West	65-74	Visitor from TAS	16
Central West	65-74	Visitor from VIC	151
Central West	65-74	Visitor from WA	25
Central West	65-74	Visitor same SA2	38
Central West	75-84	Home	11755
Central West	75-84	Visitor from ACT	3
Central West	75-84	Visitor from NSW	410
Central West	75-84	Visitor from NT	4
Central West	75-84	Visitor from QLD	10
Central West	75-84	Visitor from SA	7
Central West	75-84	Visitor from TAS	12
Central West	75-84	Visitor from VIC	35
Central West	75-84	Visitor from WA	3
Central West	75-84	Visitor same SA2	27
Central West	85+	Home	4831
Central West	85+	Visitor from NSW	184
Central West	85+	Visitor from QLD	3
Central West	85+	Visitor from VIC	15
Central West	85+	Visitor same SA2	3
Coffs Harbour - Grafton	0-14	Home	23196
Coffs Harbour - Grafton	0-14	Visitor from ACT	5
Coffs Harbour - Grafton	0-14	Visitor from NSW	623
Coffs Harbour - Grafton	0-14	Visitor from QLD	137
Coffs Harbour - Grafton	0-14	Visitor from SA	5
Coffs Harbour - Grafton	0-14	Visitor from TAS	9
Coffs Harbour - Grafton	0-14	Visitor from VIC	40
Coffs Harbour - Grafton	0-14	Visitor from WA	5
Coffs Harbour - Grafton	0-14	Visitor same SA2	34
Coffs Harbour - Grafton	15-24	Home	13089
Coffs Harbour - Grafton	15-24	Visitor from ACT	5
Coffs Harbour - Grafton	15-24	Visitor from NSW	866
Coffs Harbour - Grafton	15-24	Visitor from NT	9
Coffs Harbour - Grafton	15-24	Visitor from QLD	150
Coffs Harbour - Grafton	15-24	Visitor from SA	3
Coffs Harbour - Grafton	15-24	Visitor from VIC	35
Coffs Harbour - Grafton	15-24	Visitor from WA	11
Coffs Harbour - Grafton	15-24	Visitor same SA2	41
Coffs Harbour - Grafton	25-34	Home	11907
Coffs Harbour - Grafton	25-34	Visitor from ACT	3
Coffs Harbour - Grafton	25-34	Visitor from NSW	768
Coffs Harbour - Grafton	25-34	Visitor from NT	3
Coffs Harbour - Grafton	25-34	Visitor from QLD	205
Coffs Harbour - Grafton	25-34	Visitor from SA	7
Coffs Harbour - Grafton	25-34	Visitor from TAS	3
Coffs Harbour - Grafton	25-34	Visitor from VIC	75
Coffs Harbour - Grafton	25-34	Visitor from WA	25
Coffs Harbour - Grafton	25-34	Visitor same SA2	33
Coffs Harbour - Grafton	35-44	Home	13920
Coffs Harbour - Grafton	35-44	Visitor from ACT	4
Coffs Harbour - Grafton	35-44	Visitor from NSW	576
Coffs Harbour - Grafton	35-44	Visitor from NT	7
Coffs Harbour - Grafton	35-44	Visitor from QLD	161
Coffs Harbour - Grafton	35-44	Visitor from SA	7
Coffs Harbour - Grafton	35-44	Visitor from TAS	6
Coffs Harbour - Grafton	35-44	Visitor from VIC	50
Coffs Harbour - Grafton	35-44	Visitor from WA	15
Coffs Harbour - Grafton	35-44	Visitor same SA2	37
Coffs Harbour - Grafton	45-54	Home	17141
Coffs Harbour - Grafton	45-54	Visitor from ACT	3
Coffs Harbour - Grafton	45-54	Visitor from NSW	801
Coffs Harbour - Grafton	45-54	Visitor from NT	5
Coffs Harbour - Grafton	45-54	Visitor from QLD	178
Coffs Harbour - Grafton	45-54	Visitor from SA	25
Coffs Harbour - Grafton	45-54	Visitor from TAS	13
Coffs Harbour - Grafton	45-54	Visitor from VIC	58
Coffs Harbour - Grafton	45-54	Visitor from WA	18
Coffs Harbour - Grafton	45-54	Visitor same SA2	26
Coffs Harbour - Grafton	55-64	Home	19782
Coffs Harbour - Grafton	55-64	Visitor from ACT	45
Coffs Harbour - Grafton	55-64	Visitor from NSW	1145
Coffs Harbour - Grafton	55-64	Visitor from NT	4
Coffs Harbour - Grafton	55-64	Visitor from OT	8
Coffs Harbour - Grafton	55-64	Visitor from QLD	324
Coffs Harbour - Grafton	55-64	Visitor from SA	60
Coffs Harbour - Grafton	55-64	Visitor from TAS	16
Coffs Harbour - Grafton	55-64	Visitor from VIC	299
Coffs Harbour - Grafton	55-64	Visitor from WA	25
Coffs Harbour - Grafton	55-64	Visitor same SA2	22
Coffs Harbour - Grafton	65-74	Home	16304
Coffs Harbour - Grafton	65-74	Visitor from ACT	86
Coffs Harbour - Grafton	65-74	Visitor from NSW	1234
Coffs Harbour - Grafton	65-74	Visitor from NT	3
Coffs Harbour - Grafton	65-74	Visitor from QLD	282
Coffs Harbour - Grafton	65-74	Visitor from SA	97
Coffs Harbour - Grafton	65-74	Visitor from TAS	67
Coffs Harbour - Grafton	65-74	Visitor from VIC	768
Coffs Harbour - Grafton	65-74	Visitor from WA	27
Coffs Harbour - Grafton	65-74	Visitor same SA2	32
Coffs Harbour - Grafton	75-84	Home	9195
Coffs Harbour - Grafton	75-84	Visitor from ACT	30
Coffs Harbour - Grafton	75-84	Visitor from NSW	538
Coffs Harbour - Grafton	75-84	Visitor from QLD	78
Coffs Harbour - Grafton	75-84	Visitor from SA	29
Coffs Harbour - Grafton	75-84	Visitor from TAS	13
Coffs Harbour - Grafton	75-84	Visitor from VIC	279
Coffs Harbour - Grafton	75-84	Visitor from WA	10
Coffs Harbour - Grafton	75-84	Visitor same SA2	26
Coffs Harbour - Grafton	85+	Home	3854
Coffs Harbour - Grafton	85+	Visitor from ACT	3
Coffs Harbour - Grafton	85+	Visitor from NSW	181
Coffs Harbour - Grafton	85+	Visitor from QLD	18
Coffs Harbour - Grafton	85+	Visitor from SA	6
Coffs Harbour - Grafton	85+	Visitor from TAS	3
Coffs Harbour - Grafton	85+	Visitor from VIC	32
Coffs Harbour - Grafton	85+	Visitor same SA2	7
Far West and Orana	0-14	Home	21803
Far West and Orana	0-14	Visitor from ACT	4
Far West and Orana	0-14	Visitor from NSW	650
Far West and Orana	0-14	Visitor from QLD	62
Far West and Orana	0-14	Visitor from SA	14
Far West and Orana	0-14	Visitor from VIC	41
Far West and Orana	0-14	Visitor from WA	8
Far West and Orana	0-14	Visitor same SA2	65
Far West and Orana	15-24	Home	11590
Far West and Orana	15-24	Visitor from ACT	18
Far West and Orana	15-24	Visitor from NSW	1051
Far West and Orana	15-24	Visitor from QLD	56
Far West and Orana	15-24	Visitor from SA	32
Far West and Orana	15-24	Visitor from VIC	39
Far West and Orana	15-24	Visitor from WA	6
Far West and Orana	15-24	Visitor same SA2	47
Far West and Orana	25-34	Home	12900
Far West and Orana	25-34	Visitor from ACT	8
Far West and Orana	25-34	Visitor from NSW	1027
Far West and Orana	25-34	Visitor from NT	5
Far West and Orana	25-34	Visitor from QLD	94
Far West and Orana	25-34	Visitor from SA	49
Far West and Orana	25-34	Visitor from VIC	87
Far West and Orana	25-34	Visitor from WA	10
Far West and Orana	25-34	Visitor same SA2	39
Far West and Orana	35-44	Home	11831
Far West and Orana	35-44	Visitor from ACT	9
Far West and Orana	35-44	Visitor from NSW	732
Far West and Orana	35-44	Visitor from NT	4
Far West and Orana	35-44	Visitor from QLD	54
Far West and Orana	35-44	Visitor from SA	46
Far West and Orana	35-44	Visitor from TAS	5
Far West and Orana	35-44	Visitor from VIC	69
Far West and Orana	35-44	Visitor from WA	29
Far West and Orana	35-44	Visitor same SA2	36
Far West and Orana	45-54	Home	13839
Far West and Orana	45-54	Visitor from ACT	24
Far West and Orana	45-54	Visitor from NSW	939
Far West and Orana	45-54	Visitor from NT	7
Far West and Orana	45-54	Visitor from QLD	109
Far West and Orana	45-54	Visitor from SA	70
Far West and Orana	45-54	Visitor from TAS	12
Far West and Orana	45-54	Visitor from VIC	116
Far West and Orana	45-54	Visitor from WA	16
Far West and Orana	45-54	Visitor same SA2	33
Far West and Orana	55-64	Home	14157
Far West and Orana	55-64	Visitor from ACT	24
Far West and Orana	55-64	Visitor from NSW	1077
Far West and Orana	55-64	Visitor from NT	4
Far West and Orana	55-64	Visitor from QLD	142
Far West and Orana	55-64	Visitor from SA	108
Far West and Orana	55-64	Visitor from TAS	20
Far West and Orana	55-64	Visitor from VIC	306
Far West and Orana	55-64	Visitor from WA	34
Far West and Orana	55-64	Visitor same SA2	48
Far West and Orana	65-74	Home	10834
Far West and Orana	65-74	Visitor from ACT	11
Far West and Orana	65-74	Visitor from NSW	881
Far West and Orana	65-74	Visitor from QLD	138
Far West and Orana	65-74	Visitor from SA	206
Far West and Orana	65-74	Visitor from TAS	40
Far West and Orana	65-74	Visitor from VIC	454
Far West and Orana	65-74	Visitor from WA	73
Far West and Orana	65-74	Visitor same SA2	33
Far West and Orana	75-84	Home	6305
Far West and Orana	75-84	Visitor from ACT	6
Far West and Orana	75-84	Visitor from NSW	406
Far West and Orana	75-84	Visitor from QLD	10
Far West and Orana	75-84	Visitor from SA	32
Far West and Orana	75-84	Visitor from TAS	6
Far West and Orana	75-84	Visitor from VIC	119
Far West and Orana	75-84	Visitor same SA2	30
Far West and Orana	85+	Home	2552
Far West and Orana	85+	Visitor from NSW	134
Far West and Orana	85+	Visitor from QLD	3
Far West and Orana	85+	Visitor from SA	5
Far West and Orana	85+	Visitor from VIC	7
Far West and Orana	85+	Visitor same SA2	8
Hunter Valley exc Newcastle	0-14	Home	51840
Hunter Valley exc Newcastle	0-14	Visitor from ACT	9
Hunter Valley exc Newcastle	0-14	Visitor from NSW	1063
Hunter Valley exc Newcastle	0-14	Visitor from QLD	42
Hunter Valley exc Newcastle	0-14	Visitor from TAS	4
Hunter Valley exc Newcastle	0-14	Visitor from VIC	22
Hunter Valley exc Newcastle	0-14	Visitor from WA	11
Hunter Valley exc Newcastle	0-14	Visitor same SA2	65
Hunter Valley exc Newcastle	15-24	Home	29485
Hunter Valley exc Newcastle	15-24	Visitor from ACT	14
Hunter Valley exc Newcastle	15-24	Visitor from NSW	1646
Hunter Valley exc Newcastle	15-24	Visitor from NT	14
Hunter Valley exc Newcastle	15-24	Visitor from QLD	138
Hunter Valley exc Newcastle	15-24	Visitor from SA	18
Hunter Valley exc Newcastle	15-24	Visitor from TAS	12
Hunter Valley exc Newcastle	15-24	Visitor from VIC	54
Hunter Valley exc Newcastle	15-24	Visitor from WA	21
Hunter Valley exc Newcastle	15-24	Visitor same SA2	68
Hunter Valley exc Newcastle	25-34	Home	29662
Hunter Valley exc Newcastle	25-34	Visitor from ACT	21
Hunter Valley exc Newcastle	25-34	Visitor from NSW	1600
Hunter Valley exc Newcastle	25-34	Visitor from NT	13
Hunter Valley exc Newcastle	25-34	Visitor from QLD	156
Hunter Valley exc Newcastle	25-34	Visitor from SA	16
Hunter Valley exc Newcastle	25-34	Visitor from TAS	6
Hunter Valley exc Newcastle	25-34	Visitor from VIC	57
Hunter Valley exc Newcastle	25-34	Visitor from WA	31
Hunter Valley exc Newcastle	25-34	Visitor same SA2	55
Hunter Valley exc Newcastle	35-44	Home	30975
Hunter Valley exc Newcastle	35-44	Visitor from ACT	21
Hunter Valley exc Newcastle	35-44	Visitor from NSW	1042
Hunter Valley exc Newcastle	35-44	Visitor from NT	11
Hunter Valley exc Newcastle	35-44	Visitor from QLD	97
Hunter Valley exc Newcastle	35-44	Visitor from SA	4
Hunter Valley exc Newcastle	35-44	Visitor from TAS	3
Hunter Valley exc Newcastle	35-44	Visitor from VIC	35
Hunter Valley exc Newcastle	35-44	Visitor from WA	13
Hunter Valley exc Newcastle	35-44	Visitor same SA2	46
Hunter Valley exc Newcastle	45-54	Home	33063
Hunter Valley exc Newcastle	45-54	Visitor from ACT	17
Hunter Valley exc Newcastle	45-54	Visitor from NSW	1141
Hunter Valley exc Newcastle	45-54	Visitor from QLD	164
Hunter Valley exc Newcastle	45-54	Visitor from SA	19
Hunter Valley exc Newcastle	45-54	Visitor from TAS	8
Hunter Valley exc Newcastle	45-54	Visitor from VIC	57
Hunter Valley exc Newcastle	45-54	Visitor from WA	14
Hunter Valley exc Newcastle	45-54	Visitor same SA2	36
Hunter Valley exc Newcastle	55-64	Home	31386
Hunter Valley exc Newcastle	55-64	Visitor from ACT	25
Hunter Valley exc Newcastle	55-64	Visitor from NSW	1325
Hunter Valley exc Newcastle	55-64	Visitor from NT	4
Hunter Valley exc Newcastle	55-64	Visitor from QLD	145
Hunter Valley exc Newcastle	55-64	Visitor from SA	44
Hunter Valley exc Newcastle	55-64	Visitor from TAS	33
Hunter Valley exc Newcastle	55-64	Visitor from VIC	100
Hunter Valley exc Newcastle	55-64	Visitor from WA	16
Hunter Valley exc Newcastle	55-64	Visitor same SA2	48
Hunter Valley exc Newcastle	65-74	Home	25250
Hunter Valley exc Newcastle	65-74	Visitor from ACT	16
Hunter Valley exc Newcastle	65-74	Visitor from NSW	1026
Hunter Valley exc Newcastle	65-74	Visitor from QLD	117
Hunter Valley exc Newcastle	65-74	Visitor from SA	42
Hunter Valley exc Newcastle	65-74	Visitor from TAS	14
Hunter Valley exc Newcastle	65-74	Visitor from VIC	159
Hunter Valley exc Newcastle	65-74	Visitor from WA	28
Hunter Valley exc Newcastle	65-74	Visitor same SA2	35
Hunter Valley exc Newcastle	75-84	Home	12933
Hunter Valley exc Newcastle	75-84	Visitor from ACT	12
Hunter Valley exc Newcastle	75-84	Visitor from NSW	529
Hunter Valley exc Newcastle	75-84	Visitor from QLD	22
Hunter Valley exc Newcastle	75-84	Visitor from SA	11
Hunter Valley exc Newcastle	75-84	Visitor from TAS	4
Hunter Valley exc Newcastle	75-84	Visitor from VIC	56
Hunter Valley exc Newcastle	75-84	Visitor from WA	5
Hunter Valley exc Newcastle	75-84	Visitor same SA2	31
Hunter Valley exc Newcastle	85+	Home	4959
Hunter Valley exc Newcastle	85+	Visitor from NSW	222
Hunter Valley exc Newcastle	85+	Visitor from QLD	6
Hunter Valley exc Newcastle	85+	Visitor from VIC	7
Hunter Valley exc Newcastle	85+	Visitor from WA	3
Hunter Valley exc Newcastle	85+	Visitor same SA2	8
Illawarra	0-14	Home	52445
Illawarra	0-14	Visitor from ACT	6
Illawarra	0-14	Visitor from NSW	982
Illawarra	0-14	Visitor from QLD	11
Illawarra	0-14	Visitor from SA	3
Illawarra	0-14	Visitor from VIC	18
Illawarra	0-14	Visitor from WA	9
Illawarra	0-14	Visitor same SA2	44
Illawarra	15-24	Home	37855
Illawarra	15-24	Visitor from ACT	34
Illawarra	15-24	Visitor from NSW	1751
Illawarra	15-24	Visitor from NT	10
Illawarra	15-24	Visitor from QLD	37
Illawarra	15-24	Visitor from SA	3
Illawarra	15-24	Visitor from TAS	3
Illawarra	15-24	Visitor from VIC	38
Illawarra	15-24	Visitor from WA	7
Illawarra	15-24	Visitor same SA2	56
Illawarra	25-34	Home	33858
Illawarra	25-34	Visitor from ACT	34
Illawarra	25-34	Visitor from NSW	1546
Illawarra	25-34	Visitor from NT	8
Illawarra	25-34	Visitor from QLD	64
Illawarra	25-34	Visitor from SA	8
Illawarra	25-34	Visitor from TAS	5
Illawarra	25-34	Visitor from VIC	83
Illawarra	25-34	Visitor from WA	19
Illawarra	25-34	Visitor same SA2	42
Illawarra	35-44	Home	35322
Illawarra	35-44	Visitor from ACT	16
Illawarra	35-44	Visitor from NSW	975
Illawarra	35-44	Visitor from NT	4
Illawarra	35-44	Visitor from QLD	40
Illawarra	35-44	Visitor from SA	16
Illawarra	35-44	Visitor from TAS	5
Illawarra	35-44	Visitor from VIC	34
Illawarra	35-44	Visitor from WA	24
Illawarra	35-44	Visitor same SA2	33
Illawarra	45-54	Home	36946
Illawarra	45-54	Visitor from ACT	27
Illawarra	45-54	Visitor from NSW	938
Illawarra	45-54	Visitor from QLD	46
Illawarra	45-54	Visitor from SA	12
Illawarra	45-54	Visitor from TAS	9
Illawarra	45-54	Visitor from VIC	45
Illawarra	45-54	Visitor from WA	18
Illawarra	45-54	Visitor same SA2	30
Illawarra	55-64	Home	34208
Illawarra	55-64	Visitor from ACT	22
Illawarra	55-64	Visitor from NSW	913
Illawarra	55-64	Visitor from NT	3
Illawarra	55-64	Visitor from QLD	67
Illawarra	55-64	Visitor from SA	13
Illawarra	55-64	Visitor from TAS	17
Illawarra	55-64	Visitor from VIC	54
Illawarra	55-64	Visitor from WA	19
Illawarra	55-64	Visitor same SA2	49
Illawarra	65-74	Home	26190
Illawarra	65-74	Visitor from ACT	14
Illawarra	65-74	Visitor from NSW	754
Illawarra	65-74	Visitor from QLD	41
Illawarra	65-74	Visitor from SA	11
Illawarra	65-74	Visitor from TAS	15
Illawarra	65-74	Visitor from VIC	54
Illawarra	65-74	Visitor from WA	15
Illawarra	65-74	Visitor same SA2	36
Illawarra	75-84	Home	16187
Illawarra	75-84	Visitor from ACT	8
Illawarra	75-84	Visitor from NSW	534
Illawarra	75-84	Visitor from QLD	20
Illawarra	75-84	Visitor from SA	3
Illawarra	75-84	Visitor from TAS	10
Illawarra	75-84	Visitor from VIC	20
Illawarra	75-84	Visitor from WA	3
Illawarra	75-84	Visitor same SA2	30
Illawarra	85+	Home	6927
Illawarra	85+	Visitor from NSW	346
Illawarra	85+	Visitor from VIC	4
Illawarra	85+	Visitor same SA2	22
Mid North Coast	0-14	Home	33790
Mid North Coast	0-14	Visitor from ACT	13
Mid North Coast	0-14	Visitor from NSW	807
Mid North Coast	0-14	Visitor from NT	3
Mid North Coast	0-14	Visitor from QLD	80
Mid North Coast	0-14	Visitor from TAS	4
Mid North Coast	0-14	Visitor from VIC	59
Mid North Coast	0-14	Visitor from WA	3
Mid North Coast	0-14	Visitor same SA2	70
Mid North Coast	15-24	Home	18685
Mid North Coast	15-24	Visitor from ACT	3
Mid North Coast	15-24	Visitor from NSW	1173
Mid North Coast	15-24	Visitor from NT	10
Mid North Coast	15-24	Visitor from QLD	106
Mid North Coast	15-24	Visitor from SA	5
Mid North Coast	15-24	Visitor from VIC	37
Mid North Coast	15-24	Visitor from WA	4
Mid North Coast	15-24	Visitor same SA2	70
Mid North Coast	25-34	Home	16108
Mid North Coast	25-34	Visitor from ACT	20
Mid North Coast	25-34	Visitor from NSW	1144
Mid North Coast	25-34	Visitor from NT	6
Mid North Coast	25-34	Visitor from QLD	122
Mid North Coast	25-34	Visitor from SA	3
Mid North Coast	25-34	Visitor from TAS	3
Mid North Coast	25-34	Visitor from VIC	57
Mid North Coast	25-34	Visitor from WA	17
Mid North Coast	25-34	Visitor same SA2	40
Mid North Coast	35-44	Home	19671
Mid North Coast	35-44	Visitor from ACT	11
Mid North Coast	35-44	Visitor from NSW	872
Mid North Coast	35-44	Visitor from NT	3
Mid North Coast	35-44	Visitor from QLD	101
Mid North Coast	35-44	Visitor from SA	10
Mid North Coast	35-44	Visitor from VIC	73
Mid North Coast	35-44	Visitor from WA	10
Mid North Coast	35-44	Visitor same SA2	35
Mid North Coast	45-54	Home	25666
Mid North Coast	45-54	Visitor from ACT	22
Mid North Coast	45-54	Visitor from NSW	1096
Mid North Coast	45-54	Visitor from NT	8
