SA4_NAME16	Age	UsualResidence	persons
Capital Region	0-14	Home	37673
Capital Region	0-14	Visitor from ACT	247
Capital Region	0-14	Visitor from NSW	2225
Capital Region	0-14	Visitor from NT	8
Capital Region	0-14	Visitor from QLD	499
Capital Region	0-14	Visitor from SA	28
Capital Region	0-14	Visitor from TAS	10
Capital Region	0-14	Visitor from VIC	127
Capital Region	0-14	Visitor from WA	30
Capital Region	0-14	Visitor same SA2	63
Capital Region	15-24	Home	21228
Capital Region	15-24	Visitor from ACT	322
Capital Region	15-24	Visitor from NSW	2114
Capital Region	15-24	Visitor from NT	10
Capital Region	15-24	Visitor from QLD	358
Capital Region	15-24	Visitor from SA	62
Capital Region	15-24	Visitor from TAS	23
Capital Region	15-24	Visitor from VIC	162
Capital Region	15-24	Visitor from WA	31
Capital Region	15-24	Visitor same SA2	51
Capital Region	25-34	Home	20796
Capital Region	25-34	Visitor from ACT	333
Capital Region	25-34	Visitor from NSW	2594
Capital Region	25-34	Visitor from NT	13
Capital Region	25-34	Visitor from QLD	355
Capital Region	25-34	Visitor from SA	80
Capital Region	25-34	Visitor from TAS	13
Capital Region	25-34	Visitor from VIC	229
Capital Region	25-34	Visitor from WA	64
Capital Region	25-34	Visitor same SA2	47
Capital Region	35-44	Home	24064
Capital Region	35-44	Visitor from ACT	279
Capital Region	35-44	Visitor from NSW	2415
Capital Region	35-44	Visitor from NT	3
Capital Region	35-44	Visitor from QLD	461
Capital Region	35-44	Visitor from SA	41
Capital Region	35-44	Visitor from TAS	17
Capital Region	35-44	Visitor from VIC	193
Capital Region	35-44	Visitor from WA	43
Capital Region	35-44	Visitor same SA2	36
Capital Region	45-54	Home	29666
Capital Region	45-54	Visitor from ACT	261
Capital Region	45-54	Visitor from NSW	2323
Capital Region	45-54	Visitor from NT	10
Capital Region	45-54	Visitor from QLD	439
Capital Region	45-54	Visitor from SA	57
Capital Region	45-54	Visitor from TAS	28
Capital Region	45-54	Visitor from VIC	222
Capital Region	45-54	Visitor from WA	37
Capital Region	45-54	Visitor same SA2	33
Capital Region	55-64	Home	30159
Capital Region	55-64	Visitor from ACT	363
Capital Region	55-64	Visitor from NSW	2575
Capital Region	55-64	Visitor from NT	18
Capital Region	55-64	Visitor from QLD	335
Capital Region	55-64	Visitor from SA	58
Capital Region	55-64	Visitor from TAS	44
Capital Region	55-64	Visitor from VIC	370
Capital Region	55-64	Visitor from WA	54
Capital Region	55-64	Visitor same SA2	47
Capital Region	65-74	Home	24196
Capital Region	65-74	Visitor from ACT	303
Capital Region	65-74	Visitor from NSW	1750
Capital Region	65-74	Visitor from NT	9
Capital Region	65-74	Visitor from QLD	222
Capital Region	65-74	Visitor from SA	59
Capital Region	65-74	Visitor from TAS	56
Capital Region	65-74	Visitor from VIC	479
Capital Region	65-74	Visitor from WA	29
Capital Region	65-74	Visitor same SA2	47
Capital Region	75-84	Home	12303
Capital Region	75-84	Visitor from ACT	110
Capital Region	75-84	Visitor from NSW	559
Capital Region	75-84	Visitor from QLD	36
Capital Region	75-84	Visitor from SA	14
Capital Region	75-84	Visitor from TAS	11
Capital Region	75-84	Visitor from VIC	303
Capital Region	75-84	Visitor from WA	5
Capital Region	75-84	Visitor same SA2	31
Capital Region	85+	Home	4959
Capital Region	85+	Visitor from ACT	28
Capital Region	85+	Visitor from NSW	212
Capital Region	85+	Visitor from QLD	3
Capital Region	85+	Visitor from SA	3
Capital Region	85+	Visitor from VIC	61
Capital Region	85+	Visitor same SA2	13
Central Coast	0-14	Home	58947
Central Coast	0-14	Visitor from ACT	30
Central Coast	0-14	Visitor from NSW	1158
Central Coast	0-14	Visitor from NT	3
Central Coast	0-14	Visitor from QLD	50
Central Coast	0-14	Visitor from SA	15
Central Coast	0-14	Visitor from TAS	3
Central Coast	0-14	Visitor from VIC	33
Central Coast	0-14	Visitor from WA	6
Central Coast	0-14	Visitor same SA2	57
Central Coast	15-24	Home	36046
Central Coast	15-24	Visitor from ACT	18
Central Coast	15-24	Visitor from NSW	1596
Central Coast	15-24	Visitor from NT	4
Central Coast	15-24	Visitor from QLD	42
Central Coast	15-24	Visitor from SA	7
Central Coast	15-24	Visitor from TAS	6
Central Coast	15-24	Visitor from VIC	29
Central Coast	15-24	Visitor from WA	10
Central Coast	15-24	Visitor same SA2	64
Central Coast	25-34	Home	33283
Central Coast	25-34	Visitor from ACT	24
Central Coast	25-34	Visitor from NSW	1572
Central Coast	25-34	Visitor from NT	3
Central Coast	25-34	Visitor from QLD	64
Central Coast	25-34	Visitor from SA	15
Central Coast	25-34	Visitor from TAS	4
Central Coast	25-34	Visitor from VIC	39
Central Coast	25-34	Visitor from WA	19
Central Coast	25-34	Visitor same SA2	37
Central Coast	35-44	Home	37760
Central Coast	35-44	Visitor from ACT	22
Central Coast	35-44	Visitor from NSW	1092
Central Coast	35-44	Visitor from NT	5
Central Coast	35-44	Visitor from QLD	73
Central Coast	35-44	Visitor from SA	18
Central Coast	35-44	Visitor from TAS	3
Central Coast	35-44	Visitor from VIC	44
Central Coast	35-44	Visitor from WA	26
Central Coast	35-44	Visitor same SA2	37
Central Coast	45-54	Home	41689
Central Coast	45-54	Visitor from ACT	12
Central Coast	45-54	Visitor from NSW	1083
Central Coast	45-54	Visitor from NT	11
Central Coast	45-54	Visitor from QLD	83
Central Coast	45-54	Visitor from SA	12
Central Coast	45-54	Visitor from TAS	11
Central Coast	45-54	Visitor from VIC	50
Central Coast	45-54	Visitor from WA	28
Central Coast	45-54	Visitor same SA2	58
Central Coast	55-64	Home	40046
Central Coast	55-64	Visitor from ACT	23
Central Coast	55-64	Visitor from NSW	1178
Central Coast	55-64	Visitor from QLD	83
Central Coast	55-64	Visitor from SA	14
Central Coast	55-64	Visitor from TAS	12
Central Coast	55-64	Visitor from VIC	58
Central Coast	55-64	Visitor from WA	33
Central Coast	55-64	Visitor same SA2	49
Central Coast	65-74	Home	34132
Central Coast	65-74	Visitor from ACT	10
Central Coast	65-74	Visitor from NSW	989
Central Coast	65-74	Visitor from NT	6
Central Coast	65-74	Visitor from OT	4
Central Coast	65-74	Visitor from QLD	59
Central Coast	65-74	Visitor from SA	28
Central Coast	65-74	Visitor from TAS	7
Central Coast	65-74	Visitor from VIC	69
Central Coast	65-74	Visitor from WA	11
Central Coast	65-74	Visitor same SA2	49
Central Coast	75-84	Home	20552
Central Coast	75-84	Visitor from ACT	3
Central Coast	75-84	Visitor from NSW	583
Central Coast	75-84	Visitor from QLD	23
Central Coast	75-84	Visitor from SA	3
Central Coast	75-84	Visitor from TAS	9
Central Coast	75-84	Visitor from VIC	16
Central Coast	75-84	Visitor from WA	5
Central Coast	75-84	Visitor same SA2	35
Central Coast	85+	Home	9767
Central Coast	85+	Visitor from NSW	384
Central Coast	85+	Visitor from QLD	3
Central Coast	85+	Visitor from TAS	3
Central Coast	85+	Visitor same SA2	20
Central West	0-14	Home	39770
Central West	0-14	Visitor from ACT	9
Central West	0-14	Visitor from NSW	866
Central West	0-14	Visitor from NT	3
Central West	0-14	Visitor from QLD	29
Central West	0-14	Visitor from SA	5
Central West	0-14	Visitor from TAS	9
Central West	0-14	Visitor from VIC	19
Central West	0-14	Visitor from WA	3
Central West	0-14	Visitor same SA2	76
Central West	15-24	Home	22522
Central West	15-24	Visitor from ACT	51
Central West	15-24	Visitor from NSW	1974
