SA4_NAME16	medianMortgageRepayment
Capital Region	19500
Central Coast	21000
Central West	18000
Coffs Harbour - Grafton	18000
Far West and Orana	15336
Hunter Valley exc Newcastle	20796
Illawarra	23400
Mid North Coast	17400
Murray	15600
New England and North West	15708
Newcastle and Lake Macquarie	20796
Richmond - Tweed	19200
Riverina	16380
Southern Highlands and Shoalhaven	19500
Sydney - Baulkham Hills and Hawkesbury	30000
Sydney - Blacktown	25800
Sydney - City and Inner South	30000
Sydney - Eastern Suburbs	34800
Sydney - Inner South West	26004
Sydney - Inner West	30000
Sydney - North Sydney and Hornsby	31200
Sydney - Northern Beaches	33600
Sydney - Outer South West	24000
Sydney - Outer West and Blue Mountains	23400
Sydney - Parramatta	24444
Sydney - Ryde	28596
Sydney - South West	24000
Sydney - Sutherland	29124
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	15600
Bendigo	16584
Geelong	18720
Hume	15600
Latrobe - Gippsland	15600
Melbourne - Inner	25200
Melbourne - Inner East	26004
Melbourne - Inner South	26004
Melbourne - North East	21948
Melbourne - North West	20796
Melbourne - Outer East	21216
Melbourne - South East	20796
Melbourne - West	20796
Mornington Peninsula	20400
North West	12996
Shepparton	15600
Warrnambool and South West	15600
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	24000
Brisbane - North	23400
Brisbane - South	24000
Brisbane - West	25608
Brisbane Inner City	26400
Cairns	19164
Darling Downs - Maranoa	15600
Central Queensland	20796
Gold Coast	23400
Ipswich	19236
Logan - Beaudesert	20796
Mackay - Isaac - Whitsunday	22512
Moreton Bay - North	20628
Moreton Bay - South	23136
Queensland - Outback	18000
Sunshine Coast	21324
Toowoomba	18720
Townsville	20016
Wide Bay	15600
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	20808
Adelaide - North	16956
Adelaide - South	18204
Adelaide - West	19500
Barossa - Yorke - Mid North	14040
South Australia - Outback	15000
South Australia - South East	13524
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	20796
Mandurah	21912
Perth - Inner	29376
Perth - North East	24000
Perth - North West	24444
Perth - South East	23400
Perth - South West	24000
Western Australia - Wheat Belt	16800
Western Australia - Outback (North)	29316
Western Australia - Outback (South)	20664
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Hobart	16824
Launceston and North East	15120
South East	14304
West and North West	13980
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	26400
Northern Territory - Outback	21792
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	24696
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	16800
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
