SA4_NAME16	medianTotalFamilyIncome
Capital Region	81172
Central Coast	81120
Central West	76596
Coffs Harbour - Grafton	64948
Far West and Orana	72072
Hunter Valley exc Newcastle	80496
Illawarra	87308
Mid North Coast	61048
Murray	73944
New England and North West	71656
Newcastle and Lake Macquarie	86840
Richmond - Tweed	69316
Riverina	78884
Southern Highlands and Shoalhaven	69680
Sydney - Baulkham Hills and Hawkesbury	124644
Sydney - Blacktown	94536
Sydney - City and Inner South	123188
Sydney - Eastern Suburbs	143312
Sydney - Inner South West	81952
Sydney - Inner West	118664
Sydney - North Sydney and Hornsby	146328
Sydney - Northern Beaches	131456
Sydney - Outer South West	93288
Sydney - Outer West and Blue Mountains	96304
Sydney - Parramatta	84812
Sydney - Ryde	116272
Sydney - South West	77428
Sydney - Sutherland	120224
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	73268
Bendigo	75036
Geelong	83980
Hume	73684
Latrobe - Gippsland	69576
Melbourne - Inner	120796
Melbourne - Inner East	113516
Melbourne - Inner South	120068
Melbourne - North East	91884
Melbourne - North West	83096
Melbourne - Outer East	96252
Melbourne - South East	82836
Melbourne - West	85488
Mornington Peninsula	85020
North West	67912
Shepparton	70928
Warrnambool and South West	73372
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	98904
Brisbane - North	102804
Brisbane - South	100360
Brisbane - West	120744
Brisbane Inner City	129740
Cairns	76700
Darling Downs - Maranoa	71032
Central Queensland	90480
Gold Coast	86060
Ipswich	79196
Logan - Beaudesert	79612
Mackay - Isaac - Whitsunday	93236
Moreton Bay - North	73164
Moreton Bay - South	99892
Queensland - Outback	80080
Sunshine Coast	76856
Toowoomba	82316
Townsville	85280
Wide Bay	58916
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	102284
Adelaide - North	73164
Adelaide - South	84344
Adelaide - West	80808
Barossa - Yorke - Mid North	68536
South Australia - Outback	73736
South Australia - South East	65832
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	83512
Mandurah	74724
Perth - Inner	143988
Perth - North East	96252
Perth - North West	104936
Perth - South East	94536
Perth - South West	103844
Western Australia - Wheat Belt	77012
Western Australia - Outback (North)	125632
Western Australia - Outback (South)	95472
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Hobart	81588
Launceston and North East	68588
South East	62920
West and North West	66248
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	124072
Northern Territory - Outback	70304
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	127140
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	81536
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
