SA4_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Capital Region			86
Capital Region		0	116
Capital Region		1	533
Capital Region	(Other)		72
Capital Region	(Other)	0	370
Capital Region	(Other)	1	604
Capital Region	Flat/apartment		229
Capital Region	Flat/apartment	0	1425
Capital Region	Flat/apartment	1	3351
Capital Region	Semi-detached, row/terrace house, townhouse etc.		317
Capital Region	Semi-detached, row/terrace house, townhouse etc.	0	1880
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1	4959
Capital Region	Separate house		1813
Capital Region	Separate house	0	11544
Capital Region	Separate house	1	55000
Central Coast			131
Central Coast		0	123
Central Coast		1	297
Central Coast	(Other)		61
Central Coast	(Other)	0	419
Central Coast	(Other)	1	664
Central Coast	Flat/apartment		418
Central Coast	Flat/apartment	0	2460
Central Coast	Flat/apartment	1	6375
Central Coast	Semi-detached, row/terrace house, townhouse etc.		636
Central Coast	Semi-detached, row/terrace house, townhouse etc.	0	4060
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1	10326
Central Coast	Separate house		2278
Central Coast	Separate house	0	12845
Central Coast	Separate house	1	79953
Central West			158
Central West		0	198
Central West		1	434
Central West	(Other)		56
Central West	(Other)	0	221
Central West	(Other)	1	536
Central West	Flat/apartment		140
Central West	Flat/apartment	0	1051
Central West	Flat/apartment	1	1272
Central West	Semi-detached, row/terrace house, townhouse etc.		195
Central West	Semi-detached, row/terrace house, townhouse etc.	0	1537
Central West	Semi-detached, row/terrace house, townhouse etc.	1	2587
Central West	Separate house		1930
Central West	Separate house	0	13689
Central West	Separate house	1	50725
Coffs Harbour - Grafton			67
Coffs Harbour - Grafton		0	77
Coffs Harbour - Grafton		1	331
Coffs Harbour - Grafton	(Other)		85
Coffs Harbour - Grafton	(Other)	0	490
Coffs Harbour - Grafton	(Other)	1	743
Coffs Harbour - Grafton	Flat/apartment		187
Coffs Harbour - Grafton	Flat/apartment	0	1168
Coffs Harbour - Grafton	Flat/apartment	1	2463
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		199
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	0	1278
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1	3157
Coffs Harbour - Grafton	Separate house		1036
Coffs Harbour - Grafton	Separate house	0	6766
Coffs Harbour - Grafton	Separate house	1	33576
Far West and Orana			45
Far West and Orana		0	91
Far West and Orana		1	219
Far West and Orana	(Other)		80
Far West and Orana	(Other)	0	218
Far West and Orana	(Other)	1	421
Far West and Orana	Flat/apartment		123
Far West and Orana	Flat/apartment	0	868
Far West and Orana	Flat/apartment	1	1032
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		43
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	0	521
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1	847
Far West and Orana	Separate house		1242
Far West and Orana	Separate house	0	9063
Far West and Orana	Separate house	1	26421
Hunter Valley exc Newcastle			162
Hunter Valley exc Newcastle		0	194
Hunter Valley exc Newcastle		1	438
Hunter Valley exc Newcastle	(Other)		155
Hunter Valley exc Newcastle	(Other)	0	307
Hunter Valley exc Newcastle	(Other)	1	527
Hunter Valley exc Newcastle	Flat/apartment		138
Hunter Valley exc Newcastle	Flat/apartment	0	890
Hunter Valley exc Newcastle	Flat/apartment	1	1478
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		327
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	0	2447
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1	5954
Hunter Valley exc Newcastle	Separate house		1900
Hunter Valley exc Newcastle	Separate house	0	12859
Hunter Valley exc Newcastle	Separate house	1	66109
Illawarra			146
Illawarra		0	106
Illawarra		1	391
Illawarra	(Other)		65
Illawarra	(Other)	0	327
Illawarra	(Other)	1	531
Illawarra	Flat/apartment		529
Illawarra	Flat/apartment	0	3264
Illawarra	Flat/apartment	1	10242
