SA4_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Capital Region	0	1	23443
Capital Region	0	2	1742
Capital Region	0	3	210
Capital Region	0	4	43
Capital Region	0	5	17
Capital Region	0	6	12
Capital Region	1	2	29008
Capital Region	1	3	10842
Capital Region	1	4	10215
Capital Region	1	5	4632
Capital Region	1	6	2130
Central Coast	0	1	31956
Central Coast	0	2	3102
Central Coast	0	3	424
Central Coast	0	4	124
Central Coast	0	5	50
Central Coast	0	6	19
Central Coast	1	2	37924
Central Coast	1	3	17756
Central Coast	1	4	17999
Central Coast	1	5	7934
Central Coast	1	6	3762
Central West	0	1	21517
Central West	0	2	1694
Central West	0	3	231
Central West	0	4	84
Central West	0	5	30
Central West	0	6	9
Central West	1	2	24625
Central West	1	3	9988
Central West	1	4	9501
Central West	1	5	4778
Central West	1	6	2275
Coffs Harbour - Grafton	0	1	14452
Coffs Harbour - Grafton	0	2	1550
Coffs Harbour - Grafton	0	3	169
Coffs Harbour - Grafton	0	4	51
Coffs Harbour - Grafton	0	5	15
Coffs Harbour - Grafton	0	6	17
Coffs Harbour - Grafton	1	2	18238
Coffs Harbour - Grafton	1	3	6877
Coffs Harbour - Grafton	1	4	5955
Coffs Harbour - Grafton	1	5	2783
Coffs Harbour - Grafton	1	6	1510
Far West and Orana	0	1	12392
Far West and Orana	0	2	970
Far West and Orana	0	3	128
Far West and Orana	0	4	16
Far West and Orana	0	5	3
Far West and Orana	1	2	13347
Far West and Orana	1	3	5635
Far West and Orana	1	4	4816
Far West and Orana	1	5	2495
Far West and Orana	1	6	1431
Hunter Valley exc Newcastle	0	1	22691
Hunter Valley exc Newcastle	0	2	2026
Hunter Valley exc Newcastle	0	3	239
Hunter Valley exc Newcastle	0	4	57
Hunter Valley exc Newcastle	0	5	18
Hunter Valley exc Newcastle	0	6	3
Hunter Valley exc Newcastle	1	2	31279
Hunter Valley exc Newcastle	1	3	14185
Hunter Valley exc Newcastle	1	4	14081
Hunter Valley exc Newcastle	1	5	6375
Hunter Valley exc Newcastle	1	6	2944
Illawarra	0	1	25390
Illawarra	0	2	2705
Illawarra	0	3	757
Illawarra	0	4	326
Illawarra	0	5	104
Illawarra	0	6	63
Illawarra	1	2	32417
Illawarra	1	3	16048
Illawarra	1	4	17010
Illawarra	1	5	7177
Illawarra	1	6	3297
Mid North Coast	0	1	24574
Mid North Coast	0	2	2199
Mid North Coast	0	3	233
Mid North Coast	0	4	67
Mid North Coast	0	5	19
Mid North Coast	0	6	5
Mid North Coast	1	2	31304
Mid North Coast	1	3	10231
Mid North Coast	1	4	8576
Mid North Coast	1	5	4077
Mid North Coast	1	6	2055
Murray	0	1	13257
Murray	0	2	1086
Murray	0	3	170
Murray	0	4	59
Murray	0	5	14
Murray	0	6	6
Murray	1	2	15108
Murray	1	3	5427
Murray	1	4	5182
Murray	1	5	2489
Murray	1	6	1038
New England and North West	0	1	19101
New England and North West	0	2	1677
New England and North West	0	3	242
New England and North West	0	4	86
New England and North West	0	5	32
New England and North West	0	6	18
New England and North West	1	2	22328
New England and North West	1	3	8824
New England and North West	1	4	8039
New England and North West	1	5	4047
New England and North West	1	6	1912
Newcastle and Lake Macquarie	0	1	35715
Newcastle and Lake Macquarie	0	2	4080
Newcastle and Lake Macquarie	0	3	1216
Newcastle and Lake Macquarie	0	4	417
Newcastle and Lake Macquarie	0	5	126
Newcastle and Lake Macquarie	0	6	105
Newcastle and Lake Macquarie	1	2	43088
Newcastle and Lake Macquarie	1	3	20140
Newcastle and Lake Macquarie	1	4	19716
Newcastle and Lake Macquarie	1	5	7765
Newcastle and Lake Macquarie	1	6	3127
Richmond - Tweed	0	1	26234
