SA4_NAME16	Age	NeedsAssistance	Sex	persons
Capital Region	0-4		F	434
Capital Region	0-4		M	477
Capital Region	0-4	0	F	5163
Capital Region	0-4	0	M	5651
Capital Region	0-4	1	F	45
Capital Region	0-4	1	M	91
Capital Region	5-14		F	916
Capital Region	5-14		M	913
Capital Region	5-14	0	F	11797
Capital Region	5-14	0	M	12461
Capital Region	5-14	1	F	295
Capital Region	5-14	1	M	519
Capital Region	15-19		F	444
Capital Region	15-19		M	458
Capital Region	15-19	0	F	5610
Capital Region	15-19	0	M	5818
Capital Region	15-19	1	F	115
Capital Region	15-19	1	M	215
Capital Region	20-24		F	417
Capital Region	20-24		M	526
Capital Region	20-24	0	F	4505
Capital Region	20-24	0	M	4662
Capital Region	20-24	1	F	102
Capital Region	20-24	1	M	160
Capital Region	25-34		F	937
Capital Region	25-34		M	1199
Capital Region	25-34	0	F	10108
Capital Region	25-34	0	M	9588
Capital Region	25-34	1	F	252
Capital Region	25-34	1	M	255
Capital Region	35-44		F	1001
Capital Region	35-44		M	1252
Capital Region	35-44	0	F	11586
Capital Region	35-44	0	M	10904
Capital Region	35-44	1	F	330
Capital Region	35-44	1	M	346
Capital Region	45-54		F	1240
Capital Region	45-54		M	1461
Capital Region	45-54	0	F	14153
Capital Region	45-54	0	M	13459
Capital Region	45-54	1	F	629
Capital Region	45-54	1	M	572
Capital Region	55-64		F	1239
Capital Region	55-64		M	1344
Capital Region	55-64	0	F	14385
Capital Region	55-64	0	M	14026
Capital Region	55-64	1	F	865
Capital Region	55-64	1	M	881
Capital Region	65-74		F	1068
Capital Region	65-74		M	1125
Capital Region	65-74	0	F	11084
Capital Region	65-74	0	M	11340
Capital Region	65-74	1	F	897
Capital Region	65-74	1	M	1034
Capital Region	75-84		F	626
Capital Region	75-84		M	573
Capital Region	75-84	0	F	4952
Capital Region	75-84	0	M	4862
Capital Region	75-84	1	F	1237
Capital Region	75-84	1	M	987
Capital Region	85+		F	340
Capital Region	85+		M	198
Capital Region	85+	0	F	1347
Capital Region	85+	0	M	1070
Capital Region	85+	1	F	1612
Capital Region	85+	1	M	700
Central Coast	0-4		F	502
Central Coast	0-4		M	535
Central Coast	0-4	0	F	8695
Central Coast	0-4	0	M	9109
Central Coast	0-4	1	F	91
Central Coast	0-4	1	M	243
Central Coast	5-14		F	1007
Central Coast	5-14		M	1068
Central Coast	5-14	0	F	18426
Central Coast	5-14	0	M	18936
Central Coast	5-14	1	F	533
Central Coast	5-14	1	M	1272
Central Coast	15-19		F	475
Central Coast	15-19		M	545
Central Coast	15-19	0	F	9091
Central Coast	15-19	0	M	9112
Central Coast	15-19	1	F	249
Central Coast	15-19	1	M	466
Central Coast	20-24		F	566
Central Coast	20-24		M	558
Central Coast	20-24	0	F	8124
Central Coast	20-24	0	M	8367
Central Coast	20-24	1	F	218
Central Coast	20-24	1	M	339
