SA4_NAME16	CountryOfBirth	Sex	persons
Central West	CHL	F	14
Central West	CHL	M	21
Central West	CHN	F	253
Central West	CHN	M	228
Central West	DEU	F	289
Central West	DEU	M	249
Central West	EGY	F	24
Central West	EGY	M	42
Central West	FJI	F	76
Central West	FJI	M	90
Central West	FRA	F	39
Central West	FRA	M	43
Central West	GBR	F	2328
Central West	GBR	M	2199
Central West	GRC	F	41
Central West	GRC	M	72
Central West	HKG	F	45
Central West	HKG	M	55
Central West	HRV	F	48
Central West	HRV	M	69
Central West	IDN	F	60
Central West	IDN	M	42
Central West	IND	F	384
Central West	IND	M	415
Central West	IRL	F	102
Central West	IRL	M	143
Central West	IRN	F	33
Central West	IRN	M	41
Central West	IRQ	F	26
Central West	IRQ	M	43
Central West	ITA	F	131
Central West	ITA	M	168
Central West	JPN	F	51
Central West	JPN	M	19
Central West	KHM	F	23
Central West	KHM	M	10
Central West	KOR	F	56
Central West	KOR	M	74
Central West	LBN	F	26
Central West	LBN	M	60
Central West	LKA	F	83
Central West	LKA	M	75
Central West	MKD	F	6
Central West	MKD	M	16
Central West	MLT	F	44
Central West	MLT	M	50
Central West	MMR	F	15
Central West	MMR	M	10
Central West	MUS	F	10
Central West	MUS	M	14
Central West	MYS	F	88
Central West	MYS	M	70
Central West	NLD	F	244
Central West	NLD	M	219
Central West	NPL	F	87
Central West	NPL	M	84
Central West	NZL	F	890
Central West	NZL	M	936
Central West	PAK	F	37
Central West	PAK	M	48
Central West	PHL	F	515
Central West	PHL	M	253
Central West	PNG	F	54
Central West	PNG	M	46
Central West	POL	F	63
Central West	POL	M	54
Central West	SGP	F	44
Central West	SGP	M	21
Central West	THA	F	123
Central West	THA	M	53
Central West	TUR	F	7
Central West	TUR	M	15
Central West	TWN	F	29
Central West	TWN	M	17
Central West	USA	F	172
Central West	USA	M	153
Central West	VNM	F	94
Central West	VNM	M	104
Central West	ZAF	F	271
Central West	ZAF	M	265
Central West	ZWE	F	95
Central West	ZWE	M	74
Coffs Harbour - Grafton		F	6542
Coffs Harbour - Grafton		M	6240
Coffs Harbour - Grafton	AFG	F	72
Coffs Harbour - Grafton	AFG	M	63
Coffs Harbour - Grafton	AUS	F	55865
