SA4_NAME16	AustCitizen	Sex	persons
Capital Region	0	F	12178
Capital Region	0	M	12938
Capital Region	1	F	97538
Capital Region	1	M	96185
Central Coast	0	F	18523
Central Coast	0	M	17214
Central Coast	1	F	150449
Central Coast	1	M	141554
Central West	0	F	11621
Central West	0	M	12821
Central West	1	F	91843
Central West	1	M	89879
Coffs Harbour - Grafton	0	F	7991
Coffs Harbour - Grafton	0	M	7913
Coffs Harbour - Grafton	1	F	61713
Coffs Harbour - Grafton	1	M	58670
Far West and Orana	0	F	6942
Far West and Orana	0	M	7527
Far West and Orana	1	F	50358
Far West and Orana	1	M	48947
Hunter Valley exc Newcastle	0	F	13199
Hunter Valley exc Newcastle	0	M	13773
Hunter Valley exc Newcastle	1	F	119583
Hunter Valley exc Newcastle	1	M	116862
Illawarra	0	F	18035
Illawarra	0	M	18150
Illawarra	1	F	130970
Illawarra	1	M	126338
Mid North Coast	0	F	10969
Mid North Coast	0	M	10768
Mid North Coast	1	F	97932
Mid North Coast	1	M	92528
Murray	0	F	6744
Murray	0	M	6682
Murray	1	F	51999
Murray	1	M	50378
New England and North West	0	F	10982
New England and North West	0	M	10913
New England and North West	1	F	81317
New England and North West	1	M	78347
Newcastle and Lake Macquarie	0	F	16847
Newcastle and Lake Macquarie	0	M	16486
Newcastle and Lake Macquarie	1	F	166226
Newcastle and Lake Macquarie	1	M	159547
Richmond - Tweed	0	F	15281
Richmond - Tweed	0	M	14471
Richmond - Tweed	1	F	108062
Richmond - Tweed	1	M	101785
Riverina	0	F	9413
Riverina	0	M	10753
Riverina	1	F	68793
Riverina	1	M	66973
Southern Highlands and Shoalhaven	0	F	8150
Southern Highlands and Shoalhaven	0	M	8432
Southern Highlands and Shoalhaven	1	F	67123
Southern Highlands and Shoalhaven	1	M	63652
Sydney - Baulkham Hills and Hawkesbury	0	F	15861
Sydney - Baulkham Hills and Hawkesbury	0	M	14557
Sydney - Baulkham Hills and Hawkesbury	1	F	99487
