SA4_NAME16	AgeStudent	Sex	students
Capital Region	0-4	F	1296
Capital Region	0-4	M	1455
Capital Region	5-14	F	11757
Capital Region	5-14	M	12511
Capital Region	15-19	F	4297
Capital Region	15-19	M	4416
Capital Region	20-24	F	1370
Capital Region	20-24	M	1154
Capital Region	25+	F	4109
Capital Region	25+	M	2087
Central Coast	0-4	F	2518
Central Coast	0-4	M	2658
Central Coast	5-14	F	18468
Central Coast	5-14	M	19640
Central Coast	15-19	F	7156
Central Coast	15-19	M	7140
Central Coast	20-24	F	2896
Central Coast	20-24	M	2587
Central Coast	25+	F	6538
Central Coast	25+	M	3229
Central West	0-4	F	1555
Central West	0-4	M	1504
Central West	5-14	F	11958
Central West	5-14	M	12770
Central West	15-19	F	4478
Central West	15-19	M	4353
Central West	20-24	F	1685
Central West	20-24	M	1207
Central West	25+	F	3834
Central West	25+	M	1911
Coffs Harbour - Grafton	0-4	F	890
Coffs Harbour - Grafton	0-4	M	954
Coffs Harbour - Grafton	5-14	F	7389
Coffs Harbour - Grafton	5-14	M	7745
Coffs Harbour - Grafton	15-19	F	2719
Coffs Harbour - Grafton	15-19	M	2734
Coffs Harbour - Grafton	20-24	F	844
Coffs Harbour - Grafton	20-24	M	597
Coffs Harbour - Grafton	25+	F	2726
Coffs Harbour - Grafton	25+	M	1200
Far West and Orana	0-4	F	899
Far West and Orana	0-4	M	921
Far West and Orana	5-14	F	6388
Far West and Orana	5-14	M	6731
Far West and Orana	15-19	F	2065
Far West and Orana	15-19	M	1984
Far West and Orana	20-24	F	635
Far West and Orana	20-24	M	411
Far West and Orana	25+	F	1981
Far West and Orana	25+	M	875
Hunter Valley exc Newcastle	0-4	F	2079
Hunter Valley exc Newcastle	0-4	M	2112
Hunter Valley exc Newcastle	5-14	F	15905
Hunter Valley exc Newcastle	5-14	M	16859
Hunter Valley exc Newcastle	15-19	F	5537
Hunter Valley exc Newcastle	15-19	M	5602
Hunter Valley exc Newcastle	20-24	F	1910
Hunter Valley exc Newcastle	20-24	M	1436
Hunter Valley exc Newcastle	25+	F	4538
Hunter Valley exc Newcastle	25+	M	2134
Illawarra	0-4	F	2382
Illawarra	0-4	M	2524
Illawarra	5-14	F	16519
Illawarra	5-14	M	17357
Illawarra	15-19	F	7276
Illawarra	15-19	M	7227
Illawarra	20-24	F	4403
Illawarra	20-24	M	4643
Illawarra	25+	F	6190
Illawarra	25+	M	4439
Mid North Coast	0-4	F	1393
Mid North Coast	0-4	M	1466
Mid North Coast	5-14	F	10825
Mid North Coast	5-14	M	11310
Mid North Coast	15-19	F	4039
Mid North Coast	15-19	M	4056
Mid North Coast	20-24	F	1035
Mid North Coast	20-24	M	695
Mid North Coast	25+	F	3618
Mid North Coast	25+	M	1499
Murray	0-4	F	747
Murray	0-4	M	777
Murray	5-14	F	6504
Murray	5-14	M	6601
Murray	15-19	F	2414
Murray	15-19	M	2320
Murray	20-24	F	935
Murray	20-24	M	607
Murray	25+	F	1985
Murray	25+	M	953
New England and North West	0-4	F	1405
New England and North West	0-4	M	1452
New England and North West	5-14	F	10540
New England and North West	5-14	M	10832
New England and North West	15-19	F	3853
