SA4_NAME16	EduInstitutionType	Sex	students
Capital Region		F	10095
Capital Region		M	10371
Capital Region	Infants/Primary	F	8448
Capital Region	Infants/Primary	M	8992
Capital Region	Pre-school	F	1549
Capital Region	Pre-school	M	1838
Capital Region	Secondary	F	6586
Capital Region	Secondary	M	6733
Capital Region	Technical or Further Educational Institution	F	2176
Capital Region	Technical or Further Educational Institution	M	1777
Capital Region	University or other tertiary	F	3311
Capital Region	University or other tertiary	M	1873
Central Coast		F	12602
Central Coast		M	10881
Central Coast	Infants/Primary	F	13170
Central Coast	Infants/Primary	M	14032
Central Coast	Pre-school	F	3098
Central Coast	Pre-school	M	3389
Central Coast	Secondary	F	10261
Central Coast	Secondary	M	10404
Central Coast	Technical or Further Educational Institution	F	3457
Central Coast	Technical or Further Educational Institution	M	2813
Central Coast	University or other tertiary	F	6295
Central Coast	University or other tertiary	M	3971
Central West		F	10249
Central West		M	11196
Central West	Infants/Primary	F	8713
Central West	Infants/Primary	M	9219
Central West	Pre-school	F	1846
Central West	Pre-school	M	1929
Central West	Secondary	F	6477
Central West	Secondary	M	6669
Central West	Technical or Further Educational Institution	F	2526
Central West	Technical or Further Educational Institution	M	1793
Central West	University or other tertiary	F	3376
Central West	University or other tertiary	M	1857
Coffs Harbour - Grafton		F	6198
Coffs Harbour - Grafton		M	5980
Coffs Harbour - Grafton	Infants/Primary	F	5324
Coffs Harbour - Grafton	Infants/Primary	M	5509
Coffs Harbour - Grafton	Pre-school	F	1114
Coffs Harbour - Grafton	Pre-school	M	1247
Coffs Harbour - Grafton	Secondary	F	4089
Coffs Harbour - Grafton	Secondary	M	4202
Coffs Harbour - Grafton	Technical or Further Educational Institution	F	1824
Coffs Harbour - Grafton	Technical or Further Educational Institution	M	1172
Coffs Harbour - Grafton	University or other tertiary	F	1754
Coffs Harbour - Grafton	University or other tertiary	M	849
Far West and Orana		F	6298
Far West and Orana		M	6765
Far West and Orana	Infants/Primary	F	4669
Far West and Orana	Infants/Primary	M	4900
Far West and Orana	Pre-school	F	1125
Far West and Orana	Pre-school	M	1174
Far West and Orana	Secondary	F	3224
Far West and Orana	Secondary	M	3217
Far West and Orana	Technical or Further Educational Institution	F	1365
Far West and Orana	Technical or Further Educational Institution	M	902
Far West and Orana	University or other tertiary	F	1278
Far West and Orana	University or other tertiary	M	547
Hunter Valley exc Newcastle		F	10785
Hunter Valley exc Newcastle		M	11175
Hunter Valley exc Newcastle	Infants/Primary	F	11532
Hunter Valley exc Newcastle	Infants/Primary	M	12094
Hunter Valley exc Newcastle	Pre-school	F	2536
Hunter Valley exc Newcastle	Pre-school	M	2726
Hunter Valley exc Newcastle	Secondary	F	8300
Hunter Valley exc Newcastle	Secondary	M	8515
Hunter Valley exc Newcastle	Technical or Further Educational Institution	F	2865
Hunter Valley exc Newcastle	Technical or Further Educational Institution	M	2219
Hunter Valley exc Newcastle	University or other tertiary	F	3847
Hunter Valley exc Newcastle	University or other tertiary	M	2125
Illawarra		F	10194
Illawarra		M	9281
Illawarra	Infants/Primary	F	11796
Illawarra	Infants/Primary	M	12328
Illawarra	Pre-school	F	2831
Illawarra	Pre-school	M	3127
Illawarra	Secondary	F	9345
Illawarra	Secondary	M	9501
Illawarra	Technical or Further Educational Institution	F	2944
Illawarra	Technical or Further Educational Institution	M	2881
Illawarra	University or other tertiary	F	8696
Illawarra	University or other tertiary	M	7732
Mid North Coast		F	9863
Mid North Coast		M	9246
Mid North Coast	Infants/Primary	F	7693
Mid North Coast	Infants/Primary	M	8056
Mid North Coast	Pre-school	F	1672
Mid North Coast	Pre-school	M	1862
Mid North Coast	Secondary	F	6221
Mid North Coast	Secondary	M	6292
Mid North Coast	Technical or Further Educational Institution	F	2381
Mid North Coast	Technical or Further Educational Institution	M	1524
Mid North Coast	University or other tertiary	F	2288
Mid North Coast	University or other tertiary	M	1016
Murray		F	5687
Murray		M	5384
Murray	Infants/Primary	F	4629
Murray	Infants/Primary	M	4762
Murray	Pre-school	F	970
Murray	Pre-school	M	1025
Murray	Secondary	F	3619
Murray	Secondary	M	3463
Murray	Technical or Further Educational Institution	F	1231
Murray	Technical or Further Educational Institution	M	972
Murray	University or other tertiary	F	1757
Murray	University or other tertiary	M	818
New England and North West		F	9498
New England and North West		M	9159
New England and North West	Infants/Primary	F	7575
New England and North West	Infants/Primary	M	7846
New England and North West	Pre-school	F	1679
New England and North West	Pre-school	M	1790
New England and North West	Secondary	F	5701
New England and North West	Secondary	M	5658
New England and North West	Technical or Further Educational Institution	F	1849
New England and North West	Technical or Further Educational Institution	M	1308
New England and North West	University or other tertiary	F	3442
New England and North West	University or other tertiary	M	2061
Newcastle and Lake Macquarie		F	11684
Newcastle and Lake Macquarie		M	10338
Newcastle and Lake Macquarie	Infants/Primary	F	13779
Newcastle and Lake Macquarie	Infants/Primary	M	14587
Newcastle and Lake Macquarie	Pre-school	F	3195
Newcastle and Lake Macquarie	Pre-school	M	3591
Newcastle and Lake Macquarie	Secondary	F	10579
Newcastle and Lake Macquarie	Secondary	M	10974
Newcastle and Lake Macquarie	Technical or Further Educational Institution	F	3891
Newcastle and Lake Macquarie	Technical or Further Educational Institution	M	3425
Newcastle and Lake Macquarie	University or other tertiary	F	10781
Newcastle and Lake Macquarie	University or other tertiary	M	8564
Richmond - Tweed		F	11999
Richmond - Tweed		M	11115
Richmond - Tweed	Infants/Primary	F	8867
Richmond - Tweed	Infants/Primary	M	9509
Richmond - Tweed	Pre-school	F	1795
Richmond - Tweed	Pre-school	M	1938
Richmond - Tweed	Secondary	F	7435
Richmond - Tweed	Secondary	M	7155
Richmond - Tweed	Technical or Further Educational Institution	F	2709
Richmond - Tweed	Technical or Further Educational Institution	M	1803
Richmond - Tweed	University or other tertiary	F	4071
Richmond - Tweed	University or other tertiary	M	2337
Riverina		F	7199
Riverina		M	8088
Riverina	Infants/Primary	F	6605
Riverina	Infants/Primary	M	6924
Riverina	Pre-school	F	1363
Riverina	Pre-school	M	1531
Riverina	Secondary	F	5099
Riverina	Secondary	M	5101
Riverina	Technical or Further Educational Institution	F	1743
Riverina	Technical or Further Educational Institution	M	1440
Riverina	University or other tertiary	F	2916
Riverina	University or other tertiary	M	1423
Southern Highlands and Shoalhaven		F	6628
Southern Highlands and Shoalhaven		M	6667
Southern Highlands and Shoalhaven	Infants/Primary	F	5435
Southern Highlands and Shoalhaven	Infants/Primary	M	5673
Southern Highlands and Shoalhaven	Pre-school	F	1241
Southern Highlands and Shoalhaven	Pre-school	M	1381
Southern Highlands and Shoalhaven	Secondary	F	4456
Southern Highlands and Shoalhaven	Secondary	M	4291
Southern Highlands and Shoalhaven	Technical or Further Educational Institution	F	1319
Southern Highlands and Shoalhaven	Technical or Further Educational Institution	M	1082
Southern Highlands and Shoalhaven	University or other tertiary	F	1916
Southern Highlands and Shoalhaven	University or other tertiary	M	988
Sydney - Baulkham Hills and Hawkesbury		F	5813
Sydney - Baulkham Hills and Hawkesbury		M	5050
Sydney - Baulkham Hills and Hawkesbury	Infants/Primary	F	10904
Sydney - Baulkham Hills and Hawkesbury	Infants/Primary	M	11624
Sydney - Baulkham Hills and Hawkesbury	Pre-school	F	2201
Sydney - Baulkham Hills and Hawkesbury	Pre-school	M	2434
Sydney - Baulkham Hills and Hawkesbury	Secondary	F	9096
Sydney - Baulkham Hills and Hawkesbury	Secondary	M	9595
Sydney - Baulkham Hills and Hawkesbury	Technical or Further Educational Institution	F	1904
Sydney - Baulkham Hills and Hawkesbury	Technical or Further Educational Institution	M	1897
Sydney - Baulkham Hills and Hawkesbury	University or other tertiary	F	6665
Sydney - Baulkham Hills and Hawkesbury	University or other tertiary	M	5787
Sydney - Blacktown		F	11823
Sydney - Blacktown		M	11993
Sydney - Blacktown	Infants/Primary	F	16134
Sydney - Blacktown	Infants/Primary	M	17340
Sydney - Blacktown	Pre-school	F	3071
Sydney - Blacktown	Pre-school	M	3389
Sydney - Blacktown	Secondary	F	12105
Sydney - Blacktown	Secondary	M	12474
Sydney - Blacktown	Technical or Further Educational Institution	F	3753
Sydney - Blacktown	Technical or Further Educational Institution	M	3115
Sydney - Blacktown	University or other tertiary	F	8489
Sydney - Blacktown	University or other tertiary	M	7200
Sydney - City and Inner South		F	20587
Sydney - City and Inner South		M	22336
Sydney - City and Inner South	Infants/Primary	F	5518
Sydney - City and Inner South	Infants/Primary	M	5811
Sydney - City and Inner South	Pre-school	F	1366
Sydney - City and Inner South	Pre-school	M	1486
Sydney - City and Inner South	Secondary	F	4195
Sydney - City and Inner South	Secondary	M	4087
Sydney - City and Inner South	Technical or Further Educational Institution	F	4387
Sydney - City and Inner South	Technical or Further Educational Institution	M	3721
Sydney - City and Inner South	University or other tertiary	F	20720
Sydney - City and Inner South	University or other tertiary	M	17022
Sydney - Eastern Suburbs		F	13842
Sydney - Eastern Suburbs		M	14136
Sydney - Eastern Suburbs	Infants/Primary	F	8495
Sydney - Eastern Suburbs	Infants/Primary	M	8765
Sydney - Eastern Suburbs	Pre-school	F	2109
Sydney - Eastern Suburbs	Pre-school	M	2330
Sydney - Eastern Suburbs	Secondary	F	6338
Sydney - Eastern Suburbs	Secondary	M	6321
Sydney - Eastern Suburbs	Technical or Further Educational Institution	F	2151
Sydney - Eastern Suburbs	Technical or Further Educational Institution	M	1784
Sydney - Eastern Suburbs	University or other tertiary	F	13195
Sydney - Eastern Suburbs	University or other tertiary	M	12115
Sydney - Inner South West		F	22471
Sydney - Inner South West		M	20799
Sydney - Inner South West	Infants/Primary	F	21880
Sydney - Inner South West	Infants/Primary	M	23175
Sydney - Inner South West	Pre-school	F	4279
Sydney - Inner South West	Pre-school	M	4766
Sydney - Inner South West	Secondary	F	17791
Sydney - Inner South West	Secondary	M	18285
Sydney - Inner South West	Technical or Further Educational Institution	F	6096
Sydney - Inner South West	Technical or Further Educational Institution	M	5587
Sydney - Inner South West	University or other tertiary	F	18636
Sydney - Inner South West	University or other tertiary	M	18252
Sydney - Inner West		F	11795
Sydney - Inner West		M	11138
Sydney - Inner West	Infants/Primary	F	9623
Sydney - Inner West	Infants/Primary	M	9859
Sydney - Inner West	Pre-school	F	2126
Sydney - Inner West	Pre-school	M	2292
Sydney - Inner West	Secondary	F	7253
Sydney - Inner West	Secondary	M	7327
Sydney - Inner West	Technical or Further Educational Institution	F	2810
Sydney - Inner West	Technical or Further Educational Institution	M	2432
Sydney - Inner West	University or other tertiary	F	12800
Sydney - Inner West	University or other tertiary	M	11464
Sydney - North Sydney and Hornsby		F	12982
Sydney - North Sydney and Hornsby		M	11187
Sydney - North Sydney and Hornsby	Infants/Primary	F	16806
Sydney - North Sydney and Hornsby	Infants/Primary	M	17848
Sydney - North Sydney and Hornsby	Pre-school	F	3766
Sydney - North Sydney and Hornsby	Pre-school	M	4064
Sydney - North Sydney and Hornsby	Secondary	F	13646
Sydney - North Sydney and Hornsby	Secondary	M	14251
Sydney - North Sydney and Hornsby	Technical or Further Educational Institution	F	3396
Sydney - North Sydney and Hornsby	Technical or Further Educational Institution	M	2444
Sydney - North Sydney and Hornsby	University or other tertiary	F	14279
Sydney - North Sydney and Hornsby	University or other tertiary	M	11881
Sydney - Northern Beaches		F	8626
Sydney - Northern Beaches		M	7387
Sydney - Northern Beaches	Infants/Primary	F	11330
Sydney - Northern Beaches	Infants/Primary	M	11935
Sydney - Northern Beaches	Pre-school	F	2488
Sydney - Northern Beaches	Pre-school	M	2774
Sydney - Northern Beaches	Secondary	F	8475
Sydney - Northern Beaches	Secondary	M	8917
Sydney - Northern Beaches	Technical or Further Educational Institution	F	2160
