SA4_NAME16	Age	persons
Capital Region	0-4	11866
Capital Region	5-14	26897
Capital Region	15-19	12659
Capital Region	20-24	10364
Capital Region	25-34	22338
Capital Region	35-44	25417
Capital Region	45-54	31504
Capital Region	55-64	32731
Capital Region	65-74	26553
Capital Region	75-84	13249
Capital Region	85+	5265
Central Coast	0-4	19181
Central Coast	5-14	41245
Central Coast	15-19	19930
Central Coast	20-24	18174
Central Coast	25-34	35278
Central Coast	35-44	39376
Central Coast	45-54	43630
Central Coast	55-64	42364
Central Coast	65-74	36591
Central Coast	75-84	21691
Central Coast	85+	10278
Central West	0-4	13290
Central West	5-14	27616
Central West	15-19	13093
Central West	20-24	11564
Central West	25-34	23097
Central West	35-44	23652
Central West	45-54	27016
Central West	55-64	26773
Central West	65-74	22483
Central West	75-84	12507
Central West	85+	5075
Coffs Harbour - Grafton	0-4	7129
Coffs Harbour - Grafton	5-14	16734
Coffs Harbour - Grafton	15-19	8016
Coffs Harbour - Grafton	20-24	6135
Coffs Harbour - Grafton	25-34	12753
Coffs Harbour - Grafton	35-44	14690
Coffs Harbour - Grafton	45-54	18165
Coffs Harbour - Grafton	55-64	21286
Coffs Harbour - Grafton	65-74	17629
Coffs Harbour - Grafton	75-84	9702
Coffs Harbour - Grafton	85+	4052
Far West and Orana	0-4	7635
Far West and Orana	5-14	14998
Far West and Orana	15-19	6502
Far West and Orana	20-24	6453
Far West and Orana	25-34	14006
Far West and Orana	35-44	12659
Far West and Orana	45-54	14907
Far West and Orana	55-64	15305
Far West and Orana	65-74	11821
Far West and Orana	75-84	6744
Far West and Orana	85+	2741
Hunter Valley exc Newcastle	0-4	17264
Hunter Valley exc Newcastle	5-14	36001
Hunter Valley exc Newcastle	15-19	16410
Hunter Valley exc Newcastle	20-24	15088
Hunter Valley exc Newcastle	25-34	31603
Hunter Valley exc Newcastle	35-44	32481
Hunter Valley exc Newcastle	45-54	34777
Hunter Valley exc Newcastle	55-64	33575
Hunter Valley exc Newcastle	65-74	27320
Hunter Valley exc Newcastle	75-84	13680
Hunter Valley exc Newcastle	85+	5219
Illawarra	0-4	17470
Illawarra	5-14	36295
Illawarra	15-19	18979
Illawarra	20-24	20855
Illawarra	25-34	35895
Illawarra	35-44	36792
Illawarra	45-54	38525
Illawarra	55-64	36239
Illawarra	65-74	28043
Illawarra	75-84	17066
Illawarra	85+	7332
Mid North Coast	0-4	10261
Mid North Coast	5-14	24442
Mid North Coast	15-19	11701
Mid North Coast	20-24	8522
Mid North Coast	25-34	17264
Mid North Coast	35-44	20710
Mid North Coast	45-54	27232
Mid North Coast	55-64	33119
Mid North Coast	65-74	32942
Mid North Coast	75-84	18262
Mid North Coast	85+	7749
Murray	0-4	6905
Murray	5-14	14539
Murray	15-19	6902
Murray	20-24	6312
Murray	25-34	12415
Murray	35-44	12838
