SA4_NAME16	MaxSchoolingCompleted	adults
Capital Region	Did not go to school	633
Capital Region	Year 8	9118
Capital Region	Year 9	13830
Capital Region	Year 10	48054
Capital Region	Year 11	12956
Capital Region	Year 12	76311
Central Coast	Did not go to school	808
Central Coast	Year 8	12032
Central Coast	Year 9	23708
Central Coast	Year 10	81551
Central Coast	Year 11	18744
Central Coast	Year 12	107606
Central West	Did not go to school	545
Central West	Year 8	9912
Central West	Year 9	14691
Central West	Year 10	50611
Central West	Year 11	11277
Central West	Year 12	58704
Coffs Harbour - Grafton	Did not go to school	501
Coffs Harbour - Grafton	Year 8	6467
Coffs Harbour - Grafton	Year 9	10624
Coffs Harbour - Grafton	Year 10	35085
Coffs Harbour - Grafton	Year 11	8178
Coffs Harbour - Grafton	Year 12	40076
Far West and Orana	Did not go to school	366
Far West and Orana	Year 8	6420
Far West and Orana	Year 9	8932
Far West and Orana	Year 10	27619
Far West and Orana	Year 11	6548
Far West and Orana	Year 12	29105
Hunter Valley exc Newcastle	Did not go to school	577
Hunter Valley exc Newcastle	Year 8	10733
Hunter Valley exc Newcastle	Year 9	21406
Hunter Valley exc Newcastle	Year 10	71152
Hunter Valley exc Newcastle	Year 11	16235
Hunter Valley exc Newcastle	Year 12	70001
Illawarra	Did not go to school	1757
Illawarra	Year 8	13304
Illawarra	Year 9	18777
Illawarra	Year 10	67352
Illawarra	Year 11	15634
Illawarra	Year 12	105026
Mid North Coast	Did not go to school	475
Mid North Coast	Year 8	11274
Mid North Coast	Year 9	19376
Mid North Coast	Year 10	58559
Mid North Coast	Year 11	12487
Mid North Coast	Year 12	55926
Murray	Did not go to school	471
Murray	Year 8	6028
Murray	Year 9	8597
Murray	Year 10	24084
Murray	Year 11	11233
Murray	Year 12	33491
New England and North West	Did not go to school	541
New England and North West	Year 8	9321
New England and North West	Year 9	13386
New England and North West	Year 10	43024
New England and North West	Year 11	9768
New England and North West	Year 12	52707
Newcastle and Lake Macquarie	Did not go to school	1033
Newcastle and Lake Macquarie	Year 8	13227
Newcastle and Lake Macquarie	Year 9	26757
Newcastle and Lake Macquarie	Year 10	85976
Newcastle and Lake Macquarie	Year 11	19187
Newcastle and Lake Macquarie	Year 12	128568
Richmond - Tweed	Did not go to school	527
Richmond - Tweed	Year 8	10290
Richmond - Tweed	Year 9	15670
Richmond - Tweed	Year 10	57442
Richmond - Tweed	Year 11	14634
Richmond - Tweed	Year 12	78326
Riverina	Did not go to school	711
Riverina	Year 8	7856
Riverina	Year 9	11060
Riverina	Year 10	37424
Riverina	Year 11	9215
Riverina	Year 12	44599
Southern Highlands and Shoalhaven	Did not go to school	330
Southern Highlands and Shoalhaven	Year 8	6001
Southern Highlands and Shoalhaven	Year 9	11446
Southern Highlands and Shoalhaven	Year 10	37408
Southern Highlands and Shoalhaven	Year 11	8444
Southern Highlands and Shoalhaven	Year 12	46399
Sydney - Baulkham Hills and Hawkesbury	Did not go to school	904
Sydney - Baulkham Hills and Hawkesbury	Year 8	4649
Sydney - Baulkham Hills and Hawkesbury	Year 9	8892
Sydney - Baulkham Hills and Hawkesbury	Year 10	35384
Sydney - Baulkham Hills and Hawkesbury	Year 11	9818
Sydney - Baulkham Hills and Hawkesbury	Year 12	112260
Sydney - Blacktown	Did not go to school	3033
Sydney - Blacktown	Year 8	12692
Sydney - Blacktown	Year 9	15234
Sydney - Blacktown	Year 10	52326
Sydney - Blacktown	Year 11	15205
Sydney - Blacktown	Year 12	145314
Sydney - City and Inner South	Did not go to school	2905
Sydney - City and Inner South	Year 8	7482
Sydney - City and Inner South	Year 9	5931
Sydney - City and Inner South	Year 10	21646
Sydney - City and Inner South	Year 11	9718
Sydney - City and Inner South	Year 12	202821
Sydney - Eastern Suburbs	Did not go to school	1001
Sydney - Eastern Suburbs	Year 8	4580
Sydney - Eastern Suburbs	Year 9	5623
Sydney - Eastern Suburbs	Year 10	20026
Sydney - Eastern Suburbs	Year 11	8387
Sydney - Eastern Suburbs	Year 12	162269
Sydney - Inner South West	Did not go to school	10627
Sydney - Inner South West	Year 8	28337
Sydney - Inner South West	Year 9	21422
Sydney - Inner South West	Year 10	72249
Sydney - Inner South West	Year 11	21604
Sydney - Inner South West	Year 12	276110
Sydney - Inner West	Did not go to school	3136
Sydney - Inner West	Year 8	10148
Sydney - Inner West	Year 9	7289
Sydney - Inner West	Year 10	26141
Sydney - Inner West	Year 11	8961
Sydney - Inner West	Year 12	172425
Sydney - North Sydney and Hornsby	Did not go to school	1424
Sydney - North Sydney and Hornsby	Year 8	5139
Sydney - North Sydney and Hornsby	Year 9	9087
Sydney - North Sydney and Hornsby	Year 10	31234
Sydney - North Sydney and Hornsby	Year 11	13780
Sydney - North Sydney and Hornsby	Year 12	249584
Sydney - Northern Beaches	Did not go to school	751
Sydney - Northern Beaches	Year 8	4424
Sydney - Northern Beaches	Year 9	8012
Sydney - Northern Beaches	Year 10	33543
Sydney - Northern Beaches	Year 11	10904
Sydney - Northern Beaches	Year 12	131771
Sydney - Outer South West	Did not go to school	1416
Sydney - Outer South West	Year 8	8343
Sydney - Outer South West	Year 9	15298
Sydney - Outer South West	Year 10	56647
Sydney - Outer South West	Year 11	13933
Sydney - Outer South West	Year 12	93644
Sydney - Outer West and Blue Mountains	Did not go to school	1151
Sydney - Outer West and Blue Mountains	Year 8	9974
Sydney - Outer West and Blue Mountains	Year 9	17652
Sydney - Outer West and Blue Mountains	Year 10	69554
Sydney - Outer West and Blue Mountains	Year 11	16791
Sydney - Outer West and Blue Mountains	Year 12	111413
Sydney - Parramatta	Did not go to school	9784
Sydney - Parramatta	Year 8	18532
Sydney - Parramatta	Year 9	15696
Sydney - Parramatta	Year 10	51455
Sydney - Parramatta	Year 11	15976
Sydney - Parramatta	Year 12	219245
Sydney - Ryde	Did not go to school	1349
Sydney - Ryde	Year 8	4164
Sydney - Ryde	Year 9	5134
Sydney - Ryde	Year 10	16924
Sydney - Ryde	Year 11	5896
Sydney - Ryde	Year 12	109482
Sydney - South West	Did not go to school	14121
Sydney - South West	Year 8	25938
Sydney - South West	Year 9	18859
Sydney - South West	Year 10	58334
Sydney - South West	Year 11	18124
Sydney - South West	Year 12	160992
Sydney - Sutherland	Did not go to school	612
Sydney - Sutherland	Year 8	4782
Sydney - Sutherland	Year 9	9767
Sydney - Sutherland	Year 10	43093
Sydney - Sutherland	Year 11	9979
Sydney - Sutherland	Year 12	98232
Migratory - Offshore - Shipping (NSW)	Did not go to school	4
Migratory - Offshore - Shipping (NSW)	Year 8	27
Migratory - Offshore - Shipping (NSW)	Year 9	35
Migratory - Offshore - Shipping (NSW)	Year 10	93
Migratory - Offshore - Shipping (NSW)	Year 11	22
Migratory - Offshore - Shipping (NSW)	Year 12	125
No usual address (NSW)	Did not go to school	65
No usual address (NSW)	Year 8	420
No usual address (NSW)	Year 9	731
No usual address (NSW)	Year 10	2159
No usual address (NSW)	Year 11	633
No usual address (NSW)	Year 12	4169
Ballarat	Did not go to school	373
Ballarat	Year 8	7952
Ballarat	Year 9	10755
Ballarat	Year 10	23480
Ballarat	Year 11	19499
Ballarat	Year 12	54132
Bendigo	Did not go to school	585
Bendigo	Year 8	7531
Bendigo	Year 9	10279
Bendigo	Year 10	22889
Bendigo	Year 11	18325
Bendigo	Year 12	52067
Geelong	Did not go to school	1257
Geelong	Year 8	12791
Geelong	Year 9	15747
Geelong	Year 10	36095
Geelong	Year 11	34692
Geelong	Year 12	107139
Hume	Did not go to school	480
Hume	Year 8	8829
Hume	Year 9	11670
Hume	Year 10	29224
Hume	Year 11	22223
Hume	Year 12	52661
Latrobe - Gippsland	Did not go to school	888
Latrobe - Gippsland	Year 8	15267
Latrobe - Gippsland	Year 9	20261
Latrobe - Gippsland	Year 10	45987
Latrobe - Gippsland	Year 11	37521
Latrobe - Gippsland	Year 12	79020
Melbourne - Inner	Did not go to school	5135
Melbourne - Inner	Year 8	17575
Melbourne - Inner	Year 9	10979
Melbourne - Inner	Year 10	26822
Melbourne - Inner	Year 11	30244
Melbourne - Inner	Year 12	380852
