SA4_NAME16	Age5yr	Indigenous	Sex	persons
Capital Region	0-4		F	344
Capital Region	0-4		M	398
Capital Region	0-4	0	F	4900
Capital Region	0-4	0	M	5355
Capital Region	0-4	1	F	400
Capital Region	0-4	1	M	468
Capital Region	5-9		F	415
Capital Region	5-9		M	438
Capital Region	5-9	0	F	5677
Capital Region	5-9	0	M	6104
Capital Region	5-9	1	F	461
Capital Region	5-9	1	M	490
Capital Region	10-14		F	440
Capital Region	10-14		M	447
Capital Region	10-14	0	F	5547
Capital Region	10-14	0	M	5927
Capital Region	10-14	1	F	476
Capital Region	10-14	1	M	484
Capital Region	15-19		F	431
Capital Region	15-19		M	440
Capital Region	15-19	0	F	5365
Capital Region	15-19	0	M	5619
Capital Region	15-19	1	F	365
Capital Region	15-19	1	M	438
Capital Region	20-24		F	371
Capital Region	20-24		M	398
Capital Region	20-24	0	F	4362
Capital Region	20-24	0	M	4656
Capital Region	20-24	1	F	291
Capital Region	20-24	1	M	292
Capital Region	25-29		F	411
Capital Region	25-29		M	396
Capital Region	25-29	0	F	4788
Capital Region	25-29	0	M	4719
Capital Region	25-29	1	F	226
Capital Region	25-29	1	M	256
Capital Region	30-34		F	407
Capital Region	30-34		M	409
Capital Region	30-34	0	F	5226
Capital Region	30-34	0	M	5043
Capital Region	30-34	1	F	233
Capital Region	30-34	1	M	219
Capital Region	35-39		F	386
Capital Region	35-39		M	380
Capital Region	35-39	0	F	5380
Capital Region	35-39	0	M	5024
Capital Region	35-39	1	F	199
Capital Region	35-39	1	M	204
Capital Region	40-44		F	437
Capital Region	40-44		M	530
Capital Region	40-44	0	F	6270
Capital Region	40-44	0	M	6147
Capital Region	40-44	1	F	244
Capital Region	40-44	1	M	214
Capital Region	45-49		F	519
Capital Region	45-49		M	575
Capital Region	45-49	0	F	7171
Capital Region	45-49	0	M	6690
Capital Region	45-49	1	F	224
Capital Region	45-49	1	M	212
Capital Region	50-54		F	564
Capital Region	50-54		M	611
Capital Region	50-54	0	F	7315
Capital Region	50-54	0	M	7209
Capital Region	50-54	1	F	215
Capital Region	50-54	1	M	190
Capital Region	55-59		F	554
Capital Region	55-59		M	601
Capital Region	55-59	0	F	7654
Capital Region	55-59	0	M	7583
Capital Region	55-59	1	F	197
Capital Region	55-59	1	M	162
Capital Region	60-64		F	532
Capital Region	60-64		M	587
Capital Region	60-64	0	F	7394
Capital Region	60-64	0	M	7201
Capital Region	60-64	1	F	157
Capital Region	60-64	1	M	113
Capital Region	65+		F	1852
Capital Region	65+		M	1748
Capital Region	65+	0	F	21077
Capital Region	65+	0	M	19935
Capital Region	65+	1	F	235
Capital Region	65+	1	M	220
Central Coast	0-4		F	434
Central Coast	0-4		M	460
Central Coast	0-4	0	F	8148
Central Coast	0-4	0	M	8635
Central Coast	0-4	1	F	721
Central Coast	0-4	1	M	786
Central Coast	5-9		F	490
Central Coast	5-9		M	483
Central Coast	5-9	0	F	8896
Central Coast	5-9	0	M	9608
Central Coast	5-9	1	F	721
Central Coast	5-9	1	M	722
Central Coast	10-14		F	436
Central Coast	10-14		M	497
Central Coast	10-14	0	F	8743
Central Coast	10-14	0	M	9187
Central Coast	10-14	1	F	676
Central Coast	10-14	1	M	782
Central Coast	15-19		F	445
Central Coast	15-19		M	518
Central Coast	15-19	0	F	8676
Central Coast	15-19	0	M	8867
Central Coast	15-19	1	F	683
Central Coast	15-19	1	M	733
Central Coast	20-24		F	512
Central Coast	20-24		M	483
Central Coast	20-24	0	F	7869
Central Coast	20-24	0	M	8207
Central Coast	20-24	1	F	527
Central Coast	20-24	1	M	581
Central Coast	25-29		F	437
Central Coast	25-29		M	463
Central Coast	25-29	0	F	7834
Central Coast	25-29	0	M	7604
Central Coast	25-29	1	F	429
Central Coast	25-29	1	M	423
Central Coast	30-34		F	436
Central Coast	30-34		M	456
Central Coast	30-34	0	F	8513
Central Coast	30-34	0	M	7972
Central Coast	30-34	1	F	381
Central Coast	30-34	1	M	316
Central Coast	35-39		F	445
Central Coast	35-39		M	459
Central Coast	35-39	0	F	8757
Central Coast	35-39	0	M	8217
Central Coast	35-39	1	F	320
Central Coast	35-39	1	M	305
Central Coast	40-44		F	513
Central Coast	40-44		M	526
Central Coast	40-44	0	F	9956
Central Coast	40-44	0	M	9252
Central Coast	40-44	1	F	339
Central Coast	40-44	1	M	278
Central Coast	45-49		F	562
Central Coast	45-49		M	573
Central Coast	45-49	0	F	10408
Central Coast	45-49	0	M	9545
Central Coast	45-49	1	F	344
Central Coast	45-49	1	M	294
Central Coast	50-54		F	555
Central Coast	50-54		M	518
Central Coast	50-54	0	F	10347
Central Coast	50-54	0	M	9836
Central Coast	50-54	1	F	358
Central Coast	50-54	1	M	284
Central Coast	55-59		F	581
Central Coast	55-59		M	581
Central Coast	55-59	0	F	10779
Central Coast	55-59	0	M	9616
Central Coast	55-59	1	F	252
Central Coast	55-59	1	M	237
Central Coast	60-64		F	543
Central Coast	60-64		M	540
Central Coast	60-64	0	F	9966
Central Coast	60-64	0	M	8922
Central Coast	60-64	1	F	190
Central Coast	60-64	1	M	158
Central Coast	65+		F	2640
Central Coast	65+		M	2015
Central Coast	65+	0	F	34741
Central Coast	65+	0	M	28521
Central Coast	65+	1	F	350
Central Coast	65+	1	M	299
Central West	0-4		F	478
Central West	0-4		M	494
Central West	0-4	0	F	5228
Central West	0-4	0	M	5436
Central West	0-4	1	F	757
Central West	0-4	1	M	897
Central West	5-9		F	520
Central West	5-9		M	514
Central West	5-9	0	F	5679
Central West	5-9	0	M	5952
Central West	5-9	1	F	781
Central West	5-9	1	M	820
Central West	10-14		F	481
Central West	10-14		M	519
Central West	10-14	0	F	5177
Central West	10-14	0	M	5684
Central West	10-14	1	F	719
Central West	10-14	1	M	770
Central West	15-19		F	539
Central West	15-19		M	551
Central West	15-19	0	F	5153
Central West	15-19	0	M	5441
Central West	15-19	1	F	710
Central West	15-19	1	M	697
Central West	20-24		F	478
Central West	20-24		M	524
Central West	20-24	0	F	4559
Central West	20-24	0	M	4823
Central West	20-24	1	F	545
Central West	20-24	1	M	628
Central West	25-29		F	398
Central West	25-29		M	462
Central West	25-29	0	F	4811
Central West	25-29	0	M	4865
Central West	25-29	1	F	465
Central West	25-29	1	M	476
Central West	30-34		F	415
Central West	30-34		M	439
Central West	30-34	0	F	5068
Central West	30-34	0	M	5000
Central West	30-34	1	F	363
Central West	30-34	1	M	335
Central West	35-39		F	440
Central West	35-39		M	414
Central West	35-39	0	F	4923
Central West	35-39	0	M	4791
Central West	35-39	1	F	345
Central West	35-39	1	M	311
Central West	40-44		F	469
Central West	40-44		M	480
Central West	40-44	0	F	5501
