SA4_NAME16	persons
Capital Region	218843
Central Coast	327736
Central West	206155
Coffs Harbour - Grafton	136288
Far West and Orana	113779
Hunter Valley exc Newcastle	263416
Illawarra	293494
Mid North Coast	212201
Murray	115803
New England and North West	181555
Newcastle and Lake Macquarie	359106
Richmond - Tweed	239604
Riverina	155934
Southern Highlands and Shoalhaven	147363
Sydney - Baulkham Hills and Hawkesbury	227739
Sydney - Blacktown	339637
Sydney - City and Inner South	315551
Sydney - Eastern Suburbs	267037
Sydney - Inner South West	571416
Sydney - Inner West	293301
Sydney - North Sydney and Hornsby	405356
Sydney - Northern Beaches	252878
Sydney - Outer South West	262064
Sydney - Outer West and Blue Mountains	306933
Sydney - Parramatta	448391
Sydney - Ryde	182119
Sydney - South West	405962
Sydney - Sutherland	217880
Migratory - Offshore - Shipping (NSW)	412
No usual address (NSW)	12288
Ballarat	157485
Bendigo	153092
Geelong	278929
Hume	170194
Latrobe - Gippsland	271416
Melbourne - Inner	591679
Melbourne - Inner East	359644
Melbourne - Inner South	403707
Melbourne - North East	495353
Melbourne - North West	363371
Melbourne - Outer East	499608
Melbourne - South East	755265
Melbourne - West	727443
Mornington Peninsula	289142
North West	150035
Shepparton	129971
Warrnambool and South West	122701
Migratory - Offshore - Shipping (Vic.)	29
No usual address (Vic.)	7565
Brisbane - East	223095
Brisbane - North	206522
Brisbane - South	340569
Brisbane - West	178991
Brisbane Inner City	250207
Cairns	240190
Darling Downs - Maranoa	126289
Central Queensland	220912
Gold Coast	569997
Ipswich	323069
Logan - Beaudesert	317296
Mackay - Isaac - Whitsunday	169688
Moreton Bay - North	236091
Moreton Bay - South	194969
Queensland - Outback	79700
Sunshine Coast	346522
Toowoomba	149512
Townsville	229031
Wide Bay	287883
Migratory - Offshore - Shipping (Qld)	150
No usual address (Qld)	12510
Adelaide - Central and Hills	289546
Adelaide - North	423086
Adelaide - South	355341
Adelaide - West	227745
Barossa - Yorke - Mid North	110515
South Australia - Outback	82820
South Australia - South East	184742
Migratory - Offshore - Shipping (SA)	3
No usual address (SA)	2863
Bunbury	176330
Mandurah	96736
Perth - Inner	169301
Perth - North East	251017
Perth - North West	535114
Perth - South East	488354
Perth - South West	403334
Western Australia - Wheat Belt	135354
Western Australia - Outback (North)	93920
Western Australia - Outback (South)	118563
Migratory - Offshore - Shipping (WA)	434
No usual address (WA)	5950
Hobart	222356
Launceston and North East	140484
South East	37119
West and North West	109024
Migratory - Offshore - Shipping (Tas.)	68
No usual address (Tas.)	912
Darwin	136828
Northern Territory - Outback	89443
Migratory - Offshore - Shipping (NT)	70
No usual address (NT)	2489
Australian Capital Territory	396857
No usual address (ACT)	538
Other Territories	4523
Migratory - Offshore - Shipping (OT)	6
No usual address (OT)	55
