SA2_NAME16	Age	MaritalStatus	Sex	responses
Braidwood	20-24	Married	F	3
Braidwood	20-24	Married	M	6
Braidwood	25-34	Divorced	F	3
Braidwood	25-34	Divorced	M	8
Braidwood	25-34	Married	F	62
Braidwood	25-34	Married	M	39
Braidwood	25-34	Separated	F	7
Braidwood	25-34	Separated	M	3
Braidwood	35-44	Divorced	F	24
Braidwood	35-44	Divorced	M	9
Braidwood	35-44	Married	F	135
Braidwood	35-44	Married	M	113
Braidwood	35-44	Separated	F	12
Braidwood	35-44	Separated	M	14
Braidwood	45-54	Divorced	F	54
Braidwood	45-54	Divorced	M	45
Braidwood	45-54	Married	F	169
Braidwood	45-54	Married	M	146
Braidwood	45-54	Separated	F	20
Braidwood	45-54	Separated	M	7
Braidwood	45-54	Widowed	F	3
Braidwood	55-64	Divorced	F	71
Braidwood	55-64	Divorced	M	65
Braidwood	55-64	Married	F	198
Braidwood	55-64	Married	M	211
Braidwood	55-64	Separated	F	6
Braidwood	55-64	Separated	M	21
Braidwood	55-64	Widowed	F	24
Braidwood	55-64	Widowed	M	8
Braidwood	65-74	Divorced	F	63
Braidwood	65-74	Divorced	M	48
Braidwood	65-74	Married	F	172
Braidwood	65-74	Married	M	194
Braidwood	65-74	Separated	F	10
Braidwood	65-74	Separated	M	16
Braidwood	65-74	Widowed	F	36
Braidwood	65-74	Widowed	M	12
Braidwood	75-84	Divorced	F	11
Braidwood	75-84	Divorced	M	15
Braidwood	75-84	Married	F	43
Braidwood	75-84	Married	M	83
Braidwood	75-84	Separated	F	3
Braidwood	75-84	Separated	M	5
Braidwood	75-84	Widowed	F	37
Braidwood	75-84	Widowed	M	27
Braidwood	85+	Divorced	F	7
Braidwood	85+	Married	F	8
Braidwood	85+	Married	M	13
Braidwood	85+	Widowed	F	40
Braidwood	85+	Widowed	M	7
Karabar	15-19	Divorced	F	3
Karabar	20-24	Married	F	15
Karabar	20-24	Married	M	8
Karabar	25-34	Divorced	F	11
Karabar	25-34	Divorced	M	9
Karabar	25-34	Married	F	242
Karabar	25-34	Married	M	181
Karabar	25-34	Separated	F	10
Karabar	25-34	Separated	M	9
Karabar	25-34	Widowed	F	3
Karabar	35-44	Divorced	F	37
Karabar	35-44	Divorced	M	35
Karabar	35-44	Married	F	303
Karabar	35-44	Married	M	290
Karabar	35-44	Separated	F	31
Karabar	35-44	Separated	M	26
Karabar	35-44	Widowed	F	3
Karabar	45-54	Divorced	F	105
Karabar	45-54	Divorced	M	83
Karabar	45-54	Married	F	363
Karabar	45-54	Married	M	336
Karabar	45-54	Separated	F	37
Karabar	45-54	Separated	M	35
Karabar	45-54	Widowed	F	15
Karabar	55-64	Divorced	F	89
Karabar	55-64	Divorced	M	68
Karabar	55-64	Married	F	328
Karabar	55-64	Married	M	345
Karabar	55-64	Separated	F	29
Karabar	55-64	Separated	M	25
Karabar	55-64	Widowed	F	37
Karabar	55-64	Widowed	M	24
Karabar	65-74	Divorced	F	55
Karabar	65-74	Divorced	M	42
Karabar	65-74	Married	F	170
