SA2_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Braidwood	15-19		F	22
Braidwood	15-19		M	18
Braidwood	15-19	0	F	62
Braidwood	15-19	0	M	77
Braidwood	15-19	1	F	3
Braidwood	15-19	1	M	9
Braidwood	20-24		F	3
Braidwood	20-24		M	10
Braidwood	20-24	0	F	38
Braidwood	20-24	0	M	45
Braidwood	20-24	1	F	10
Braidwood	20-24	1	M	4
Braidwood	25-34		F	19
Braidwood	25-34		M	15
Braidwood	25-34	0	F	111
Braidwood	25-34	0	M	119
Braidwood	25-34	1	F	17
Braidwood	25-34	1	M	11
Braidwood	35-44		F	27
Braidwood	35-44		M	31
Braidwood	35-44	0	F	177
Braidwood	35-44	0	M	158
Braidwood	35-44	1	F	29
Braidwood	35-44	1	M	17
Braidwood	45-54		F	37
Braidwood	45-54		M	34
Braidwood	45-54	0	F	207
Braidwood	45-54	0	M	210
Braidwood	45-54	1	F	56
Braidwood	45-54	1	M	32
Braidwood	55-64		F	36
Braidwood	55-64		M	42
Braidwood	55-64	0	F	235
Braidwood	55-64	0	M	267
Braidwood	55-64	1	F	64
Braidwood	55-64	1	M	52
Braidwood	65-74		F	43
Braidwood	65-74		M	47
Braidwood	65-74	0	F	213
Braidwood	65-74	0	M	212
Braidwood	65-74	1	F	42
Braidwood	65-74	1	M	39
Braidwood	75-84		F	32
Braidwood	75-84		M	15
Braidwood	75-84	0	F	67
Braidwood	75-84	0	M	105
Braidwood	75-84	1	F	11
Braidwood	75-84	1	M	5
Braidwood	85+		F	13
Braidwood	85+		M	8
Braidwood	85+	0	F	33
Braidwood	85+	0	M	22
Karabar	15-19		F	20
Karabar	15-19		M	33
Karabar	15-19	0	F	237
Karabar	15-19	0	M	261
Karabar	15-19	1	F	14
Karabar	15-19	1	M	9
Karabar	20-24		F	21
Karabar	20-24		M	13
Karabar	20-24	0	F	225
Karabar	20-24	0	M	238
Karabar	20-24	1	F	21
Karabar	20-24	1	M	13
Karabar	25-34		F	36
Karabar	25-34		M	31
Karabar	25-34	0	F	448
Karabar	25-34	0	M	460
Karabar	25-34	1	F	68
Karabar	25-34	1	M	41
Karabar	35-44		F	40
Karabar	35-44		M	40
Karabar	35-44	0	F	420
Karabar	35-44	0	M	452
Karabar	35-44	1	F	99
Karabar	35-44	1	M	61
Karabar	45-54		F	41
Karabar	45-54		M	38
Karabar	45-54	0	F	471
Karabar	45-54	0	M	461
Karabar	45-54	1	F	116
Karabar	45-54	1	M	68
Karabar	55-64		F	33
Karabar	55-64		M	30
Karabar	55-64	0	F	388
Karabar	55-64	0	M	420
Karabar	55-64	1	F	113
Karabar	55-64	1	M	58
Karabar	65-74		F	43
Karabar	65-74		M	28
Karabar	65-74	0	F	263
Karabar	65-74	0	M	251
Karabar	65-74	1	F	42
Karabar	65-74	1	M	40
Karabar	75-84		F	25
Karabar	75-84		M	16
Karabar	75-84	0	F	124
Karabar	75-84	0	M	101
Karabar	75-84	1	F	21
Karabar	75-84	1	M	24
Karabar	85+		F	12
Karabar	85+		M	6
Karabar	85+	0	F	39
Karabar	85+	0	M	19
Queanbeyan	15-19		F	21
Queanbeyan	15-19		M	20
Queanbeyan	15-19	0	F	182
Queanbeyan	15-19	0	M	197
Queanbeyan	15-19	1	F	6
Queanbeyan	15-19	1	M	13
Queanbeyan	20-24		F	39
Queanbeyan	20-24		M	31
Queanbeyan	20-24	0	F	348
Queanbeyan	20-24	0	M	311
Queanbeyan	20-24	1	F	17
Queanbeyan	20-24	1	M	12
Queanbeyan	25-34		F	140
Queanbeyan	25-34		M	119
Queanbeyan	25-34	0	F	915
Queanbeyan	25-34	0	M	932
Queanbeyan	25-34	1	F	86
Queanbeyan	25-34	1	M	58
Queanbeyan	35-44		F	47
Queanbeyan	35-44		M	77
Queanbeyan	35-44	0	F	589
Queanbeyan	35-44	0	M	696
Queanbeyan	35-44	1	F	75
Queanbeyan	35-44	1	M	61
Queanbeyan	45-54		F	46
Queanbeyan	45-54		M	60
Queanbeyan	45-54	0	F	519
Queanbeyan	45-54	0	M	572
Queanbeyan	45-54	1	F	100
Queanbeyan	45-54	1	M	88
Queanbeyan	55-64		F	39
Queanbeyan	55-64		M	50
Queanbeyan	55-64	0	F	401
Queanbeyan	55-64	0	M	459
Queanbeyan	55-64	1	F	116
Queanbeyan	55-64	1	M	71
Queanbeyan	65-74		F	49
Queanbeyan	65-74		M	45
Queanbeyan	65-74	0	F	312
Queanbeyan	65-74	0	M	308
Queanbeyan	65-74	1	F	56
Queanbeyan	65-74	1	M	50
Queanbeyan	75-84		F	40
Queanbeyan	75-84		M	37
Queanbeyan	75-84	0	F	231
Queanbeyan	75-84	0	M	173
Queanbeyan	75-84	1	F	32
Queanbeyan	75-84	1	M	14
Queanbeyan	85+		F	23
Queanbeyan	85+		M	14
Queanbeyan	85+	0	F	175
Queanbeyan	85+	0	M	96
Queanbeyan	85+	1	F	4
Queanbeyan	85+	1	M	5
Queanbeyan - East	15-19		F	3
Queanbeyan - East	15-19		M	4
Queanbeyan - East	15-19	0	F	104
Queanbeyan - East	15-19	0	M	104
Queanbeyan - East	15-19	1	F	4
Queanbeyan - East	15-19	1	M	3
Queanbeyan - East	20-24		F	9
Queanbeyan - East	20-24		M	14
Queanbeyan - East	20-24	0	F	161
Queanbeyan - East	20-24	0	M	154
Queanbeyan - East	20-24	1	F	11
Queanbeyan - East	20-24	1	M	9
Queanbeyan - East	25-34		F	40
Queanbeyan - East	25-34		M	34
Queanbeyan - East	25-34	0	F	383
Queanbeyan - East	25-34	0	M	421
Queanbeyan - East	25-34	1	F	62
Queanbeyan - East	25-34	1	M	33
Queanbeyan - East	35-44		F	18
Queanbeyan - East	35-44		M	29
Queanbeyan - East	35-44	0	F	219
Queanbeyan - East	35-44	0	M	297
Queanbeyan - East	35-44	1	F	46
Queanbeyan - East	35-44	1	M	32
Queanbeyan - East	45-54		F	26
Queanbeyan - East	45-54		M	35
Queanbeyan - East	45-54	0	F	251
Queanbeyan - East	45-54	0	M	299
Queanbeyan - East	45-54	1	F	55
Queanbeyan - East	45-54	1	M	30
Queanbeyan - East	55-64		F	15
Queanbeyan - East	55-64		M	19
Queanbeyan - East	55-64	0	F	196
Queanbeyan - East	55-64	0	M	215
Queanbeyan - East	55-64	1	F	65
Queanbeyan - East	55-64	1	M	48
Queanbeyan - East	65-74		F	7
Queanbeyan - East	65-74		M	9
Queanbeyan - East	65-74	0	F	129
Queanbeyan - East	65-74	0	M	126
Queanbeyan - East	65-74	1	F	17
Queanbeyan - East	65-74	1	M	22
Queanbeyan - East	75-84		F	19
Queanbeyan - East	75-84		M	10
Queanbeyan - East	75-84	0	F	62
Queanbeyan - East	75-84	0	M	59
Queanbeyan - East	75-84	1	F	7
Queanbeyan - East	75-84	1	M	10
Queanbeyan - East	85+		F	7
Queanbeyan - East	85+	0	F	38
Queanbeyan - East	85+	0	M	8
Queanbeyan Region	15-19		F	76
Queanbeyan Region	15-19		M	84
Queanbeyan Region	15-19	0	F	455
Queanbeyan Region	15-19	0	M	487
Queanbeyan Region	15-19	1	F	18
Queanbeyan Region	15-19	1	M	14
Queanbeyan Region	20-24		F	45
Queanbeyan Region	20-24		M	66
Queanbeyan Region	20-24	0	F	334
Queanbeyan Region	20-24	0	M	318
Queanbeyan Region	20-24	1	F	26
Queanbeyan Region	20-24	1	M	12
Queanbeyan Region	25-34		F	92
Queanbeyan Region	25-34		M	89
Queanbeyan Region	25-34	0	F	698
Queanbeyan Region	25-34	0	M	727
Queanbeyan Region	25-34	1	F	89
Queanbeyan Region	25-34	1	M	48
Queanbeyan Region	35-44		F	116
Queanbeyan Region	35-44		M	113
Queanbeyan Region	35-44	0	F	967
Queanbeyan Region	35-44	0	M	918
Queanbeyan Region	35-44	1	F	172
Queanbeyan Region	35-44	1	M	105
Queanbeyan Region	45-54		F	135
Queanbeyan Region	45-54		M	166
Queanbeyan Region	45-54	0	F	1108
Queanbeyan Region	45-54	0	M	1152
Queanbeyan Region	45-54	1	F	226
Queanbeyan Region	45-54	1	M	146
Queanbeyan Region	55-64		F	128
Queanbeyan Region	55-64		M	138
Queanbeyan Region	55-64	0	F	794
Queanbeyan Region	55-64	0	M	956
Queanbeyan Region	55-64	1	F	240
Queanbeyan Region	55-64	1	M	167
Queanbeyan Region	65-74		F	81
Queanbeyan Region	65-74		M	105
Queanbeyan Region	65-74	0	F	448
Queanbeyan Region	65-74	0	M	584
Queanbeyan Region	65-74	1	F	123
Queanbeyan Region	65-74	1	M	97
Queanbeyan Region	75-84		F	26
Queanbeyan Region	75-84		M	28
Queanbeyan Region	75-84	0	F	128
Queanbeyan Region	75-84	0	M	174
Queanbeyan Region	75-84	1	F	25
Queanbeyan Region	75-84	1	M	22
Queanbeyan Region	85+		F	10
Queanbeyan Region	85+		M	4
Queanbeyan Region	85+	0	F	33
Queanbeyan Region	85+	0	M	30
Queanbeyan Region	85+	1	F	4
Queanbeyan Region	85+	1	M	3
Queanbeyan West - Jerrabomberra	15-19		F	25
Queanbeyan West - Jerrabomberra	15-19		M	33
Queanbeyan West - Jerrabomberra	15-19	0	F	442
Queanbeyan West - Jerrabomberra	15-19	0	M	487
Queanbeyan West - Jerrabomberra	15-19	1	F	17
Queanbeyan West - Jerrabomberra	15-19	1	M	20
Queanbeyan West - Jerrabomberra	20-24		F	21
Queanbeyan West - Jerrabomberra	20-24		M	24
Queanbeyan West - Jerrabomberra	20-24	0	F	318
Queanbeyan West - Jerrabomberra	20-24	0	M	332
Queanbeyan West - Jerrabomberra	20-24	1	F	23
Queanbeyan West - Jerrabomberra	20-24	1	M	10
Queanbeyan West - Jerrabomberra	25-34		F	43
Queanbeyan West - Jerrabomberra	25-34		M	38
Queanbeyan West - Jerrabomberra	25-34	0	F	656
Queanbeyan West - Jerrabomberra	25-34	0	M	617
