SA2_NAME16	Sex	persons
Braidwood	F	1916
Braidwood	M	1955
Karabar	F	4172
Karabar	M	4073
Queanbeyan	F	5403
Queanbeyan	M	5430
Queanbeyan - East	F	2325
Queanbeyan - East	M	2459
Queanbeyan Region	F	8331
Queanbeyan Region	M	8619
Queanbeyan West - Jerrabomberra	F	6350
Queanbeyan West - Jerrabomberra	M	6291
Bombala	F	1188
Bombala	M	1207
Cooma	F	3346
Cooma	M	3388
Cooma Region	F	1596
Cooma Region	M	1691
Jindabyne - Berridale	F	3228
Jindabyne - Berridale	M	3725
Batemans Bay	F	3915
Batemans Bay	M	3778
Batemans Bay - South	F	4368
Batemans Bay - South	M	3991
Bega - Tathra	F	4321
Bega - Tathra	M	4085
Bega-Eden Hinterland	F	4360
Bega-Eden Hinterland	M	4433
Broulee - Tomakin	F	1682
Broulee - Tomakin	M	1607
Deua - Wadbilliga	F	10
Deua - Wadbilliga	M	15
Eden	F	1640
Eden	M	1582
Eurobodalla Hinterland	F	1625
Eurobodalla Hinterland	M	1674
Merimbula - Tura Beach	F	5541
Merimbula - Tura Beach	M	5074
Moruya - Tuross Head	F	4007
Moruya - Tuross Head	M	3959
Narooma - Bermagui	F	4561
Narooma - Bermagui	M	4412
Goulburn	F	11441
Goulburn	M	11447
Goulburn Region	F	6127
Goulburn Region	M	6543
Yass	F	3385
Yass	M	3118
Yass Region	F	5742
Yass Region	M	5764
Young	F	5493
Young	M	5110
Young Region	F	3634
Young Region	M	3690
Avoca Beach - Copacabana	F	3639
Avoca Beach - Copacabana	M	3674
Box Head - MacMasters Beach	F	5464
Box Head - MacMasters Beach	M	5230
Calga - Kulnura	F	2237
Calga - Kulnura	M	2466
Erina - Green Point	F	7453
Erina - Green Point	M	6498
Gosford - Springfield	F	9692
Gosford - Springfield	M	9111
Kariong	F	3143
Kariong	M	3239
Kincumber - Picketts Valley	F	3961
Kincumber - Picketts Valley	M	3350
Narara	F	3399
Narara	M	3236
Niagara Park - Lisarow	F	4067
Niagara Park - Lisarow	M	3955
Point Clare - Koolewong	F	3189
Point Clare - Koolewong	M	3017
Saratoga - Davistown	F	3596
Saratoga - Davistown	M	3385
Terrigal - North Avoca	F	6803
Terrigal - North Avoca	M	6541
Umina - Booker Bay - Patonga	F	12304
Umina - Booker Bay - Patonga	M	11290
Wamberal - Forresters Beach	F	4936
Wamberal - Forresters Beach	M	4821
Woy Woy - Blackwall	F	7287
Woy Woy - Blackwall	M	6635
Wyoming	F	5992
Wyoming	M	5445
Bateau Bay - Killarney Vale	F	11600
Bateau Bay - Killarney Vale	M	10409
Blue Haven - San Remo	F	5700
Blue Haven - San Remo	M	5348
Budgewoi - Buff Point - Halekulani	F	4770
Budgewoi - Buff Point - Halekulani	M	4640
Chittaway Bay - Tumbi Umbi	F	7924
Chittaway Bay - Tumbi Umbi	M	7432
Gorokan - Kanwal - Charmhaven	F	11471
Gorokan - Kanwal - Charmhaven	M	10642
Jilliby - Yarramalong	F	1669
Jilliby - Yarramalong	M	1687
Lake Munmorah - Mannering Park	F	5522
Lake Munmorah - Mannering Park	M	5208
Ourimbah - Fountaindale	F	2450
Ourimbah - Fountaindale	M	2409
Summerland Point - Gwandalan	F	2870
Summerland Point - Gwandalan	M	2896
The Entrance	F	7754
The Entrance	M	7194
Toukley - Norah Head	F	5002
Toukley - Norah Head	M	4767
Tuggerah - Kangy Angy	F	2709
Tuggerah - Kangy Angy	M	2595
Warnervale - Wadalba	F	7865
Warnervale - Wadalba	M	7355
Wyong	F	4515
Wyong	M	4304
Bathurst	F	12014
Bathurst	M	11815
Bathurst - East	F	5636
Bathurst - East	M	5547
Bathurst Region	F	3257
Bathurst Region	M	3655
Oberon	F	2243
Oberon	M	2427
Condobolin	F	3289
Condobolin	M	3339
Cowra	F	4731
Cowra	M	4411
Cowra Region	F	2676
Cowra Region	M	2774
Forbes	F	5065
Forbes	M	5102
Grenfell	F	1824
Grenfell	M	1826
Parkes (NSW)	F	5676
Parkes (NSW)	M	5298
Parkes Region	F	1640
Parkes Region	M	1752
West Wyalong	F	2970
West Wyalong	M	2953
Lithgow	F	6345
Lithgow	M	6475
Lithgow Region	F	4047
Lithgow Region	M	4215
Mudgee	F	6003
Mudgee	M	5722
Mudgee Region - East	F	1678
Mudgee Region - East	M	1769
Mudgee Region - West	F	5010
Mudgee Region - West	M	5348
Blayney	F	3654
Blayney	M	3620
Orange	F	9923
Orange	M	9085
Orange - North	F	10039
Orange - North	M	9692
Orange Region	F	5737
Orange Region	M	5869
Grafton	F	9604
Grafton	M	9073
Grafton Region	F	7463
Grafton Region	M	7848
Maclean - Yamba - Iluka	F	8294
Maclean - Yamba - Iluka	M	7989
Bellingen	F	3038
Bellingen	M	2764
Coffs Harbour - North	F	9103
Coffs Harbour - North	M	8359
Coffs Harbour - South	F	5525
Coffs Harbour - South	M	4773
Coramba - Nana Glen - Bucca	F	1893
Coramba - Nana Glen - Bucca	M	1925
