SA2_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Braidwood					7
Braidwood	0	0	0	1	42
Braidwood	0	0	1	0	5
Braidwood	0	0	1	1	3
Braidwood	0	1	0	0	63
Braidwood	0	1	0	1	4
Braidwood	0	1	1	0	7
Braidwood	1	0	0	1	63
Braidwood	1	0	1	0	34
Braidwood	1	0	1	1	16
Braidwood	1	1	0	0	193
Braidwood	1	1	0	1	15
Braidwood	1	1	1	0	28
Braidwood	1	1	1	1	5
Karabar					42
Karabar	0	0	0	1	173
Karabar	0	0	1	0	45
Karabar	0	0	1	1	20
Karabar	0	1	0	0	177
Karabar	0	1	0	1	19
Karabar	0	1	1	0	22
Karabar	0	1	1	1	8
Karabar	1	0	0	1	238
Karabar	1	0	1	0	76
Karabar	1	0	1	1	44
Karabar	1	1	0	0	485
Karabar	1	1	0	1	38
Karabar	1	1	1	0	111
Karabar	1	1	1	1	14
Queanbeyan					55
Queanbeyan	0	0	0	1	183
Queanbeyan	0	0	1	0	46
Queanbeyan	0	0	1	1	9
Queanbeyan	0	1	0	0	220
Queanbeyan	0	1	0	1	8
Queanbeyan	0	1	1	0	24
Queanbeyan	0	1	1	1	3
Queanbeyan	1	0	0	1	139
Queanbeyan	1	0	1	0	66
Queanbeyan	1	0	1	1	29
Queanbeyan	1	1	0	0	626
Queanbeyan	1	1	0	1	24
Queanbeyan	1	1	1	0	78
Queanbeyan	1	1	1	1	12
Queanbeyan - East					14
Queanbeyan - East	0	0	0	1	69
Queanbeyan - East	0	0	1	0	15
Queanbeyan - East	0	0	1	1	9
Queanbeyan - East	0	1	0	0	77
Queanbeyan - East	0	1	0	1	3
Queanbeyan - East	0	1	1	0	7
Queanbeyan - East	0	1	1	1	3
Queanbeyan - East	1	0	0	1	68
Queanbeyan - East	1	0	1	0	42
Queanbeyan - East	1	0	1	1	24
Queanbeyan - East	1	1	0	0	335
Queanbeyan - East	1	1	0	1	14
Queanbeyan - East	1	1	1	0	34
Queanbeyan - East	1	1	1	1	4
Queanbeyan Region					32
Queanbeyan Region	0	0	0	1	107
Queanbeyan Region	0	0	1	0	35
Queanbeyan Region	0	0	1	1	16
Queanbeyan Region	0	1	0	0	156
Queanbeyan Region	0	1	0	1	18
Queanbeyan Region	0	1	1	0	27
Queanbeyan Region	0	1	1	1	9
Queanbeyan Region	1	0	0	1	435
Queanbeyan Region	1	0	1	0	225
Queanbeyan Region	1	0	1	1	127
Queanbeyan Region	1	1	0	0	1276
Queanbeyan Region	1	1	0	1	54
Queanbeyan Region	1	1	1	0	268
Queanbeyan Region	1	1	1	1	34
Queanbeyan West - Jerrabomberra					27
Queanbeyan West - Jerrabomberra	0	0	0	1	151
Queanbeyan West - Jerrabomberra	0	0	1	0	45
Queanbeyan West - Jerrabomberra	0	0	1	1	21
Queanbeyan West - Jerrabomberra	0	1	0	0	180
Queanbeyan West - Jerrabomberra	0	1	0	1	10
Queanbeyan West - Jerrabomberra	0	1	1	0	29
Queanbeyan West - Jerrabomberra	0	1	1	1	7
Queanbeyan West - Jerrabomberra	1	0	0	1	281
Queanbeyan West - Jerrabomberra	1	0	1	0	213
Queanbeyan West - Jerrabomberra	1	0	1	1	133
Queanbeyan West - Jerrabomberra	1	1	0	0	1046
Queanbeyan West - Jerrabomberra	1	1	0	1	44
Queanbeyan West - Jerrabomberra	1	1	1	0	249
Queanbeyan West - Jerrabomberra	1	1	1	1	31
Bombala					7
Bombala	0	0	0	1	38
Bombala	0	0	1	0	3
Bombala	0	0	1	1	3
Bombala	0	1	0	0	29
Bombala	0	1	1	0	3
Bombala	1	0	0	1	43
Bombala	1	0	1	0	17
Bombala	1	0	1	1	10
Bombala	1	1	0	0	136
Bombala	1	1	0	1	3
Bombala	1	1	1	0	26
Bombala	1	1	1	1	4
Cooma					20
Cooma	0	0	0	1	125
Cooma	0	0	1	0	36
Cooma	0	0	1	1	8
Cooma	0	1	0	0	137
Cooma	0	1	0	1	16
Cooma	0	1	1	0	17
Cooma	0	1	1	1	4
Cooma	1	0	0	1	124
Cooma	1	0	1	0	53
Cooma	1	0	1	1	26
Cooma	1	1	0	0	303
Cooma	1	1	0	1	19
