SA2_NAME16	medianRent
Braidwood	13000
Karabar	15600
Queanbeyan	14560
Queanbeyan - East	14040
Queanbeyan Region	19916
Queanbeyan West - Jerrabomberra	19240
Bombala	7800
Cooma	11700
Cooma Region	7800
Jindabyne - Berridale	14040
Batemans Bay	13520
Batemans Bay - South	14560
Bega - Tathra	14040
Bega-Eden Hinterland	10400
Broulee - Tomakin	14040
Deua - Wadbilliga	
Eden	11960
Eurobodalla Hinterland	9360
Merimbula - Tura Beach	14040
Moruya - Tuross Head	13000
Narooma - Bermagui	11960
Goulburn	13520
Goulburn Region	10400
Yass	15600
Yass Region	13000
Young	11700
Young Region	8320
Avoca Beach - Copacabana	22360
Box Head - MacMasters Beach	19760
Calga - Kulnura	13000
Erina - Green Point	18720
Gosford - Springfield	17212
Kariong	20800
Kincumber - Picketts Valley	17680
Narara	18720
Niagara Park - Lisarow	19240
Point Clare - Koolewong	19500
Saratoga - Davistown	20176
Terrigal - North Avoca	23400
Umina - Booker Bay - Patonga	18200
Wamberal - Forresters Beach	21840
Woy Woy - Blackwall	17680
Wyoming	18200
Bateau Bay - Killarney Vale	18200
Blue Haven - San Remo	18460
Budgewoi - Buff Point - Halekulani	16120
Chittaway Bay - Tumbi Umbi	19240
Gorokan - Kanwal - Charmhaven	16536
Jilliby - Yarramalong	15600
Lake Munmorah - Mannering Park	16640
Ourimbah - Fountaindale	17680
Summerland Point - Gwandalan	17680
The Entrance	16640
Toukley - Norah Head	15600
Tuggerah - Kangy Angy	19760
Warnervale - Wadalba	23400
Wyong	16120
Bathurst	14300
Bathurst - East	16120
Bathurst Region	9360
Oberon	10920
Condobolin	7800
Cowra	9880
Cowra Region	8580
Forbes	9100
Grenfell	7020
Parkes (NSW)	10660
Parkes Region	6240
West Wyalong	7800
Lithgow	11960
Lithgow Region	10400
Mudgee	15600
Mudgee Region - East	9880
Mudgee Region - West	10400
Wollangambe - Wollemi	
Blayney	11440
Orange	13000
Orange - North	16588
Orange Region	10400
Grafton	13000
Grafton Region	12480
Maclean - Yamba - Iluka	14560
Bellingen	15600
Coffs Harbour - North	15392
Coffs Harbour - South	15600
Coramba - Nana Glen - Bucca	15600
Dorrigo	10400
Korora - Emerald Beach	19760
Sawtell - Boambee	16120
Urunga	14560
Woolgoolga - Arrawarra	16120
Bourke - Brewarrina	5200
Cobar	8320
Coonamble	7800
Nyngan - Warren	7800
Walgett - Lightning Ridge	7280
Broken Hill	9880
Far West	5200
Coonabarabran	7904
Dubbo - East	13520
Dubbo - South	14300
Dubbo - West	13780
Dubbo Region	10400
Gilgandra	8320
Narromine	9620
Wellington	9360
Branxton - Greta - Pokolbin	16640
Cessnock	14560
Cessnock Region	14040
Dungog	12740
Kurri Kurri - Abermain	14560
Singleton	15080
Singleton Region	13000
Maitland	18200
Maitland - East	15600
Maitland - North	18200
Maitland - West	17160
Thornton - Millers Forest	17680
Anna Bay	18200
Lemon Tree Passage - Tanilba Bay	16640
Nelson Bay Peninsula	17160
Raymond Terrace	14040
Seaham - Woodville	15600
Tea Gardens - Hawks Nest	15080
Williamtown - Medowie - Karuah	16640
Muswellbrook	13000
Muswellbrook Region	11960
Scone	13000
Scone Region	9880
Dapto - Avondale	16640
Horsley - Kembla Grange	21216
Port Kembla Industrial	
Unanderra - Mount Kembla	15340
Berkeley - Lake Heights - Cringila	14560
Port Kembla - Warrawong	12480
Windang - Primbee	14040
Illawarra Catchment Reserve	
Albion Park - Macquarie Pass	20020
Albion Park Rail	16640
Kiama	20280
Kiama Downs - Minnamurra	20800
Kiama Hinterland - Gerringong	20800
Shellharbour - Flinders	21840
Shellharbour - Oak Flats	18200
Warilla	15600
Balgownie - Fairy Meadow	17160
Corrimal - Tarrawanna - Bellambi	14560
Figtree - Keiraville	17680
Helensburgh	24440
Thirroul - Austinmer - Coalcliff	23504
Woonona - Bulli - Russell Vale	16640
Wollongong - East	18252
Wollongong - West	17160
Bulahdelah - Stroud	11960
Forster	14560
Forster-Tuncurry Region	14560
Tuncurry	13000
Kempsey	11960
Kempsey Region	11700
Macksville - Scotts Head	13520
Nambucca Heads	12480
Nambucca Heads Region	11960
South West Rocks	14300
Lord Howe Island	11440
Laurieton - Bonny Hills	15600
Port Macquarie - East	17160
Port Macquarie - West	16640
Port Macquarie Region	13000
Wauchope	15600
Gloucester	11440
Old Bar - Manning Point - Red Head	15600
Taree	12480
Taree Region	12896
Wingham	13000
Albury - East	14560
Albury - North	12012
Albury - South	11440
Albury Region	9360
Lavington	10920
Hay	7800
Wentworth - Buronga	8840
Wentworth-Balranald Region	6760
Corowa	10400
Corowa Region	10400
Deniliquin	10140
Deniliquin Region	5720
Moama	14300
Tocumwal - Finley - Jerilderie	8580
Armidale	13520
Armidale Region - North	10400
Armidale Region - South	10140
Walcha	7436
Glen Innes	10400
Inverell	11960
Inverell Region - East	6760
Inverell Region - West	7280
Tenterfield	9360
Moree	10140
Moree Region	5200
Narrabri	11960
Narrabri Region	7280
Gunnedah	13000
Gunnedah Region	9360
Quirindi	9360
Tamworth - East	14300
Tamworth - North	14820
Tamworth - West	13000
Tamworth Region	10400
Belmont - Bennetts Green	16640
Belmont South - Blacksmiths	14820
Charlestown - Dudley	17680
Glendale - Cardiff - Hillsborough	17680
Mount Hutton - Windale	10400
Redhead	19240
Swansea - Caves Beach	16120
Valentine - Eleebana	21840
Warners Bay - Boolaroo	18200
Bolton Point - Teralba	14300
Bonnells Bay - Silverwater	18200
Edgeworth - Cameron Park	20280
Morisset - Cooranbong	16380
Toronto - Awaba	15600
Wangi Wangi - Rathmines	16900
West Wallsend - Barnsley - Killingworth	17420
Adamstown - Kotara	18200
Beresfield - Hexham	14560
Hamilton - Broadmeadow	16120
Lambton - New Lambton	17160
Maryland - Fletcher - Minmi	20540
Mayfield - Warabrook	16900
Merewether - The Junction	18720
Newcastle - Cooks Hill	19760
Newcastle Port - Kooragang	
Shortland - Jesmond	16900
Stockton - Fullerton Cove	17160
Wallsend - Elermore Vale	17160
Waratah - North Lambton	17160
Wickham - Carrington - Tighes Hill	18720
Ballina	16640
Ballina Region	17160
Bangalow	20800
Brunswick Heads - Ocean Shores	19760
Byron Bay	26000
Evans Head	13520
Lennox Head - Skennars Head	23400
Mullumbimby	18200
Casino	12740
Casino Region	10400
Goonellabah	14456
Kyogle	10764
Lismore	13000
Lismore Region	14040
Kingscliff - Fingal Head	18720
Murwillumbah	15080
Murwillumbah Region	14820
Pottsville	19240
Tweed Heads	16640
Banora Point	18720
Terranora - North Tumblegum	23400
Tweed Heads South	17680
Griffith (NSW)	11960
Griffith Region	7800
Leeton	10400
Narrandera	8840
Tumbarumba	8840
Tumut	10400
Tumut Region	7800
Cootamundra	9880
Gundagai	8320
Junee	10400
Temora	8320
Wagga Wagga - East	14560
Wagga Wagga - North	18200
Wagga Wagga - South	14300
Wagga Wagga - West	13000
Wagga Wagga Region	10400
Berry - Kangaroo Valley	15600
Callala Bay - Currarong	17160
Culburra Beach	14352
Ettrema - Sassafras - Budawang	
Huskisson - Vincentia	15600
North Nowra - Bomaderry	14300
Nowra	13520
St Georges Basin - Erowal Bay	15080
Sussex Inlet - Berrara	13000
Tomerong - Wandandian - Woollamia	12740
Ulladulla	15080
Ulladulla Region	13780
Bowral	20800
Hill Top - Colo Vale	19656
Mittagong	18200
Moss Vale - Berrima	16640
Robertson - Fitzroy Falls	18200
Southern Highlands	15600
Baulkham Hills (East)	26520
Baulkham Hills (West) - Bella Vista	30680
Glenhaven	33696
West Pennant Hills	32760
Castle Hill - Central	28340
Castle Hill - East	27612
Castle Hill - North	30160
Castle Hill - South	28600
Castle Hill - West	33800
Cherrybrook	33800
Kellyville	32292
Dural - Kenthurst - Wisemans Ferry	23400
Galston - Laughtondale	22516
Bilpin - Colo - St Albans	9620
Kurrajong Heights - Ebenezer	20280
Pitt Town - McGraths Hill	20800
Rouse Hill - Beaumont Hills	32240
Blacktown (East) - Kings Park	19760
Blacktown (North) - Marayong	19760
Doonside - Woodcroft	17940
Lalor Park - Kings Langley	18980
Seven Hills - Toongabbie	20800
Blacktown (South)	20020
Blacktown (West)	20800
Glenwood	29640
Parklea - Kellyville Ridge	31200
Riverstone - Marsden Park	21840
Acacia Gardens	27040
Quakers Hill	23400
Bidwill - Hebersham - Emerton	13780
Glendenning - Dean Park	20800
Hassall Grove - Plumpton	20800
Lethbridge Park - Tregear	15600
Mount Druitt - Whalan	17160
Prospect Reservoir	
Rooty Hill - Minchinbury	20800
Banksmeadow	
Botany	27040
Mascot - Eastlakes	27040
Pagewood - Hillsdale - Daceyville	20800
Port Botany Industrial	
Sydney Airport	
Marrickville	23400
Petersham - Stanmore	23920
Sydenham - Tempe - St Peters	30160
Darlinghurst	29120
Erskineville - Alexandria	31200
Glebe - Forest Lodge	26416
Newtown - Camperdown - Darlington	26000
Potts Point - Woolloomooloo	24960
Pyrmont - Ultimo	31200
Redfern - Chippendale	28080
Surry Hills	28600
Sydney - Haymarket - The Rocks	37700
Waterloo - Beaconsfield	30160
Bondi - Tamarama - Bronte	32604
Bondi Beach - North Bondi	33280
Bondi Junction - Waverly	31200
Centennial Park	
Double Bay - Bellevue Hill	34164
Dover Heights	31200
Paddington - Moore Park	29900
Rose Bay - Vaucluse - Watsons Bay	33800
Woollahra	34320
Coogee - Clovelly	30420
Malabar - La Perouse - Chifley	21320
Kensington (NSW)	26780
Kingsford	27300
Maroubra - North	30160
Maroubra - South	23400
Maroubra - West	31200
Randwick - North	29120
Randwick - South	29120
Bass Hill - Georges Hall	15600
Chullora	28600
Condell Park	23400
Greenacre - Mount Lewis	19240
Padstow	21840
Panania - Milperra - Picnic Point	22360
Revesby	21372
Yagoona - Birrong	19760
Bankstown - North	20800
Bankstown - South	20800
Belmore - Belfield	18720
Canterbury (South) - Campsie	20540
Kingsgrove (North) - Earlwood	26000
Punchbowl	18720
Roselands	20280
Lakemba	18200
Wiley Park	18200
Hurstville	24960
Mortdale - Penshurst	20800
Narwee - Beverly Hills	20280
Oatley - Hurstville Grove	23816
Peakhurst - Lugarno	23400
Riverwood	11960
South Hurstville - Blakehurst	24700
Arncliffe - Bardwell Valley	28600
Bexley	22360
Kingsgrove (South) - Bardwell Park	24960
Kogarah	23400
Kogarah Bay - Carlton - Allawah	23400
Monterey - Brighton-le-Sands - Kyeemagh	22880
Rockdale - Banksia	24440
Sans Souci - Ramsgate	23400
Concord - Mortlake - Cabarita	29640
